Block,Location,Donor,Recipient,est_seed_prod,total_fruit_prod,closed_fruits,seed_count,P_surv_flower,FIT_surv_x_seedprod,FIT_surv_x_fruitprod,BLOCKmean_FIT_surv_x_seedprod,BLOCKmean_FIT_surv_x_fruitprod,BLOCKmean_est_seed_prod,BLOCKmean_total_fruit_prod,BLOCKmean_seed_count,BLOCKmean_P_surv_flower,Rel_FIT_surv_x_seedprod,Rel_FIT_surv_x_fruitprod,Rel_est_seed_prod,Rel_total_fruit_prod,Rel_seed_count,Rel_P_surv_flower
1,1,BB_023,BB_206,12,2,1,6,0.375,4.5,0.75,8.032009608230311,0.7673357664233577,14.931114068223444,1.635036496350365,7.341176470588235,0.4416058394160584,0.5602582939379082,0.9774078478002378,0.8036908662789288,1.2232142857142858,0.8173076923076923,0.8491735537190083
1,1,BB_173,BB_170,NA,0,0,0,0.5,NA,0,8.032009608230311,0.7673357664233577,14.931114068223444,1.635036496350365,7.341176470588235,0.4416058394160584,NA,0,NA,0,0,1.1322314049586777
1,10,BB_099,BB_032,NA,0,0,NA,0.125,NA,0,8.032009608230311,0.7673357664233577,14.931114068223444,1.635036496350365,7.341176470588235,0.4416058394160584,NA,0,NA,0,NA,0.2830578512396694
1,10,BB_115,BB_187,0,2,2,0,0.125,0,0.25,8.032009608230311,0.7673357664233577,14.931114068223444,1.635036496350365,7.341176470588235,0.4416058394160584,0,0.3258026159334126,0,1.2232142857142858,0,0.2830578512396694
1,10,BB_168,BB_058,11,1,1,11,0.5,5.5,0.5,8.032009608230311,0.7673357664233577,14.931114068223444,1.635036496350365,7.341176470588235,0.4416058394160584,0.6847601370352211,0.6516052318668252,0.7367166274223513,0.6116071428571429,1.498397435897436,1.1322314049586777
1,10,BB_182,BB_021,0,1,1,0,0.25,0,0.25,8.032009608230311,0.7673357664233577,14.931114068223444,1.635036496350365,7.341176470588235,0.4416058394160584,0,0.3258026159334126,0,0.6116071428571429,0,0.5661157024793388
1,11,BB_142,BB_093,51.25,5,4,41,0.375,19.21875,1.875,8.032009608230311,0.7673357664233577,14.931114068223444,1.635036496350365,7.341176470588235,0.4416058394160584,2.3927697970264825,2.4435196195005946,3.4324297413995914,3.0580357142857144,5.584935897435898,0.8491735537190083
1,11,BB_197,BB_060,61.46153846153846,17,13,47,0.125,7.6826923076923075,2.125,8.032009608230311,0.7673357664233577,14.931114068223444,1.635036496350365,7.341176470588235,0.4416058394160584,0.9565093522572405,2.7693222354340072,4.116339757415795,10.397321428571429,6.40224358974359,0.2830578512396694
1,12,BB_174,BB_068,NA,0,0,NA,0.125,NA,0,8.032009608230311,0.7673357664233577,14.931114068223444,1.635036496350365,7.341176470588235,0.4416058394160584,NA,0,NA,0,NA,0.2830578512396694
1,12,BB_202,BB_018,42,3,1,14,0.25,10.5,0.75,8.032009608230311,0.7673357664233577,14.931114068223444,1.635036496350365,7.341176470588235,0.4416058394160584,1.3072693525217858,0.9774078478002378,2.812918031976251,1.8348214285714286,1.9070512820512822,0.5661157024793388
1,13,BB_047,BB_131,4,1,1,4,0.875,3.5,0.875,8.032009608230311,0.7673357664233577,14.931114068223444,1.635036496350365,7.341176470588235,0.4416058394160584,0.4357564508405952,1.140309155766944,0.2678969554263096,0.6116071428571429,0.5448717948717949,1.9814049586776858
1,13,BB_141,BB_029,3,1,1,3,0.75,2.25,0.75,8.032009608230311,0.7673357664233577,14.931114068223444,1.635036496350365,7.341176470588235,0.4416058394160584,0.2801291469689541,0.9774078478002378,0.2009227165697322,0.6116071428571429,0.40865384615384615,1.6983471074380165
1,13,BB_198,BB_045,NA,1,0,0,0.75,NA,0.75,8.032009608230311,0.7673357664233577,14.931114068223444,1.635036496350365,7.341176470588235,0.4416058394160584,NA,0.9774078478002378,NA,0.6116071428571429,0,1.6983471074380165
1,14,BB_011,BB_116,NA,1,0,0,0.5,NA,0.5,8.032009608230311,0.7673357664233577,14.931114068223444,1.635036496350365,7.341176470588235,0.4416058394160584,NA,0.6516052318668252,NA,0.6116071428571429,0,1.1322314049586777
1,14,BB_028,BB_083,37.5,6,4,25,0.375,14.0625,2.25,8.032009608230311,0.7673357664233577,14.931114068223444,1.635036496350365,7.341176470588235,0.4416058394160584,1.750807168555963,2.9322235434007133,2.5115339571216526,3.669642857142857,3.405448717948718,0.8491735537190083
1,14,BB_175,BB_172,2,2,1,1,0.25,0.5,0.5,8.032009608230311,0.7673357664233577,14.931114068223444,1.635036496350365,7.341176470588235,0.4416058394160584,0.06225092154865646,0.6516052318668252,0.1339484777131548,1.2232142857142858,0.13621794871794873,0.5661157024793388
1,15,BB_066,BB_019,NA,0,0,NA,0.375,NA,0,8.032009608230311,0.7673357664233577,14.931114068223444,1.635036496350365,7.341176470588235,0.4416058394160584,NA,0,NA,0,NA,0.8491735537190083
1,15,BB_099,BB_061,0,4,2,0,0.125,0,0.5,8.032009608230311,0.7673357664233577,14.931114068223444,1.635036496350365,7.341176470588235,0.4416058394160584,0,0.6516052318668252,0,2.4464285714285716,0,0.2830578512396694
1,16,BB_005,BB_166,5,2,2,5,0.625,3.125,1.25,8.032009608230311,0.7673357664233577,14.931114068223444,1.635036496350365,7.341176470588235,0.4416058394160584,0.38906825967910286,1.629013079667063,0.334871194282887,1.2232142857142858,0.6810897435897436,1.415289256198347
1,16,BB_215,BB_210,NA,0,0,NA,0.25,NA,0,8.032009608230311,0.7673357664233577,14.931114068223444,1.635036496350365,7.341176470588235,0.4416058394160584,NA,0,NA,0,NA,0.5661157024793388
