Block,Location,Recipient,Plant_ID,Skeleton Weights (mg),Units,Notes,Chosen for Pulverization? (y/n),
1,47,BB_030,2,,,DNE,,
1,47,BB_031,1,,,DNE,,
1,47,BB_049,3,,,DNE,,
1,47,BB_049,5,12.35,,Complete,y,
1,47,BB_049,8,,,DNE,,
1,48,BB_157,7,5.71,,Complete,y,
1,49,BB_088,7,79.04,,Complete,y,
1,49,BB_119,8,,,DNE,,
1,51,BB_080,3,,,DNE,,
1,51,BB_140,5,,,Incomplete,n,
1,51,BB_158,8,,,DNE,,
1,52,BB_016,1,,,DNE,,
1,52,BB_051,1,,,DNE,,
1,52,BB_051,2,,,DNE,,
1,52,BB_051,6,,,Incomplete,n,
1,52,BB_216,6,,,DNE,,
1,53,BB_056,4,,,DNE,,
1,53,BB_078,7,20.3,,Complete,y,
1,53,BB_118,3,,,Incomplete,y,
1,53,BB_118,5,,,Incomplete,n,
1,53,BB_118,8,,,Incomplete,n,
1,54,BB_042,7,,,Incomplete,n,
1,54,BB_120,8,70.37,,Complete,y,
1,55,BB_086,1,6.66,,Complete,y,
2,56,BB_016,4,4.51,,Complete,y,
2,57,BB_092,7,21.27,,Complete,y,
2,57,BB_111,1,10.37,,Complete,y,
2,57,BB_120,3,,,Incomplete,y,
2,58,BB_050,6,,,Incomplete,y,
2,58,BB_127,5,,,DNE,,
2,58,BB_153,3,15.68,,Complete,y,
2,59,BB_056,1,,,DNE,,
2,59,BB_133,8,,,Incomplete,y,
2,59,BB_143,2,,,Incomplete,n,
2,59,BB_143,4,,,incomplete,n,
2,59,BB_143,5,80.25,,complete,y,
2,61,BB_078,8,4.05,,Complete,y,
2,61,BB_147,6,,,DNE,,
2,62,BB_061,1,23.2,,Complete,y,
2,62,BB_061,7,,,DNE,,
2,62,BB_061,8,,,DNE,,
2,62,BB_214,8,19.31,,Complete,y,
2,63,BB_083,6,,,DNE,,
2,63,BB_114,6,,,DNE,,
2,63,BB_171,1,8.59,,Complete,y,
2,64,BB_051,3,38.83,,Complete,y,
2,64,BB_051,7,14.35,,complete,n,
2,64,BB_051,8,13.06,,complete,n,
2,65,BB_052,4,9.13,,Complete,y,
2,65,BB_150,8,,,Incomplete,y,
2,67,BB_164,2,29.15,,complete,y,
2,68,BB_218,7,,,DNE,,
2,69,BB_081,1,,,DNE,,
2,69,BB_199,8,37.01,,Complete,y,
2,71,BB_008,8,,,DNE,,
2,71,BB_146,2,,,DNE,,
2,71,BB_210,1,,,Incomplete,y,
2,72,BB_068,1,,,DNE,,
2,72,BB_119,6,,,Incomplete,y,
2,72,BB_195,7,,,Incomplete,y,
2,73,BB_024,2,,,DNE,,
2,73,BB_045,2,9.94,,Complete,y,
2,73,BB_216,4,,,DNE,,
2,74,BB_064,1,,,DNE,,
2,74,BB_157,5,,,Incomplete,y,
2,75,BB_031,3,12.54,,Complete,y,
2,75,BB_095,6,3.18,,Complete,y,
2,76,BB_053,7,7.14,,Complete,y,
2,76,BB_161,2,,,DNE,,
2,76,BB_161,3,,,DNE,,
2,77,BB_032,1,2.95,,Complete,y,
2,77,BB_032,5,,,DNE,n,
2,77,BB_032,8,,,incomplete,,
2,77,BB_104,8,,,DNE,,
2,77,BB_151,6,,,Incomplete,y,
2,78,BB_009,3,,,DNE,,
2,78,BB_209,6,21.23,,Complete,y,
2,79,BB_072,6,,,DNE,,
2,79,BB_076,8,,,Incomplete,y,
2,79,BB_105,1,,,DNE,,
2,80,BB_019,8,40.19,,Complete,y,
2,80,BB_145,3,,,DNE,,
2,80,BB_207,3,,,Incomplete,y,
2,81,BB_113,4,,,DNE,,
2,81,BB_159,5,,,DNE,,
2,82,BB_025,4,,,DNE,,
2,82,BB_131,8,4.46,,Complete,y,
2,83,BB_039,5,29.38,,Complete,y,
2,83,BB_093,6,5.84,,Complete,y,
2,83,BB_102,4,,,incomplete,n,
2,83,BB_102,6,5.94,,complete ,y,
2,83,BB_102,8,15.04,,complete,n,
2,83,BB_109,3,6.6,,Complete,y,
2,84,BB_186,8,,,DNE,,
2,84,BB_187,1,,,DNE,,
2,84,BB_187,3,,,DNE,,
2,84,BB_187,6,,,DNE,,
2,85,BB_002,3,12.44,,Complete,y,
2,85,BB_029,4,,,incomplete,y,
2,85,BB_079,2,,,DNE,,
2,85,BB_079,3,32.06,,complete,y,
2,85,BB_079,7,,,incomplete,n,
2,85,BB_193,6,9.76,,complete,y,
2,86,BB_077,4,11.34,,complete,n,
2,86,BB_077,5,,,DNE,,
2,86,BB_077,7,11.04,,Complete,y,
2,86,BB_103,1,10.58,,Complete,y,
2,86,BB_179,2,,,incomplete ,y,
2,86,BB_189,7,,,incomplete,y,
2,87,BB_087,5,25.15,,Complete,y,
2,87,BB_126,8,5.05,,Complete,y,
2,87,BB_137,2,7.48,,Complete,y,
2,87,BB_206,2,,,DNE,,
2,88,BB_017,2,,,incomplete ,y,
2,88,BB_017,4,,,DNE,,
2,88,BB_017,5,,,DNE,,
2,88,BB_116,1,,,DNE,,
2,88,BB_149,8,6.54,,Complete,y,
2,91,BB_007,2,,,DNE,,
2,91,BB_049,7,,,incomplete,y,
2,92,BB_010,8,,,DNE,,
2,92,BB_080,8,,,DNE,,
2,92,BB_160,8,24.02,,complete,y,
2,93,BB_138,2,13.52,,complete,y,
2,94,BB_013,4,,,DNE,,
2,94,BB_094,3,,,DNE,,
2,95,BB_063,7,,,incomplete,y,
2,96,BB_044,3,3.78,,Complete,y,
2,96,BB_200,1,,,DNE,,
2,97,BB_060,5,4.47,,complete,y,
2,97,BB_071,1,5.79,,Complete,y,
2,98,BB_086,3,2.68,,Complete,y,
2,98,BB_110,5,,,DNE,,
2,99,BB_035,5,15.01,,complete,y,
