Transect,Recipient,Fitness Plant_ID,Skeleton Weights (mg),Units,Notes,Chosen for Pulverization? (y/n),
3,AC_095,10,11.78,mg,complete,y,
3,AC_099,2,,,incomplete,n,
3,AC_099,8,,,incomplete,n,
3,AC_099,9,6.52,mg,complete,y,
3,AC_100,5,9.62,mg,complete,y,
3,AC_111,2,21.16,mg,complete,y,
3,AC_111,4,,,incomplete,n,
3,AC_111,10,,,incomplete,n,
3,AC_113,8,19.47,mg,complete,y,
3,AC_115,6,29.69,mg,complete,y,
3,AC_119,6,28.12,mg,complete,y,
3,AC_122,2,8.7,mg,complete,y,
3,AC_133,4,,,DNE,,
3,AC_147,9,21.19,mg,complete,y,
3,AC_154,3,6.73,mg,complete,y,
3,AC_155,4,37.14,mg,complete,y,
3,AC_160,2,44.98,mg,complete,y,
3,AC_179,5,5.43,mg,complete,y,
3,AC_187,2,,,incomplete,n,
3,AC_187,5,,,Incomplete,y,
3,AC_187,7,,,incomplete,n,
3,AC_188,4,4.26,mg,complete,y,
3,AC_192,10,10.88,mg,complete,y,
3,AC_197,4,,,incomplete,n,
3,AC_197,9,,,incomplete,n,
3,AC_197,10,34.32,mg,complete,y,
3,AC_201,8,8.61,mg,complete,y,
3,AC_208,3,,,incomplete,n,
3,AC_208,6,3.86,mg,complete,y,
3,AC_208,8,,,incomplete,n ,
3,AC_212,8,9.03,mg,complete,y,
3,AC_216,1,,,DNE,,
3,AC_216,5,46.91,mg,complete,y,
3,AC_216,10,,,DNE,,
3,AC_217,5,,,incomplete,n,
3,AC_217,6,1.62,mg,complete,y,
3,AC_217,10,,,incomplete,n,
4,AC_010,7,7.46,,complete,y,
4,AC_014,1,19.01,,complete,y,
4,AC_016,2,25.86,,complete,y,
4,AC_032,5,21.67,,complete,y,
4,AC_034,1,13.45,,complete,n,
4,AC_034,4,,,incomplete,n,
4,AC_034,7,24.45,,complete,y,
4,AC_040,2,34.34,,complete,y,
4,AC_040,7,,,DNE,,
4,AC_040,8,,,DNE,,
4,AC_046,8,19.14,,complete,y,
4,AC_055,1,89.18,,complete,n,
4,AC_055,2,164.44,,complete,y,
4,AC_055,3,97.97,,complete,n,
4,AC_058,4,93.5,,complete,y,
4,AC_058,7,,,DNE,,
4,AC_058,8,,,DNE,,
4,AC_070,4,4.94,,complete,n,
4,AC_070,5,25.71,,complete,y,
4,AC_070,7,4.94,,complete,n,
4,AC_072,2,66.39,,complete,y,
4,AC_083,3,8.13,,complete,y,
4,AC_088,6,34.72,,complete,y,
4,AC_092,2,,,Incomplete,y,
4,AC_109,2,,,DNE,,
4,AC_109,3,136.68,,Complete,n,
4,AC_109,6,150.96,,complete,y,
4,AC_113,8,,,DNE,,
4,AC_115,8,22.54,,complete,y,
4,AC_118,4,51.92,,complete,y,
4,AC_119,1,34.36,,complete,y,
4,AC_130,5,42.48,,complete,y,
4,AC_144,4,3.9,,complete,y,
4,AC_148,5,,,Incomplete,y,
4,AC_151,5,21.75,,complete,y,
4,AC_152,7,44.03,,complete,y,
4,AC_154,6,38.84,,complete,y,
4,AC_158,5,38.38,,complete,y,
4,AC_171,1,5.45,,complete,y,
4,AC_178,3,60.33,,complete,y,
4,AC_179,2,10.18,,complete,y,
4,AC_182,4,13.24,,complete,y,
4,AC_185,4,19.7,,complete,y,
4,AC_197,3,192.77,,complete,y,
4,AC_197,6,17.04,,complete,n,
4,AC_197,7,,,incomplete,n,
4,AC_203,9,,,DNE,,
4,AC_204,3,83.18,,complete,n,
4,AC_204,5,,,incomplete ,n,
4,AC_204,6,50.44,,complete,y,
4,AC_206,2,12.2,,complete,y,
4,AC_215,2,106.85,,complete,y,
5,AC_005,9,3.67,,complete,y,
5,AC_017,3,13.07,,complete,y,
5,AC_048,2,42.33,mg,complete,y,
5,AC_054,6,38.88,,complete,y,
5,AC_056,6,17.28,,complete,y,
5,AC_062,1,19.64,,complete,y,
5,AC_064,8,72.25,,complete,y,
5,AC_082,1,22.63,,complete,n,
5,AC_082,6,8.48,,complete,y,
5,AC_082,10,,,incomplete,n,
5,AC_086,4,5.09,,complete,y,
5,AC_089,6,3.76,,complete,y,
5,AC_090,3,19.03,,complete,y,
5,AC_096,1,7.19,,complete,y,
5,AC_097,4,,,incomplete,n,
5,AC_097,8,7.36,,complete,n,
5,AC_097,9,14.25,,complete,y,
5,AC_100,9,32.9,,complete,y,
5,AC_110,5,16.23,,complete,y,
5,AC_111,8,33.25,,complete,n,
5,AC_111,9,12.69,,complete,y,
5,AC_111,10,27.25,,complete,n,
5,AC_122,6,24.64,,complete,y,
5,AC_123,10,19.61,,complete,y,
5,AC_128,1,,,incomplete,y,
