Transect,Recipient,Plant_ID,Skeleton Weights,Units,Notes,Chosen for Pulverization? (y/n)
6,BO_127,5,8.79,,complete,n
6,BO_127,7,,,DNE,
6,BO_130,2,,,DNE,
6,BO_130,3,,,DNE,
6,BO_130,8,22.37,,complete,y
6,BO_131,5,182.99,,complete,y
6,BO_132,6,47.96,,complete,y
6,BO_137,2,47.75,,complete,y
6,BO_137,4,23.87,,complete,n
6,BO_137,7,,,incomplete,n
6,BO_139,8,21.12,,complete,y
6,BO_142,4,39.48,,complete,y
6,BO_142,7,12.8,,complete,n
6,BO_147,8,16.01,,complete,y
6,BO_151,3,47.56,,complete,n
6,BO_151,6,39.16,,complete,n
6,BO_151,8,15.44,,complete,y
6,BO_153,1,13.89,,complete,y
6,BO_157,6,59.17,,complete,y
6,BO_158,2,,,incomplete,y
6,BO_161,1,18.88,,complete,y
6,BO_174,1,11.83,,complete,y
6,BO_182,5,89.89,,complete,y
6,BO_182,7,63.5,,complete,n
6,BO_182,8,,,incomplete,n
6,BO_191,4,107.79,,complete,y
6,BO_200,8,,,incomplete,y
7,BO_159,1,17.92,,complete,y
7,BO_013,3,,,incomplete,y
7,BO_024,4,,,incomplete,y
7,BO_024,7,20.73,,complete,n
7,BO_024,8,20.93,,complete,n
7,BO_029,1,,,incomplete,y
7,BO_043,7,,,DNE,
7,BO_055,2,92.13,,complete,y
7,BO_067,2,13.25,,complete,y
7,BO_069,5,19.91,,complete,y
7,BO_072,7,7.04,,complete,y
7,BO_080,2,,,DNE,
7,BO_087,3,10.95,,complete,y
7,BO_094,1,79.65,,complete,y
7,BO_099,7,28.77,,complete,y
7,BO_104,2,,,incomplete,y
7,BO_105,6,20.18,,complete,y
7,BO_123,1,111.12,,complete,y
7,BO_124,7,26.27,,complete,y
7,BO_125,7,28.13,,complete,y
7,BO_135,3,8.06,,complete,y
7,BO_150,3,11.48,,complete,y
7,BO_155,8,47.89,,complete,y
7,BO_159,1,17.92,,complete,y
7,BO_159,7,,,incomplete,
7,BO_164,6,5.24,,complete,y
7,BO_166,1,56.59,,complete,y
7,BO_166,5,,,DNE,
7,BO_166,7,,,DNE,
7,BO_177,6,,,DNE,
7,BO_185,2,,,DNE,
7,BO_189,3,11.01,,complete,n
