Transect,Recipient,Plant_ID,Sample ID,Tube ID,Weight including capsule (mg),Sample weight (mg),Tray Name,Well ID,Type of Material,Analysis,Enriched
5,BO_108,1,BO_108-005-01,58,,,Nemo_2022_BO_1,,plant stem tissue,"13C, 15N",No
5,BO_114,8,BO_114-005-08,59,,,Nemo_2022_BO_1,,plant stem tissue,"13C, 15N",No
5,BO_115,2,BO_115-005-02,60,,,Nemo_2022_BO_1,,plant stem tissue,"13C, 15N",No
5,BO_118,8,BO_118-005-08,61,,,Nemo_2022_BO_1,,plant stem tissue,"13C, 15N",No
5,BO_121,7,BO_121-005-07,62,,,Nemo_2022_BO_1,,plant stem tissue,"13C, 15N",No
5,BO_149,3,BO_149-005-03,63,,,Nemo_2022_BO_1,,plant stem tissue,"13C, 15N",No
5,BO_171,1,BO_171-005-01,64,,,Nemo_2022_BO_1,,plant stem tissue,"13C, 15N",No
5,BO_195,4,BO_195-005-04,65,,,Nemo_2022_BO_1,,plant stem tissue,"13C, 15N",No
6,BO_008,7,BO_008-006-07,66,,,Nemo_2022_BO_1,,plant stem tissue,"13C, 15N",No
6,BO_025,7,BO_025-006-07,67,,,Nemo_2022_BO_1,,plant stem tissue,"13C, 15N",No
6,BO_032,4,BO_032-006-04,68,,,Nemo_2022_BO_1,,plant stem tissue,"13C, 15N",No
6,BO_052,2,BO_052-006-02,69,,,Nemo_2022_BO_1,,plant stem tissue,"13C, 15N",No
6,BO_056,8,BO_056-006-08,70,,,Nemo_2022_BO_1,,plant stem tissue,"13C, 15N",No
6,BO_061,3,BO_061-006-03,71,,,Nemo_2022_BO_1,,plant stem tissue,"13C, 15N",No
6,BO_070,5,BO_070-006-05,72,,,Nemo_2022_BO_1,,plant stem tissue,"13C, 15N",No
6,BO_078,4,BO_078-006-04,73,,,Nemo_2022_BO_1,,plant stem tissue,"13C, 15N",No
6,BO_090,1,BO_090-006-01,74,,,Nemo_2022_BO_1,,plant stem tissue,"13C, 15N",No
6,BO_118,1,BO_118-006-01,75,,,Nemo_2022_BO_1,,plant stem tissue,"13C, 15N",No
6,BO_120,7,BO_120-006-07,76,,,Nemo_2022_BO_1,,plant stem tissue,"13C, 15N",No
6,BO_127,2,BO_127-006-02,77,,,Nemo_2022_BO_1,,plant stem tissue,"13C, 15N",No
6,BO_130,8,BO_130-006-08,78,,,Nemo_2022_BO_1,,plant stem tissue,"13C, 15N",No
6,BO_131,5,BO_131-006-05,79,,,Nemo_2022_BO_1,,plant stem tissue,"13C, 15N",No
6,BO_132,6,BO_132-006-06,80,,,Nemo_2022_BO_1,,plant stem tissue,"13C, 15N",No
6,BO_137,2,BO_137-006-02,81,,,Nemo_2022_BO_1,,plant stem tissue,"13C, 15N",No
6,BO_139,8,BO_139-006-08,82,,,Nemo_2022_BO_1,,plant stem tissue,"13C, 15N",No
6,BO_142,4,BO_142-006-04,83,,,Nemo_2022_BO_1,,plant stem tissue,"13C, 15N",No
6,BO_147,8,BO_147-006-08,84,,,Nemo_2022_BO_1,,plant stem tissue,"13C, 15N",No
6,BO_151,8,BO_151-006-08,85,,,Nemo_2022_BO_1,,plant stem tissue,"13C, 15N",No
6,BO_153,1,BO_153-006-01,86,,,Nemo_2022_BO_1,,plant stem tissue,"13C, 15N",No
6,BO_157,6,BO_157-006-06,87,,,Nemo_2022_BO_1,,plant stem tissue,"13C, 15N",No
6,BO_158,2,BO_158-006-02,88,,,Nemo_2022_BO_1,,plant stem tissue,"13C, 15N",No
6,BO_161,1,BO_161-006-01,89,,,Nemo_2022_BO_1,,plant stem tissue,"13C, 15N",No
6,BO_174,1,BO_174-006-01,90,,,Nemo_2022_BO_1,,plant stem tissue,"13C, 15N",No
6,BO_182,5,BO_182-006-05,91,,,Nemo_2022_BO_1,,plant stem tissue,"13C, 15N",No
6,BO_191,4,BO_191-006-04,92,,,Nemo_2022_BO_1,,plant stem tissue,"13C, 15N",No
6,BO_200,8,BO_200-006-08,93,,,Nemo_2022_BO_1,,plant stem tissue,"13C, 15N",No
7,BO_159,1,BO_159-007-01,94,,,Nemo_2022_BO_1,,plant stem tissue,"13C, 15N",No
7,BO_013,3,BO_013-007-03,95,,,Nemo_2022_BO_1,,plant stem tissue,"13C, 15N",No
7,BO_024,4,BO_024-007-04,96,,,Nemo_2022_BO_1,,plant stem tissue,"13C, 15N",No
7,BO_029,1,BO_029-007-01,97,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
7,BO_055,2,BO_055-007-02,98,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
7,BO_067,2,BO_067-007-02,99,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
7,BO_069,5,BO_069-007-05,100,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
7,BO_072,7,BO_072-007-07,101,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
7,BO_087,3,BO_087-007-03,102,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
7,BO_094,1,BO_094-007-01,103,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
7,BO_099,7,BO_099-007-07,104,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
7,BO_104,2,BO_104-007-02,105,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
7,BO_105,6,BO_105-007-06,106,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
7,BO_123,1,BO_123-007-01,107,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
7,BO_124,7,BO_124-007-07,108,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
7,BO_125,7,BO_125-007-07,109,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
7,BO_135,3,BO_135-007-03,110,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
7,BO_150,3,BO_150-007-03,111,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
7,BO_155,8,BO_155-007-08,112,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
7,BO_159,1,BO_159-007-01,113,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
7,BO_164,6,BO_164-007-06,114,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
7,BO_166,1,BO_166-007-01,115,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
7,BO_189,4,BO_189-007-04,116,,,Nemo_2022_BO_2,,plant stem tissue,"13C, 15N",No
