Transect,Recipient,Plant_ID,Skeleton Weights (mg),Units,Notes,Chosen for Pulverization? (y/n),
3,HR_152,1,26.72,,"complete; Not listed in the fitness plant list but is certainly a fitness plant, changted to complete",y,
3,HR_155,7,143.3,,complete,y,
3,HR_156,5,123.06,,complete,y,
3,HR_159,3,60.64,,complete,y,
3,HR_166,4,20.79,,complete,y,
3,HR_168,4,43.86,,complete,y,
3,HR_174,7,11,,complete,y,
3,HR_179,7,79.25,,complete,y,
3,HR_181,5,48.16,,complete,y,
3,HR_182,3,60.77,,complete,y,
3,HR_184,2,,,complete; can't find,n,
3,HR_184,3,,,complete; can't find,n,
3,HR_184,6,52.87,,complete,y,
3,HR_190,4,60.74,,complete,y,
3,HR_192,1,24.54,,complete,y,
3,HR_193,6,104.28,,complete,y,
3,HR_197,3,20.25,,complete,y,
4,HR_004,3,6.06,,complete,y,
4,HR_005,8,35.1,,complete,y,
4,HR_007,7,22.95,,complete,y,
4,HR_011,4,24.56,,complete,y,
4,HR_012,1,,,DNE,n,
4,HR_017,2,64.75,,complete,n,
4,HR_017,3,59.4,,complete,y,
4,HR_017,6,19.19,,complete,n,
4,HR_034,7,28.4,,complete,y,
4,HR_035,8,,,incomplete,y,
4,HR_036,8,94.47,,complete,y,
4,HR_039,6,103.12,,complete,y,
4,HR_040,2,80.57,,complete,n,
4,HR_040,5,,,incomplete,y,
4,HR_040,8,,,incomplete,n,
4,HR_042,8,42.24,,complete,y,
4,HR_049,4,34.69,,complete,y,
4,HR_053,7,,,incomplete,y,
4,HR_058,2,,,incomplete,y,
4,HR_061,3,,,DNE,n,
4,HR_064,2,,,DNE,n,
4,HR_064,4,4.49,,complete,y,
4,HR_064,7,,,DNE,n,
4,HR_067,3,59.4,,complete,y,
4,HR_070,5,37.55,,complete,y,
4,HR_071,2,55.7,,complete,n,
4,HR_071,4,72.34,,complete,n,
4,HR_071,5,94.17,,complete,y,
4,HR_078,5,24.58,,complete,y,
4,HR_080,1,58.27,,complete,n,
4,HR_080,2,22.22,,complete,n,
4,HR_080,5,,,incomplete,y,
4,HR_083,4,26.78,,complete,y,
4,HR_085,5,,,DNE,n,
4,HR_107,7,177.62,,complete,y,
4,HR_108,2,46.75,,complete,y,
4,HR_118,1,14.41,,complete,y,
4,HR_126,8,85.78,,complete,y,
4,HR_136,3,,,DNE,n,
4,HR_139,6,23.95,,complete,y,
4,HR_141,4,25.34,,complete,y,
4,HR_145,1,8.03,,complete,n,
4,HR_145,3,,,incomplete,n,
4,HR_145,6,15.73,,complete,y,
4,HR_146,1,25.99,,complete,n,
4,HR_146,5,30.37,,complete,n,
4,HR_146,7,18.79,,complete,y,
4,HR_147,5,30.01,,complete,y,
4,HR_150,5,44.26,,complete,y,
4,HR_156,6,28.33,,complete,y,
4,HR_158,7,110.1,,complete,y,
4,HR_164,1,17.74,,complete,y,
4,HR_166,6,9.5,,complete,y,
4,HR_168,4,11.62,,complete,y,
4,HR_169,5,87.16,,complete,y,
4,HR_175,6,,,incomplete,y,
4,HR_184,2,22.4,,complete,n,
4,HR_184,6,18.35,,complete,n,
4,HR_184,8,24.72,,complete,y,
4,HR_192,6,,,incomplete,y,
4,HR_193,3,43.65,,complete,y,
4,HR_196,1,27.2,,complete,y,
5,HR_001,5,31.35,,complete,y,
5,HR_006,1,,,DNE,n,
5,HR_009,6,71.95,,complete,y,
5,HR_020,6,,,DNE,n,
5,HR_021,1,19.36,,complete,y,
5,HR_033,6,57.98,,complete,y,
5,HR_043,1,45.15,,complete,y,
5,HR_043,2,39.78,,complete,n,
5,HR_043,7,16.56,,complete,n,
5,HR_044,3,,,incomplete,n,
5,HR_044,5,,,DNE,n,
5,HR_044,6,7.67,,complete,y,
5,HR_046,4,,,DNE,n,
5,HR_047,5,,,DNE,n,
5,HR_050,6,292.99,,complete,y,
5,HR_054,5,5.63,,complete,y,
5,HR_056,3,,,incomplete,n,
5,HR_056,4,17.62,,complete,n,
5,HR_056,7,24.78,,complete,y,
5,HR_057,5,22.81,,complete,y,
5,HR_062,2,,,incomplete,y,
5,HR_065,4,33.07,,complete,y,
5,HR_066,3,28.82,,Complete,y,
5,HR_068,7,,,incomplete,y,
5,HR_072,6,24.96,,complete,y,
5,HR_073,5,38.86,,complete,y,
5,HR_086,3,,,incomplete,y,
5,HR_087,3,15.51,,complete,y,
5,HR_103,8,130.16,,complete,y,
5,HR_109,8,14.32,,complete,y,
5,HR_110,4,,,incomplete,y,
5,HR_119,1,39.2,,complete,y,
5,HR_119,2,18.44,,complete,n,
5,HR_119,7,55.6,,complete,n,
5,HR_123,6,21.31,,complete,y,
5,HR_124,6,13.72,,complete,y,
5,HR_127,1,37.83,,complete,y,
5,HR_131,2,,,DNE,n,
5,HR_133,5,,,DNE,n,
5,HR_134,8,,,DNE,n,
5,HR_142,2,16.43,,complete,n,
5,HR_142,5,49.08,,complete,n,
5,HR_142,6,9.2,,complete,y,
5,HR_152,7,,,DNE,n,
5,HR_153,1,,,DNE,n,
5,HR_162,1,12.63,,complete,n,
5,HR_162,2,10.35,,complete,n,
5,HR_162,6,22.14,,complete,y,
5,HR_165,5,40.57,,complete,y,
5,HR_170,4,23.29,,complete,y,
5,HR_176,6,28.87,,complete,y,
5,HR_177,6,38.67,,complete,y,
5,HR_180,2,36.59,,complete,n,
5,HR_180,4,,,incomplete,n,
5,HR_180,8,,,incomplete,y,
5,HR_181,6,52.27,,complete,y,
5,HR_183,3,,,DNE,n,
5,HR_197,1,12.01,,complete,y,
5,HR_201,6,,,incomplete,y,
6,HR_014,5,57.84,,complete,y,
6,HR_015,2,54.67,,complete,n,
6,HR_015,6,59.2,,complete,n,
6,HR_015,7,70.3,,complete,y,
6,HR_016,8,88.83,,complete,y,
6,HR_018,4,,,DNE,n,
6,HR_019,4,,,incomplete,y,
6,HR_023,3,36.5,,complete,y,
6,HR_025,3,34.12,,complete,y,
6,HR_026,2,41.32,,complete,y,
6,HR_027,5,104.14,,complete,y,
6,HR_028,1,,,incomplete,y,
6,HR_032,3,,,incomplete,y,
6,HR_037,6,,,DNE,n,
6,HR_038,7,,,DNE,n,
6,HR_041,6,77.11,,complete,y,
6,HR_051,6,12.89,,complete,y,
6,HR_059,4,32.49,,complete,y,
6,HR_059,3,43.06,,complete,n,
6,HR_059,8,,,DNE,n,
6,HR_079,1,66.66,,complete,y,
6,HR_088,2,23.19,,complete,y,
6,HR_092,3,27.56,,complete,y,
6,HR_095,6,36.86,,complete,y,
6,HR_101,1,176.21,,complete,n,
6,HR_101,2,128.04,,complete,n,
6,HR_101,4,171.61,,complete,y,
6,HR_104,2,19.74,,complete,y,
6,HR_105,1,146.72,,complete,y,
6,HR_111,4,38.03,,complete,y,
6,HR_112,1,111.63,,complete,y,
6,HR_112,7,,,DNE,n,
6,HR_112,8,,,DNE,n,
6,HR_113,5,46.36,,complete,y,
6,HR_114,7,26.67,,complete,y,
6,HR_115,6,2.06,,complete,y,
6,HR_116,3,,,incomplete,y,
6,HR_121,7,15.4,,complete,y,
6,HR_129,7,41.69,,complete,y,
6,HR_135,3,13.76,,complete,y,
6,HR_137,4,44.22,,complete,y,
6,HR_148,3,,,DNE,n,
6,HR_148,4,,,DNE,n,
6,HR_148,6,41.21,,complete,y,
6,HR_149,3,,,DNE,n,
6,HR_149,6,,,DNE,n,
6,HR_149,7,,,DNE,n,
6,HR_155,4,,,incomplete,y,
6,HR_159,4,38.99,,complete,y,
6,HR_161,7,29.94,,complete,y,
6,HR_174,7,,,incomplete,y,
6,HR_178,2,,,incomplete,y,
6,HR_179,6,50.28,,complete,y,
6,HR_182,6,13.04,,complete,y,
6,HR_190,4,23.01,,complete,y,
6,HR_195,5,17.65,,complete,y,
7,HR_001,5,64.85,,complete,y,
7,HR_005,3,,,DNE,n,
7,HR_010,1,,,incomplete,y,
7,HR_015,1,13.05,,complete,n,
7,HR_015,2,88.71,,complete,y,
7,HR_015,6,63.51,,complete,n,
7,HR_017,1,41.71,,complete,n,
7,HR_017,3,48.62,,complete,y,
7,HR_017,5,56.73,,complete,n,
7,HR_023,3,263.14,,complete,y,
7,HR_028,6,229.08,,complete,y,
7,HR_032,1,,,DNE,n,
7,HR_046,4,51.72,,complete,y,
7,HR_049,1,30.46,,complete,y,
7,HR_054,4,,,DNE,n,
7,HR_056,1,,,DNE,n,
7,HR_056,5,,,DNE,n,
7,HR_056,8,,,DNE,n,
7,HR_057,2,33.16,,complete,y,
7,HR_058,2,,,incomplete,y,
7,HR_059,4,5.51,,complete,n,
7,HR_059,5,256.04,,complete,n,
7,HR_059,7,146.17,,complete,y,
7,HR_061,3,51.97,,complete,y,
7,HR_065,1,53.49,,complete,y,
7,HR_067,5,33.68,,complete,y,
7,HR_070,2,230.01,,complete,y,
7,HR_078,3,80.38,,complete ,y,
7,HR_104,5,13.43,,complete,y,
7,HR_112,2,,,DNE,n,
7,HR_112,3,66.09,,complete ,y,
7,HR_112,4,15.83,,complete,n,
7,HR_114,3,49.2,,complete,y,
7,HR_124,8,30.5,,complete,y,
7,HR_127,2,40.84,,complete,y,
7,HR_131,1,129.75,,complete,y,
7,HR_134,5,,,DNE,n,
7,HR_136,2,50.95,,complete,y,
7,HR_137,5,73.92,,complete,y,
7,HR_142,5,102.35,,complete,y,
7,HR_142,7,134.07,,complete,n,
7,HR_142,8,135.81,,complete,n,
7,HR_147,2,,,DNE,n,
7,HR_148,1,22.48,,complete,n,
7,HR_148,4,,,DNE,n,
7,HR_148,7,36.26,,complete,y,
7,HR_152,2,,,incomplete,y,
7,HR_155,1,84.68,,complete,y,
7,HR_156,7,64.63,,complete,y,
7,HR_161,4,13.27,,complete,y,
7,HR_165,3,35.06,,complete,y,
7,HR_173,3,63.07,,complete,y,
7,HR_175,7,73.08,,complete,y,
7,HR_179,5,43.99,,complete ,y,
7,HR_180,4,,,DNE,n,
7,HR_180,5,,,DNE,n,
7,HR_180,8,,,DNE,n,
7,HR_182,7,,,incomplete,y,
7,HR_183,1,23.08,,complete,y,
7,HR_184,4,79.2,,complete,n,
7,HR_184,6,132.21,,complete,y,
7,HR_184,7,,,DNE,n,
7,HR_192,1,97.34,,complete,y,
7,HR_201,4,49.18,,complete,y,
8,HR_006,1,10.4,,complete,y,
8,HR_007,3,13.24,,complete,y,
8,HR_012,1,91.74,,complete,y,
8,HR_014,1,,,incomplete,y,
8,HR_018,6,58.61,,complete,y,
8,HR_019,3,,,incomplete,y,
8,HR_020,7,,,incomplete,y,
8,HR_025,2,5.29,,complete,y,
8,HR_026,2,60.32,,complete,y,
8,HR_033,7,,,incomplete,y,
8,HR_034,6,37.26,,complete,y,
8,HR_040,2,16.41,,complete,n,
8,HR_040,4,,,incomplete,n,
8,HR_040,8,108.76,,complete,y,
8,HR_041,6,93.16,,complete,y,
8,HR_042,8,92.52,,complete,y,
8,HR_051,8,53.79,,complete,y,
8,HR_064,1,33.18,,complete,y,
8,HR_064,3,56.39,,complete,n,
8,HR_064,8,21.28,,complete,n,
8,HR_068,7,57.35,,complete,y,
8,HR_071,1,17.85,,complete,n,
8,HR_071,3,22.53,,complete,y,
8,HR_071,5,44.62,,complete,n,
8,HR_072,5,34.63,,complete,y,
8,HR_072,6,39.66,,complete,n,
8,HR_079,8,11.67,,complete,y,
8,HR_083,5,,,incomplete,y,
8,HR_088,5,139.18,,complete,y,
8,HR_092,2,22.44,,complete,y,
8,HR_109,3,23.4,,complete,y,
8,HR_110,1,16,,complete,y,
8,HR_111,1,78.72,,complete,y,
8,HR_115,6,,,DNE,n,
8,HR_116,7,,,DNE,n,
8,HR_119,3,,,DNE,n,
8,HR_119,5,27.41,,complete,y,
8,HR_119,6,,,DNE,n,
8,HR_121,1,,,DNE,n,
