Block,Transect,Recipient,Plant_ID,Leaf area (mm^2),Area notes,Dry weight (mg),Weight notes
2,6,BO_157,NA,,,,
2,6,BO_158,4,38.091,brightmax: 220,,
2,6,BO_161,3,26.736,brightmax: 220,,
2,6,BO_174,NA,,,,
2,6,BO_182,7,11.368,brightmax: 222,,
2,6,BO_191,NA,,,,
2,6,BO_200,5,41.954,brightmax; 195,,
2,7,BO_013,7,20.185,brightmax: 176,,
2,7,BO_024,7,24.834,brightmax; 156,,
2,7,BO_029,NA,,,,
2,7,BO_043,NA,,,,
2,7,BO_055,1,15.098,brightmax: 178,,
2,7,BO_067,8,18.594,brightmax: 165,,
2,7,BO_069,NA,,,,
2,7,BO_072,5,38.493,brightmax: 187,,
2,7,BO_080,NA,,,,
2,7,BO_087,7,40.97,brightmax: 160,,
2,7,BO_094,4,19.881,brightmax: 185,,
2,7,BO_099,5,46.87,brightmax: 151,,
2,7,BO_104,NA,,,,
2,7,BO_105,5,25.922,brightmax: 145,,
2,7,BO_123,3,58.799,brightmax: 197,,
2,7,BO_124,8,55.489,brightmax: 143,,
2,7,BO_125,4,23.846,brightmax: 174,,
2,7,BO_135,8,24.348,brightmax: 176,,
2,7,BO_150,4,24.112,brightmax: 187,,
2,7,BO_155,NA,,,,
2,7,BO_159,7,35.242,brightmax: 162,,
2,7,BO_164,4,33.858,brightmax: 191,,
2,7,BO_166,6,21.487,brightmax: 192,,
2,7,BO_177,3,30.637,brightmax: 187,,
2,7,BO_185,NA,,,,
2,7,BO_189,2,29.332,brightmax: 168,,
2,8,BO_004,NA,,,,
2,8,BO_009,NA,,,,
2,8,BO_015,6,88.455,brightmax: 192,,
2,8,BO_018,NA,,,,
2,8,BO_019,8,16.96,brightmax: 176,,
2,8,BO_021,4,36.877,brightmax: 184,,
2,8,BO_021,5,44.776,brightmax: 151,,
2,8,BO_034,6,33.659,brightmax: 143,,
2,8,BO_037,1,30.166,brightmax: 198,,
2,8,BO_048,7,18.084,brightmax: 180,,
2,8,BO_048,4,71.503,"brightmax: 185, alt method",,
2,8,BO_054,5,18.543,brightmax: 159,,
2,8,BO_066,2,8.621,brightmax: 186,,
2,8,BO_088,2,30.162,brightmax: 172,,
2,8,BO_091,5,41.01,brightmax: 197,,
2,8,BO_100,8,22.08,brightmax:190,,
2,8,BO_102,NA,,,,
2,8,BO_116,NA,,,,
2,8,BO_126,7,33.278,brightmax: 193,,
2,8,BO_126,8,46.62,brightmax: 169 [BO_126 has a plt 8 image but is not included in the data sheet. This row is manually added. (BY)],,
2,8,BO_134,8,21.31,brightmax:193,,
2,8,BO_143,NA,,,,
2,8,BO_144,NA,,,,
2,8,BO_148,7,34.745,brightmax: 187,,
2,8,BO_152,8,32.417,brightmax: 187,,
2,8,BO_152,7,38.451,brightmax: 200,,
2,8,BO_154,1,42.968,brightmax: 180,,
2,8,BO_167,NA,,,,
2,8,BO_169,3,87.173,brightmax: 190,,
2,8,BO_175,1,82.761,brightmax: 177,,
2,8,BO_176,NA,,,,
2,8,BO_178,NA,,,,
2,8,BO_180,6,19.341,brightmax: 165,,
2,8,BO_184,7,14.3756,brightmax: 175,,
2,8,BO_190,1,20.139,brightmax: 157,,
2,8,BO_201,1,20.758,brightmax: 145,,
3,9,BO_004,NA,,,,
3,9,BO_021,NA,,,,
3,9,BO_024,2,26.283,brightmax: 196,,
3,9,BO_034,8,40.855,brightmax: 199,,
3,9,BO_053,8,67.365,brightmax:220,,
3,9,BO_070,7,31.478,brightmax: 191,,
3,9,BO_072,4,13.358,brightmax: 178,,
3,9,BO_088,2,17.068,brightmax: 174,,
3,9,BO_090,NA,,,,
3,9,BO_094,8,13.012,brightmax: 222,,
3,9,BO_095,NA,,,,
3,9,BO_102,NA,,,,
3,9,BO_106,5,25.021,brightmax: 213,,
3,9,BO_116,6,5.156,brightmax: 213,,
3,9,BO_123,6,32.209,brightmax: 181,,
3,9,BO_124,NA,,,,
3,9,BO_125,1,19.262,brightmax: 213,,
3,9,BO_131,1,20.212,brightmax: 219,,
3,9,BO_135,1,75.901,brightmax: 222 (alt method b/c leaves touching),,
3,9,BO_143,1,25.719,brightmax: 180,,
3,9,BO_146,8,15.838,brightmax: 195,,
3,9,BO_148,1,34.7,brightmax: 224 (alt method b/c leaves touching),,
3,9,BO_154,1,23.354,brightmax: 189,,
3,9,BO_155,8,26.999,brightmax: 192,,
3,9,BO_174,1,50.119,brightmax: 225,,
3,9,BO_199,NA,,,,
3,10,BO_018,2,62.527,brightmax: 222 (alt method),,
3,10,BO_027,5,67.962,brightmax: 178,,
3,10,BO_028,7,19.417,brightmax: 194,,
3,10,BO_031,7,15.481,brightmax: 207,,
3,10,BO_043,6,24.737,brightmax:214 (alt method),,
3,10,BO_044,1,12.482,brightmax: 194,,
3,10,BO_045,2,63.76,brightmax:228 (alt method),,
3,10,BO_052,5,52.625,brightmax: 207,,
3,10,BO_054,6,34.926,brightmax: 205,,
3,10,BO_055,2,12.52,brightmax: 197,,
3,10,BO_056,8,28.97,brightmax: 210,,
3,10,BO_063,NA,,,,
3,10,BO_078,NA,,,,
3,10,BO_080,NA,,,,
3,10,BO_085,1,24.138,brightmax: 181,,
3,10,BO_089,7,60.297,brightmax: 224,,
3,10,BO_091,5,39.177,"brightmax: 209 (leaf broken, alt method)",,
3,10,BO_098,4,38.796,brightmax: 225,,
3,10,BO_121,3,14.518,brightmax: 216 (looks like the leaf overlaps a bit),,
3,10,BO_126,8,28.753,brightmax: 196,,
3,10,BO_126,3,39.343,brightmax: 205,,
3,10,BO_127,1,7.665,brightmaax: 206,,
3,10,BO_140,NA,,,,
3,10,BO_142,NA,,,,
3,10,BO_145,3,13.839,brightmax: 222,,
3,10,BO_149,8,48.064,brightmax: 216,,
3,10,BO_157,NA,,,,
3,10,BO_161,4,42.145,brightmax: 207,,
3,10,BO_169,2,34.256,"brightmax: 199 (alt method, touching leaves)",,
3,10,BO_171,7,21.016,brightmax: 202 (alt method),,
3,10,BO_178,NA,,,,
