Block,Transect,Recipient,Plant_ID,Leaf area (mm^2),Area notes,Dry weight (mg),Weight notes
1,1,BO_004,NA,,,,
1,1,BO_008,NA,,,,
1,1,BO_012,2,144.457,brightmax: 202,11.90,
1,1,BO_019,NA,,,,
1,1,BO_021,NA,,,,
1,1,BO_024,NA,,,,
1,1,BO_029,NA,,,,
1,1,BO_045,NA,,,,
1,1,BO_047,NA,,,,
1,1,BO_048,NA,,,,
1,1,BO_060,NA,,,,
1,1,BO_066,NA,,,,
1,1,BO_080,NA,,,,
1,1,BO_082,NA,,,,
1,1,BO_094,NA,,,,
1,1,BO_098,NA,,,,
1,1,BO_099,NA,,,,
1,1,BO_104,NA,,,,
1,1,BO_115,4,49.162,brightmax: 201,2.95,
1,1,BO_117,NA,,,,
1,1,BO_118,2,31.08,brightmax: 199,2.23,
1,1,BO_120,NA,,,,
1,1,BO_121,NA,,,,
1,1,BO_127,NA,,,,
1,1,BO_130,NA,,,,
1,1,BO_137,NA,,,,
1,1,BO_139,NA,,,,
1,1,BO_141,1,132.948,brightmax: 239 (High b/c of dark spots/discoloration),5.24,
1,1,BO_149,NA,,,,
1,1,BO_155,NA,,,,
1,1,BO_166,2,48.87,brightmax: 196,2.46,
1,1,BO_175,NA,,,,
1,1,BO_176,4,20.14,brightmax: 207,1.48,
1,1,BO_178,4,43.308,brightmax: 185 (alt method b/c leaves overlap),4.24,
1,1,BO_182,NA,,,,
1,1,BO_185,NA,,,,
1,1,BO_191,1,67.684,brightmax: 193,4.40,
1,2,BO_017,4,49.304,brightmax: 195,3.13,
1,2,BO_050,NA,,,,
1,2,BO_051,NA,,,,
1,2,BO_052,NA,,,,
1,2,BO_055,8,38.016,brightmax: 174,2.51,
1,2,BO_056,NA,,,,
1,2,BO_061,4,79.698,"brightmax: 216, alt method",6.50,
1,2,BO_063,7,46.521,"211, alt method",3.10,
1,2,BO_071,3,109.334,217,7.91,
1,2,BO_072,1,61.945,brightmax: 204,4.61,
1,2,BO_078,NA,,,,
1,2,BO_086,NA,,,,
1,2,BO_089,1,92.749,brightmax: 223,6.76,
1,2,BO_095,7,95.638,"brightmax: 243, alt method",7.08,
1,2,BO_106,NA,,,,
1,2,BO_111,NA,,,,
1,2,BO_125,NA,,,,
1,2,BO_132,4,58.761,"brightmax: 194, alt method",4.29,
1,2,BO_152,NA,,,,
1,2,BO_154,4,82.556,brightmax: 230,5.21,
1,2,BO_159,NA,,,,
1,2,BO_164,6,25.691,brightmax: 236,1.8,
1,2,BO_174,1,47.298,brightmax: 215,3.2,
1,2,BO_189,NA,,,,
1,2,BO_198,NA,,,,
1,2,BO_199,NA,,,,
1,2,BO_200,NA,,,,
1,3,BO_001,1,84.915,brightmax: 218 (alt method),5.79,
1,3,BO_025,NA,,,,
1,3,BO_028,NA,,,,
1,3,BO_054,NA,,,,
1,3,BO_069,4,24.729,brightmax: 194,1.83,
1,3,BO_088,NA,,,,
1,3,BO_100,NA,,,,
1,3,BO_116,5,18.232,brightmax: 204,1.34,
1,3,BO_123,1,13.708,brightmax: 227,0.87,
1,3,BO_126,6,27.911,brightmax: 203,2.18,
1,3,BO_134,NA,,,,
1,3,BO_140,NA,,,,
1,3,BO_142,8,39.433,brightmax: 197,3.81,
1,3,BO_145,NA,,,,
1,3,BO_146,NA,,,,
1,3,BO_150,8,55.099,brightmax: 236,3.27,
1,3,BO_151,NA,,,,
1,3,BO_158,NA,,,,
1,3,BO_169,NA,,,,
1,3,BO_171,2,26.422,brightmax: 212,1.92,
1,3,BO_201,NA,,,,
1,4,BO_014,NA,,,,
1,4,BO_015,NA,,,,
1,4,BO_020,NA,,,,
1,4,BO_046,NA,,,,
1,4,BO_090,NA,,,,
1,4,BO_131,NA,,,,
1,4,BO_144,NA,,,,
1,4,BO_147,NA,,,,
1,4,BO_161,NA,,,,
1,4,BO_167,NA,,,,
1,4,BO_184,NA,,,,
1,4,BO_195,NA,,,,
2,5,BO_001,3,15.644,brightmax: 198,1.25,
2,5,BO_012,1,13.653,brightmax: 209,1.02,
2,5,BO_014,5,19.408,brightmax: 204,1.64,
2,5,BO_017,1,49.23,"Originally entered as plant 4 in the data sheet, corrected to plant 1 brightmax: 202",5.17,
2,5,BO_020,4,35.51,brightmax: 216,2.61,
2,5,BO_022,NA,,,,
2,5,BO_028,NA,,,,
2,5,BO_031,NA,,,,
2,5,BO_045,NA,,,,
2,5,BO_047,NA,,,,
2,5,BO_051,NA,,,,
2,5,BO_060,2,40.405,brightmax: 230,2.03,
2,5,BO_063,7,17.268,brightmax: 214,1.1,
2,5,BO_071,NA,,,,
2,5,BO_079,7,25.622,brightmax: 213,1.74,
2,5,BO_082,5,34.893,brightmax: 198,2.6,
2,5,BO_085,NA,,,,
2,5,BO_086,NA,,,,
2,5,BO_089,NA,,,,
2,5,BO_095,4,90.877,brightmax alt; 229,6.05,
2,5,BO_098,7,20.235,brightmax: 225,0.97,
2,5,BO_108,7,61.168,brightmax alt; 192,4.78,
2,5,BO_114,NA,,,,
2,5,BO_115,7,74.359,brightmax alt; 233,6.13,
