Block,Location,Recipient,Plant_ID,Leaf area (mm^2),Area notes,Dry weight (mg),Weight notes
1,1,BB_170,8,165.928,brightmax: 186 (alt method used),5.85,
1,1,BB_206,8,36.884,brightmax:177,1.19,
1,2,BB_085,5,59.081,brightmax: 200 (alt method used b/c leaves touching),4.93,
1,2,BB_085,8,35.389,brightmax: 180 (alt method used b/c leaves touching),2.41,
1,2,BB_179,7,25.267,brightmax: 146,1.79,
1,3,BB_003,2,22.503,brightmax: 192,1.19,
1,3,BB_010,NA,,the jpeg is absent,,
1,3,BB_109,NA,,the jpeg is absent,,
1,3,BB_154,1,116.131,brightmax: 202 (alt method b/c leaves touching),7.35,
1,4,BB_143,7,95.732,brightmax: 209 (alt). Plant line originally missing,7.52,
1,4,BB_143,8,65.635,brightmax: 171,7.65,
1,4,BB_161,4,82.185,brightmax: 178,5.85,
1,4,BB_214,3,81.728,brightmax: 135,7.13,
1,5,BB_013,7,153.347,brightmax: 177,7.37,
1,5,BB_020,3,12.94,brightmax: 176,1.21,
1,5,BB_020,7,56.009,brightmax: 189 (alt method b/c leaves touching),2.64,
1,5,BB_069,8,28.351,brightmax:150,1.28,
1,5,BB_114,8,41.034,brightmax: 197,2.49,
1,6,BB_104,NA,,the jpeg is absent,,
1,6,BB_193,6,71.774,brightmax: 143,7.09,
1,6,BB_195,6,75.958,brightmax: 199,6.43,
1,7,BB_027,NA,,the jpeg is absent,,
1,7,BB_186,NA,,the jpeg is absent,,
1,7,BB_201,NA,,the jpeg is absent,,
1,8,BB_137,7,87.182,brightmax:186,1.49,
1,8,BB_137,5,37.995,brightmax:176 (Area measured - previously not measured),6.31,
1,8,BB_207,NA,,the jpeg is absent,,
1,8,BB_218,NA,,the jpeg is absent,,
1,9,BB_009,NA,,the jpeg is absent,,
1,9,BB_017,5,31.124,brightmax:178,2.37,
1,9,BB_189,3,76.777,brightmax: 187,4.29,
1,10,BB_021,5,58.285,brightmax: 179,5.5,
1,10,BB_032,NA,,the jpeg is absent,,
1,10,BB_058,4,136.06,brightmax: 185,10.74,
1,10,BB_187,7,41.426,brightmax: 195,1.43,
1,10,BB_187,5,22.563,brightmax: 194,0.9,
1,11,BB_060,NA,,the jpeg is absent,,
1,11,BB_093,5,32.423,brightmax: 186,2.04,
1,12,BB_018,NA,,the jpeg is absent,,
1,12,BB_068,NA,,the jpeg is absent,,
1,13,BB_029,6,60.499,brightmax: 196,4.71,
1,13,BB_045,5,77.091,brightmax: 195,4.27,
1,13,BB_131,3,31.052,brightmax: 189,2.65,
1,14,BB_083,8,115.951,brightmax: 198,6.25,
