Block,Location,Recipient,Plant_ID,Leaf area (mm^2),Area notes,Dry weight (mg),Weight notes
1,43,BB_087,6,29.327,EXCLUDE. Leaf too folded. brightmax: 161.>5% of the leaf area is folded over itself,,
1,44,BB_040,NA,,,,
1,44,BB_152,NA,,,,
1,44,BB_208,NA,,,,
1,45,BB_074,6,84.521,brightmax: 129,,
1,45,BB_192,NA,,,,
1,46,BB_024,8,57.027,brightmax: 189,,
1,46,BB_153,4,22.08,brightmax: 177,,
1,47,BB_030,8,55.781,EXCLUDE. Leaf collection envelope not found. brightmax: 190,,
1,47,BB_031,7,41.233,brightmax: 174,,
1,47,BB_049,NA,,,,
1,48,BB_157,7,33.015,brightmax: 195,,
1,49,BB_088,NA,,,,
1,49,BB_119,4,104.336,brightmax: 203,,
W,50,BB_049,5,72.339,brightmax: 192,,
W,50,BB_049,7,38.05,brightmax: 145,,
W,50,BB_143,NA,,,,
W,50,BB_161,NA,,,,
1,51,BB_080,NA,,,,
1,51,BB_140,NA,,,,
1,51,BB_158,NA,,,,
1,52,BB_016,NA,,,,
1,52,BB_051,NA,,,,
1,52,BB_216,NA,,,,
1,53,BB_056,NA,,,,
1,53,BB_078,4,62.923,brightmax: 181,,
1,53,BB_118,7,31.406,brightmax:170,,
1,53,BB_118,5,52.425,brightmax:195,,
1,54,BB_042,4,29.547,brightmax: 170,,
1,54,BB_120,NA,,,,
1,55,BB_086,2,26.687,brightmax: 149,,
2,56,BB_016,7,52.126,brightmax: 182,,
2,57,BB_092,NA,,,,
2,57,BB_111,8,84.276,brightmax: 187,,
2,57,BB_120,6,60.561,brightmax: 176,,
2,58,BB_050,5,108.616,brightmax: 194,,
2,58,BB_127,NA,,,,
2,58,BB_153,NA,,,,
2,59,BB_056,NA,,,,
2,59,BB_133,4,15.684,brightmax: 167,,
2,59,BB_143,NA,,,,
W,60,BB_051,NA,,,,
W,60,BB_085,NA,,,,
W,60,BB_152,NA,,,,
2,61,BB_078,NA,,,,
2,61,BB_147,NA,,,,
2,62,BB_061,NA,,,,
2,62,BB_214,NA,,,,
2,63,BB_083,NA,,,,
2,63,BB_114,NA,,,,
2,63,BB_171,NA,,,,
2,64,BB_051,NA,,,,
2,65,BB_052,NA,,,,
2,65,BB_150,NA,,,,
2,67,BB_164,NA,,,,
2,68,BB_218,NA,,,,
2,69,BB_081,NA,,,,
2,69,BB_199,4,19.817,brightmax: 174,,
W,70,BB_020,NA,,,,
W,70,BB_061,NA,,,,
W,70,BB_105,NA,,,,
2,71,BB_008,NA,,,,
2,71,BB_146,NA,,,,
2,71,BB_210,NA,,,,
2,72,BB_068,7,12.474,brightmax: 197,,
2,72,BB_119,NA,,,,
2,72,BB_195,NA,,,,
2,73,BB_024,NA,,,,
2,73,BB_045,NA,,,,
2,73,BB_216,NA,,,,
2,74,BB_064,NA,,,,
2,74,BB_157,NA,,,,
2,75,BB_031,NA,,,,
2,75,BB_095,NA,,,,
2,76,BB_053,NA,,,,
2,76,BB_161,NA,,,,
2,77,BB_032,NA,,,,
2,77,BB_104,NA,,,,
2,77,BB_151,NA,,,,
2,78,BB_009,NA,,,,
2,78,BB_209,NA,,,,
2,79,BB_072,NA,,,,
2,79,BB_076,NA,,,,
2,79,BB_105,NA,,,,
2,80,BB_019,NA,,,,
2,80,BB_145,NA,,,,
