Sequence,Transect,SegPos,Gen,Donor,Recipient,Fit_plant
73,3,1L,G1,AC_061,AC_052,3
73,3,1R,G2,AC_047,AC_113,2
74,3,2L,G1,AC_071,AC_215,1
74,3,2R,G1,AC_125,AC_038,3
75,3,3L,G2,AC_068,AC_089,3
75,3,3R,G1,AC_015,AC_190,2
76,3,4L,G2,AC_015,AC_197,2
76,3,4R,G1,AC_089,AC_057,1
77,3,5L,G2,AC_015,AC_197,1
77,3,5R,G1,AC_168,AC_159,
78,3,6L,G1,AC_207,AC_082,4
78,3,6R,G2,AC_045,AC_096,2
79,3,7L,G1,AC_216,AC_099,5
79,3,7R,G2,AC_103,AC_154,3
80,3,8L,G1,AC_168,AC_010,1
80,3,8R,G2,AC_096,AC_181,3
81,3,9L,G1,AC_156,AC_005,1
81,3,9R,G1,AC_007,AC_187,1
82,3,10L,G1,AC_159,AC_094,3
82,3,10R,G2,AC_015,AC_190,4
83,3,11L,G2,AC_039,AC_148,2
83,3,11R,G1,AC_045,AC_096,1
84,3,12L,G2,AC_008,AC_068,5
84,3,12R,G1,AC_089,AC_057,4
85,3,13L,G2,AC_097,AC_064,5
85,3,13R,G2,AC_124,AC_100,3
86,3,14L,G2,AC_169,AC_075,3
86,3,14R,G2,AC_170,AC_185,2
87,3,15L,G1,AC_052,AC_212,
87,3,15R,G2,AC_161,AC_088,1
88,3,16L,G2,AC_179,AC_114,3
88,3,16R,G1,AC_103,AC_144,5
89,3,17L,G1,AC_002,AC_122,2
89,3,17R,G1,AC_168,AC_159,3
90,3,18L,G2,AC_008,AC_068,5
90,3,18R,G1,AC_097,AC_064,4
91,3,19L,G1,AC_071,AC_215,2
91,3,19R,G2,AC_216,AC_099,5
92,3,20L,G1,AC_156,AC_016,5
92,3,20R,G1,AC_125,AC_038,4
93,3,21L,G1,AC_071,AC_215,2
93,3,21R,G1,AC_165,AC_199,5
94,3,22L,G2,AC_165,AC_206,1
94,3,22R,G1,AC_015,AC_190,1
95,3,23L,G2,AC_125,AC_038,4
95,3,23R,G1,AC_165,AC_199,1
96,3,24L,G1,AC_089,AC_032,5
96,3,24R,G1,AC_177,AC_211,5
97,3,25L,G1,AC_096,AC_181,5
97,3,25R,G1,AC_160,AC_186,4
98,3,26L,G1,AC_054,AC_046,4
98,3,26R,G1,AC_156,AC_016,4
99,3,27L,G1,AC_179,AC_136,2
99,3,27R,G2,AC_195,AC_179,5
100,3,28L,G2,AC_007,AC_081,2
100,3,28R,G2,AC_052,AC_212,
101,3,29L,G1,AC_102,AC_191,2
101,3,29R,G2,AC_161,AC_213,2
102,3,30L,G2,AC_103,AC_144,5
102,3,30R,G2,AC_103,AC_154,3
103,3,31L,G2,AC_160,AC_015,2
103,3,31R,G2,AC_179,AC_171,3
104,3,32L,G1,AC_198,AC_051,5
104,3,32R,G1,AC_015,AC_197,4
105,3,33L,G2,AC_216,AC_058,5
105,3,33R,G1,AC_172,AC_111,4
106,3,34L,G2,AC_054,AC_119,
106,3,34R,G1,AC_015,AC_190,5
107,3,35L,G2,AC_216,AC_034,3
107,3,35R,G2,AC_096,AC_074,4
108,4,1L,G2,AC_172,AC_111,3
108,4,1R,G2,AC_007,AC_187,4
109,4,2L,G2,AC_054,AC_046,3
