Location,Sequence,SegPos,Gen,Donor,Recipient,Fit_plant,latitude,longitude
17,49,49L,G1,BB_217,BB_205A,4,38.31486,-123.06934
17,49,49R,G2,BB_169,BB_076,2,38.31486,-123.06934
17,50,50L,G1,BB_107,BB_151,4,38.31486,-123.06934
17,50,50R,G2,BB_130,BB_120,1,38.31486,-123.06934
17,51,51L,G1,BB_066,BB_052,1,38.31486,-123.06934
17,51,51R,G1,BB_194,BB_159,2,38.31486,-123.06934
18,52,52L,G1,BB_188,BB_171,3,38.31483,-123.06932
18,52,52R,G1,BB_100,BB_031,1,38.31483,-123.06932
18,53,53L,G1,BB_051,BB_118,1,38.31483,-123.06932
18,53,53R,G2,BB_141,BB_037,3,38.31483,-123.06932
18,54,54L,G2,BB_055,BB_145,4,38.31483,-123.06932
18,54,54R,G1,BB_001,BB_074,4,38.31483,-123.06932
19,55,55L,G1,BB_108,BB_097,3,38.3148,-123.06935
19,55,55R,G2,BB_202,BB_018,4,38.3148,-123.06935
19,56,56L,G1,BB_075,BB_079,3,38.3148,-123.06935
19,56,56R,G1,BB_171,BB_157,,38.3148,-123.06935
19,57,57L,G2,BB_057,BB_200,,38.3148,-123.06935
19,57,57R,G2,BB_028,BB_083,,38.3148,-123.06935
20,58,58L,G1,BB_175,BB_104,3,38.31482,-123.06939
20,58,58R,G1,BB_014,BB_185,4,38.31482,-123.06939
20,59,59L,G2,BB_202,BB_018,1,38.31482,-123.06939
20,59,59R,G1,BB_125,BB_051,3,38.31482,-123.06939
20,60,60L,G2,BB_168,BB_046,2,38.31482,-123.06939
20,60,60R,G1,BB_141,BB_003,2,38.31482,-123.06939
21,61,61L,G2,BB_026,BB_153,5,38.3148,-123.0694
21,61,61R,G2,BB_167,BB_114,1,38.3148,-123.0694
21,62,62L,G1,BB_001,BB_043,5,38.3148,-123.0694
21,62,62R,G2,BB_142,BB_093,4,38.3148,-123.0694
21,63,63L,G1,BB_130,BB_120,,38.3148,-123.0694
21,63,63R,G1,BB_057,BB_121,1,38.3148,-123.0694
22,64,64L,G2,BB_169,BB_076,2,38.3148,-123.06955
22,64,64R,G1,BB_198,BB_035,,38.3148,-123.06955
22,65,65L,G1,BB_005,BB_195,,38.3148,-123.06955
22,65,65R,G1,BB_213,BB_147,3,38.3148,-123.06955
22,66,66L,G2,BB_169,BB_160,2,38.3148,-123.06955
22,66,66R,G1,BB_198,BB_035,5,38.3148,-123.06955
23,67,67L,G1,BB_066,BB_019,4,38.31483,-123.06957
23,67,67R,G2,BB_023,BB_206,1,38.31483,-123.06957
23,68,68L,G1,BB_099,BB_061,3,38.31483,-123.06957
23,68,68R,G1,BB_051,BB_105,3,38.31483,-123.06957
23,69,69L,G1,BB_169,BB_076,2,38.31483,-123.06957
23,69,69R,G2,BB_023,BB_078,1,38.31483,-123.06957
24,70,70L,G1,BB_176,BB_017,4,38.31481,-123.06961
24,70,70R,G2,BB_188,BB_171,2,38.31481,-123.06961
24,71,71L,G2,BB_028,BB_109,5,38.31481,-123.06961
24,71,71R,G1,BB_197,BB_199,1,38.31481,-123.06961
24,72,72L,G1,BB_073,BB_084,2,38.31481,-123.06961
24,72,72R,G1,BB_194,BB_214,2,38.31481,-123.06961
25,73,73L,G1,BB_175,BB_172,4,38.31482,-123.06959
25,73,73R,G2,BB_057,BB_121,2,38.31482,-123.06959
25,74,74L,G1,BB_174,BB_002,5,38.31482,-123.06959
25,74,74R,G2,BB_026,BB_153,3,38.31482,-123.06959
25,75,75L,G1,BB_026,BB_153,3,38.31482,-123.06959
25,75,75R,G2,BB_091,BB_098,3,38.31482,-123.06959
26,76,76L,G2,BB_176,BB_017,5,38.3149,-123.06961
