Sequence,Transect,SegPos,Gen,Donor,Recipient,Fit_plant
75,3,4L,G2,BO_119,BO_013,
75,3,4R,G1,BO_130,BO_174,2
76,3,5L,G1,BO_153,BO_177,5
76,3,5R,G1,BO_189,BO_086,5
77,3,6L,G1,BO_065,BO_078,
77,3,6R,G1,BO_170,BO_111,4
78,3,7L,G2,BO_128,BO_060,
78,3,7R,G1,BO_039,BO_200,
79,3,8L,G2,BO_194,BO_098,
79,3,8R,G1,BO_013,BO_141,
80,3,9L,G1,BO_070,BO_046,
80,3,9R,G1,BO_199,BO_015,
81,3,10L,G1,BO_109,BO_028,
81,3,10R,G1,BO_106,BO_131,
82,3,11L,G2,BO_199,BO_015,
82,3,11R,G2,BO_001,BO_048,
83,3,12L,G2,BO_163,BO_072,3
83,3,12R,G1,BO_162,BO_108,
84,3,13L,G2,BO_153,BO_177,
84,3,13R,G1,BO_198,BO_100,
85,3,14L,G1,BO_168,BO_180,4
85,3,14R,G1,BO_170,BO_045,4
86,3,15L,G2,BO_188,BO_154,3
86,3,15R,G2,BO_074,BO_027,
87,3,16L,G2,BO_069,BO_201,4
87,3,16R,G2,BO_040,BO_171,
88,3,17L,G1,BO_058,BO_123,
88,3,17R,G1,BO_119,BO_013,
89,3,18L,G1,BO_199,BO_015,
89,3,18R,G2,BO_143,BO_152,
90,3,19L,G1,BO_001,BO_025,
90,3,19R,G1,BO_187,BO_135,
91,3,20L,G1,BO_143,BO_004,
91,3,20R,G2,BO_088,BO_050,
92,3,21L,G1,BO_128,BO_044,
92,3,21R,G1,BO_109,BO_001,
93,3,22L,G1,BO_149,BO_032,
93,3,22R,G1,BO_119,BO_017,
94,3,23L,G2,BO_187,BO_135,
94,3,23R,G2,BO_058,BO_123,
95,3,24L,G1,BO_033,BO_143,
95,3,24R,G1,BO_168,BO_175,
96,3,25L,G2,BO_032,BO_088,
96,3,25R,G1,BO_106,BO_191,
97,3,26L,G1,BO_170,BO_045,
97,3,26R,G1,BO_033,BO_124,
98,4,1L,G2,BO_119,BO_051,
98,4,1R,G1,BO_065,BO_115,
99,4,2L,G1,BO_039,BO_102,
99,4,2R,G1,BO_194,BO_098,
100,4,3L,G1,BO_177,BO_121,
100,4,3R,G1,BO_177,BO_147,
101,4,4L,G1,BO_058,BO_081,
101,4,4R,G1,BO_074,BO_118,
102,4,5L,G1,BO_177,BO_147,
102,4,5R,G1,BO_192,BO_021,
103,4,6L,G1,BO_187,BO_135,
103,4,6R,G1,BO_106,BO_104,
104,4,7L,G2,BO_040,BO_067,
104,4,7R,G1,BO_058,BO_123,
105,4,8L,G1,BO_151,BO_148,
105,4,8R,G1,BO_198,BO_158,
106,4,9L,G1,BO_109,BO_095,5
106,4,9R,G1,BO_143,BO_004,
107,4,10L,G1,BO_168,BO_180,5
107,4,10R,G2,BO_187,BO_150,
108,4,11L,G1,BO_183,BO_063,
108,4,11R,G1,BO_073,BO_070,
109,4,12L,G1,BO_192,BO_166,
109,4,12R,G1,BO_153,BO_022,
110,4,13L,G2,BO_109,BO_095,
110,4,13R,G1,BO_183,BO_198,
111,4,14L,G1,BO_188,BO_052,
111,4,14R,G1,BO_201,BO_199,
112,4,15L,G1,BO_185,BO_071,
112,4,15R,G2,BO_187,BO_031,
113,4,16L,G1,BO_189,BO_126,
113,4,16R,G2,BO_013,BO_141,
114,4,17L,G1,BO_188,BO_154,
114,4,17R,G1,BO_096,BO_012,
115,4,18L,G1,BO_013,BO_053,
115,4,18R,G1,BO_013,BO_053,
116,4,19L,G1,BO_194,BO_125,3
116,4,19R,G1,BO_101,BO_024,
117,4,20L,G1,BO_187,BO_150,
117,4,20R,G1,BO_173,BO_054,
118,4,21L,G1,BO_149,BO_106,
118,4,21R,G1,BO_022,BO_146,
119,4,22L,G1,BO_173,BO_054,
119,4,22R,G1,BO_040,BO_029,
120,4,23L,G1,BO_013,BO_114,
120,4,23R,G1,BO_153,BO_022,
121,4,24L,G2,BO_192,BO_021,
121,4,24R,G2,BO_106,BO_131,
122,4,25L,G2,BO_162,BO_108,
122,4,25R,G1,BO_032,BO_132,
123,4,26L,G1,BO_130,BO_161,
123,4,26R,G1,BO_065,BO_014,
124,4,27L,G1,BO_201,BO_199,1
124,4,27R,G1,BO_163,BO_072,
125,5,1L,G2,BO_096,BO_012,
125,5,1R,G1,BO_201,BO_130,
126,5,2L,G1,BO_189,BO_126,5
126,5,2R,G1,BO_149,BO_032,
127,5,3L,G2,BO_088,BO_050,1
127,5,3R,G1,BO_022,BO_009,
128,5,4L,G1,BO_151,BO_167,
128,5,4R,G1,BO_198,BO_159,3
129,5,5L,G2,BO_058,BO_123,
129,5,5R,G2,BO_188,BO_052,5
130,5,6L,G2,BO_199,BO_069,4
130,5,6R,G2,BO_188,BO_008,5
131,5,7L,G2,BO_074,BO_118,
131,5,7R,G2,BO_001,BO_025,3
132,5,8L,G1,BO_143,BO_004,3
132,5,8R,G1,BO_119,BO_013,1
133,5,9L,G1,BO_033,BO_124,1
133,5,9R,G2,BO_194,BO_037,1
134,5,10L,G1,BO_183,BO_116,
134,5,10R,G1,BO_168,BO_155,
135,5,11L,G1,BO_183,BO_116,
135,5,11R,G1,BO_162,BO_164,
136,5,12L,G1,BO_070,BO_184,5
