Sequence,Transect,SegPos,Gen,Donor,Recipient,Fit_plant
231,6,6R,G1,HR_189,HR_051,4
232,6,7L,G2,HR_066,HR_087,5
232,6,7R,G1,HR_085,HR_107,1
233,6,8L,G1,HR_115,HR_026,5
233,6,8R,G2,HR_125,HR_034,1
234,6,9L,G1,HR_070,HR_061,5
234,6,9R,G1,HR_006,HR_142,1
235,6,10L,G2,HR_135,HR_152,1
235,6,10R,G1,HR_057,HR_110,1
236,6,11L,G2,HR_164,HR_041,4
236,6,11R,G1,HR_088,HR_182,3
237,6,12L,G1,HR_110,HR_032,1
237,6,12R,G2,HR_147,HR_118,2
238,6,13L,G2,HR_034,HR_112,2
238,6,13R,G2,HR_006,HR_162,
239,6,14L,G2,HR_090,HR_126,4
239,6,14R,G2,HR_175,HR_027,2
240,6,15L,G2,HR_189,HR_051,4
240,6,15R,G2,HR_006,HR_142,1
241,6,16L,G1,HR_148,HR_109,5
241,6,16R,G1,HR_195,HR_181,2
242,6,17L,G2,HR_156,HR_197,3
242,6,17R,G2,HR_002,HR_071,4
243,6,18L,G1,HR_074,HR_066,1
243,6,18R,G1,HR_006,HR_146,5
244,6,19L,G2,HR_008,HR_012,3
244,6,19R,G2,HR_135,HR_004,4
245,6,20L,G1,HR_108,HR_016,2
245,6,20R,G1,HR_002,HR_059,4
246,6,21L,G1,HR_164,HR_201,4
246,6,21R,G2,HR_131,HR_049,3
247,6,22L,G1,HR_069,HR_108,5
247,6,22R,G1,HR_100,HR_195,1
248,6,23L,G1,HR_074,HR_066,2
248,6,23R,G2,HR_027,HR_119,5
249,6,24L,G1,HR_133,HR_072,4
249,6,24R,G2,HR_110,HR_037,2
250,6,25L,G2,HR_074,HR_070,2
250,6,25R,G1,HR_133,HR_072,3
251,6,26L,G1,HR_141,HR_015,3
251,6,26R,G2,HR_095,HR_178,4
252,6,27L,G2,HR_157,HR_085,5
252,6,27R,G1,HR_064,HR_190,1
253,6,28L,G2,HR_088,HR_014,1
253,6,28R,G1,HR_139,HR_129,5
254,6,29L,G2,HR_133,HR_161,4
254,6,29R,G2,HR_005,HR_040,2
255,6,30L,G2,HR_196,HR_170,5
255,6,30R,G1,HR_062,HR_116,3
256,6,31L,G1,HR_008,HR_058,4
256,6,31R,G2,HR_196,HR_183,1
257,6,32L,G1,HR_149,HR_174,2
257,6,32R,G2,HR_171,HR_057,2
258,6,33L,G2,HR_066,HR_087,4
258,6,33R,G2,HR_175,HR_196,5
259,6,34L,G1,HR_135,HR_004,3
259,6,34R,G2,HR_133,HR_072,1
260,6,35L,G1,HR_156,HR_025,5
260,6,35R,G1,HR_180,HR_036,2
261,6,36L,G2,HR_108,HR_016,2
261,6,36R,G1,HR_085,HR_176,5
262,6,37L,G1,HR_168,HR_148,1
262,6,37R,G2,HR_100,HR_192,4
263,6,38L,G1,HR_195,HR_104,2
263,6,38R,G1,HR_125,HR_034,5
264,6,39L,G2,HR_149,HR_065,3
264,6,39R,G1,HR_005,HR_180,4
265,6,40L,G1,HR_066,HR_137,3
265,6,40R,G1,HR_156,HR_197,4
266,6,41L,G2,HR_168,HR_064,1
266,6,41R,G2,HR_069,HR_133,1
267,6,42L,G2,HR_168,HR_101,1
267,6,42R,G2,HR_069,HR_133,2
268,6,43L,G2,HR_147,HR_021,1
268,6,43R,G1,HR_110,HR_039,1
269,6,44L,G1,HR_171,HR_057,3
269,6,44R,G2,HR_157,HR_088,3
270,6,45L,G2,HR_121,HR_139,4
270,6,45R,G1,HR_131,HR_113,1
271,7,3L,G2,HR_074,HR_066,2
271,7,3R,G1,HR_196,HR_054,2
272,7,4L,G2,HR_002,HR_056,5
272,7,4R,G1,HR_156,HR_025,2
273,7,5L,G1,HR_095,HR_020,4
273,7,5R,G2,HR_059,HR_166,5
274,7,1L,G2,HR_088,HR_067,3
274,7,1R,G1,HR_005,HR_149,1
275,7,2L,G1,HR_155,HR_009,3
275,7,2R,G1,HR_115,HR_026,2
276,7,7L,G2,HR_121,HR_139,3
276,7,7R,G1,HR_069,HR_133,4
277,7,8L,G2,HR_088,HR_014,3
277,7,8R,G1,HR_053,HR_092,4
278,7,9L,G1,HR_157,HR_095,2
278,7,9R,G1,HR_059,HR_011,4
279,7,10L,G2,HR_100,HR_195,2
279,7,10R,G1,HR_034,HR_080,4
280,7,11L,G2,HR_171,HR_073,5
280,7,11R,G2,HR_133,HR_072,2
281,7,12L,G2,HR_100,HR_135,4
281,7,12R,G1,HR_108,HR_177,2
282,7,13L,G1,HR_095,HR_178,1
282,7,13R,G1,HR_149,HR_007,2
283,7,14L,G1,HR_062,HR_134,4
283,7,14R,G1,HR_057,HR_110,5
284,7,15L,G2,HR_155,HR_047,5
284,7,15R,G1,HR_062,HR_136,2
285,7,16L,G1,HR_074,HR_066,
285,7,16R,G1,HR_088,HR_014,3
286,7,17L,G1,HR_196,HR_170,2
286,7,17R,G1,HR_005,HR_180,
287,7,18L,G2,HR_085,HR_035,1
287,7,18R,G2,HR_008,HR_058,
288,7,19L,G1,HR_110,HR_039,3
288,7,19R,G2,HR_148,HR_050,1
289,7,20L,G2,HR_147,HR_150,4
289,7,20R,G1,HR_175,HR_164,
290,7,21L,G1,HR_135,HR_004,
290,7,21R,G1,HR_139,HR_127,5
291,7,22L,G1,HR_141,HR_184,2
291,7,22R,G1,HR_168,HR_148,2
292,7,23L,G1,HR_160,HR_033,4
292,7,23R,G1,HR_069,HR_156,4
293,7,24L,G1,HR_139,HR_129,2
293,7,24R,G2,HR_066,HR_087,5
294,7,6L,G2,HR_157,HR_095,5
294,7,6R,G2,HR_135,HR_083,1
295,7,25L,G2,HR_057,HR_006,5
295,7,25R,G2,HR_057,HR_110,2
296,7,26L,G1,HR_066,HR_087,5
296,7,26R,G1,HR_160,HR_173,1
297,7,27L,G2,HR_115,HR_131,5
297,7,27R,G1,HR_135,HR_083,5
298,7,28L,G2,HR_059,HR_011,1
298,7,28R,G2,HR_180,HR_023,1
299,7,29L,G2,HR_131,HR_113,5
299,7,29R,G1,HR_085,HR_176,3
300,7,30L,G2,HR_133,HR_161,5
300,7,30R,G2,HR_168,HR_148,5
301,7,31L,G1,HR_088,HR_014,5
301,7,31R,G2,HR_131,HR_049,2
302,7,32L,G1,HR_168,HR_101,1
302,7,32R,G2,HR_141,HR_184,1
303,7,33L,G1,HR_131,HR_113,5
303,7,33R,G1,HR_133,HR_161,2
304,7,34L,G2,HR_148,HR_114,1
304,7,34R,G1,HR_156,HR_193,4
305,7,35L,G1,HR_189,HR_168,1
305,7,35R,G2,HR_156,HR_197,5
306,7,36L,G2,HR_171,HR_057,2
306,7,36R,G1,HR_157,HR_088,3
307,7,37L,G2,HR_002,HR_059,2
307,7,37R,G2,HR_149,HR_007,
308,7,38L,G2,HR_100,HR_195,2
308,7,38R,G2,HR_074,HR_066,4
309,7,39L,G1,HR_053,HR_169,2
309,7,39R,G1,HR_195,HR_068,2
310,7,40L,G2,HR_156,HR_197,4
310,7,40R,G1,HR_008,HR_012,3
311,7,41L,G2,HR_149,HR_007,4
311,7,41R,G1,HR_005,HR_040,2
312,7,42L,G2,HR_189,HR_018,3
312,7,42R,G1,HR_200,HR_159,2
313,7,43L,G1,HR_066,HR_087,4
313,7,43R,G2,HR_139,HR_129,2
314,7,44L,G2,HR_066,HR_078,
314,7,44R,G1,HR_090,HR_053,1
315,7,45L,G2,HR_002,HR_059,4
