Sequence,Location,position,Gen,Recipient,Fit_plant
101,34,L,G1,BB_004,4
101,34,R,G2,BB_210,2
102,34,L,G1,BB_037,2
102,34,R,G1,BB_201,1
103,35,L,G2,BB_021,2
103,35,R,G2,BB_148,3
104,35,L,G1,BB_119,4
104,35,R,G1,BB_019,4
105,35,L,G2,BB_046,5
105,35,R,G1,BB_008,1
106,36,L,G2,BB_185,3
106,36,R,G1,BB_046,3
107,36,L,G1,BB_010,1
107,36,R,G1,BB_159,3
108,36,L,G2,BB_101,3
108,36,R,G1,BB_154,1
109,37,L,G1,BB_158,2
109,37,R,G1,BB_018,3
110,37,L,G2,BB_153,5
110,37,R,G1,BB_077,5
111,37,L,G1,BB_205,4
111,37,R,G2,BB_121,5
112,38,L,G1,BB_063,2
112,38,R,G1,BB_087,5
113,38,L,G1,BB_147a,2
113,38,R,G1,BB_147b,2
114,38,L,G1,BB_089,5
114,38,R,G1,BB_116,3
115,39,L,G1,BB_088,2
115,39,R,G1,BB_133,4
116,39,L,G1,BB_034,2
116,39,R,G1,BB_046,4
117,39,L,G1,BB_039,5
117,39,R,G1,BB_164,3
118,40,L,G2,BB_029,5
118,40,R,G1,BB_025,4
119,40,L,G2,BB_051,1
119,40,R,G1,BB_021,3
120,40,L,G1,BB_054,2
120,40,R,G1,BB_183,5
121,41,L,G1,BB_189,3
121,41,R,G2,BB_132,2
122,41,L,G1,BB_187,5
122,41,R,G2,BB_134,1
123,41,L,G1,BB_113,4
123,41,R,G1,BB_080,2
124,42,L,G1,BB_151,5
124,42,R,G1,BB_140,
125,42,L,G1,BB_149,1
125,42,R,G2,BB_109,1
126,42,L,G1,BB_205,
126,42,R,G2,BB_189,2
127,43,L,G1,BB_120,5
127,43,R,G1,BB_039,2
128,43,L,G1,BB_010,3
128,43,R,G1,BB_206,1
129,43,L,G1,BB_040,2
129,43,R,G1,BB_089,1
130,44,L,G1,BB_027,2
130,44,R,G1,BB_152,1
131,44,L,G1,BB_138,5
131,44,R,G1,BB_114,1
132,44,L,G2,BB_148,1
132,44,R,G1,BB_199,1
133,45,L,G2,BB_053,1
133,45,R,G2,BB_039,5
134,45,L,G1,BB_200,1
134,45,R,G1,BB_110,5
135,45,L,G2,BB_135,1
135,45,R,G2,BB_013,4
136,46,L,G2,BB_088,3
136,46,R,G1,BB_146,
137,46,L,G2,BB_193,4
137,46,R,G1,BB_109,4
138,46,L,G1,BB_137,2
138,46,R,G1,BB_117,4
139,47,L,G1,BB_209,2
139,47,R,G2,BB_105,1
140,47,L,G2,BB_134,2
140,47,R,G1,BB_186,1
141,47,L,G1,BB_134,3
141,47,R,G2,BB_138,4
142,48,L,G1,BB_132,
142,48,R,G2,BB_200,5
143,48,L,G1,BB_045,3
143,48,R,G1,BB_009,3
144,48,L,G1,BB_054,4
144,48,R,G2,BB_083,
145,49,L,G1,BB_043,1
145,49,R,G1,BB_050,
146,49,L,G1,BB_085,4
146,49,R,G1,BB_140,
147,49,L,G1,BB_208,3
147,49,R,G2,BB_054,3
148,50,L,G1,BB_145,2
148,50,R,G2,BB_146,5
149,50,L,G1,BB_126,1
149,50,R,G2,BB_157,2
150,50,L,G1,BB_059,1
150,50,R,G2,BB_009,
151,51,L,G1,BB_044,3
151,51,R,G2,BB_189,3
152,51,L,G2,BB_093,
152,51,R,G2,BB_088,5
153,51,L,G1,BB_002,1
153,51,R,G1,BB_145,3
154,52,L,G2,BB_154,
154,52,R,G2,BB_111,1
155,52,L,G2,BB_206,4
155,52,R,G1,BB_143,5
156,52,L,G2,BB_190,3
156,52,R,G1,BB_007,5
157,53,L,G2,BB_020,4
157,53,R,G1,BB_032,
158,53,L,G2,BB_116,2
158,53,R,G1,BB_192,2
159,53,L,G1,BB_104,1
159,53,R,G1,BB_146,2
160,54,L,G1,BB_064,5
160,54,R,G2,BB_114,4
161,54,L,G2,BB_060,2
161,54,R,G1,BB_037,3
162,54,L,G1,BB_101,5
162,54,R,G1,BB_048,4
163,55,L,G1,BB_211,5
163,55,R,G1,BB_114,2
164,55,L,G2,BB_143,4
164,55,R,G1,BB_079,3
165,55,L,G1,BB_166,
165,55,R,G1,BB_092,2
166,56,L,G1,BB_074,3
166,56,R,G1,BB_103,
167,56,L,G2,BB_131,1
167,56,R,G1,BB_059,3
168,56,L,G1,BB_109,3
168,56,R,G1,BB_030,1
169,57,L,G2,BB_103,1
169,57,R,G2,BB_117,1
170,57,L,G1,BB_117,3
170,57,R,G2,BB_076,5
171,57,L,G1,BB_118,3
171,57,R,G1,BB_030,4
172,58,L,G1,BB_211,4
172,58,R,G1,BB_056,1
173,58,L,G1,BB_093,2
173,58,R,G2,BB_145,4
174,58,L,G2,BB_045,4
174,58,R,G1,BB_027,4
175,59,L,G2,BB_166,4
175,59,R,G1,BB_013,1
176,59,L,G1,BB_019,1
176,59,R,G1,BB_098,
177,59,L,G2,BB_089,2
177,59,R,G1,BB_199,4
178,60,L,G1,BB_072,5
178,60,R,G1,BB_170,4
179,60,L,G2,BB_053,
179,60,R,G2,BB_019,5
180,60,L,G1,BB_071,
180,60,R,G1,BB_172,5
181,61,L,G2,BB_150,2
181,61,R,G1,BB_210,4
182,61,L,G1,BB_029,
182,61,R,G1,BB_218,1
183,61,L,G1,BB_133,2
183,61,R,G1,BB_083,
184,62,L,G2,BB_052,4
184,62,R,G1,BB_161,1
185,62,L,G1,BB_111,1
185,62,R,G1,BB_058,3
186,62,L,G2,BB_017,3
186,62,R,G1,BB_093,3
187,63,L,G2,BB_123,2
187,63,R,G1,BB_131,3
188,63,L,G1,BB_110,
188,63,R,G1,BB_208,2
189,63,L,G1,BB_034,4
189,63,R,G1,BB_210,2
190,64,L,G1,BB_025,3
190,64,R,G1,BB_052,5
191,64,L,G1,BB_095,1
