ID1,ID2,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,MAR,Eref,CMD,RH
AC,.,39.718477,-123.652786,-9999,12.2,19.1,6.6,12.5,2110,121,10.5,157.3,45,2700,2325,184,315,89,323,234,26,-12.8,38.9,13.8,1001,526,63
BO,.,37.38199,-121.736746,-9999,14.7,21.7,8.9,12.8,648,33,38.2,652.2,24,3558,1643,431,356,19,356,337,3,-5.8,39,-9999,985,657,72
BB,.,38.318682,-123.071828,-9999,12.3,14.8,9,5.8,867,38,25.7,386.7,22,2602,2167,43,344,40,340,300,4,-8.7,33.7,-9999,867,485,69
HA,.,36.379264,-121.562935,-9999,14.4,21.7,9,12.6,700,27,34.9,787.9,22,3446,1698,374,338,65,341,276,3,-8.5,40.1,-9999,1201,836,59
