Year,ID1,ID2,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,MAR,Eref,CMD,RH
1909,BB,.,38.318682,-123.071828,-9999,11.3,13.3,7.4,6,1587,44,13.4,301.5,29,2275,2483,27,337,74,334,260,8,-11.5,33.6,-9999,868,549,69
1909,HA,.,36.379264,-121.562935,-9999,13.3,20.4,7.6,12.8,1109,13,21,1550.5,33,3071,2000,268,318,108,327,219,7,-11.5,39.6,-9999,1196,918,57
1910,AC,.,39.718477,-123.652786,-9999,12.6,19.5,4.7,14.7,1554,54,14.5,358.7,48,2878,2171,197,316,79,322,243,42,-15.1,38.9,-9999,1062,720,60
1910,BO,.,37.38199,-121.736746,-9999,14,20.5,6.9,13.7,658,23,36.4,903.3,29,3298,1762,275,349,28,351,322,7,-8.7,38.9,-9999,1019,693,68
1910,BB,.,38.318682,-123.071828,-9999,11.5,13.3,6.3,7,763,17,28.2,767.8,30,2376,2403,20,334,53,325,273,11,-11.5,33.6,-9999,894,557,66
1910,HA,.,36.379264,-121.562935,-9999,13.7,20.7,7.3,13.4,523,14,45.3,1479.4,29,3214,1830,256,318,83,326,243,6,-11.5,39.6,-9999,1240,913,54
1911,AC,.,39.718477,-123.652786,-9999,11.7,19.9,6.2,13.7,2196,182,9.9,109.3,53,2573,2454,166,300,110,306,196,39,-15.1,38.9,-9999,1018,525,60
1911,BO,.,37.38199,-121.736746,-9999,13.1,20.5,7.7,12.8,994,33,23.3,629.5,32,3012,2009,224,340,50,341,292,6,-8.7,38.9,-9999,964,641,69
1911,BB,.,38.318682,-123.071828,-9999,11,13.5,8.3,5.2,1095,34,19.2,390.9,30,2171,2584,19,325,71,317,246,9,-11.5,33.6,-9999,848,460,67
1911,HA,.,36.379264,-121.562935,-9999,13,21.3,6.9,14.4,1088,20,21.2,1069.1,33,2988,2064,245,306,118,315,198,6,-11.5,39.6,-9999,1195,894,55
1912,AC,.,39.718477,-123.652786,-9999,11.6,17.9,7.2,10.8,2482,312,8.7,57.4,41,2486,2440,111,310,89,315,225,27,-15.1,38.9,-9999,957,378,63
1912,BO,.,37.38199,-121.736746,-9999,13.6,20.1,7.8,12.4,705,96,33.5,210.7,30,3168,1920,302,341,48,340,291,5,-8.7,38.9,-9999,1009,596,67
1912,BB,.,38.318682,-123.071828,-9999,11.3,13.8,8.5,5.3,997,139,21.4,99.1,26,2279,2471,27,333,57,326,269,5,-11.5,33.6,-9999,829,320,69
1912,HA,.,36.379264,-121.562935,-9999,13.4,20.9,6.9,14.1,574,53,40.8,397.9,32,3130,1974,299,302,97,315,218,6,-11.5,39.6,-9999,1238,878,53
1913,AC,.,39.718477,-123.652786,-9999,12,20.2,5.3,14.9,2080,116,10.6,174.4,54,2671,2414,205,294,105,315,210,28,-15.1,38.9,-9999,1024,568,60
1913,BO,.,37.38199,-121.736746,-9999,14.2,22.3,6.8,15.5,774,56,31.2,396.1,33,3396,1850,430,339,53,343,290,4,-8.7,38.9,-9999,1047,730,68
1913,BB,.,38.318682,-123.071828,-9999,11.8,15.9,6.6,9.2,1140,46,19.1,347.6,33,2492,2333,50,326,68,326,259,9,-11.5,33.6,-9999,898,543,67
1913,HA,.,36.379264,-121.562935,-9999,13.8,21.5,7.7,13.8,749,54,31.7,398.2,32,3238,1932,360,308,106,319,213,4,-11.5,39.6,-9999,1247,899,55
1914,AC,.,39.718477,-123.652786,-9999,12.3,19.2,5.5,13.7,2509,131,8.9,146.8,42,2735,2253,160,313,78,314,237,37,-15.1,38.9,-9999,1038,537,60
1914,BO,.,37.38199,-121.736746,-9999,14.1,20.1,7.5,12.7,960,40,25.1,500.6,25,3330,1727,284,350,26,351,324,6,-8.7,38.9,-9999,1006,658,69
1914,BB,.,38.318682,-123.071828,-9999,11.8,13.6,7.1,6.6,1239,51,17.6,266.3,25,2448,2314,28,337,43,329,286,9,-11.5,33.6,-9999,864,471,68
1914,HA,.,36.379264,-121.562935,-9999,13.9,20.8,7.6,13.3,928,22,25.8,950.3,25,3279,1781,280,328,77,328,250,6,-11.5,39.6,-9999,1216,923,57
1915,AC,.,39.718477,-123.652786,-9999,11.8,19.4,6.3,13.1,2789,233,7.8,83.5,46,2589,2401,151,310,84,308,224,49,-15.1,38.9,-9999,998,588,61
1915,BO,.,37.38199,-121.736746,-9999,14,21.6,8.3,13.3,990,107,24.3,201.4,25,3315,1798,335,352,15,350,335,7,-8.7,38.9,-9999,999,617,69
1915,BB,.,38.318682,-123.071828,-9999,11.8,15.1,8.3,6.8,1525,120,14.3,125.6,25,2436,2321,34,336,42,322,281,12,-11.5,33.6,-9999,878,506,67
1915,HA,.,36.379264,-121.562935,-9999,14,22.1,8.7,13.3,1103,76,21.7,290.1,26,3299,1841,354,327,75,324,249,7,-11.5,39.6,-9999,1237,815,56
1916,AC,.,39.718477,-123.652786,-9999,11.2,18.3,3.2,15.1,2140,208,9.9,88,68,2422,2608,121,290,121,307,186,77,-15.1,38.9,-9999,1017,502,60
1916,BO,.,37.38199,-121.736746,-9999,13.5,20.8,7,13.8,1178,70,20,297,32,3140,1952,283,344,54,345,291,10,-8.7,38.9,-9999,1027,632,68
1916,BB,.,38.318682,-123.071828,-9999,11.2,14.1,5.7,8.4,1196,82,17.7,171.3,37,2269,2537,30,322,84,321,236,19,-11.5,33.6,-9999,899,530,66
1916,HA,.,36.379264,-121.562935,-9999,13.2,20.8,7,13.9,1390,63,16.7,329.4,33,3021,2046,250,313,104,322,218,12,-11.5,39.6,-9999,1221,739,56
