Location,Recipient,Gen,Fit_plant,SegNoPos,corolla_diam_mm,Notes
37,BB_158,G1,2,109L,,
37,BB_018,G1,3,109R,,
37,BB_153,G2,5,110L,,
37,BB_077,G1,5,110R,,
37,BB_205,G1,4,111L,,
37,BB_121,G2,5,111R,,
38,BB_063,G1,2,112L,,
38,BB_087,G1,5,112R,,
38,BB_147a,G1,2,113L,,
38,BB_147b,G1,2,113R,,
38,BB_089,G1,5,114L,,
38,BB_116,G1,3,114R,,
39,BB_088,G1,2,115L,,
39,BB_133,G1,4,115R,,
39,BB_034,G1,2,116L,,
39,BB_046,G1,4,116R,,
39,BB_039,G1,5,117L,,
39,BB_164,G1,3,117R,,
40,BB_029,G2,5,118L,,
40,BB_025,G1,4,118R,,
40,BB_051,G2,1,119L,,
40,BB_021,G1,3,119R,,
40,BB_054,G1,2,120L,,
40,BB_183,G1,5,120R,,
41,BB_189,G1,3,121L,,
41,BB_132,G2,2,121R,,
41,BB_187,G1,5,122L,,
41,BB_134,G2,1,122R,,
41,BB_113,G1,4,123L,,
41,BB_080,G1,2,123R,,
42,BB_151,G1,5,124L,,
42,BB_149,G1,1,125L,,
42,BB_109,G2,1,125R,,
42,BB_189,G2,2,126R,,
43,BB_120,G1,5,127L,,
43,BB_039,G1,2,127R,,
43,BB_010,G1,3,128L,,
43,BB_206,G1,1,128R,,
43,BB_040,G1,2,129L,,
43,BB_089,G1,1,129R,,
44,BB_027,G1,2,130L,,
44,BB_152,G1,1,130R,,
44,BB_138,G1,5,131L,,
44,BB_114,G1,1,131R,,
44,BB_148,G2,1,132L,,
44,BB_199,G1,1,132R,,
45,BB_053,G2,1,133L,,
45,BB_039,G2,5,133R,,
45,BB_200,G1,1,134L,,
45,BB_110,G1,5,134R,,
45,BB_135,G2,1,135L,,
45,BB_013,G2,4,135R,,
46,BB_088,G2,3,136L,,
46,BB_193,G2,4,137L,,
46,BB_109,G1,4,137R,,
46,BB_137,G1,2,138L,,
46,BB_117,G1,4,138R,,
47,BB_209,G1,2,139L,,
47,BB_105,G2,1,139R,,
47,BB_134,G2,2,140L,,
47,BB_186,G1,1,140R,,
47,BB_134,G1,3,141L,,
47,BB_138,G2,4,141R,,
48,BB_200,G2,5,142R,,
48,BB_045,G1,3,143L,,
48,BB_009,G1,3,143R,,
48,BB_054,G1,4,144L,,
49,BB_043,G1,1,145L,,
49,BB_085,G1,4,146L,,
49,BB_208,G1,3,147L,,
49,BB_054,G2,3,147R,,
50,BB_145,G1,2,148L,,
50,BB_146,G2,5,148R,,
50,BB_126,G1,1,149L,,
50,BB_157,G2,2,149R,,
50,BB_059,G1,1,150L,,
51,BB_044,G1,3,151L,,
51,BB_189,G2,3,151R,,
51,BB_088,G2,5,152R,,
51,BB_002,G1,1,153L,,
51,BB_145,G1,3,153R,,
52,BB_111,G2,1,154R,,
52,BB_206,G2,4,155L,,
52,BB_143,G1,5,155R,,
52,BB_190,G2,3,156L,,
52,BB_007,G1,5,156R,,
53,BB_020,G2,4,157L,,
53,BB_116,G2,2,158L,,
53,BB_192,G1,2,158R,,
53,BB_104,G1,1,159L,,
53,BB_146,G1,2,159R,,
54,BB_064,G1,5,160L,,
54,BB_114,G2,4,160R,,
54,BB_060,G2,2,161L,,
54,BB_037,G1,3,161R,,
54,BB_101,G1,5,162L,,
54,BB_048,G1,4,162R,,
55,BB_211,G1,5,163L,,
55,BB_114,G1,2,163R,,
55,BB_143,G2,4,164L,,
55,BB_079,G1,3,164R,,
55,BB_092,G1,2,165R,,
56,BB_074,G1,3,166L,,
56,BB_131,G2,1,167L,,
56,BB_059,G1,3,167R,,
56,BB_109,G1,3,168L,,
56,BB_030,G1,1,168R,,
57,BB_103,G2,1,169L,,
57,BB_117,G2,1,169R,,
57,BB_117,G1,3,170L,,
57,BB_076,G2,5,170R,,
57,BB_118,G1,3,171L,,
57,BB_030,G1,4,171R,,
58,BB_211,G1,4,172L,,
58,BB_056,G1,1,172R,,
58,BB_093,G1,2,173L,,
58,BB_145,G2,4,173R,,
58,BB_045,G2,4,174L,,
58,BB_027,G1,4,174R,,
59,BB_166,G2,4,175L,,
59,BB_013,G1,1,175R,,
