Transect,Recipient,Gen,Symbol,Plant_ID,Segment,corolla_diam_mm,Photo date,Notes,,
2,AC_038,G2,X,2,12L,21.718,04/28/23,"non-fitness plant, the tips of 2 petals are rolled up",,
2,AC_038,G2,X,3,12L,18.467,5/12/23,,,
2,AC_193,G2,X,1,12R,25.027,04/28/23,non-fitness plant,,
2,AC_193,G2,X,5,12R,,,,,
2,AC_168,G2,X,1,13L,15.241,04/28/23,,,
2,AC_089,G1,-,1,13R,18.365,5/12/23,,,
2,AC_089,G1,-,2,13R,21.02,04/28/23,non-fitness plant,Double check Gen # for these two^,
2,AC_190,G2,X,4,14L,20.837,04/28/23,,,
2,AC_016,G2,X,5,14R,17.685,04/28/23,,,
2,AC_010,G2,X,3,15L,18.961,5/26/23,,,
2,AC_054,G1,-,1,15R,,,,,
2,AC_054,G1,-,3,15R,22.921,04/28/23,non-fitness plant,,
2,AC_144,G2,X,2,16R,20.228,04/28/23,,,
2,AC_075,G2,X,5,17L,20.201,04/28/23,,,
2,AC_120,G1,-,2,17R,26.278,04/28/23,,,
2,AC_066,G2,X,2,18L,20.692,04/28/23,,,
2,AC_075,G1,-,4,18R,21.319,04/28/23,,,
2,AC_056,G1,-,3,19L,17.651,04/28/23,,,
2,AC_217,G2,X,4,19R,25.41,04/28/23,,,
2,AC_086,G1,-,5,20L,19.361,04/28/23,,,
2,AC_072,G1,-,4,20R,17.554,04/28/23,,,
2,AC_181,G1,-,1,21L,17.605,04/28/23,,,
2,AC_131,G2,X,5,21R,20.182,04/28/23,,,
2,AC_032,G1,-,3,22L,25.076,04/28/23,,,
2,AC_109,G1,-,2,22R,15.922,04/14/23,,,
2,AC_055,G1,-,3,23L,,,,,
2,AC_154,G1,-,1,23R,21.651,04/28/23,,,
2,AC_128,G2,X,5,24L,,,,,
2,AC_154,G1,-,4,25L,23.909,04/28/23,,,
2,AC_122,G1,-,1,25R,23.075,4/28/23,,,
2,AC_133,G1,-,2,26L,22.607,04/28/23,non-fitness plant,,
2,AC_133,G1,-,3,26L,,,,,
2,AC_197,G1,-,4,26R,20.06,4/14/23,,,
2,AC_058,G2,X,4,27L,,,,,
2,AC_014,G1,-,5,27R,,,,,
2,AC_054,G2,X,5,28L,,,,,
2,AC_133,G2,X,1,28R,22.342,04/28/23,non-fitness plant,,
2,AC_133,G2,X,2,28R,,,,,
2,AC_107,G1,-,2,29L,,,,,
2,AC_046,G2,X,3,29R,,,,,
2,AC_088,G1,-,3,30L,,,,,
2,AC_114,G2,X,2,30R,,,,,
2,AC_114,G2,X,3,30R,15.261,04/28/23,non-fitness plant,,
2,AC_200,G2,X,2,31L,,,,,
2,AC_200,G2,X,3,31L,18.683,04/14/23,non-fitness plant,,
2,AC_203,G2,X,1,31R,15.241,5/26/23,non-fitness plant,,
2,AC_203,G2,X,5,31R,,,,,
2,AC_074,G2,X,4,32L,,,,,
2,AC_046,G1,-,3,32R,19.056,04/14/23,,,
2,AC_187,G1,-,4,33L,,,,,
2,AC_182,G1,-,2,33R,,,,,
2,AC_095,G2,X,5,34L,11.272,5/26/23,,,
2,AC_092,G2,X,2,34R,,,,,
2,AC_092,G2,X,3,34R,13.501,4/14/23,"non-fitness plant, the tips of 2 petals are hidden Devin Gamble",,
2,AC_205,G2,X,2,35L,16.989,04/14/23,"non-fitness plant, tips of 2 petals are rolled up",,
2,AC_205,G2,X,4,35L,14.289,5/26/23,,,
2,AC_158,G1,-,2,36L,17.247,04/14/23,,,
2,AC_048,G2,X,4,36R,,,,,
3,AC_052,G1,-,3,1L,23.614,05/12/23,,,
3,AC_052,G1,-,5,1L,20.498,04/28/23,non-fitness plant ,,
3,AC_113,G2,X,2,1R,,,,,
3,AC_113,G2,X,3,1R,20.913,5/12/23,non-fitness plant,,
3,AC_215,G1,-,1,2L,22.529,5/12/23,,,
3,AC_215,G1,-,5,2L,18.926,04/28/23,non-fitness plant,,
3,AC_038,G1,-,2,2R,17.583,4/28/23,non-fitness plant,,
3,AC_038,G1,-,3,2R,17.762,5/26/23,,,
3,AC_089,G2,X,3,3L,,,,,
3,AC_089,G2,X,4,3L,21.164,04/28/23,non-fitness plant,,
3,AC_190,G1,-,2,3R,20.262,5/12/23,,,
3,AC_197,G2,X,1,4L,19.199,04/28/23,non-fitness plant,,
3,AC_197,G2,X,2,4L,,,,,
3,AC_057,G1,-,1,4R,22.524,5/12/23,,,
3,AC_197,G2,X,1,5L,23.196,04/28/23,,,
3,AC_082,G1,-,4,6L,20.147,04/28/23,,,
3,AC_096,G2,X,2,6R,23.306,04/28/23,,,
3,AC_099,G1,-,5,7L,22.637,04/28/23,,,
3,AC_154,G2,X,3,7R,23.915,04/28/23,,,
3,AC_010,G1,-,1,8L,,,,,
3,AC_181,G2,X,3,8R,17.56,04/28/23,,,
3,AC_005,G1,-,1,9L,20.338,04/28/23,,,
3,AC_187,G1,-,1,9R,23.112,04/28/23,,,
3,AC_094,G1,-,3,10L,19.078,04/28/23,,,
3,AC_190,G2,X,4,10R,21.916,04/28/23,,,
3,AC_148,G2,X,2,11L,19.637,04/28/23,,,
3,AC_096,G1,-,1,11R,18.539,04/28/23,,,
3,AC_068,G2,X,5,12L,23.957,04/28/23,,,
3,AC_057,G1,-,4,12R,20.447,04/28/23,,,
3,AC_064,G2,X,5,13L,21.988,04/28/23,,,
3,AC_100,G2,X,3,13R,21.77,04/28/23,,,
3,AC_075,G2,X,3,14L,19.46,04/28/23,,,
3,AC_185,G2,X,2,14R,20.646,04/28/23,,,
3,AC_088,G2,X,1,15R,19.744,04/28/23,,,
3,AC_114,G2,X,3,16L,19.61,04/28/23,,,
3,AC_144,G1,-,5,16R,24.973,04/28/23,,,
3,AC_122,G1,-,1,17L,21.95,04/28/23,non-fitness,,
3,AC_122,G1,-,2,17L,,,,,
3,AC_159,G1,-,3,17R,22.709,04/28/23,,,
3,AC_068,G2,X,5,18L,,,,,
3,AC_064,G1,-,4,18R,27.322,04/28/23,,,
3,AC_215,G1,-,2,19L,22.537,04/28/23,,,
3,AC_099,G2,X,5,19R,21.77,04/28/23,,,
3,AC_016,G1,-,5,20L,22.054,04/28/23,,,
3,AC_038,G1,-,4,20R,21.908,04/28/23,,,
3,AC_215,G1,-,2,21L,22.002,04/28/23,,,
3,AC_199,G1,-,5,21R,18.548,04/28/23,,,
3,AC_206,G2,X,1,22L,,,,,
3,AC_206,G2,X,3,22L,20.411,04/28/23,non-fitness plant,,
3,AC_190,G1,-,1,22R,21.02,04/28/23,,,
3,AC_038,G2,X,4,23L,,,,,
3,AC_038,G2,X,5,23L,21.279,04/28/23,non-fitness plant,,
3,AC_199,G1,-,1,23R,16.262,04/28/23,,,
3,AC_032,G1,-,5,24L,,,,,
3,AC_211,G1,-,5,24R,18.642,04/28/23,,,
3,AC_181,G1,-,5,25L,15.953,04/28/23,,,
3,AC_186,G1,-,4,25R,,,,,
3,AC_046,G1,-,4,26L,,,,,
3,AC_016,G1,-,4,26R,19.354,5/26/23,,,
3,AC_136,G1,-,2,27L,,,,,
3,AC_136,G1,-,5,27L,15.552,04/28/23,non-fitness,,
3,AC_179,G2,X,5,27R,18.259,04/28/23,,,
3,AC_081,G2,X,2,28L,,,,,
3,AC_191,G1,-,2,29L,,,,,
3,AC_213,G2,X,2,29R,16.671,04/14/23,,,
3,AC_144,G2,X,5,30L,,,,,
3,AC_154,G2,X,3,30R,,,,,
3,AC_015,G2,X,2,31L,14.81,5/26/23,,,
3,AC_171,G2,X,3,31R,,,,,
3,AC_051,G1,-,5,32L,,,,,
