Transect,Recipient,Gen,Fit_plant,SegNoPos,corolla_diam_mm,Notes
3,AC_213,G2,2,29R,,
3,AC_144,G2,5,30L,,
3,AC_154,G2,3,30R,,
3,AC_015,G2,2,31L,,
3,AC_171,G2,3,31R,,
3,AC_051,G1,5,32L,,
3,AC_197,G1,4,32R,,
3,AC_058,G2,5,33L,,
3,AC_111,G1,4,33R,,
3,AC_190,G1,5,34R,,
3,AC_034,G2,3,35L,,
3,AC_074,G2,4,35R,,
4,AC_111,G2,3,1L,,
4,AC_187,G2,4,1R,,
4,AC_046,G2,3,2L,,
4,AC_096,G1,3,2R,,
4,AC_055,G2,5,3L,,
4,AC_011,G1,2,3R,,
4,AC_104,G1,5,4L,,
4,AC_107,G2,1,4R,,
4,AC_178,G2,4,5L,,
4,AC_201,G1,2,5R,,
4,AC_179,G1,4,6L,,
4,AC_109,G2,1,6R,,
4,AC_014,G2,4,7L,,
4,AC_136,G1,2,7R,,
4,AC_168,G1,2,8L,,
4,AC_057,G2,2,8R,,
4,AC_147,G1,1,9L,,
4,AC_186,G1,2,9R,,
4,AC_083,G2,1,10L,,
4,AC_110,G2,3,10R,,
4,AC_058,G1,3,11L,,
4,AC_204,G2,3,11R,,
4,AC_054,G2,5,12L,,
4,AC_128,G1,3,12R,,
4,AC_168,G1,4,13L,,
4,AC_070,G2,4,13R,,
4,AC_072,G2,3,14L,,
4,AC_151,G2,4,14R,,
4,AC_099,G2,3,15L,,
4,AC_048,G1,3,16L,,
4,AC_160,G1,5,16R,,
4,AC_068,G1,3,17L,,
4,AC_109,G2,3,17R,,
4,AC_011,G2,4,18L,,
4,AC_088,G1,4,18R,,
4,AC_055,G2,3,19L,,
4,AC_017,G1,3,19R,,
4,AC_203,G1,1,20L,,
4,AC_030,G2,3,20R,,
4,AC_160,G2,2,21L,,
4,AC_195,G2,4,21R,,
4,AC_005,G1,1,22L,,
4,AC_172,G2,4,22R,,
4,AC_120,G1,5,23R,,
4,AC_123,G1,4,24L,,
4,AC_130,G1,3,25R,,
4,AC_100,G1,4,26L,,
4,AC_051,G2,2,26R,,
4,AC_208,G1,4,27L,,
4,AC_040,G2,5,27R,,
4,AC_070,G1,2,28L,,
4,AC_040,G1,3,28R,,
4,AC_203,G1,3,29L,,
4,AC_216,G1,5,29R,,
4,AC_143,G2,5,30L,,
4,AC_204,G1,4,30R,,
4,AC_095,G2,1,31L,,
4,AC_068,G2,1,31R,,
