Transect,Recipient,Gen,Fit_plant,SegNoPos,corolla_diam_mm,Notes
3,HR_149,G2,4,5L,,
3,HR_150,G1,3,5R,,
3,HR_134,G2,2,6L,,
3,HR_165,G2,5,6R,,
3,HR_026,G2,1,7L,,
3,HR_067,G1,5,8L,,
3,HR_067B,G1,5,8R,,
3,HR_193,G2,4,9L,,
3,HR_123,G1,4,9R,,
3,HR_006,G2,5,10L,,
3,HR_066,G2,3,10R,,
3,HR_046,G2,4,11L,,
3,HR_164,G2,3,11R,,
3,HR_170,G1,5,12L,,
3,HR_158,G2,2,12R,,
3,HR_193,G2,5,13L,,
3,HR_156,G2,5,13R,,
3,HR_049,G1,1,14L,,
3,HR_065,G2,5,14R,,
3,HR_145,G2,4,15R,,
3,HR_017,G1,3,16L,,
3,HR_176,G1,1,16R,,
3,HR_164,G1,5,17L,,
3,HR_041,G1,1,17R,,
3,HR_104,G2,1,18L,,
3,HR_153,G2,2,18R,,
3,HR_190,G2,3,19L,,
3,HR_155,G2,4,19R,,
3,HR_021,G2,2,20L,,
3,HR_174,G2,5,20R,,
3,HR_159,G2,2,21R,,
3,HR_175,G1,1,22L,,
3,HR_107,G2,1,22R,,
3,HR_053,G2,1,23R,,
3,HR_083,G2,4,24L,,
3,HR_071,G2,2,24R,,
3,HR_027,G1,4,25L,,
3,HR_053,G1,4,25R,,
3,HR_179,G1,2,26L,,
3,HR_116,G1,5,26R,,
3,HR_039,G2,4,27L,,
3,HR_006,G1,5,27R,,
3,HR_139,G1,3,28L,,
3,HR_103,G1,4,28R,,
3,HR_095,G2,3,29L,,
3,HR_005,G2,3,29R,,
3,HR_015,G2,4,30L,,
3,HR_042,G2,2,30R,,
3,HR_190,G2,3,31L,,
3,HR_079,G2,1,31R,,
3,HR_161,G2,5,32L,,
3,HR_112,G2,3,32R,,
3,HR_047,G2,5,33L,,
3,HR_036,G2,2,33R,,
3,HR_179,G2,3,34L,,
3,HR_104,G1,5,34R,,
3,HR_201,G2,1,35L,,
3,HR_164,G1,2,35R,,
3,HR_147,G1,1,36L,,
3,HR_162,G1,1,36R,,
3,HR_116,G2,3,37L,,
3,HR_046,G1,3,37R,,
3,HR_014,G1,5,38L,,
3,HR_020,G1,3,38R,,
3,HR_147,G1,5,39L,,
3,HR_032,G1,2,39R,,
3,HR_173,G2,1,40L,,
3,HR_119,G2,4,40R,,
3,HR_166,G1,5,41L,,
3,HR_037,G1,5,41R,,
3,HR_078,G1,2,42L,,
3,HR_153,G2,3,42R,,
3,HR_068,G2,1,43L,,
3,HR_023,G2,3,43R,,
3,HR_026,G2,4,44L,,
3,HR_142,G1,1,44R,,
3,HR_126,G2,5,45R,,
4,HR_108,G2,5,1L,,
4,HR_177,G2,2,1R,,
4,HR_124,G1,1,2L,,
4,HR_165,G1,2,2R,,
4,HR_019,G1,4,3L,,
4,HR_123,G2,5,3R,,
4,HR_190,G2,4,4L,,
4,HR_015,G1,5,4R,,
4,HR_041,G1,3,5L,,
4,HR_135,G2,4,5R,,
4,HR_006,G1,1,6L,,
4,HR_184,G1,3,6R,,
4,HR_017,G1,3,7L,,
4,HR_141,G1,4,7R,,
4,HR_150,G1,1,8L,,
4,HR_146,G2,3,8R,,
4,HR_181,G2,5,9L,,
4,HR_183,G2,3,9R,,
4,HR_174,G1,4,10L,,
4,HR_072,G1,4,10R,,
4,HR_137,G2,2,11L,,
4,HR_056,G2,3,11R,,
4,HR_009,G2,1,12L,,
4,HR_078,G2,3,12R,,
4,HR_159,G1,1,13L,,
4,HR_166,G1,1,13R,,
4,HR_042,G1,5,14L,,
4,HR_046,G1,3,14R,,
4,HR_088,G2,1,15L,,
4,HR_192,G1,1,15R,,
4,HR_170,G2,5,16R,,
4,HR_001,G2,1,17L,,
4,HR_118,G1,5,17R,,
4,HR_064,G1,3,18L,,
4,HR_127,G1,3,18R,,
4,HR_177,G2,5,19L,,
4,HR_016,G2,5,19R,,
4,HR_073,G2,4,20L,,
4,HR_192,G1,3,20R,,
4,HR_158,G2,2,21L,,
4,HR_112,G1,2,21R,,
4,HR_180,G2,4,22L,,
4,HR_043,G2,1,22R,,
4,HR_201,G2,3,23L,,
4,HR_088,G1,3,23R,,
4,HR_162,G2,3,24L,,
4,HR_039,G2,2,24R,,
4,HR_056,G1,1,25L,,
4,HR_124,G1,2,25R,,
4,HR_110,G2,1,26L,,
4,HR_039,G2,3,26R,,
4,HR_134,G2,3,27L,,
4,HR_123,G2,3,27R,,
4,HR_050,G1,3,28L,,
