Block,Transect,Donor,Recipient,est_seed_prod,total_fruit_prod,closed_fruits,seed_count,P_surv_flower,FIT_surv_x_seedprod,FIT_surv_x_fruitprod,BLOCKmean_FIT_surv_x_seedprod,BLOCKmean_FIT_surv_x_fruitprod,BLOCKmean_est_seed_prod,BLOCKmean_total_fruit_prod,BLOCKmean_seed_count,BLOCKmean_P_surv_flower,Rel_FIT_surv_x_seedprod,Rel_FIT_surv_x_fruitprod,Rel_est_seed_prod,Rel_total_fruit_prod,Rel_seed_count,Rel_P_surv_flower
1,1,HR_005,HR_040,2.4000000000000004,6,5,2,0.625,1.5000000000000002,3.75,14.235549803696737,10.777777777777779,17.308858231343272,13.362962962962962,14.992248062015504,0.7972222222222223,0.1053700082318194,0.3479381443298969,0.13865732608832776,0.44900221729490025,0.13340227507755947,0.7839721254355401
1,1,HR_006,HR_146,NA,0,0,NA,1,NA,0,14.235549803696737,10.777777777777779,17.308858231343272,13.362962962962962,14.992248062015504,0.7972222222222223,NA,0,NA,0,NA,1.254355400696864
1,1,HR_006,HR_162,0,10,10,0,0.75,0,7.5,14.235549803696737,10.777777777777779,17.308858231343272,13.362962962962962,14.992248062015504,0.7972222222222223,0,0.6958762886597938,0,0.7483370288248338,0,0.940766550522648
1,1,HR_008,HR_058,11.392857142857142,29,28,11,1,11.392857142857142,29,14.235549803696737,10.777777777777779,17.308858231343272,13.362962962962962,14.992248062015504,0.7972222222222223,0.8003103006178662,2.690721649484536,0.6582096283061987,2.170177383592018,0.733712512926577,1.254355400696864
1,1,HR_053,HR_092,1,9,9,1,0.5,0.5,4.5,14.235549803696737,10.777777777777779,17.308858231343272,13.362962962962962,14.992248062015504,0.7972222222222223,0.03512333607727313,0.41752577319587625,0.057773885870136564,0.6735033259423504,0.06670113753877974,0.627177700348432
1,1,HR_057,HR_110,10.285714285714285,9,7,8,1,10.285714285714285,9,14.235549803696737,10.777777777777779,17.308858231343272,13.362962962962962,14.992248062015504,0.7972222222222223,0.7225371993039043,0.8350515463917525,0.5942456832356903,0.6735033259423504,0.5336091003102379,1.254355400696864
1,1,HR_059,HR_011,16,11,11,16,0.875,14,9.625,14.235549803696737,10.777777777777779,17.308858231343272,13.362962962962962,14.992248062015504,0.7972222222222223,0.9834534101636476,0.893041237113402,0.924382173922185,0.8231707317073171,1.0672182006204758,1.097560975609756
1,1,HR_062,HR_134,2,7,7,2,0.125,0.25,0.875,14.235549803696737,10.777777777777779,17.308858231343272,13.362962962962962,14.992248062015504,0.7972222222222223,0.017561668038636565,0.08118556701030927,0.11554777174027313,0.5238359201773837,0.13340227507755947,0.156794425087108
1,1,HR_062,HR_136,3,13,13,3,1,3,13,14.235549803696737,10.777777777777779,17.308858231343272,13.362962962962962,14.992248062015504,0.7972222222222223,0.21074001646363877,1.2061855670103092,0.17332165761040969,0.9728381374722839,0.20010341261633918,1.254355400696864
1,1,HR_069,HR_108,21,13,13,21,0.5,10.5,6.5,14.235549803696737,10.777777777777779,17.308858231343272,13.362962962962962,14.992248062015504,0.7972222222222223,0.7375900576227357,0.6030927835051546,1.2132516032728677,0.9728381374722839,1.4007238883143744,0.627177700348432
