Site: Hastings Reservation (2021-2022),,,,,,Plant ID,,,,,,,,,
Transect,Seq (1-42),Co.,Donor_ID,Recipient_ID,Date (mm/dd),1,2,3,4,5,6,7,8,Notes 12/6,Notes 12/17
W2,29,5,HR_6,HR_146,Germ,2022-12-06,2022-12-06,,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,
W2,29,5,HR_6,HR_146,Flow,,,,,,,,,,
W2,30,1,HR_027,HR_145,Germ,2022-12-06,2022-12-06,,2022-12-17,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,
W2,30,1,HR_027,HR_145,Flow,,,,,,,,,,
W2,31,3,HR_141,HR_44,Germ,2022-12-17,2022-12-06,2022-12-06,2022-12-17,2022-12-06,,2022-12-06,2022-12-06,,
W2,31,3,HR_141,HR_44,Flow,,,,,,,,,,
W2,32,1,HR_027,HR_43,Germ,2022-12-06,2022-12-17,,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,
W2,32,1,HR_027,HR_43,Flow,,,,,,,,,,
W2,33,5,HR_6,HR_142,Germ,2022-12-17,2022-12-17,2022-12-17,2022-12-17,2022-12-06,2022-12-17,2022-12-06,2022-12-06,,
W2,33,5,HR_6,HR_142,Flow,,,,,,,,,,
W2,34,1,HR_027,HR_119,Germ,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,2022-12-06,2022-12-06,,
W2,34,1,HR_027,HR_119,Flow,,,,,,,,,,
W2,35,7,HR_5,HR_40,Germ,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-17,2022-12-06,2022-12-17,2022-12-06,,
W2,35,7,HR_5,HR_40,Flow,,,,,,,,,,
W2,36,4,HR_34,HR_17,Germ,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-17,2022-12-06,2022-12-06,2022-12-06,,*-5
W2,36,4,HR_34,HR_17,Flow,,,,,,,,,,
W2,37,6,HR_168,HR_64,Germ,2022-12-17,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,
W2,37,6,HR_168,HR_64,Flow,,,,,,,,,,
W2,38,4,HR_34,HR_80,Germ,2022-12-06,2022-12-17,2022-12-17,2022-12-17,2022-12-17,2022-12-17,2022-12-17,,,
W2,38,4,HR_34,HR_80,Flow,,,,,,,,,,
W2,39,2,HR_002,HR_59,Germ,2022-12-06,,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-17,,
W2,39,2,HR_002,HR_59,Flow,,,,,,,,,,
W2,40,6,HR_168,HR_148,Germ,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,
W2,40,6,HR_168,HR_148,Flow,,,,,,,,,,
W2,41,4,HR_34,HR_112,Germ,,2022-12-17,2022-12-17,2022-12-17,2022-12-17,,,2022-12-17,,
W2,41,4,HR_34,HR_112,Flow,,,,,,,,,,
W2,42,2,HR_002,HR_71,Germ,,2022-12-06,2022-12-17,2022-12-17,2022-12-06,2022-12-06,2022-12-06,2022-12-17,,"G-5,6,7"
W2,42,2,HR_002,HR_71,Flow,,,,,,,,,,
