Site: Blue Oak Ranch (2021-2022),,,,,,Plant ID,,,,,,,,"P- pig damage, G- gopher; UR-uprooted (plug pushed up), B- buried, PR- paddle replaced, DP-deer poop, T-trampled by deer, 3- Tripplet (3 Cotyledons)",,,
Transect,Seq (1-42),Co.,Donor_ID,Recipient_ID,Date (mm/dd),1,2,3,4,5,6,7,8,Notes - 12/6,Notes - 12/15,Notes - 12/21,Notes 12/28-29
W2,25,1,BO_101,BO_182,Germ,2022-12-30,2022-12-06,2022-12-15,,2022-12-06,2022-12-15,2022-12-06,2022-12-06,,PR-5;D-5,*-6,D-5
W2,25,1,BO_101,BO_182,Flow,,,,,,,,,,,,
W2,26,4,BO_192,BO_166,Germ,2022-12-06,2022-12-06,2022-12-06,2022-12-21,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,"*-5,7",*-4,"*-7;D-4,5"
W2,26,4,BO_192,BO_166,Flow,,,,,,,,,,,,
W2,27,4,BO_192,BO_21,Germ,2022-12-06,,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,2022-12-15,,*-4;PR-5,*-8,D-4
W2,27,4,BO_192,BO_21,Flow,,,,,,,,,,,,
W2,28,2,BO_038,BO_137,Germ,2022-12-15,2022-12-30,2022-12-06,2022-12-15,2022-12-15,2022-12-06,2022-12-06,2022-12-06,,"*-1,3,5;D-8;P-8","UR-4;*-6,7","*-1,2,3,5,6;P-8 "
W2,28,2,BO_038,BO_137,Flow,,,,,,,,,,,,
W2,29,2,BO_038,BO_149,Germ,,2022-12-21,2022-12-06,2022-12-06,2022-12-15,2022-12-21,2022-12-21,2022-12-06,,"P-1,2,3,4;D-4;*-5,7",*-3,"*-3,5,6,7;P-1;D-4"
W2,29,2,BO_038,BO_149,Flow,,,,,,,,,,,,
W2,30,6,BO_1,BO_25,Germ,2022-12-21,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,UR-1;P-4;D-4,*-1,*-1;D-4
W2,30,6,BO_1,BO_25,Flow,,,,,,,,,,,,
W2,31,6,BO_1,BO_151,Germ,2022-12-15,2022-12-06,2022-12-06,2022-12-06,2022-12-21,2022-12-06,,,,"*-1;P-3,4,5,6,7,8;PR-4","*-3,6;PR-5","*1,3"
W2,31,6,BO_1,BO_151,Flow,,,,,,,,,,,,
W2,32,6,BO_201,BO_199,Germ,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,"P-1,2,3,4,5,6,7,8;UR-3;D-7",D-4;UR-6,"D-3,4,7"
W2,32,6,BO_201,BO_199,Flow,,,,,,,,,,,,
