,Site:  Angelo Coast 2021-22,,,,,Plant ID,,,,,,,,,
Block (1-3),Transect (1-9),Sequence (1-321),Pollen Donor ID,Maternal Sibship,mm/dd,1,2,3,4,5,6,7,8,9,10
1,1,26,AC_160,AC_15,Germ Date,2022-12-05,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-12-05,2022-11-03,,2022-11-03
1,1,26,AC_160,AC_15,Flow Date,,Dead 12/5,Dead 12/5,,,Dead 12/5,,,,
1,1,27,AC_161,AC_88,Germ Date,2022-11-03,2022-12-05,2022-12-05,2022-11-03,2022-12-05,,2022-12-05,2022-12-05,2022-11-03,2022-12-05
1,1,27,AC_161,AC_88,Flow Date,,,,,,,,,,
1,1,28,AC_45,AC_96,Germ Date,2022-12-05,2022-12-05,2022-12-05,,,2022-11-03,2022-12-05,2022-11-03,2022-12-05,
1,1,28,AC_45,AC_96,Flow Date,,,,,,,,,,
1,1,29,AC_216,AC_58,Germ Date,2022-12-05,2022-11-03,2022-12-05,2022-11-03,2022-11-03,2022-12-05,2022-12-05,2022-11-03,2022-12-05,2022-11-03
1,1,29,AC_216,AC_58,Flow Date,,,,,,,,,,
1,1,30,AC_91,AC_218,Germ Date,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-12-05
1,1,30,AC_91,AC_218,Flow Date,,,,Dead 12/5,,,,,,Dead 12/5
1,1,31,AC_170,AC_185,Germ Date,2022-11-03,2022-11-03,2022-11-03,,2022-12-05,2022-11-03,2022-12-05,2022-12-05,2022-12-05,2022-12-05
1,1,31,AC_170,AC_185,Flow Date,Dead 12/5,Dead 12/5,Dead 12/5,,,,,,,
1,1,32,AC_207,AC_55,Germ Date,2022-11-03,2022-11-03,2022-12-05,2022-12-05,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-12-05,2022-11-03
1,1,32,AC_207,AC_55,Flow Date,,Dead 12/5,,,,Dead 12/5,,,,Dead 12/5
1,1,33,AC_91,AC_189,Germ Date,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03
1,1,33,AC_91,AC_189,Flow Date,,,,,,,,,,
1,1,34,AC_198,AC_66,Germ Date,2022-11-03,2022-11-03,2022-11-03,,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-12-05,2022-11-03
1,1,34,AC_198,AC_66,Flow Date,Dead 12/5,,,,,,,,,
1,1,35,AC_64,AC_205,Germ Date,2022-11-03,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-12-05
1,1,35,AC_64,AC_205,Flow Date,,,Dead 12/5,,,,,,,Dead 12/5
1,1,36,AC_96,AC_128,Germ Date,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-12-05,2022-12-05,2022-11-03,2022-11-03,2022-11-03,2022-11-03
1,1,36,AC_96,AC_128,Flow Date,,,,,,,,,Dead 12/5,
1,2,37,AC_186,AC_153,Germ Date,2022-12-05,2022-12-05,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-12-05,2022-12-05,2022-12-05
1,2,37,AC_186,AC_153,Flow Date,,,,,,,,,,
1,2,38,AC_216,AC_34,Germ Date,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-12-05,2022-11-03,2022-11-03,2022-12-05,2022-11-03,2022-12-05
1,2,38,AC_216,AC_34,Flow Date,,,,,,,,,,
1,2,39,AC_8,AC_68,Germ Date,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03
1,2,39,AC_8,AC_68,Flow Date,,,,,,,,,,
1,2,40,AC_150,AC_83,Germ Date,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03
