,Site:  Angelo Coast 2021-22,,,,,Plant ID,,,,,,,,,
Block (1-3),Transect (1-9),Sequence (1-321),Pollen Donor ID,Maternal Sibship,mm/dd,1,2,3,4,5,6,7,8,9,10
2,4,111,AC_168,AC_10,Germ Date,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05
2,4,111,AC_168,AC_10,Flow Date,,,,,,,,,,
2,4,112,AC_170,AC_185,Germ Date,2022-12-05,,2022-12-05,2022-12-05,2022-12-05,2022-11-03,,,,
2,4,112,AC_170,AC_185,Flow Date,,,,,,,,,,
2,4,113,AC_207,AC_55,Germ Date,2022-12-05,2022-12-05,2022-11-03,2022-12-05,2022-11-03,2022-11-03,2022-12-05,2022-12-05,2022-11-03,
2,4,113,AC_207,AC_55,Flow Date,,,,,,,,,,
2,4,114,AC_156,AC_16,Germ Date,,2022-12-05,,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05
2,4,114,AC_156,AC_16,Flow Date,,,,,,,,,,
2,4,115,AC_169,AC_182,Germ Date,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,,,,
2,4,115,AC_169,AC_182,Flow Date,,,,,,,,,,
2,4,116,AC_172,AC_40,Germ Date,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05
2,4,116,AC_172,AC_40,Flow Date,,,,,,,,,,
2,4,117,AC_103,AC_144,Germ Date,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05
2,4,117,AC_103,AC_144,Flow Date,,,,,,,,,,
2,4,118,AC_161,AC_88,Germ Date,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-11-03,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05
2,4,118,AC_161,AC_88,Flow Date,,,,,,,,,,
2,4,119,AC_8,AC_92,Germ Date,2022-12-05,2022-12-05,,2022-12-05,,2022-12-05,2022-11-03,2022-12-05,2022-12-05,2022-12-05
2,4,119,AC_8,AC_92,Flow Date,,,,,,,,,,
2,4,120,AC_91,AC_204,Germ Date,2022-11-03,2022-11-03,2022-11-03,,2022-11-03,2022-11-03,2022-12-05,2022-11-03,2022-11-03,2022-11-03
2,4,120,AC_91,AC_204,Flow Date,,,,,,,,,,
2,4,121,AC_170,AC_118,Germ Date,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05
2,4,121,AC_170,AC_118,Flow Date,,,,,,,,,,
2,4,122,AC_107,AC_130,Germ Date,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,,,,
2,4,122,AC_107,AC_130,Flow Date,,,,,,,,,,
2,4,123,AC_039,AC_148,Germ Date,,2022-11-03,2022-12-05,2022-11-03,2022-11-03,2022-12-05,2022-12-05,2022-11-03,2022-11-03,2022-12-05
2,4,123,AC_039,AC_148,Flow Date,,,,,,,,,,
2,4,124,AC_47,AC_113,Germ Date,2022-12-05,2022-12-05,2022-12-05,,,2022-12-05,,2022-12-05,,
2,4,124,AC_47,AC_113,Flow Date,,,,,,,,,,
2,4,125,AC_216,AC_34,Germ Date,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-11-03,2022-12-05,2022-12-05
2,4,125,AC_216,AC_34,Flow Date,,,,,,,,,,
2,4,126,AC_54,AC_46,Germ Date,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05
2,4,126,AC_54,AC_46,Flow Date,,,,,,,,,,
2,4,127,AC_195,AC_179,Germ Date,2022-11-03,2022-11-03,2022-11-03,2022-11-03,,2022-12-05,2022-11-03,2022-11-03,2022-11-03,2022-11-03
2,4,127,AC_195,AC_179,Flow Date,Dead 12/5,,,,,,,,,Dead 12/5
2,4,128,AC_45,AC_151,Germ Date,2022-12-05,2022-12-05,"Dead 12/5, plug missing",2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,,2022-12-05
2,4,128,AC_45,AC_151,Flow Date,,,"Dead 12/5, plug missing",,,,,,,
2,4,129,AC_71,AC_215,Germ Date,2022-11-03,2022-11-03,2022-12-05,2022-11-03,2022-11-03,2022-11-03,2022-11-03,,2022-11-03,2022-11-03
2,4,129,AC_71,AC_215,Flow Date,,,,,,,,,,
2,4,130,AC_15,AC_197,Germ Date,2022-11-03,2022-12-05,2022-11-03,2022-11-03,2022-12-05,2022-12-05,2022-11-03,2022-11-03,,2022-12-05
2,4,130,AC_15,AC_197,Flow Date,,,,,,,,,,
2,4,131,AC_198,AC_72,Germ Date,,2022-11-03,,2022-11-03,2022-11-03,2022-12-05,2022-12-05,,2022-11-03,2022-12-05
2,4,131,AC_198,AC_72,Flow Date,,,,Dead 12/5,Dead 12/5,,,,,
2,4,132,AC_216,AC_58,Germ Date,2022-11-03,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-11-03,2022-12-05,2022-12-05,2022-12-05
2,4,132,AC_216,AC_58,Flow Date,Dead 12/5,,,,,,,,,
2,4,133,AC_94,AC_109,Germ Date,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03
2,4,133,AC_94,AC_109,Flow Date,,,,,,,,,,
2,4,134,AC_150,AC_83,Germ Date,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-12-05,2022-11-03,2022-11-03,2022-11-03,2022-11-03
2,4,134,AC_150,AC_83,Flow Date,,,,,,,,,,
2,4,135,AC_124,AC_14,Germ Date,2022-12-05,2022-12-05,2022-11-03,2022-11-03,2022-11-03,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05
2,4,135,AC_124,AC_14,Flow Date,,,,,,,,,,
2,4,136,AC_103,AC_154,Germ Date,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-12-05,2022-12-05,2022-12-05,2022-11-03,2022-11-03
2,4,136,AC_103,AC_154,Flow Date,,,,,,,,,,Dead 12/5
2,4,137,AC_207,AC_70,Germ Date,,2022-11-03,2022-11-03,2022-12-05,2022-11-03,2022-12-05,2022-12-05,2022-11-03,2022-12-05,2022-12-05
2,4,137,AC_207,AC_70,Flow Date,,,,,,,,,,
2,4,138,AC_179,AC_171,Germ Date,2022-11-03,2022-12-05,2022-11-03,2022-12-05,2022-11-03,2022-12-05,2022-12-05,,,2022-12-05
2,4,138,AC_179,AC_171,Flow Date,,,,,,,,,,
2,4,139,AC_71,AC_115,Germ Date,,2022-12-05,2022-11-03,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-11-03,2022-12-05,2022-11-03
2,4,139,AC_71,AC_115,Flow Date,,,,,,,,,,
2,4,140,AC_47,AC_152,Germ Date,,2022-12-05,,,,,2022-12-05,2022-12-05,,2022-12-05
2,4,140,AC_47,AC_152,Flow Date,,Dead 12/5,,,,,,,,
2,4,141,AC_061,AC_158,Germ Date,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03
2,4,141,AC_061,AC_158,Flow Date,,,,,,,,,,
2,4,142,AC_170,AC_203,Germ Date,,2022-11-03,2022-11-03,2022-11-03,,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05
2,4,142,AC_170,AC_203,Flow Date,,Dead 12/5,Dead 12/5,Dead 12/5,,,,,,
2,4,143,AC_102,AC_178,Germ Date,2022-12-05,2022-11-03,2022-12-05,2022-11-03,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-11-03
2,4,143,AC_102,AC_178,Flow Date,,,,,,,,,,
2,5,144,AC_52,AC_131,Germ Date,2022-12-05,2022-11-03,2022-12-05,2022-11-03,2022-12-05,2022-12-05,2022-11-03,2022-11-03,2022-11-03,2022-12-05
2,5,144,AC_52,AC_131,Flow Date,,,,,,,,,,
2,5,145,AC_94,AC_216,Germ Date,2022-12-05,2022-12-05,2022-11-03,2022-11-03,2022-11-03,2022-12-05,2022-11-03,2022-11-03,2022-11-03,2022-11-03
2,5,145,AC_94,AC_216,Flow Date,,,,,,,,,,
2,5,146,AC_165,AC_62,Germ Date,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-12-05,2022-11-03,2022-12-05,2022-11-03,2022-12-05,
2,5,146,AC_165,AC_62,Flow Date,,,,,,Dead 12/5,,,,
2,5,147,AC_156,AC_5,Germ Date,2022-12-05,2022-11-03,,2022-11-03,,2022-11-03,2022-11-03,2022-12-05,2022-12-05,2022-11-03
2,5,147,AC_156,AC_5,Flow Date,,,,,,Dead 12/5,Dead 12/5,,,
2,5,148,AC_150,AC_110,Germ Date,2022-12-05,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-12-05
2,5,148,AC_150,AC_110,Flow Date,,,Dead 12/5,,,,,,,
2,5,149,AC_68,AC_56,Germ Date,2022-12-05,2022-12-05,2022-11-03,2022-12-05,2022-11-03,2022-11-03,2022-12-05,2022-11-03,2022-12-05,2022-11-03
2,5,149,AC_68,AC_56,Flow Date,,,,,,,,,,
2,5,150,AC_54,AC_155,Germ Date,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03
2,5,150,AC_54,AC_155,Flow Date,,,,,,,,,,
2,5,151,AC_156,AC_90,Germ Date,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03
2,5,151,AC_156,AC_90,Flow Date,,,,,,,,,,
2,5,152,AC_177,AC_211,Germ Date,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03
2,5,152,AC_177,AC_211,Flow Date,,,,,,,,,,
2,5,153,AC_159,AC_143,Germ Date,2022-12-05,2022-12-05,2022-11-03,,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05
2,5,153,AC_159,AC_143,Flow Date,,,,,,,,,,
2,5,154,AC_168,AC_159,Germ Date,,2022-12-05,2022-12-05,2022-11-03,2022-11-03,,2022-11-03,2022-11-03,2022-11-03,2022-11-03
2,5,154,AC_168,AC_159,Flow Date,,,,Dead 12/5,,,Dead 12/5,Dead 12/5,,
2,5,155,AC_186,AC_48,Germ Date,2022-11-03,2022-11-03,2022-12-05,2022-11-03,2022-11-03,,2022-11-03,2022-12-05,2022-11-03,2022-11-03
2,5,155,AC_186,AC_48,Flow Date,,,,,,,Dead 12/5,Dead 12/5,,
2,5,156,AC_97,AC_64,Germ Date,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-12-05,2022-11-03,2022-11-03,2022-11-03
2,5,156,AC_97,AC_64,Flow Date,,,,,Dead 12/5,,,,,Dead 12/5
2,5,157,AC_160,AC_186,Germ Date,2022-12-05,2022-12-05,2022-11-03,2022-11-03,2022-11-03,2022-12-05,2022-11-03,2022-11-03,"11/3/2021, disturbed by animal (deer)",2022-11-03
2,5,157,AC_160,AC_186,Flow Date,,,,,,,,,,
2,5,158,AC_207,AC_82,Germ Date,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03
2,5,158,AC_207,AC_82,Flow Date,,,,,,,,Dead 12/5,,
2,5,159,AC_68,AC_89,Germ Date,,2022-12-05,2022-11-03,2022-12-05,2022-12-05,2022-12-05,,,,
2,5,159,AC_68,AC_89,Flow Date,,,Dead 12/5,,Dead 12/5,,,,,
2,5,160,AC_103,AC_201,Germ Date,2022-12-05,2022-11-03,2022-11-03,2022-12-05,2022-12-05,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03
2,5,160,AC_103,AC_201,Flow Date,,,,,,,,,,
2,5,161,AC_15,AC_97,Germ Date,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-12-05
2,5,161,AC_15,AC_97,Flow Date,,,,,,,,,,
2,5,162,AC_161,AC_213,Germ Date,2022-12-05,2022-11-03,2022-11-03,2022-11-03,2022-11-03,,,,,
2,5,162,AC_161,AC_213,Flow Date,,,,,,,,,,
2,5,163,AC_96,AC_128,Germ Date,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-12-05,2022-12-05
2,5,163,AC_96,AC_128,Flow Date,,,,,,,,,,
2,5,164,AC_64,AC_17,Germ Date,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-12-05,2022-11-03,2022-12-05,2022-11-03,2022-11-03
2,5,164,AC_64,AC_17,Flow Date,,,,,Dead 12/5,,,,,
2,5,165,AC_002,AC_122,Germ Date,2022-11-03,2022-11-03,2022-11-03,2022-12-05,2022-11-03,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-11-03
2,5,165,AC_002,AC_122,Flow Date,Dead 12/5,,,,,,,,,Dead 12/5
2,5,166,AC_94,AC_217,Germ Date,2022-11-03,2022-12-05,2022-11-03,2022-12-05,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03
2,5,166,AC_94,AC_217,Flow Date,,,,,,,,,,
2,5,167,AC_007,AC_147,Germ Date,2022-11-03,,2022-11-03,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-11-03,2022-12-05,
2,5,167,AC_007,AC_147,Flow Date,Dead 12/5,,,,,,,,,
2,5,168,AC_52,AC_212,Germ Date,2022-12-05,2022-12-05,,,,2022-12-05,,,2022-12-05,2022-12-05
2,5,168,AC_52,AC_212,Flow Date,,,,,,,,,,
2,5,169,AC_64,AC_86,Germ Date,,2022-12-05,2022-11-03,2022-12-05,2022-11-03,,2022-12-05,,,2022-11-03
2,5,169,AC_64,AC_86,Flow Date,,,,,,,,,,
2,5,170,AC_45,AC_123,Germ Date,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05
2,5,170,AC_45,AC_123,Flow Date,,,,,,,,,,
2,5,171,AC_107,AC_172,Germ Date,2022-12-05,,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05
2,5,171,AC_107,AC_172,Flow Date,,,,,,,,,,
2,5,172,AC_150,AC_200,Germ Date,,2022-12-05,,2022-12-05,2022-12-05,2022-12-05,2022-11-03,2022-12-05,2022-12-05,
2,5,172,AC_150,AC_200,Flow Date,,,,,,,,,,
2,5,173,AC_179,AC_136,Germ Date,2022-12-05,2022-12-05,2022-11-03,2022-11-03,2022-12-05,2022-12-05,2022-12-05,2022-11-03,2022-12-05,2022-12-05
2,5,173,AC_179,AC_136,Flow Date,,,,,,,,,,
2,5,174,AC_97,AC_54,Germ Date,,2022-12-05,2022-11-03,2022-12-05,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-12-05,2022-12-05
2,5,174,AC_97,AC_54,Flow Date,,,,Dead 12/5,,,,,,
2,5,175,AC_45,AC_96,Germ Date,2022-12-05,2022-12-05,2022-12-05,2022-12-05,,2022-12-05,,,,
2,5,175,AC_45,AC_96,Flow Date,,,,,,,,,,
2,5,176,AC_159,AC_192,Germ Date,,2022-12-05,,2022-12-05,2022-12-05,2022-12-05,2022-12-05,,,2022-11-03
2,5,176,AC_159,AC_192,Flow Date,,,,,,Dead 12/5,,,,
2,5,177,AC_172,AC_111,Germ Date,2022-12-05,2022-11-03,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05
2,5,177,AC_172,AC_111,Flow Date,,,,,,,,,,
2,5,178,AC_91,AC_218,Germ Date,2022-12-05,2022-11-03,2022-12-05,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-12-05,2022-11-03,2022-11-03
2,5,178,AC_91,AC_218,Flow Date,,,Dead 12/5,,,,,,,
2,5,179,AC_124,AC_100,Germ Date,,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-11-03,2022-12-05,2022-12-05,2022-12-05
2,5,179,AC_124,AC_100,Flow Date,,,,,,,,,,
2,6,180,AC_061,AC_52,Germ Date,2022-11-03,2022-12-05,2022-12-05,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-12-05,2022-11-03,2022-11-03
2,6,180,AC_061,AC_52,Flow Date,,,,,,,,,? from 12/5,
2,6,181,AC_159,AC_94,Germ Date,,2022-12-05,2022-12-05,2022-12-05,2022-12-05,,2022-12-05,,2022-11-03,
2,6,181,AC_159,AC_94,Flow Date,,,,,,,,,Dead 12/5,
2,6,182,AC_169,AC_120,Germ Date,2022-11-03,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,,2022-12-05,2022-12-05
2,6,182,AC_169,AC_120,Flow Date,,,,,,,,,,
2,6,183,AC_15,AC_190,Germ Date,,2022-12-05,2022-11-03,2022-11-03,,2022-12-05,2022-12-05,2022-11-03,2022-12-05,2022-12-05
2,6,183,AC_15,AC_190,Flow Date,,,,,,,,,,
2,6,184,AC_172,AC_208,Germ Date,2022-11-03,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-11-03,2022-12-05
2,6,184,AC_172,AC_208,Flow Date,,,,,,,,,,
2,6,185,AC_125,AC_95,Germ Date,2022-12-05,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-12-05,2022-12-05,2022-11-03,2022-11-03,2022-11-03
2,6,185,AC_125,AC_95,Flow Date,,,,,,,,,,
2,6,186,AC_91,AC_189,Germ Date,2022-11-03,2022-12-05,2022-11-03,2022-12-05,2022-11-03,2022-11-03,,2022-11-03,2022-11-03,2022-12-05
2,6,186,AC_91,AC_189,Flow Date,Dead 12/5,,,,,,,,Dead 12/5,
2,6,187,AC_165,AC_199,Germ Date,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-11-03,,2022-12-05,2022-12-05,
2,6,187,AC_165,AC_199,Flow Date,,,,,,,,,,
2,6,188,AC_68,AC_195,Germ Date,2022-12-05,2022-12-05,,2022-12-05,2022-12-05,,,2022-12-05,disturbed by animal (deer),
2,6,188,AC_68,AC_195,Flow Date,,,,,,,,,,
2,6,189,AC_168,AC_142,Germ Date,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-11-03,2022-11-03,2022-12-05,2022-12-05,
2,6,189,AC_168,AC_142,Flow Date,,,,,,,,,,
2,6,190,AC_160,AC_15,Germ Date,2022-12-05,2022-12-05,2022-12-05,2022-11-03,2022-11-03,2022-12-05,2022-12-05,2022-12-05,2022-11-03,2022-12-05
2,6,190,AC_160,AC_15,Flow Date,,,,,,,,,,
2,6,191,AC_125,AC_38,Germ Date,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03
2,6,191,AC_125,AC_38,Flow Date,,,,,,,,,Dead 12/5,
2,6,192,AC_039,AC_168,Germ Date,2022-12-05,2022-12-05,2022-11-03,2022-12-05,2022-11-03,2022-12-05,2022-11-03,2022-12-05,,2022-12-05
2,6,192,AC_039,AC_168,Flow Date,,,,,Dead 12/5,,Dead 12/5,,,
2,6,193,AC_007,AC_81,Germ Date,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-12-05,2022-11-03,2022-11-03,2022-11-03
2,6,193,AC_007,AC_81,Flow Date,,,Dead 12/5,,,,,,,
2,6,194,AC_198,AC_51,Germ Date,2022-11-03,2022-11-03,2022-11-03,2022-12-05,2022-11-03,2022-11-03,2022-12-05,2022-11-03,2022-11-03,2022-11-03
2,6,194,AC_198,AC_51,Flow Date,,,,,Dead 12/5,,,,,Dead 12/5
2,6,195,AC_64,AC_205,Germ Date,2022-12-05,2022-12-05,2022-11-03,2022-12-05,2022-12-05,2022-11-03,,2022-12-05,,2022-12-05
2,6,195,AC_64,AC_205,Flow Date,,,,,,,,,,
2,6,196,AC_198,AC_66,Germ Date,2022-12-05,2022-11-03,2022-12-05,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03
2,6,196,AC_198,AC_66,Flow Date,,,,Dead 12/5,,,,,,
2,6,197,AC_96,AC_181,Germ Date,2022-12-05,2022-12-05,2022-11-03,2022-11-03,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-11-03
2,6,197,AC_96,AC_181,Flow Date,,,,Dead 12/5,,,,,,
2,6,198,AC_195,AC_193,Germ Date,2022-11-03,2022-12-05,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-12-05,2022-12-05,2022-11-03,2022-11-03
2,6,198,AC_195,AC_193,Flow Date,,,,,,,,,,
2,6,199,AC_169,AC_75,Germ Date,2022-11-03,,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-11-03,2022-12-05,2022-11-03,2022-12-05
2,6,199,AC_169,AC_75,Flow Date,,,,,,,,,,
2,6,200,AC_96,AC_74,Germ Date,,2022-12-05,2022-12-05,2022-12-05,2022-12-05,,2022-12-05,2022-12-05,2022-12-05,2022-12-05
2,6,200,AC_96,AC_74,Flow Date,,,,,,,,,,
2,6,201,AC_52,AC_133,Germ Date,2022-11-03,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-11-03,,,,
2,6,201,AC_52,AC_133,Flow Date,,,,,,,,,,
2,6,202,AC_216,AC_99,Germ Date,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05
2,6,202,AC_216,AC_99,Flow Date,,,,,,,,,,
2,6,203,AC_177,AC_107,Germ Date,2022-11-03,2022-11-03,2022-11-03,2022-12-05,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03
2,6,203,AC_177,AC_107,Flow Date,,,,,,,,,,
2,6,204,AC_8,AC_188,Germ Date,2022-12-05,2022-12-05,,2022-12-05,,2022-12-05,2022-12-05,2022-12-05,2022-12-05,2022-12-05
2,6,204,AC_8,AC_188,Flow Date,,,,,,,,,,
2,6,205,AC_8,AC_68,Germ Date,2022-12-05,2022-11-03,2022-11-03,2022-12-05,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-12-05,2022-11-03
2,6,205,AC_8,AC_68,Flow Date,,Dead 12/5,,,,,,,,
2,6,206,AC_89,AC_57,Germ Date,2022-11-03,,2022-11-03,,2022-12-05,,2022-12-05,,,
2,6,206,AC_89,AC_57,Flow Date,Dead 12/5,,,,,,,,,
2,6,207,AC_002,AC_160,Germ Date,2022-12-05,2022-11-03,2022-12-05,2022-12-05,2022-11-03,2022-11-03,2022-12-05,,2022-12-05,
2,6,207,AC_002,AC_160,Flow Date,,,,,,,,,,
2,6,208,AC_179,AC_114,Germ Date,2022-11-03,2022-11-03,2022-12-05,,2022-12-05,2022-11-03,2022-12-05,2022-12-05,2022-12-05,2022-12-05
2,6,208,AC_179,AC_114,Flow Date,Dead 12/5,,,,,,,,,
2,6,209,AC_002,AC_104,Germ Date,2022-11-03,2022-11-03,2022-11-03,2022-12-05,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,
2,6,209,AC_002,AC_104,Flow Date,Dead 12/5,Dead 12/5,,,,,,,,
2,6,210,AC_102,AC_191,Germ Date,2022-12-05,,,2022-11-03,,2022-11-03,,,2022-11-03,
2,6,210,AC_102,AC_191,Flow Date,,,,Dead 12/5,,,2022-12-05,2022-12-05,,
2,6,211,AC_186,AC_153,Germ Date,2022-12-05,2022-11-03,2022-11-03,2022-11-03,2022-12-05,,2022-12-05,"11/3 (n=2, n=1 on 12/5)",2022-12-05,2022-11-03
2,6,211,AC_186,AC_153,Flow Date,,Dead 12/5,,,,,,,,
2,6,212,AC_007,AC_187,Germ Date,2022-11-03,2022-12-05,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-12-05
2,6,212,AC_007,AC_187,Flow Date,Dead 12/5,,,,,,,,Dead 12/5,
2,6,213,AC_124,AC_30,Germ Date,2022-12-05,2022-12-05,,,2022-12-05,2022-11-03,,2022-12-05,2022-12-05,2022-12-05
2,6,213,AC_124,AC_30,Flow Date,,,,,,,,,,
2,6,214,AC_186,AC_11,Germ Date,2022-12-05,2022-12-05,2022-11-03,2022-11-03,2022-11-03,2022-12-05,2022-11-03,2022-11-03,2022-11-03,2022-12-05
2,6,214,AC_186,AC_11,Flow Date,,,,,,,,Dead 12/5,,
3,7,215,AC_160,AC_186,Germ Date,2022-11-03,2022-12-05,2022-11-03,2022-12-05,2022-11-03,2022-12-05,2022-12-05,2022-12-05,2022-12-05,
3,7,215,AC_160,AC_186,Flow Date,,,,,,,,,,
3,7,216,AC_007,AC_81,Germ Date,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-12-05,2022-12-05,2022-11-03,2022-11-03,2022-11-03
3,7,216,AC_007,AC_81,Flow Date,,,,Dead 12/5,,,,,,
3,7,217,AC_96,AC_74,Germ Date,2022-12-05,2022-11-03,2022-12-05,,,2022-11-03,2022-12-05,2022-12-05,2022-12-05,2022-12-05
3,7,217,AC_96,AC_74,Flow Date,,,,,,,,,,
3,7,218,AC_216,AC_58,Germ Date,2022-11-03,2022-11-03,2022-12-05,2022-11-03,2022-11-03,2022-11-03,2022-12-05,2022-11-03,2022-12-05,2022-12-05
3,7,218,AC_216,AC_58,Flow Date,,,,,,,,,,
3,7,219,AC_124,AC_100,Germ Date,2022-11-03,2022-12-05,2022-11-03,2022-12-05,2022-11-03,2022-12-05,,2022-12-05,2022-12-05,2022-12-05
3,7,219,AC_124,AC_100,Flow Date,,,,,,,,,,
3,7,220,AC_177,AC_107,Germ Date,2022-11-03,2022-12-05,2022-11-03,2022-11-03,2022-12-05,2022-12-05,2022-11-03,2022-12-05,2022-11-03,2022-11-03
3,7,220,AC_177,AC_107,Flow Date,,,Dead 12/5,,,,,,,
3,7,221,AC_96,AC_128,Germ Date,2022-12-05,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-12-05,2022-11-03,2022-11-03
3,7,221,AC_96,AC_128,Flow Date,,,,,,,,,,
3,7,222,AC_103,AC_201,Germ Date,2022-11-03,2022-11-03,2022-11-03,2022-11-03,2022-12-05,2022-11-03,2022-11-03,2022-11-03,2022-11-03,
3,7,222,AC_103,AC_201,Flow Date,,,,,,,,,,
3,7,223,AC_172,AC_111,Germ Date,2022-12-05,2022-11-03,2022-11-03,2022-12-05,2022-11-03,2022-11-03,2022-12-05,2022-12-05,2022-11-03,
3,7,223,AC_172,AC_111,Flow Date,,,,,,,,,,
3,7,224,AC_002,AC_160,Germ Date,2022-11-03,2022-12-05,2022-11-03,2022-12-05,2022-11-03,2022-11-03,2022-11-03,2022-12-05,"12/5/2021, disturbed by animal (deer)",2022-11-03
3,7,224,AC_002,AC_160,Flow Date,,,Dead 12/5,,,,Dead 12/5,,,
3,7,225,AC_159,AC_94,Germ Date,,2022-11-03,2022-12-05,2022-12-05,2022-12-05,2022-12-05,,,2022-12-05,2022-12-05
3,7,225,AC_159,AC_94,Flow Date,,Dead 12/5,,,,,,,,
