Site: Bodega Bay (2021-2022),,,,,,,Plant ID,,,,,,,,,"D-dead; G- gopher; UR-uprooted (plug pushed up); B- buried; PR- paddle replaced; DP-deer poop; T-trampled by deer; (3)- Tripplet (3 Cotyledons); *-cotyledons missing; M -= Missing P-pig; ?-unsure; M- missing; C-regrew cotyledons, (n=2)- double",,
Block (1-3),Location (1-156),Seq (1-441),Co.,Donor_ID,Recipient_ID,mm/dd,1,2,3,4,5,6,7,8,,Notes 12/12,Notes 12/19-20,Notes 12/30
1,8,23,2,BB_015,BB_218,Germ Date,2022-12-19,2022-12-19,2022-12-12,2022-12-30,,2022-12-19,2022-12-30,2022-12-12,,UR-3,D-3;*-1,*-1;D-3
1,8,23,2,BB_015,BB_218,Flow Date,,,,,,,,,,,,
1,8,24,3,BB_144,BB_207,Germ Date,,,2022-12-12,2022-12-12,2022-12-12,2022-12-12,2022-12-12,,,"UR-5,6,7","*-5,7","*-5,7"
1,8,24,3,BB_144,BB_207,Flow Date,,,,,,,,,,,,
1,9,25,5,BB_108,BB_189,Germ Date,2022-12-19,2022-12-30,2022-12-19,,2022-12-30,2022-12-12,,2022-12-12,,,?-5,
1,9,25,5,BB_108,BB_189,Flow Date,,,,,,,,,,,,
1,9,26,6,BB_188,BB_9,Germ Date,,2022-12-12,2022-12-12,2022-12-19,2022-12-12,,2022-12-19,2022-12-19,,,"*-3,4,5,7,8","*-3,4,7,8;D-5"
1,9,26,6,BB_188,BB_9,Flow Date,,,,,,,,,,,,
1,9,27,5,BB_176,BB_17,Germ Date,,,2022-12-12,2022-12-12,2022-12-12,2022-12-12,2022-12-30,2022-12-12,,G-1,*-3,"*-3,7"
1,9,27,5,BB_176,BB_17,Flow Date,,,,,,,,,,,,
1,10,28,3,BB_115,BB_187,Germ Date,,2022-12-19,2022-12-19,2022-12-30,2022-12-19,2022-12-19,2022-12-12,2022-12-19,,,"*-2,5,6,7","*-2,6;D-5"
1,10,28,3,BB_115,BB_187,Flow Date,,,,,,,,,,,,
1,10,29,4,BB_99,BB_32,Germ Date,2022-12-12,2022-12-12,,,2022-12-12,2022-12-19,,2022-12-12,,,"*-1,6,8;D-2","*-2,8;D-1,6"
1,10,29,4,BB_99,BB_32,Flow Date,,,,,,,,,,,,
