,Site:  Hastings Ranch 2021-22,,,,,Plant ID,,,,,,,,,,"D-dead; G- gopher; UR-uprooted (plug pushed up); B- buried; PR- paddle replaced; DP-deer poop; T-trampled by deer; (3)- Tripplet (3 Cotyledons); *-cotyledons missing; M -= Missing P-pig; ?-unsure; M- missing; C-regrew cotyledons, (n=2)- double",,
Block (1-3),Transect (1-12),Sequence (1-396),Pollen Donor ID,Maternal Sibship,mm/dd,1,2,3,4,5,6,7,8,9,10,Notes 12/6,Notes 12/17,Oak leaves removed when ontop of seedlings
1,1,26,HR_135,HR_83,Germ Date,2022-12-17,2022-12-17,2022-12-06,2022-12-17,,,,,,,*-3,*-4,
1,1,26,HR_135,HR_83,Flow Date,,,,,,,,,,,,,
1,1,27,HR_156,HR_25,Germ Date,,,2022-12-17,,,,2022-12-17,,,,"P-1,2,3,4,5,6,7,8","?-3,7",
1,1,27,HR_156,HR_25,Flow Date,,,,,,,,,,,,,
1,1,28,HR_5,HR_40,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-11-19,,,*-4;(3)-6;D-8,,
1,1,28,HR_5,HR_40,Flow Date,,,,,,,,Dead 12/6,,,,,
1,1,29,HR_149,HR_7,Germ Date,2022-12-06,2022-11-19,2022-12-06,2022-11-19,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,,D-4,,
1,1,29,HR_149,HR_7,Flow Date,,,,,,,,,,,,,
1,1,30,HR_131,HR_113,Germ Date,2022-12-17,,2022-12-17,2022-12-17,2022-12-06,2022-12-06,2022-12-06,2022-11-19,,,D-8,"*-1,3,4",
1,1,30,HR_131,HR_113,Flow Date,,,,,,,,,,,,,
1,1,31,HR_157,HR_95,Germ Date,2022-12-06,2022-12-06,2022-11-19,2022-11-19,2022-12-06,2022-12-06,2022-12-17,2022-12-06,,,,*-7,
1,1,31,HR_157,HR_95,Flow Date,,,,,,,,,,,,,
1,1,32,HR_131,HR_49,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,,,,
1,1,32,HR_131,HR_49,Flow Date,,,,,,,,,,,,,
1,1,33,HR_62,HR_136,Germ Date,2022-12-17,2022-12-17,2022-12-06,2022-12-06,2022-12-17,2022-12-06,2022-12-06,2022-12-06,,,,,
1,1,33,HR_62,HR_136,Flow Date,,,,,,,,,,,,,
1,1,34,HR_110,HR_32,Germ Date,2022-11-19,2022-12-06,2022-12-06,2022-12-06,2022-11-19,2022-12-06,2022-12-06,2022-12-06,,,,,
1,1,34,HR_110,HR_32,Flow Date,,,,,,,,,,,,,
1,1,35,HR_57,HR_110,Germ Date,2022-12-06,2022-12-06,2022-11-19,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,,,,
1,1,35,HR_57,HR_110,Flow Date,,,,,,,,,,,,,
1,1,36,HR_59,HR_11,Germ Date,2022-12-06,2022-12-06,,2022-12-06,2022-12-06,2022-12-06,2022-11-19,2022-12-06,,,,,
1,1,36,HR_59,HR_11,Flow Date,,,,,,,,,,,,,
1,1,37,HR_95,HR_178,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-11-19,2022-12-06,,,,,
1,1,37,HR_95,HR_178,Flow Date,,,,,,,,,,,,,
1,1,38,HR_155,HR_47,Germ Date,2022-11-19,2022-11-19,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,,,,
1,1,38,HR_155,HR_47,Flow Date,,,,,,,,,,,,,
1,1,39,HR_70,HR_123,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-12-17,2022-12-06,,2022-12-06,2022-12-06,,,,*-4,
1,1,39,HR_70,HR_123,Flow Date,,,,,,,,,,,,,
1,1,40,HR_53,HR_92,Germ Date,2022-12-06,2022-12-06,,2022-12-06,,,2022-12-06,,,,,,
1,1,40,HR_53,HR_92,Flow Date,,,,,,,,,,,,,
1,1,41,HR_110,HR_39,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,,,,
1,1,41,HR_110,HR_39,Flow Date,,,,,,,,,,,,,
1,1,42,HR_160,HR_173,Germ Date,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,2022-12-06,,,,PR-7,
1,1,42,HR_160,HR_173,Flow Date,,,,,,,,,,,,,
