Site: Blue Oak 2021-22,,,,,,,,,,
Block (1-3),Transect (1-14),Sequence (1-396),Tray Number,Tray Column,Cohort,Donor_ID,Recipient_ID,Number of filled seeds,Number seeds planting 2021,Number seeds per block
1,3,100,5,16,6,BO_1,BO_25,100,50,16.66666667
1,3,101,5,17,2,BO_096,BO_134,103,51,17
1,3,102,5,18,1,BO_119,BO_13,120,60,20
1,3,103,5,19,6,BO_69,BO_145,100,50,16.66666667
1,3,104,5,20,2,BO_189,BO_142,135,67,22.33333333
1,3,105,5,21,1,BO_088,BO_140,109,54,18
1,3,106,6,1,6,BO_1,BO_151,100,50,16.66666667
1,3,107,6,2,5,BO_109,BO_28,100,50,16.66666667
1,3,108,6,3,2,BO_029,BO_190,100,50,16.66666667
1,3,109,6,4,5,BO_173,BO_54,100,50,16.66666667
1,3,110,6,5,6,BO_32,BO_88,100,50,16.66666667
1,4,111,6,6,5,BO_65,BO_14,100,50,16.66666667
1,4,112,6,7,5,BO_173,BO_91,100,50,16.66666667
1,4,113,6,8,6,BO_153,BO_177,100,50,16.66666667
1,4,114,6,9,5,BO_58,BO_81,100,50,16.66666667
1,4,115,6,10,6,BO_153,BO_157,100,50,16.66666667
1,4,116,6,11,2,BO_022,BO_20,119,59,19.66666667
1,4,117,6,12,2,BO_029,BO_90,128,64,21.33333333
1,4,118,6,13,5,BO_70,BO_46,45,22,7.333333333
1,4,119,6,14,2,BO_199,BO_15,148,74,24.66666667
1,4,120,6,15,5,BO_143,BO_195,100,50,16.66666667
1,4,121,6,16,2,BO_199,BO_18,146,73,24.33333333
1,4,122,6,17,3,BO_163,BO_144,124,62,20.66666667
1,4,123,6,18,6,BO_149,BO_32,41,20,6.666666667
1,4,124,6,19,1,BO_106,BO_131,77,38,12.66666667
1,4,125,6,20,4,BO_74,BO_27,125,62,20.66666667
1,4,126,6,21,5,BO_194,BO_37,100,50,16.66666667
1,4,127,7,1,2,BO_177,BO_147,181,90,30
1,4,128,7,2,1,BO_151,BO_167,108,54,18
1,4,129,7,3,3,BO_39,BO_87,82,41,13.66666667
1,4,130,7,4,2,BO_130,BO_161,115,57,19
1,4,131,7,5,3,BO_39,BO_102,131,65,21.66666667
1,4,132,7,6,5,BO_70,BO_184,99,49,16.33333333
2,5,133,7,7,6,BO_40,BO_171,100,50,16.66666667
2,5,134,7,8,2,BO_177,BO_121,116,58,19.33333333
2,5,135,7,9,1,BO_128,BO_60,123,61,20.33333333
2,5,136,7,10,6,BO_183,BO_63,100,50,16.66666667
2,5,137,7,11,2,BO_096,BO_12,130,65,21.66666667
2,5,138,7,12,2,BO_022,BO_20,119,59,19.66666667
2,5,139,7,13,6,BO_153,BO_22,100,50,16.66666667
2,5,140,7,14,5,BO_162,BO_108,100,50,16.66666667
2,5,141,7,15,6,BO_183,BO_198,100,50,16.66666667
2,5,142,7,16,5,BO_65,BO_14,100,50,16.66666667
2,5,143,7,17,5,BO_109,BO_1,93,46,15.33333333
2,5,144,7,18,5,BO_162,BO_89,100,50,16.66666667
2,5,145,7,19,5,BO_109,BO_95,100,50,16.66666667
2,5,146,7,20,5,BO_58,BO_81,100,50,16.66666667
2,5,147,7,21,2,BO_038,BO_82,133,66,22
2,5,148,8,1,4,BO_170,BO_45,132,66,22
2,5,149,8,2,1,BO_119,BO_17,78,39,13
2,5,150,8,3,5,BO_65,BO_115,100,50,16.66666667
2,5,151,8,4,1,BO_185,BO_71,92,46,15.33333333
2,5,152,8,5,2,BO_189,BO_86,112,56,18.66666667
2,5,153,8,6,5,BO_173,BO_79,100,50,16.66666667
2,5,154,8,7,1,BO_185,BO_85,109,54,18
2,5,155,8,8,6,BO_13,BO_141,25,12,4
2,5,156,8,9,5,BO_194,BO_98,100,50,16.66666667
2,5,157,8,10,6,BO_201,BO_199,100,50,16.66666667
2,5,158,8,11,1,BO_119,BO_51,175,87,29
2,5,159,8,12,2,BO_038,BO_149,111,55,18.33333333
2,5,160,8,13,6,BO_149,BO_106,101,50,16.66666667
2,5,161,8,14,5,BO_109,BO_28,100,50,16.66666667
2,5,162,8,15,4,BO_74,BO_27,125,62,20.66666667
2,5,163,8,16,4,BO_170,BO_111,122,61,20.33333333
2,5,164,8,17,6,BO_69,BO_145,100,50,16.66666667
2,5,165,8,18,2,BO_022,BO_146,113,56,18.66666667
2,5,166,8,19,6,BO_13,BO_53,98,49,16.33333333
2,5,167,8,20,5,BO_143,BO_195,100,50,16.66666667
