Note: Yellow cells need to be rechecked in lab or by referencing old datasheet that had data in rows that were removed from the cumulative fruit dataset because they were non-fitness. Missing data. 07282022. DO NOT INSERT OR DELETE SINGLE CELLS FOR ANY REASON PLEASE!,,,,,Collection Date: 2022-05-13 to 2022-05-16,,,,Collection Date: 2022-05-24 to 2022-05-26,,,,Collection Date: 2022-06-06 to 2022-06-08,,,,Collection Date: 2022-06-22,,,,Collection Date: NA,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Sequence,Transect,Recipient,Recipient for Sorting,Plant number of fitness plant (when chosen),# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg
160,5,AC_201,AC_201,2,,,,,4,7,7,15.81,,,,,,,,,,,,
152,5,AC_211,AC_211,10,,,,,2,7,7,13.37,4,8,8,13.55,,,,,,,,
168,5,AC_212,AC_212,9,,,,,1,0,,,,,,,,,,,,,,
162,5,AC_213,AC_213,4,,,,,7,9,9,22.6,5,3,3,8.22,,,,,,,,
145,5,AC_216,AC_216,4,,,,,5,1,,,16,8,,,3,3,,,,,,
145,5,AC_216,AC_216,5,,,,,6,9,,,11,19,,,8,13,,,,,,
145,5,AC_216,AC_216,6,,,,,4,2,2,2.53,11,21,21,41.73,6,6,6,15.6,,,,
166,5,AC_217,AC_217,2,,,,,14,47,47,74.12,12,39,39,61.5,,,,,,,,
166,5,AC_217,AC_217,8,,,,,7,24,,,4,8,,,,,,,,,,
166,5,AC_217,AC_217,10,,,,,13,49,,,15,33,15,46.55,3,3,,,,,,
178,5,AC_218,AC_218,4,,,,,,,,,7,19,,,,,,,,,,
178,5,AC_218,AC_218,5,,,,,,,,,11,15,29,60.78,,,,,,,,
178,5,AC_218,AC_218,6,,,,,2,12,,,,,,,,,, ,,,,
214,6,AC_11,AC_011,6,,,,,11,15,15,46.58,1,2,2,9.38,1,3,3,4.9,,,,
190,6,AC_15,AC_015,4,,,,,2,4,4,9.98,1,2,2,4.97,,,,,,,,
213,6,AC_30,AC_030,10,,,,,2,2,2,2.04,,,,,,,,,,,,
191,6,AC_38,AC_038,5,,,,,4,6,6,29.16,5,3,3,10.35,,,,,,,,
194,6,AC_51,AC_051,3,,,,,1,1,1,1.79,,,,,,,,,,,,
180,6,AC_52,AC_052,6,,,,,,,,,,,,,,,,,,,,
206,6,AC_57,AC_057,5,,,,,16,46,46,103.2,7,9,9,26.17,,,,,,,,
196,6,AC_66,AC_066,6,,,,,,,,,,,,,,,,,,,,
205,6,AC_68,AC_068,8,2,6,6,11.74,15,74,50,80.64,7,14,14,21.54,,,,,,,,
200,6,AC_74,AC_074,7,,,,,3,9,9,10.82,,,,,,,,,,,,
199,6,AC_75,AC_075,3,1,0,,,3,5,5,8.74,,,,,,,,,,,,
193,6,AC_81,AC_081,2,,,,,3,14,,,1,2,,,,,,,,,,
193,6,AC_81,AC_081,7,,,,,8,14,,,9,38,,,,,,,,,,
193,6,AC_81,AC_081,8,,,,,5,17,17,24.96,,,,,,,,,,,,
181,6,AC_94,AC_094,5,,,,,1,0,,,2,3,3,7.97,,,,,,,,
185,6,AC_95,AC_095,6,,,,,5,6,6,14.45,1,2,2,4.24,,,,,,,,
202,6,AC_99,AC_099,10,,,,,8,11,11,16.15,,,,,,,,,,,,
202,6,AC_99,AC_099,5,,,,,6,55,,,,,,,,,,,,,,
209,6,AC_104,AC_104,10,2,16,16,30.15,8,56,50,85.02,3,9,9,19.65,,,,,,,,
203,6,AC_107,AC_107,8,,,,,16,57,50,104.24,13,36,36,76.46,,,,,,,,
208,6,AC_114,AC_114,9,2,11,11,14.16,17,82,50,87.18,5,11,11,31.65,,,,,,,,
182,6,AC_120,AC_120,4,,,,,1,0,,,,,,,,,,,,,,
201,6,AC_133,AC_133,3,,,,,3,4,4,14.97,2,2,2,4.41,,,,,,,,
189,6,AC_142,AC_142,2,,,,,1,0,,,,,,,,,,,,,,
211,6,AC_153,AC_153,7,2,13,13,28.22,9,38,38,89.06,5,13,13,30.52,,,,,,,,
207,6,AC_160,AC_160,2,3,7,7,18.27,20,74,50,68.34,8,14,14,28.27,1,2,2,3.06,,,,
192,6,AC_168,AC_168,3,2,,,,2,3,3,2.69,1,2,2,2.1,,,,,,,,
197,6,AC_181,AC_181,4,,,,,2,2,2,3.28,1,1,1,2.86,,,,,,,,
212,6,AC_187,AC_187,2,,,,,19,135,,,7,25,,,,,,,,,,
212,6,AC_187,AC_187,5,,,,,12,63,,,,,,,1,1,,,,,,
212,6,AC_187,AC_187,8,1,4,4,4.61,8,30,30,45.07,1,3,3,4.82,1,2,2,4.47,,,,
204,6,AC_188,AC_188,4,,,,,4,8,8,14.1,2,2,2,4.78,,,,,,,,
186,6,AC_189,AC_189,4,,,,,4,8,,,4,5,,,,,,,,,,
186,6,AC_189,AC_189,5,,,,,3,12,12,19.39,,,,,,,,,,,,
186,6,AC_189,AC_189,10,,,,,8,43,,,,,,,,,,,,,,
183,6,AC_190,AC_190,3,,,,,3,12,12,19.22,1,2,,,,,,,,,,
183,6,AC_190,AC_190,7,,,,,3,12,12,16.88,6,16,16,24.75,,,,,,,,
183,6,AC_190,AC_190,9,,,,,3,6,,,2,4,,,,,,,,,,
210,6,AC_191,AC_191,7,,,,,1,4,4,8.42,1,0,,,,,,,,,,
198,6,AC_193,AC_193,8,,,,,2,10,10,9.56,,,,,,,,,,,,
188,6,AC_195,AC_195,1,,,,,7,27,27,42.81,5,16,16,27.96,,,,,,,,
187,6,AC_199,AC_199,5,,,,,12,43,43,46.57,10,26,26,,,,,,,,,
195,6,AC_205,AC_205,5,,,,,7,11,11,23.6,3,3,3,8.3,,,,,,,,
184,6,AC_208,AC_208,1,,,,,1,5,,,1,4,,,,,,,,,,
184,6,AC_208,AC_208,4,,,,,3,5,5,11.12,3,6,6,9.7,,,,,,,,
184,6,AC_208,AC_208,8,,,,,3,4,,,,,,,,,,,,,,
228,7,AC_17,AC_017,6,,,,,13,39,39,78.63,10,17,17,28.4,,,,,,,,
232,7,AC_32,AC_032,6,,,,,3,7,7,13,1,0,,,,,,,,,,
243,7,AC_38,AC_038,1,2,4,4,10.22,7,15,15,31.35,2,3,3,7.54,,,,,,,,
241,7,AC_40,AC_040,1,,,,,7,26,,,,,,,,,,,,,,
241,7,AC_40,AC_040,4,,,,,,,,,,,,,,,,,,,,
241,7,AC_40,AC_040,7,2,4,,,,,,,4,9,,,,,,,,,,
239,7,AC_46,AC_046,8,,,,,6,6,6,8.86,3,3,3,3.29,,,,,,,,
231,7,AC_48,AC_048,1,,,,,3,11,11,20.07,,,,,,,,,,,,
233,7,AC_54,AC_054,7,,,,,,,,,,,,,,,,,,,,
218,7,AC_58,AC_058,3,,,,,7,14,14,36.39,,,,,2,4,4,13.12,2,4,4,9.29
218,7,AC_58,AC_058,5,,,,,8,24,,,6,8,,,,,,,,,,
218,7,AC_58,AC_058,9,,,,,2,5,,,,,,,,,,,,,,
237,7,AC_62,AC_062,4,5,5,,,7,19,19,20.92,4,10,10,14.68,,,,,,,,
238,7,AC_68,AC_068,8,,,,,7,23,23,36.55,,,,,,,,,,,,
246,7,AC_72,AC_072,6,,,,,6,22,22,37.54,,,,,,,,,,,,
217,7,AC_74,AC_074,2,,,,,3,4,4,5.27,2,3,3,8.87,,,,,,,,
216,7,AC_81,AC_081,3,,,,,5,26,,,10,3,,,,,,,,,,
216,7,AC_81,AC_081,6,,,,,8,11,11,16,15,52,50,91.19,6,15,15,29.83,,,,
216,7,AC_81,AC_081,8,,,,,9,23,,,7,9,,,,,,,,,,
225,7,AC_94,AC_094,2,,,,,2,1,1,3.05,2,1,1,2,,,,,,,,
245,7,AC_97,AC_097,1,,,,,5,15,15,33.3,2,1,1,1.47,,,,,,,,
245,7,AC_97,AC_097,7,2,12,,,9,18,,,,,,,,,,,,,,
245,7,AC_97,AC_097,10,13,15,,,9,31,,,2,16,,,,,,,,,,
219,7,AC_100,AC_100,9,,,,,5,5,5,7.95,4,5,5,9.47,,,,,,,,
244,7,AC_104,AC_104,8,1,1,1,3.38,6,8,8,23.31,,,,,,,,,,,,
220,7,AC_107,AC_107,6,,,,,7,6,6,9.89,5,10,10,22.86,,,,,,,,
223,7,AC_111,AC_111,1,,,,,3,12,,,,,,,,,,,,,,
223,7,AC_111,AC_111,5,,,,,5,29,29,43.05,4,7,7,13.98,,,,,,,,
223,7,AC_111,AC_111,7,,,,,4,12,,,3,12,,,,,,,,,,
248,7,AC_113,AC_113,8,,,,,2,2,2,3.41,,,,,,,,,,,,
230,7,AC_120,AC_120,7,,,,,11,15,15,30.38,3,3,3,4.96,,,,,,,,
236,7,AC_122,AC_122,3,,,,,3,7,7,13.03,,,,,,,,,,,,
221,7,AC_128,AC_128,3,,,,,7,8,8,18.59,4,5,5,13.77,,,,,,,,
234,7,AC_130,AC_130,7,,,,,5,13,13,19.66,,,,,,,,,,,,
240,7,AC_143,AC_143,4,,,,,1,2,2,3.67,,,,,,,,,,,,
224,7,AC_160,AC_160,8,,,,,10,21,21,55.19,7,11,11,25.03,,,,,,,,
226,7,AC_171,AC_171,10,,,,,11,14,14,37.58,,,,,,,,,5,8,8,16.06
249,7,AC_172,AC_172,3,,,,,5,18,18,19.51,,,,,,,,,,,,
247,7,AC_178,AC_178,4,,,,,1,2,2,4.29,,,,,,,,,,,,
215,7,AC_186,AC_186,9,,,,,,,,,3,12,12,16.1,,,,,,,,
250,7,AC_190,AC_190,1,,,,,,,,,,,,,,,,,,,,
250,7,AC_190,AC_190,4,4,23,,,17,104,,,2,1,,,,,,,,,,
250,7,AC_190,AC_190,8,2,10,10,10.47,,,,,,,,,,,,,,,,
242,7,AC_193,AC_193,5,,,,,7,5,5,14.28,,,,,,,,,,,,
222,7,AC_201,AC_201,8,,,,,4,6,6,8.87,4,3,3,3.43,,,,,,,,
235,7,AC_203,AC_203,5,,,,,3,8,8,11.81,,,,,,,,,,,,
227,7,AC_215,AC_215,2,,,,,12,24,24,47.67,4,2,2,4.03,,,,,,,,
229,7,AC_217,AC_217,2,,,,,5,9,,,3,5,,,,,,,,,,
229,7,AC_217,AC_217,9,,,,,8,22,,,5,9,9,27.79,1,1,,,,,,
229,7,AC_217,AC_217,10,,,,,5,6,6,24.15,1,0,,,,,,,,,,
257,8,AC_5,AC_005,6,,,,,5,3,3,9.03,2,3,3,5.57,,,,,,,,
275,8,AC_10,AC_010,8,2,0,,,,,,,,,,,,,,,,,,
286,8,AC_14,AC_014,5,,,,,4,18,18,53.36,4,8,8,18.77,4,5,5,24.58,,,,
276,8,AC_15,AC_015,3,,,,,5,7,7,11.49,,,,,,,,,,,,
274,8,AC_16,AC_016,6,,,,,2,3,3,5.51,4,5,5,5.93,,,,,,,,
262,8,AC_51,AC_051,7,,,,,,,,,,,,,,,,,,,,
258,8,AC_52,AC_052,9,1,0,,,3,3,3,6.85,2,2,2,6.68,,,,,,,,
251,8,AC_56,AC_056,6,,,,,4,1,1,1.56,3,3,3,7.77,,,,,,,,
267,8,AC_66,AC_066,1,,,,,3,1,1,1.83,,,,,,,,,,,,
269,8,AC_70,AC_070,2,,,,,4,4,,,,,,,,,,,,,,
269,8,AC_70,AC_070,4,,,,,4,9,9,11.88,,,,,,,,,,,,
269,8,AC_70,AC_070,5,,,,,5,4,,,,,,,,,,,,,,
263,8,AC_82,AC_082,6,,,,,3,2,2,3.44,,,,,,,,,,,,
263,8,AC_82,AC_082,7,,,,,4,10,,,,,,,,,,,,,,
263,8,AC_82,AC_082,8,,,,,3,2,2,3.49,,,,,,,,,,,,
278,8,AC_86,AC_086,1,1,1,1,0.91,3,10,10,20.37,,,,,,,,,,,,
264,8,AC_88,AC_088,2,,,,,6,9,9,12.48,,,,,,,,,,,,
255,8,AC_92,AC_092,2,,,,,5,2,2,1.82,4,2,2,5.3,,,,,,,,
253,8,AC_114,AC_114,8,,,,,6,6,6,9.89,7,0,,,,,,,,,,
277,8,AC_131,AC_131,7,2,7,7,11.9,18,77,50,103.99,13,33,33,78.33,8,14,14,34.78,,,,
260,8,AC_133,AC_133,3,,,,,6,4,4,15,1,1,1,2.38,,,,,,,,
266,8,AC_136,AC_136,3,,,,,3,3,3,9.05,,,,,,,,,,,,
281,8,AC_144,AC_144,2,,,,,,,,,,,,,,,,,,,,
259,8,AC_148,AC_148,5,,,,,,,,,,,,,,,,,,,,
270,8,AC_154,AC_154,10,1,0,,,4,6,6,9,2,2,2,3.17,,,,,,,,
261,8,AC_158,AC_158,5,,,,,4,3,3,7.58,2,3,3,3.72,,,,,,,,
279,8,AC_159,AC_159,7,,,,,8,37,37,36.41,,,,,,,,,,,,
256,8,AC_179,AC_179,1,,,,,8,13,13,28.61,2,1,1,2.66,,,,,,,,
252,8,AC_181,AC_181,10,,,,,4,6,6,7.06,3,2,2,3.04,1,0,,,,,,
284,8,AC_182,AC_182,3,,,,,1,5,5,9.83,,,,,,,,,,,,
283,8,AC_185,AC_185,6,3,20,20,41.37,8,62,50,82.6,1,0,,,,,,,,,,
268,8,AC_191,AC_191,NA,,,,,,,,,,,,,,,,,,,,
273,8,AC_192,AC_192,1,,,,,2,7,7,12.21,,,,,,,,,,,,
265,8,AC_195,AC_195,5,,,,,2,5,5,8.56,,,,,,,,,,,,
285,8,AC_199,AC_199,4,1,0,,,3,9,9,22.74,,,,,1,0,,,,,,
282,8,AC_200,AC_200,7,3,9,9,12.58,4,15,15,24.04,,,,,,,,,,,,
271,8,AC_206,AC_206,7,1,0,,,2,0,,,,,,,,,,,,,,
272,8,AC_208,AC_208,2,,,,,4,3,3,5.97,1,0,,,,,,,,,,
272,8,AC_208,AC_208,6,,,,,1,2,,,,,,,,,,,,,,
254,8,AC_211,AC_211,7,,,,,3,2,2,5.95,3,6,6,3.38,,,,,,,,
280,8,AC_213,AC_213,4,,,,,6,15,15,44.29,,,,,,,,,,,,
301,9,AC_11,AC_011,2,,,,,3,5,5,6.92,2,3,3,2.07,,,,,,,,
320,9,AC_30,AC_030,9,1,1,1,1.88,1,2,2,6.98,,,,,,,,,,,,
310,9,AC_34,AC_034,3,2,0,,,8,20,,,5,21,,,,,,,,,,
310,9,AC_34,AC_034,7,1,2,2,3.02,8,18,18,41.26,4,12,12,27.27,,,,,,,,
310,9,AC_34,AC_034,9,,,,,2,6,,,,,,,,,,,,,,
316,9,AC_55,AC_055,3,3,3,3,6.69,8,31,31,54.56,,,,,,,,,,,,
316,9,AC_55,AC_055,5,5,27,,,5,13,,,1,2,,,,,,,,,,
316,9,AC_55,AC_055,6,1,2,,,3,4,,,,,,,,,,,,,,
307,9,AC_57,AC_057,NA,,,,,,,,,,,,,,,,,,,,
300,9,AC_64,AC_064,2,,,,,3,7,7,8.86,,,,,,,,,,,,
299,9,AC_75,AC_075,6,2,0,,,4,6,6,10.44,,,,,,,,,,,,
309,9,AC_83,AC_083,7,,,,,1,1,1,1.81,,,,,,,,,,,,
315,9,AC_89,AC_089,2,3,9,8,13.31,2,13,,,,,,,,,,,,,,
287,9,AC_90,AC_090,10,,,,,1,0,,,2,0,,,,,,,,,,
308,9,AC_95,AC_095,10,3,0,,,7,7,,,3,2,,,,,,,,,,
305,9,AC_96,AC_096,10,,,,,4,3,,,1,1,,,,,,,,,,
294,9,AC_99,AC_099,3,,,,,2,7,,,,,,,,,,,,,,
294,9,AC_99,AC_099,6,,,,,3,7,,,,,,,,,,,,,,
294,9,AC_99,AC_099,7,,,,,3,13,,,2,3,,,,,,,,,,
297,9,AC_109,AC_109,5,3,5,,,5,9,,,2,2,,,,,,,,,,
297,9,AC_109,AC_109,1,,,,,4,8,,,,,,,,,,,,,,
297,9,AC_109,AC_109,8,,,,,5,14,,,5,17,,,,,,,,,,
317,9,AC_110,AC_110,10,3,10,,,7,57,,,3,0,,,,,,,,,,
313,9,AC_115,AC_115,1,6,7,,,9,32,32,50.35,,,,,,,,,2,3,3,3.36
293,9,AC_118,AC_118,2,,,,,3,8,8,8.68,3,3,3,4.36,,,,,,,,
298,9,AC_119,AC_119,6,,,,,5,9,9,20.91,5,7,7,17.75,,,,,,,,
314,9,AC_123,AC_123,10,2,0,,,3,8,8,19.41,,,,,,,,,,,,
321,9,AC_142,AC_142,10,,,,,1,2,2,2.2,,,,,,,,,,,,
295,9,AC_147,AC_147,4,,,,,6,16,16,30.14,1,0,,,,,,,,,,
296,9,AC_151,AC_151,1,,,,,2,2,2,6.27,,,,,,,,,,,,
302,9,AC_152,AC_152,6,,,,,,,,,,,,,,,,,,,,
292,9,AC_153,AC_153,9,,,,,3,11,11,16.32,3,1,1,1.24,,,,,,,,
312,9,AC_155,AC_155,5,2,0,,,13,73,50,87.58,.,,,,,,,,,,,
306,9,AC_168,AC_168,9,1,0,,,1,0,,,,,,,,,,,,,,
303,9,AC_187,AC_187,6,1,0,,,5,4,,,,,,,,,,,4,7,,
303,9,AC_187,AC_187,2,,,,,4,6,,,,,,,,,,,,,,
303,9,AC_187,AC_187,3,,,,,2,1,1,1.76,,,,,,,,,,,,
288,9,AC_188,AC_188,7,,,,,1,0,,,2,0,,,,,,,,,,
290,9,AC_189,AC_189,2,,,,,6,3,,,4,6,,,,,,,,,,
290,9,AC_189,AC_189,4,,,,,3,16,16,23.41,3,4,4,4.55,,,,,,,,
290,9,AC_189,AC_189,9,,,,,4,7,,,,,,,,,,,,,,
319,9,AC_197,AC_197,5,1,0,,,5,10,,,,,,,,,,,,,,
319,9,AC_197,AC_197,8,3,9,9,30.84,,,,,3,4,4,20.04,,,,,,,,
319,9,AC_197,AC_197,10,,,,,,,,,,,,,,,,,,,,
304,9,AC_204,AC_204,3,,,,,8,15,,,,,,,,,,,1,1,,
304,9,AC_204,AC_204,6,,,,,7,17,16,30.55,2,2,2,4.86,,,,,,,,
304,9,AC_204,AC_204,10,,,,,1,4,,,,,,,,,,,,,,
289,9,AC_205,AC_205,1,,,,,5,4,4,12.39,5,17,17,,,,,,,,,
291,9,AC_212,AC_212,10,,,,,2,7,7,9.16,2,1,1,2.07,,,,,,,,
318,9,AC_216,AC_216,3,2,5,,,3,5,,,,,,,,,,,,,,
318,9,AC_216,AC_216,8,2,5,,,4,11,,,,,,,,,,,,,,
311,9,AC_218,AC_218,2,,,,,6,11,11,33.02,,,,,,,,,,,,
311,9,AC_218,AC_218,8,,,,,1,3,3,7.04,,,,,,,,,,,,
311,9,AC_218,AC_218,10,2,3,,,6,14,,,,,,,,,,,,,,
322,W1,AC_34,AC_034,1,,,,,2,2,,,6,9,,,,,,,,,,
322,W1,AC_34,AC_034,2,,,,,2,0,,,8,31,,,,,,,,,,
322,W1,AC_34,AC_034,6,,,,,3,2,,,6,10,,,,,,,,,,
332,W1,AC_40,AC_040,4,,,,,7,15,,,,,,,,,,,,,,
332,W1,AC_40,AC_040,6,,,,,3,8,,,,,,,,,,,,,,
329,W1,AC_55,AC_055,1,,,,,4,8,,,2,3,,,,,,,,,,
329,W1,AC_55,AC_055,4,,,,,2,1,,,,,,,,,,,,,,
329,W1,AC_55,AC_055,8,,,,,1,6,,,,,,,,,,,,,,
339,W1,AC_58,AC_058,3,,,,,2,5,,,1,1,,,,,,,,,,
339,W1,AC_58,AC_058,6,,,,,1,4,,,,,,,,,,,,,,
339,W1,AC_58,AC_058,7,,,,,,,,,,,,,,,,,,,,
337,W1,AC_70,AC_070,4,,,,,3,2,,,,,,,,,,,,,,
337,W1,AC_70,AC_070,6,,,,,1,4,,,,,,,,,,,,,,
323,W1,AC_81,AC_081,2,,,,,6,6,,,13,25,,,,,,,,,,
323,W1,AC_81,AC_081,5,,,,,2,2,,,4,6,,,1,1,,,,,,
323,W1,AC_81,AC_081,8,,,,,5,7,,,10,35,,,,,,,,,,
331,W1,AC_82,AC_082,2,,,,,3,7,,,,,,,,,,,,,,
331,W1,AC_82,AC_082,3,,,,,3,8,,,,,,,,,,,,,,
331,W1,AC_82,AC_082,6,,,,,1,3,,,,,,,,,,,,,,
325,W1,AC_97,AC_097,6,,,,,4,12,,,5,2,,,,,,,,,,
325,W1,AC_97,AC_097,7,,,,,5,6,,,,,,,,,,,,,,
325,W1,AC_97,AC_097,8,,,,,3,8,,,,,,,,,,,,,,
333,W1,AC_99,AC_099,3,,,,,12,67,,,2,0,,,,,,,,,,
333,W1,AC_99,AC_099,4,,,,,4,23,,,,,,,,,,,,,,
326,W1,AC_109,AC_109,1,,,,,3,5,,,4,3,,,,,,,,,,
326,W1,AC_109,AC_109,3,,,,,5,18,,,5,18,,,,,,,,,,
326,W1,AC_109,AC_109,4,,,,,5,19,,,2,3,,,,,,,,,,
330,W1,AC_111,AC_111,4,,,,,2,16,,,2,4,,,,,,,,,,
330,W1,AC_111,AC_111,6,,,,,1,2,,,,,,,,,,,,,,
335,W1,AC_147,AC_147,3,,,,,3,5,,,,,,,,,,,,,,
335,W1,AC_147,AC_147,4,,,,,3,1,,,,,,,,,,,,,,
335,W1,AC_147,AC_147,6,,,,,1,3,,,,,,,,,,,,,,
340,W1,AC_187,AC_187,4,,,,,9,15,,,3,2,,,,,,,,,,
340,W1,AC_187,AC_187,5,,,,,,,,,,,,,,,,,,,,
340,W1,AC_187,AC_187,6,,,,,4,11,,,,,,,,,,,,,,
336,W1,AC_189,AC_189,3,,,,,3,3,,,,,,,,,,,,,,
336,W1,AC_189,AC_189,5,,,,,3,1,,,,,,,,,,,,,,
336,W1,AC_189,AC_189,8,,,,,2,4,,,,,,,,,,,,,,
342,W1,AC_190,AC_190,2,,,,,7,4,,,4,10,,,,,,,,,,
342,W1,AC_190,AC_190,8,,,,,1,1,,,,,,,,,,,,,,
341,W1,AC_197,AC_197,3,,,,,6,17,,,3,7,,,,,,,,,,
341,W1,AC_197,AC_197,8,,,,,1,0,,,,,,,,,,,,,,
324,W1,AC_204,AC_204,3,,,,,5,21,,,5,3,,,,,,,,,,
324,W1,AC_204,AC_204,4,,,,,6,14,,,7,13,,,1,1,,,,,,
324,W1,AC_204,AC_204,5,,,,,5,18,,,5,1,,,,,,,,,,
334,W1,AC_208,AC_208,1,,,,,1,3,,,,,,,,,,,,,,
334,W1,AC_208,AC_208,7,,,,,,,,,,,,,,,,,,,,
334,W1,AC_208,AC_208,8,,,,,4,9,,,,,,,,,,,,,,
328,W1,AC_216,AC_216,1,,,,,3,4,,,1,3,,,,,,,,,,
328,W1,AC_216,AC_216,6,,,,,2,4,,,6,12,,,,,,,,,,
328,W1,AC_216,AC_216,8,,,,,3,6,,,2,3,,,,,,,,,,
338,W1,AC_217,AC_217,2,,,,,13,46,,,4,7,,,,,,,,,,
338,W1,AC_217,AC_217,7,,,,,2,6,,,,,,,,,,,,,,
338,W1,AC_217,AC_217,8,,,,,3,6,,,,,,,,,,,,,,
327,W1,AC_218,AC_218,3,,,,,2,2,,,,,,,,,,,,,,
327,W1,AC_218,AC_218,4,,,,,3,4,,,3,3,,,,,,,,,,
327,W1,AC_218,AC_218,5,,,,,3,3,,,,,,,,,,,,,,
357,W2,AC_34,AC_034,3,,,,,1,1,,,,,,,,,,,,,,
357,W2,AC_34,AC_034,5,,,,,1,0,,,,,,,,,,,,,,
352,W2,AC_40,AC_040,5,,,,,5,7,,,,,,,,,,,,,,
352,W2,AC_40,AC_040,6,,,,,,,,,2,1,,,,,,,,,,
352,W2,AC_40,AC_040,7,,,,,4,5,,,,,,,,,,,,,,
343,W2,AC_55,AC_055,3,,,,,1,0,,,2,1,,,,,,,,,,
343,W2,AC_55,AC_055,6,,,,,3,0,,,4,4,,,,,,,,,,
343,W2,AC_55,AC_055,7,,,,,7,5,,,17,22,,,2,1,,,,,,
349,W2,AC_58,AC_058,1,,,,,3,6,,,,,,,,,,,,,,
349,W2,AC_58,AC_058,2,,,,,4,11,,,2,1,,,,,,,,,,
349,W2,AC_58,AC_058,3,,,,,3,7,,,2,1,,,,,,,,,,
360,W2,AC_70,AC_070,2,,,,,3,2,,,,,,,,,,,,,,
360,W2,AC_70,AC_070,7,,,,,1,1,,,,,,,,,,,,,,
359,W2,AC_81,AC_081,1,,,,,10,53,,,,,,,,,,,,,,
359,W2,AC_81,AC_081,2,,,,,2,14,,,,,,,,,,,,,,
359,W2,AC_81,AC_081,8,,,,,4,12,,,,,,,,,,,,,,
358,W2,AC_82,AC_082,2,,,,,2,2,,,,,,,,,,,,,,
358,W2,AC_82,AC_082,4,,,,,4,4,,,,,,,,,,,,,,
347,W2,AC_97,AC_097,1,,,,,1,0,,,3,4,,,,,,,,,,
347,W2,AC_97,AC_097,4,,,,,1,0,,,4,10,,,,,,,,,,
347,W2,AC_97,AC_097,7,,,,,6,21,,,6,11,,,,,,,,,,
354,W2,AC_99,AC_099,6,,,,,6,44,,,1,0,,,,,,,,,,
354,W2,AC_99,AC_099,7,,,,,8,32,,,2,0,,,,,,,,,,
361,W2,AC_109,AC_109,4,,,,,5,10,,,2,5,,,,,,,,,,
361,W2,AC_109,AC_109,5,,,,,4,14,,,,,,,,,,,1,0,,
361,W2,AC_109,AC_109,8,,,,,3,15,,,,,,,,,,,,,,
356,W2,AC_111,AC_111,4,,,,,,,,,1,1,,,,,,,,,,
344,W2,AC_147,AC_147,1,,,,,1,0,,,3,3,,,,,,,,,,
344,W2,AC_147,AC_147,2,,,,,3,4,,,1,0,,,,,,,,,,
344,W2,AC_147,AC_147,6,,,,,3,2,,,3,4,,,,,,,,,,
351,W2,AC_187,AC_187,3,,,,,4,7,,,,,,,,,,,,,,
351,W2,AC_187,AC_187,4,,,,,4,8,,,,,,,,,,,,,,
351,W2,AC_187,AC_187,8,,,,,2,8,,,1,2,,,,,,,,,,
353,W2,AC_189,AC_189,2,,,,,4,7,,,1,2,,,,,,,,,,
353,W2,AC_189,AC_189,4,,,,,3,5,,,,,,,,,,,,,,
353,W2,AC_189,AC_189,8,,,,,3,0,,,4,0,,,,,,,,,,
346,W2,AC_190,AC_190,1,,,,,2,0,,,3,5,,,,,,,,,,
346,W2,AC_190,AC_190,4,,,,,4,9,,,2,0,,,,,,,,,,
346,W2,AC_190,AC_190,7,,,,,2,6,,,,,,,,,,,,,,
363,W2,AC_197,AC_197,5,,,,,2,2,,,,,,,,,,,,,,
363,W2,AC_197,AC_197,6,,,,,2,6,,,,,,,,,,,,,,
363,W2,AC_197,AC_197,7,,,,,2,6,,,,,,,,,,,,,,
345,W2,AC_204,AC_204,2,,,,,7,3,,,6,16,,,,,,,,,,
345,W2,AC_204,AC_204,5,,,,,,,,,8,16,,,1,2,,,,,,
345,W2,AC_204,AC_204,8,,,,,9,45,,,9,31,,,,,,,,,,
355,W2,AC_208,AC_208,6,,,,,3,8,,,,,,,,,,,,,,
355,W2,AC_208,AC_208,7,,,,,6,7,,,,,,,,,,,,,,
350,W2,AC_216,AC_216,1,,,,,8,9,,,3,1,,,,,,,,,,
350,W2,AC_216,AC_216,3,,,,,8,19,,,6,6,,,,,,,,,,
350,W2,AC_216,AC_216,7,,,,,9,34,,,,,,,,,,,,,,
348,W2,AC_217,AC_217,6,,,,,1,0,,,,,,,,,,,,,,
348,W2,AC_217,AC_217,8,,,,,4,4,,,1,0,,,,,,,,,,
