Note: Yellow cells need to be rechecked in lab or by referencing old datasheet that had data in rows that were removed from the cumulative fruit dataset because they were non-fitness. Missing data. 07282022. DO NOT INSERT OR DELETE SINGLE CELLS FOR ANY REASON PLEASE!,,,,,Collection Date: 2022-05-13 to 2022-05-16,,,,Collection Date: 2022-05-24 to 2022-05-26,,,,Collection Date: 2022-06-06 to 2022-06-08,,,,Collection Date: 2022-06-22,,,,Collection Date: NA,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Sequence,Transect,Recipient,Recipient for Sorting,Plant number of fitness plant (when chosen),# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg
38,2,AC_34,AC_034,2,,,,,3,10,10,16.17,5,18,18,26.19,,,,,,,,
38,2,AC_34,AC_034,9,,,,,,,,,,,,,,,,,,,,
46,2,AC_38,AC_038,8,,,,,3,3,3,3.49,2,0,,,,,,,,,,
61,2,AC_52,AC_052,3,,,,,5,6,6,18.47,2,0,,,,,,,,,,
54,2,AC_54,AC_054,4,,,,,4,8,8,23.46,7,10,10,16.26,3,1,1,2.26,,,,
39,2,AC_68,AC_068,9,,,,,6,7,7,23.46,7,13,13,21.77,5,1,14,35.65,,,,
58,2,AC_72,AC_072,7,,,,,5,10,10,19.83,4,3,3,7.4,,,,,,,,
64,2,AC_82,AC_082,7,,,,,4,10,10,9.71,,,,,,,,,,,,
64,2,AC_82,AC_082,8,,,,,5,9,9,13.66,1,1,1,2.1,,,,,,,,
64,2,AC_82,AC_082,9,,,,,1,0,,,,,,,,,,,,,,
40,2,AC_83,AC_083,1,,,,,2,2,2,3.69,2,3,3,7.16,,,,,,,,
50,2,AC_94,AC_094,7,,,,,6,26,26,34.61,5,18,18,26.51,3,8,8,17.08,,,,
49,2,AC_104,AC_104,7,,,,,6,20,20,37.6,9,18,18,39.37,6,8,8,19.49,,,,
47,2,AC_114,AC_114,6,,,,,5,21,21,29.81,4,4,4,7.67,,,,,,,,
68,2,AC_118,AC_118,6,,,,,1,0,,,,,,,,,,,,,,
60,2,AC_123,AC_123,1,,,,,1,5,5,8.83,,,,,,,,,,,,
45,2,AC_142,AC_142,2,,,,,4,7,7,18.46,6,21,21,34.21,,,,,,,,
59,2,AC_143,AC_143,7,,,,,4,11,11,13.75,10,18,18,35.12,2,4,4,8.82,,,,
63,2,AC_144,AC_144,5,,,,,3,19,19,29.79,2,4,4,9.14,,,,,,,,
71,2,AC_148,AC_148,8,,,,,5,9,9,17.35,,,,,,,,,,,,
65,2,AC_152,AC_152,5,,,,,,,,,,,,,,,,,,,,
37,2,AC_153,AC_153,4,,,,,1,0,,,3,7,7,12.4,,,,,,,,
53,2,AC_158,AC_158,6,,,,,9,50,50,106.41,14,23,23,45.99,16,42,42,92.69,,,,
69,2,AC_159,AC_159,3,,,,,7,10,10,11.77,,,,,,,,,,,,
52,2,AC_171,AC_171,7,,,,,1,1,1,3.82,2,7,7,16.73,2,7,,,,,,
55,2,AC_172,AC_172,3,,,,,2,11,11,15.62,4,9,9,11.29,1,0,,,,,,
