,,,,,,Collection Date: 2022-04-13 ,,,,Collection Date: 2022-04-21 to 2022-04-22,,,,Collection Date: 2022-04-28 to 2022-04-29,,,,Collection Date: 2022-05-05,,,,Collection Date: 2022-05-11 to 2022-05-13,,,,Collection Date: 2022-05-20,,,,Collection Date: 2022-05-25 to 2022-05-27,,,,Collection Date: 2022-06-13 to 2022-06-14,,,,Collection Date: NA,,,,closed_fruits_F,total_fruits_F,nonfitness_fruits,seed_ct,mean_seeds_per_fruit,total_est_seed_production,Germ_Date
Transect,Sequence,Donor,Block,Recipient,Plant_ID,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,# of CLOSED Fruits collected from FITNESS plant,# of FILLED SEEDS from closed fruits collected from fitness plant,# of seeds WEIGHED,Mass of ALL WEIGHED SEEDS_mg,15,37,0,12,0.8,29.6,12/6/2021
2,74,BO_170,1,BO_055,7,,,,,,,,,,,,,,,,,,,1,10.02,,,,,,,1,7.24,,,,,,,,,0,0,3,NA,0,0,12/6/2021
2,51,BO_151,1,BO_056,3,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.88,,,,,,,,,1,1,2,0,0,0,12/6/2021
2,68,BO_029,1,BO_061,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,9.1,,,,,,,,,2,2,3,2,1,2,12/28/2021
2,52,BO_183,1,BO_063,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,7,0,0,0,0,12/6/2021
2,61,BO_185,1,BO_071,6,,,,,,,,,,,,,,,,,,,6,7.5,,,,,,,,,,,,,,,,,3,4,0,2,0.666667,2.666667,12/6/2021
2,69,BO_163,1,BO_072,2,,,,,,,,,,,,,,,,,,,,,,,2,5.77,,,,,,,,,,,,,14,32,0,21,1.5,48,12/6/2021
2,50,BO_065,1,BO_078,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,12/6/2021
2,72,BO_189,1,BO_086,7,,,,,,,,,,,,,,,,,,,5,21.85,,,,,,,1,4.11,,,,,,,,,0,0,NA,NA,0,0,12/15/2021
2,59,BO_162,1,BO_089,3,,,,,,,,,,,,,,,,,,,,,,,3,6.28,,,4,11.14,,,,,,,,,6,22,17,6,1,22,12/6/2021
2,75,BO_109,1,BO_095,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,8,3,3,18,12/6/2021
2,64,BO_149,1,BO_106,6,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.27,,,,,,,,,2,27,0,0,0,0,12/6/2021
2,56,BO_170,1,BO_111,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,4,14,0,0,0,12/6/2021
2,67,BO_194,1,BO_125,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,22,2,2,1,22,12/6/2021
2,57,BO_032,1,BO_132,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,1,4,1.333333,4,12/6/2021
2,73,BO_143,1,BO_152,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,27,5,2,0.222222,6,12/15/2021
2,60,BO_188,1,BO_154,8,,,,,,,,,,,,,,,,,,,,,,,,,,,6,38.68,,,,,,,,,3,3,16,6,2,6,12/6/2021
2,62,BO_198,1,BO_159,6,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6.56,,,,,,,,,0,0,NA,NA,0,0,12/6/2021
2,58,BO_162,1,BO_164,5,,,,,,,,,,,,,,,,,,,4,13.11,,,,,,,,,,,,,,,,,2,3,1,7,3.5,10.5,12/6/2021
2,77,BO_130,1,BO_174,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,0,0,0,0,12/6/2021
2,47,BO_201,1,BO_189,4,,,,,,,,,,,,,,,,,,,,,,,,,,,3,8.37,,,,,,,,,0,2,1,0,0,0,12/6/2021
2,49,BO_183,1,BO_198,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,0,0,0,12/6/2021
2,63,BO_201,1,BO_199,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,1,12/6/2021
2,71,BO_039,1,BO_200,6,,,,,,,,,,,,,,,,,,,,,,,,,,,3,11.83,,,,,,,,,4,8,0,6,1.5,12,12/6/2021
3,94,BO_109,1,BO_001,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,NA,0,0,12/6/2021
3,100,BO_001,1,BO_025,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,NA,0,0,12/6/2021
3,107,BO_109,1,BO_028,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,NA,0,0,12/28/2021
3,109,BO_173,1,BO_054,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,13,0,6,2,26,12/6/2021
3,89,BO_199,1,BO_069,1,,,,,,,,,,,,,,,,,,,,,,,,,,,6,22.27,,,,,,,,,0,0,2,NA,0,0,12/6/2021
3,110,BO_032,1,BO_088,5,,,,,,,,,,,,,,,,,,,,,,,,,,,6,38.49,,,,,,,,,1,1,0,0,0,0,12/6/2021
3,95,BO_198,1,BO_100,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,2,6,2,16,NA
3,98,BO_183,1,BO_116,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,9,0,0,0,12/6/2021
