Transect,Recipient,Plant_ID,F?,3/11,3/17,3/25,04/01,04/08,4/13,4/21,4/28,05/05,5/12,5/20,5/25,,SLA,flr_P,Recipient,Plant_ID,F?,3/11,3/17,3/25,04/01,04/08,4/13,4/21,4/28,05/05,5/12,5/20,5/25,,SLA,flr_P
1,BO_34,2,,,,,,,,,,,,,,,,,BO_34,6,,,,,,,,,,,,,,,,
1,BO_34,3,,,,,,,,,,,,,,,,,BO_34,7,,,,,,,,,,,,,,,,
1,BO_34,4,,,,,,,,,,,,,,,,,BO_34,8,,,,,,,,,,,,,,,,
1,BO_47,1,,,,,,,,,,,,,,,,,BO_47,5,,,,,,,,4/21,4/28,,G,,,,,
1,BO_47,2,,,,,,,,,,,,,,,,,BO_47,6,F,,,,,04/08,,4/21,4/28,,,,,,,4/21
1,BO_47,3,,,,,,,,4/21,4/28,05/05,G,,,,,,BO_47,7,,,,,,,,,,,,,,,,
1,BO_47,4,,,,,,,,,,,,,,,,,BO_47,8,,,,,,,,,,,,,,,,
1,BO_8,1,,,,,,,,,,,,,,,,,BO_8,5,,,,,,,,,,,,,,,,
1,BO_8,2,F,,,,,04/08,4/13,4/21,,,G,,,,,4/13,BO_8,6,,,,,,,,,,,,,,,,
1,BO_8,3,,,,,,,,,,,,,,,,,BO_8,7,,,,,,,,,,,,,,,,
1,BO_8,4,,,,,,,,,,,,,,,,,BO_8,8,,,,,,,,,,,,,,,,
1,BO_191,1,,,,,,,,4/21,4/28,05/05,5/12,5/20,,,5/12,,BO_191,5,,,,,,,,,,,,,,,,
1,BO_191,2,,,,,,,,,,,,,,,,,BO_191,6,F,,,,,04/08,4/13,4/21,4/28,05/05,G,,,,,4/21
1,BO_191,3,,,,,,,,,,,,,,,,,BO_191,7,,,,,,,4/13,4/21,4/28,05/05,G,,,,,
1,BO_191,4,,,,,,04/08,4/13,4/21,,,,,,,,04/08,BO_191,8,,,,,,,,,,,,,,,,
1,BO_117,1,,,,,,,,,,,,,,,,,BO_117,5,,,,,,,,,,05/05,,,,,,
1,BO_117,2,,,,,,,,,,,,,,,,,BO_117,6,,,,,,,,,,,,,,,,
1,BO_117,3,,,,,,,,,,,,,,,,,BO_117,7,F,,,,,04/08,4/13,4/21,4/28,05/05,G,,,,,4/21
1,BO_117,4,,,,,,,,,,,,,,,,,BO_117,8,,,,,,,,,,,,,,,,
1,BO_120,1,,,,,,,,,,,,,,,,,BO_120,5,,,,,,,,,,,,,,,,
1,BO_120,2,F,,,,,,4/13,4/21,,,G,,,,,4/13,BO_120,6,,,,,,,,,,,,,,,,
1,BO_120,3,,,,,,,,,,,,,,,,,BO_120,7,,,,,,,,,,,,,,,,
1,BO_120,4,,,,,,,,,,,,,,,,,BO_120,8,,,,,,,,,,,,,,,,
1,BO_21,1,F,,,,,,,4/21,,05/05,5/12,,,,,,BO_21,5,,,,,,,,,,,,,,,,
1,BO_21,2,,,,,,,,,,,,,,,,,BO_21,6,,,,,,,,,,,,,,,,
1,BO_21,3,F,,,,,,4/13,4/21,,,5/12,5/20,,,,,BO_21,7,,,,,,,,,,,,,,,,
1,BO_21,4,F,,,,,,4/13,4/21,,,,,,,,4/13,BO_21,8,,,,,,,,,,,,,,,,
1,BO_24,1,,,,,,,,,,,,,,,,,BO_24,5,,,,,,,,,,,,,,,,
1,BO_24,2,F,,,,,,,,,,,,,,,,BO_24,6,,,,,,,,,,,,,,,,
1,BO_24,3,F,,,,,04/08,4/13,4/21,,,,5/20,,,,4/13,BO_24,7,,,,,,,,,,,,,,,,
1,BO_24,4,,,,,,,,,,,,,,,,,BO_24,8,,,,,,,,,,,,,,,,
1,BO_4,1,,,,,,,,,,,,,,,,,BO_4,5,,,,,,,,,,,,,,,,
1,BO_4,2,,,,,,,,,,,,,,,,,BO_4,6,F,,,,,,4/13,,,,,,,,,4/13
1,BO_4,3,,,,,,,,,,,,,,,,,BO_4,7,F,,,,,,4/13,,,,,,,,,4/13
1,BO_4,4,,,,,,,,,,,,,,,,,BO_4,8,,,,,,,,,,,,,,,,
1,BO_60,1,,,,,,,,,,,,,,,,,BO_60,5,,,,,,,4/13,4/21,,,,,,,5/12,4/13
1,BO_60,2,,,,,,,,,,,,,,,,,BO_60,6,,,,,,,,,,,,,,,,
1,BO_60,3,,,,,,,,,,,,,,,,,BO_60,7,,,,,,,,,,,,,,,,
1,BO_60,4,F,,,,,04/08,4/13,4/21,,,,,,,,4/13,BO_60,8,,,,,,,,,,,,,,,,
1,BO_176,1,,,,,,,,,,,,,,,,,BO_176,5,F,,,,04/01,04/08,4/13,,,,,,,,,04/01
1,BO_176,2,,,,,,,,,,,,,,,,,BO_176,6,,,,,,,,,,,,,,,,
1,BO_176,3,,,,,,,,,,,,,,,,,BO_176,7,,,,,,04/08,,,,,,,,,,
1,BO_176,4,,,,,04/01,04/08,,,,,,,,,5/12,04/01,BO_176,8,,,,,,04/08,,,,,,,,,,
1,BO_185,1,f,,,,,04/08,,,,,,,,,,,BO_185,5,,,,,,,,,,,,,,,,
1,BO_185,2,,,,,,,,,,,,,,,,,BO_185,6,,,,,,,,,,,,,,,,
1,BO_185,3,,,,,,,,,,,,,,,,,BO_185,7,,,,,,,,,,,,,,,,
1,BO_185,4,,,,,,,,,,,,,,,,,BO_185,8,,,,,,,,,,,,,,,,
1,BO_178,1,,,,,04/01,,,,,,,,,,,,BO_178,5,,,,,,,,,,,,,,,,
1,BO_178,2,,,,,,,,,,,,,,,,,BO_178,6,,,,,,,,,,,,,,,,
1,BO_178,3,F,,,,04/01,04/08,,,4/28,,,,,,,04/01,BO_178,7,,,,3/25,04/01,04/08,,4/21,,,,,,,,3/25
1,BO_178,4,,,,,04/01,04/08,,4/21,,05/05,5/12,5/20,,,5/12,,BO_178,8,,,,,,,,4/21,,,,,,,,
1,BO_98,1,,,,,,,,,,,,,,,,,BO_98,5,,,,,,,,,,,,,,,,
1,BO_98,2,,,,,,,,,,,,,,,,,BO_98,6,,,,,,,,,,,,,,,,
1,BO_98,3,,,,,,,,,,,,,,,,,BO_98,7,F,,,3/25,04/01,,,4/21,4/28,,,,,,,3/25
1,BO_98,4,,,,,,,,,,,,,,,,,BO_98,8,,,,,,,,,,,,,,,,
1,BO_139,1,,,,,,,,,,,,,,,,,BO_139,5,,,,,,,,,,,,,,,,
1,BO_139,2,,,,,,04/08,,,,,,,,,,,BO_139,6,,,,,,,,,,,,,,,,
1,BO_139,3,,,,,,,,,,,,,,,,,BO_139,7,F,,,,,04/08,,,,,,,,,,
1,BO_139,4,,,,,,,,,,,,,,,,,BO_139,8,,,,,,,,,,,,,,,,
1,BO_182,1,F,,,,04/01,04/08,,,,,G,,,,,04/08,BO_182,5,,,,,,,,,,,,,,,,
1,BO_182,2,,,,,,,,,,,,,,,,,BO_182,6,,,,,,,,,,,,,,,,
1,BO_182,3,,,,,,,,,,,,,,,,,BO_182,7,,,,,,,,,,,,,,,,
1,BO_182,4,F,,,,04/01,04/08,4/13,4/21,4/28,,,,,,,04/01,BO_182,8,,,,,,,,,,,,,,,,
1,BO_175,1,,,,,,,,,,,,,,,,,BO_175,5,,,,,,,,,,,,,,,,
1,BO_175,2,F,,,,,04/08,4/13,,4/28,,G,,,,,4/8,BO_175,6,,,,,,,,,,,,,,,,
1,BO_175,3,,,,,,,,,,,,,,,,,BO_175,7,,,,,,,,,,,,,,,,
1,BO_175,4,,,,,,,,,,,,,,,,,BO_175,8,,,,,,,,,,,,,,,,
1,BO_118,1,,,,,,04/08,4/13,,,,,,,,,,BO_118,5,,,,,,,,,,,,,,,,
1,BO_118,2,,,,,,04/08,4/13,4/21,,,,,,,5/12,,BO_118,6,,,,,,,,,,,,,,,,
1,BO_118,3,F,,,,,04/08,4/13,4/21,,,,,,,,4/13,BO_118,7,,,,,,,,,,,,,,,,
1,BO_118,4,,,,,,,,,,,,,,,,,BO_118,8,,,,,,,4/13,,,,,,,,,4/13
1,BO_149,1,F,,,,,,,,,05/05,5/12,5/20,,,,5/12,BO_149,5,,,,,,,,,,,,,,,,
1,BO_149,2,,,,,,,,,,,,,,,,,BO_149,6,,,,,,,,,,,,,,,,
1,BO_149,3,,,,,,,,,,,,,,,,,BO_149,7,,,,,,,,,,,,,,,,
1,BO_149,4,F,,,,,04/08,4/13,4/21,4/28,05/05,5/12,5/20,,,,04/08,BO_149,8,,,,,,,,,,,,,,,,
1,BO_121,1,,,,,,,,4/21,4/28,05/05,G,5/20,,,,4/21,BO_121,5,,,,,,,,,,,,,,,,
1,BO_121,2,,,,,,,,,,,,,,,,,BO_121,6,F,,,,,04/08,4/13,4/21,G,05/05,f,,,,,4/13
1,BO_121,3,,,,,,,,,,,,,,,,,BO_121,7,,,,,,,,,,,,,,,,
1,BO_121,4,,,,,,04/08,4/13,,G,,,,,,,,BO_121,8,,,,,,,,,,,,,,,,
1,BO_141,1,,,,,,04/08,4/13,4/21,4/28,05/05,5/12,5/20,,,5/12,04/08,BO_141,5,,,,,,,,,,,,,,,,
1,BO_141,2,F,,,,,,4/13,4/21,4/28,05/05,,5/20,,,,4/13,BO_141,6,,,,,,,,,,,,,,,,
1,BO_141,3,,,,,,,,,,,,,,,,,BO_141,7,,,,,,,,,,,,,,,,
1,BO_141,4,,,,,,,,,,,,,,,,,BO_141,8,,,,,,,,,,,,,,,,
1,BO_22,1,,,,,,,,,,,,,,,,,BO_22,5,,,,,,,,,,,,,,,,
1,BO_22,2,,,,,,,,,,,,,,,,,BO_22,6,,,,,,,,,,,,,,,,
1,BO_22,3,,,,,,,,,,,,,,,,,BO_22,7,,,,,,,,,,,,,,,,
1,BO_22,4,,,,,,,,,,,,,,,,,BO_22,8,,,,,,,,,,,,,,,,
1,BO_127,1,,,,,,,,,,,,,,,,,BO_127,5,,,,,,,,,,,,,,,,
1,BO_127,2,,,,,,,,,,,,,,,,,BO_127,6,,,,,,,,,,,,,,,,
1,BO_127,3,,,,,,,,,,,,,,,,,BO_127,7,,,,,,,,,,,,,,,,
1,BO_127,4,,,,,,,,,,,,,,,,,BO_127,8,F,,,,,04/08,4/13,4/21,4/28,05/05,5/12,5/20,,,,04/08
1,BO_80,1,F,,,,,04/08,,4/21,4/28,,,,,,,04/08,BO_80,5,,,,,,,,,,,,,,,,
1,BO_80,2,F,,,,,04/08,4/13,4/21,4/28,,,,,,,4/13,BO_80,6,,,,,,04/08,4/13,4/21,,,,,,,5/12,
1,BO_80,3,F,,,,,04/08,4/13,4/21,4/28,05/05,5/12,,,,,04/08,BO_80,7,,,,,,,,,,,,,,,,
1,BO_80,4,,,,,,,,,,,,,,,,,BO_80,8,,,,,,,,,,,,,,,,
1,BO_79,1,,,,,,,,,,,,,,,,,BO_79,5,,,,,,,,,,,,,,,,
1,BO_79,2,,,,,,,,,,,,,,,,,BO_79,6,,,,,,,,,,,,,,,,
1,BO_79,3,,,,,,,,,,,,,,,,,BO_79,7,,,,,,,,,,,,,,,,
1,BO_79,4,,,,,,,,,,,,,,,,,BO_79,8,,,,,,,,,,,,,,,,
1,BO_82,1,F,,,,04/01,04/08,4/13,4/21,,,G,,,,,04/08,BO_82,5,,,,,,,,,,,,,,,,
1,BO_82,2,F,,,,04/01,04/08,4/13,4/21,4/28,,5/12,5/20,,,,04/01,BO_82,6,,,,,,,,,,,,,,,,
1,BO_82,3,,,,,,,,,,,,,,,,,BO_82,7,,,,,,,,,,,,,,,,
1,BO_82,4,,,,,,,,,,,,,,,,,BO_82,8,,,,,,,,,,,,,,,,
1,BO_105,1,,,,,,,,,,,,,,,,,BO_105,5,,,,,,,,,,,,,,,,
1,BO_105,2,,,,,,,,,,,,,,,,,BO_105,6,,,,,,,,,,,,,,,,
1,BO_105,3,,,,,,,,,,,,,,,,,BO_105,7,,,,,,,,,,,,,,,,
1,BO_105,4,,,,,,,,,,,,,,,,,BO_105,8,,,,,,,,,,,,,,,,
1,BO_94,1,,,,,,,,,,,,,,,,,BO_94,5,,,,,,,,,,,,,,,,
1,BO_94,2,,,,,,,,,,,,,,,,,BO_94,6,,,,,,,,,,,,,,,,
1,BO_94,3,,,,,,,,,,,,,,,,,BO_94,7,,,,,,,,,,,,,,,,
1,BO_94,4,F,,,,04/01,04/08,,4/21,,05/05,,5/20,5/25,,,04/08,BO_94,8,,,,,,,,,,,,,,,,
1,BO_153,1,,,,,,,,,,,,,,,,,BO_153,5,,,,,,,,,,,,,,,,
1,BO_153,2,,,,,,,,,,,,,,,,,BO_153,6,,,,,,,,,,,,,,,,
1,BO_153,3,,,,,,,,,,,,,,,,,BO_153,7,,,,,,,,,,,,,,,,
1,BO_153,4,,,,,,,,,,,,,,,,,BO_153,8,,,,,,,,,,,,,,,,
1,BO_155,1,,,,,,,,,,,,,,,,,BO_155,5,,,,,,,,,,,,,,,,
1,BO_155,2,,,,,,,,,,,,,,,,,BO_155,6,,,,,,,,,,,,,,,,
1,BO_155,3,,,,,,,,,,,,,,,,,BO_155,7,,,,,,,,,,,,,,,,
1,BO_155,4,,,,,,,,,,,,,,,,,BO_155,8,F,,,,,,4/13,,,,,,,,,4/13
2,BO_135,1,,,,,,,,,,,,,,,,,BO_135,5,,,,,,,,,,,,,,,,
2,BO_135,2,,,,,,,,,,,,,,,,,BO_135,6,,,,,,,,,,,,,,,,
2,BO_135,3,,,,,,,,,,,,,,,,,BO_135,7,,,,,,,,,,,,,,,,
2,BO_135,4,,,,,,,,,,,,,,,,,BO_135,8,,,,,,,,,,,,,,,,
2,BO_52,1,,,,,,,,,,,,,,,,,BO_52,5,,,,,,,,,,,,,,,,
2,BO_52,2,,,,,,,,,,,,,,,,,BO_52,6,,,,,,,,,,,,,,,,
2,BO_52,3,,,,,,,,,,,,,,,,,BO_52,7,,,,,,,,,,,,,,,,
2,BO_52,4,F,,,,,04/08,,,,,,,,,,,BO_52,8,,,,,,,,,,,,,,,,
2,BO_189,1,,,,,,,,,,,,,,,,,BO_189,5,,,,,,,,,,,,,,,,
2,BO_189,2,,,,,,,,,,,,,,,,,BO_189,6,,,,,,,,,,,,,,,,
2,BO_189,3,,,,,,,,,,,,,,,,,BO_189,7,,,,,,,,,,,,,,,,
2,BO_189,4,F,,,,,04/08,,,4/28,,5/12,,,,,4/28,BO_189,8,,,,,,,,,,,,,,,,
2,BO_108,1,,,,,,,,,,,,,,,,,BO_108,5,,,,,,,,,,,,,,,,
2,BO_108,2,,,,,,,,,,,,,,,,,BO_108,6,,,,,,,4/13,,,,,,,,,4/13
2,BO_108,3,,,,,,,,,,,,,,,,,BO_108,7,,,,,,,,,,,,,,,,
2,BO_108,4,,,,,,,,,,,,,,,,,BO_108,8,,,,,,,,,,,,,,,,
2,BO_198,1,,,,,,,,,,,,,,,,,BO_198,5,,,,,,,,,,,,,,,,
2,BO_198,2,F,,,,,04/08,,,,,,,,,,,BO_198,6,,,,,,,,,,,,,,,,
2,BO_198,3,,,,,,,,,,,,,,,,,BO_198,7,,,,,,,,,,,,,,,,
2,BO_198,4,,,,,,,,,,,,,,,,,BO_198,8,,,,,,,,,,,,,,,,
2,BO_78,1,,,,,,,,,,,,,,,,,BO_78,5,,,,,,,,4/21,,,,,,,,
2,BO_78,2,,,,,,,,,,,,,,,,,BO_78,6,,,,,,,,4/21,,,,,,,,
2,BO_78,3,,,,,,,,,,,,,,,,,BO_78,7,F,,,,,04/08,4/13,4/21,4/28,,,,,,,04/08
2,BO_78,4,,,,,,,,,,,,,,,,,BO_78,8,,,,,,,,,,,,,,,,
2,BO_56,1,,,,,,,,,,,,,,,,,BO_56,5,,,,,,,,,,,,,,,,
2,BO_56,2,,,,,,,,,,,,,,,,,BO_56,6,,,,,,,,,,,,,,,,
2,BO_56,3,F,,,,,,,,4/28,,,,,,,4/28,BO_56,7,,,,,,,,,,,,,,,,
2,BO_56,4,,,,,,,,,,,,,,,,,BO_56,8,,,,,,,,,,,,,,,,
2,BO_63,1,,,,,,,,,,,,,,,,,BO_63,5,,,,,,,,,,,,,,,,
2,BO_63,2,F,,,,,04/08,,4/21,,,5/12,5/20,5/25,,,5/12,BO_63,6,,,,,,,,,,,,,,,,
2,BO_63,3,,,,,,,,,,,,,,,,,BO_63,7,,,,,,04/08,,,,,,,,,5/12,
2,BO_63,4,,,,,,,,,,,,,,,,,BO_63,8,,,,,,,,,,,,,,,,
2,BO_31,1,,,,,,,,,,,,,,,,,BO_31,5,,,,,,,,,,,,,,,,
2,BO_31,2,,,,,,,,,,,,,,,,,BO_31,6,,,,,,,,,,,,,,,,
2,BO_31,3,,,,,,,,,,,,,,,,,BO_31,7,,,,,,,,,,,,,,,,
2,BO_31,4,,,,,,,,,,,,,,,,,BO_31,8,,,,,,,,,,,,,,,,
2,BO_122,1,,,,,,,,,,,,,,,,,BO_122,5,,,,,,,,,,,,,,,,
2,BO_122,2,,,,,,,,,,,,,,,,,BO_122,6,,,,,,,,,,,,,,,,
2,BO_122,3,,,,,,,,,,,,,,,,,BO_122,7,,,,,,,,,,,,,,,,
2,BO_122,4,,,,,,,,,,,,,,,,,BO_122,8,,,,,,,,,,,,,,,,
2,BO_70,1,,,,,,,,,,,,,,,,,BO_70,5,,,,,,,,,,,,,,,,
2,BO_70,2,,,,,,,,,,,,,,,,,BO_70,6,,,,,,,,,,,,,,,,
