Sequence,Transect,Seg,Gen,GenSym,Recipient,Fit_plant,GT_closed_fruit,GT_open_fruit,GT_filled_seeds,N_CLOSED_fruit_D1,N_OPEN_fruit_D1,N_FILLED_seeds_D1,N_total_seeds_D1,N_CLOSED_fruit_D2,N_OPEN_fruit_D2,N_FILLED_seeds_D2,N_total_seeds_D2,N_CLOSED_fruit_D3,N_OPEN_fruit_D3,N_FILLED_seeds_D3,N_total_seeds_D3,N_CLOSED_fruit_D4,N_OPEN_fruit_D4,N_FILLED_seeds_D4,N_total_seeds_D4,N_CLOSED_fruit_D5,N_OPEN_fruit_D5,N_FILLED_seeds_D5,N_total_seeds_D5,notes
39,2,3L,G2,X,AC_111,5,,,,,,,,,,,,,,,,,,,,,,,,
39,2,3R,G1,-,AC_203,5,,,,,,,,,,,,,,,,,,,,,,,,
40,2,4L,G2,X,AC_119,4,,,,,,,,,,,,,,,,,,,,,,,,
40,2,4R,G2,X,AC_082,1,,,,,,,,,,,,,,,,,,,,,,,,
41,2,5L,G2,X,AC_118,3,,,,,,,,,,,,,,,,,,,,,,,,
41,2,5R,G1,-,AC_216,3,,,,,,,,,,,,,,,,,,,,,,,,
42,2,6L,G1,-,AC_131,1,,,,,,,,,,,,,,,,,,,,,,,,
42,2,6R,G2,X,AC_086,3,,,,,,,,,,,,,,,,,,,,,,,,
43,2,7L,G1,-,AC_205,1,,,,,,,,,,,,,,,,,,,,,,,,
43,2,7R,G2,X,AC_062,4,,,,,,,,,,,,,,,,,,,,,,,,
44,2,8L,G1,-,AC_205,5,,,,,,,,,,,,,,,,,,,,,,,,
44,2,8R,G1,-,AC_118,4,,,,,,,,,,,,,,,,,,,,,,,,
45,2,9L,G1,-,AC_144,1,,,,,,,,,,,,,,,,,,,,,,,,
45,2,9R,G1,-,AC_088,5,,,,,,,,,,,,,,,,,,,,,,,,
46,2,10L,G1,-,AC_030,2,,,,,,,,,,,,,,,,,,,,,,,,
46,2,10R,G2,X,AC_040,4,,,,,,,,,,,,,,,,,,,,,,,,
47,2,11L,G1,-,AC_051,5,,,,,,,,,,,,,,,,,,,,,,,,
47,2,11R,G1,-,AC_090,2,,,,,,,,,,,,,,,,,,,,,,,,
48,2,12L,G2,X,AC_038,3,,,,,,,,,,,,,,,,,,,,,,,,
