Sequence,Transect,Seg,Gen,GenSym,Recipient,Fit_plant,GT_closed_fruit,GT_open_fruit,GT_filled_seeds,N_CLOSED_fruit_D1,N_OPEN_fruit_D1,N_FILLED_seeds_D1,N_total_seeds_D1,N_CLOSED_fruit_D2,N_OPEN_fruit_D2,N_FILLED_seeds_D2,N_total_seeds_D2,N_CLOSED_fruit_D3,N_OPEN_fruit_D3,N_FILLED_seeds_D3,N_total_seeds_D3,N_CLOSED_fruit_D4,N_OPEN_fruit_D4,N_FILLED_seeds_D4,N_total_seeds_D4,N_CLOSED_fruit_D5,N_OPEN_fruit_D5,N_FILLED_seeds_D5,N_total_seeds_D5,notes
152,5,9R,G1,-,AC_056,4,,,,,,,,,,,,,,,,,,,,,,,,
153,5,10L,G1,-,AC_217,3,,,,,,,,,,,,,,,,,,,,,,,,
153,5,10R,G1,-,AC_064,5,,,,,,,,,,,,,,,,,,,,,,,,
154,5,11L,G2,X,AC_064,3,,,,,,,,,,,,,,,,,,,,,,,,
154,5,11R,G1,-,AC_070,2,,,,,,,,,,,,,,,,,,,,,,,,
155,5,12R,G1,-,AC_142,3,,,,,,,,,,,,,,,,,,,,,,,,
156,5,13L,G2,X,AC_153,2,,,,,,,,,,,,,,,,,,,,,,,,
157,5,14L,G2,X,AC_128,2,,,,,,,,,,,,,,,,,,,,,,,,
157,5,14R,G1,-,AC_040,2,,,,,,,,,,,,,,,,,,,,,,,,
158,5,15L,G1,-,AC_104,1,,,,,,,,,,,,,,,,,,,,,,,,
158,5,15R,G1,-,AC_005,3,,,,,,,,,,,,,,,,,,,,,,,,
159,5,16L,G1,-,AC_030,1,,,,,,,,,,,,,,,,,,,,,,,,
159,5,16R,G2,X,AC_048,5,,,,,,,,,,,,,,,,,,,,,,,,
160,5,17L,G1,-,AC_144,1,,,,,,,,,,,,,,,,,,,,,,,,
160,5,17R,G1,-,AC_213,4,,,,,,,,,,,,,,,,,,,,,,,,
161,5,18L,G1,-,AC_115,3,,,,,,,,,,,,,,,,,,,,,,,,
161,5,18R,G2,X,AC_090,2,,,,,,,,,,,,,,,,,,,,,,,,
162,5,19L,G2,X,AC_109,4,,,,,,,,,,,,,,,,,,,,,,,,
162,5,19R,G1,-,AC_090,4,,,,,,,,,,,,,,,,,,,,,,,,
163,5,20L,G2,X,AC_192,4,,,,,,,,,,,,,,,,,,,,,,,,
163,5,20R,G2,X,AC_205,2,,,,,,,,,,,,,,,,,,,,,,,,
164,5,21L,G1,-,AC_097,5,,,,,,,,,,,,,,,,,,,,,,,,
164,5,21R,G2,X,AC_182,1,,,,,,,,,,,,,,,,,,,,,,,,
165,5,22L,G1,-,AC_160,4,,,,,,,,,,,,,,,,,,,,,,,,
165,5,22R,G2,X,AC_204,3,,,,,,,,,,,,,,,,,,,,,,,,
166,5,23L,G1,-,AC_155,4,,,,,,,,,,,,,,,,,,,,,,,,
167,5,24L,G2,X,AC_192,4,,,,,,,,,,,,,,,,,,,,,,,,
167,5,24R,G1,-,AC_046,4,,,,,,,,,,,,,,,,,,,,,,,,
168,5,25L,G2,X,AC_181,2,,,,,,,,,,,,,,,,,,,,,,,,
168,5,25R,G2,X,AC_123,1,,,,,,,,,,,,,,,,,,,,,,,,
169,5,26L,G2,X,AC_215,2,,,,,,,,,,,,,,,,,,,,,,,,
169,5,26R,G1,-,AC_095,4,,,,,,,,,,,,,,,,,,,,,,,,
170,5,27L,G2,X,AC_142,5,,,,,,,,,,,,,,,,,,,,,,,,
170,5,27R,G2,X,AC_206,1,,,,,,,,,,,,,,,,,,,,,,,,
171,5,28L,G2,X,AC_120,3,,,,,,,,,,,,,,,,,,,,,,,,
171,5,28R,G2,X,AC_171,4,,,,,,,,,,,,,,,,,,,,,,,,
172,5,29L,G1,-,AC_185,4,,,,,,,,,,,,,,,,,,,,,,,,
172,5,29R,G1,-,AC_147,1,,,,,,,,,,,,,,,,,,,,,,,,
173,5,30L,G1,-,AC_130,1,,,,,,,,,,,,,,,,,,,,,,,,
173,5,30R,G1,-,AC_058,1,,,,,,,,,,,,,,,,,,,,,,,,
174,5,31L,G1,-,AC_159,5,,,,,,,,,,,,,,,,,,,,,,,,
174,5,31R,G2,X,AC_158,3,,,,,,,,,,,,,,,,,,,,,,,,
175,5,32L,G1,-,AC_011,2,,,,,,,,,,,,,,,,,,,,,,,,
176,5,33L,G1,-,AC_114,2,,,,,,,,,,,,,,,,,,,,,,,,
176,5,33R,G1,-,AC_100,5,,,,,,,,,,,,,,,,,,,,,,,,
177,5,34L,G1,-,AC_153,3,,,,,,,,,,,,,,,,,,,,,,,,
177,5,34R,G2,X,AC_081,3,,,,,,,,,,,,,,,,,,,,,,,,
178,5,35L,G2,X,AC_216,3,,,,,,,,,,,,,,,,,,,,,,,,
178,5,35R,G2,X,AC_168,3,,,,,,,,,,,,,,,,,,,,,,,,
179,5,36L,G1,-,AC_205,1,,,,,,,,,,,,,,,,,,,,,,,,
179,5,36R,G1,-,AC_034,3,,,,,,,,,,,,,,,,,,,,,,,,
180,6,1L,G1,-,AC_083,5,,,,,,,,,,,,,,,,,,,,,,,,
180,6,1R,G2,X,AC_016,2,,,,,,,,,,,,,,,,,,,,,,,,
181,6,2L,G1,-,AC_115,5,,,,,,,,,,,,,,,,,,,,,,,,
181,6,2R,G2,X,AC_160,4,,,,,,,,,,,,,,,,,,,,,,,,
182,6,3R,G1,-,AC_120,3,,,,,,,,,,,,,,,,,,,,,,,,
183,6,4L,G1,-,AC_099,1,,,,,,,,,,,,,,,,,,,,,,,,
183,6,4R,G1,-,AC_131,4,,,,,,,,,,,,,,,,,,,,,,,,
184,6,5L,G2,X,AC_110,3,,,,,,,,,,,,,,,,,,,,,,,,
184,6,5R,G1,-,AC_054,5,,,,,,,,,,,,,,,,,,,,,,,,
185,6,6L,G1,-,AC_104,2,,,,,,,,,,,,,,,,,,,,,,,,
185,6,6R,G1,-,AC_171,2,,,,,,,,,,,,,,,,,,,,,,,,
186,6,7L,G1,-,AC_185,3,,,,,,,,,,,,,,,,,,,,,,,,
187,6,8L,G1,-,AC_187,2,,,,,,,,,,,,,,,,,,,,,,,,
188,6,9L,G2,X,AC_136,2,,,,,,,,,,,,,,,,,,,,,,,,
189,6,10L,G2,X,AC_187,4,,,,,,,,,,,,,,,,,,,,,,,,
190,6,11L,G1,-,AC_111,5,,,,,,,,,,,,,,,,,,,,,,,,
190,6,11R,G1,-,AC_095,5,,,,,,,,,,,,,,,,,,,,,,,,
192,6,13R,G1,-,AC_122,5,,,,,,,,,,,,,,,,,,,,,,,,
193,6,14L,G2,X,AC_197,1,,,,,,,,,,,,,,,,,,,,,,,,
193,6,14R,G2,X,AC_120,3,,,,,,,,,,,,,,,,,,,,,,,,
194,6,15L,G2,X,AC_213,3,,,,,,,,,,,,,,,,,,,,,,,,
194,6,15R,G1,-,AC_158,5,,,,,,,,,,,,,,,,,,,,,,,,
195,6,16L,G1,-,AC_109,4,,,,,,,,,,,,,,,,,,,,,,,,
196,6,17L,G1,-,AC_172,3,,,,,,,,,,,,,,,,,,,,,,,,
196,6,17R,G2,X,AC_143,3,,,,,,,,,,,,,,,,,,,,,,,,
197,6,18R,G1,-,AC_099,2,,,,,,,,,,,,,,,,,,,,,,,,
198,6,19R,G1,-,AC_066,5,,,,,,,,,,,,,,,,,,,,,,,,
199,6,20L,G1,-,AC_172,4,,,,,,,,,,,,,,,,,,,,,,,,
199,6,20R,G2,X,AC_142,4,,,,,,,,,,,,,,,,,,,,,,,,
200,6,21L,G2,X,AC_171,4,,,,,,,,,,,,,,,,,,,,,,,,
200,6,21R,G2,X,AC_199,5,,,,,,,,,,,,,,,,,,,,,,,,
201,6,22R,G1,-,AC_193,3,,,,,,,,,,,,,,,,,,,,,,,,
202,6,23L,G2,X,AC_115,1,,,,,,,,,,,,,,,,,,,,,,,,
202,6,23R,G1,-,AC_062,5,,,,,,,,,,,,,,,,,,,,,,,,
203,6,24R,G1,-,AC_189,3,,,,,,,,,,,,,,,,,,,,,,,,
204,6,25L,G2,X,AC_090,1,,,,,,,,,,,,,,,,,,,,,,,,
204,6,25R,G1,-,AC_055,5,,,,,,,,,,,,,,,,,,,,,,,,
205,6,26R,G2,X,AC_208,1,,,,,,,,,,,,,,,,,,,,,,,,
206,6,27L,G2,X,AC_182,2,,,,,,,,,,,,,,,,,,,,,,,,
206,6,27R,G1,-,AC_130,5,,,,,,,,,,,,,,,,,,,,,,,,
207,6,28L,G2,X,AC_016,2,,,,,,,,,,,,,,,,,,,,,,,,
207,6,28R,G2,X,AC_131,5,,,,,,,,,,,,,,,,,,,,,,,,
208,6,29L,G2,X,AC_086,2,,,,,,,,,,,,,,,,,,,,,,,,
208,6,29R,G2,X,AC_186,1,,,,,,,,,,,,,,,,,,,,,,,,
209,6,30L,G2,X,AC_052,3,,,,,,,,,,,,,,,,,,,,,,,,
209,6,30R,G2,X,AC_158,5,,,,,,,,,,,,,,,,,,,,,,,,
210,6,31L,G2,X,AC_034,3,,,,,,,,,,,,,,,,,,,,,,,,
210,6,31R,G1,-,AC_171,5,,,,,,,,,,,,,,,,,,,,,,,,
212,6,33R,G1,-,AC_182,3,,,,,,,,,,,,,,,,,,,,,,,,
213,6,34L,G1,-,AC_128,1,,,,,,,,,,,,,,,,,,,,,,,,
213,6,34R,G2,X,AC_147,4,,,,,,,,,,,,,,,,,,,,,,,,
214,6,35R,G1,-,AC_118,5,,,,,,,,,,,,,,,,,,,,,,,,
215,7,1L,G1,-,AC_142,3,,,,,,,,,,,,,,,,,,,,,,,,
216,7,2L,G2,X,AC_072,5,,,,,,,,,,,,,,,,,,,,,,,,
216,7,2R,G1,-,AC_110,5,,,,,,,,,,,,,,,,,,,,,,,,
217,7,3L,G2,X,AC_191,5,,,,,,,,,,,,,,,,,,,,,,,,
217,7,3R,G2,X,AC_070,1,,,,,,,,,,,,,,,,,,,,,,,,
218,7,4L,G2,X,AC_187,2,,,,,,,,,,,,,,,,,,,,,,,,
218,7,4R,G1,-,AC_201,5,,,,,,,,,,,,,,,,,,,,,,,,
220,7,6L,G2,X,AC_172,2,,,,,,,,,,,,,,,,,,,,,,,,
220,7,6R,G1,-,AC_095,3,,,,,,,,,,,,,,,,,,,,,,,,
221,7,7L,G1,-,AC_056,3,,,,,,,,,,,,,,,,,,,,,,,,
221,7,7R,G1,-,AC_055,3,,,,,,,,,,,,,,,,,,,,,,,,
222,7,8L,G2,X,AC_211,1,,,,,,,,,,,,,,,,,,,,,,,,
222,7,8R,G2,X,AC_199,4,,,,,,,,,,,,,,,,,,,,,,,,
223,7,9L,G1,-,AC_052,3,,,,,,,,,,,,,,,,,,,,,,,,
223,7,9R,G2,X,AC_204,4,,,,,,,,,,,,,,,,,,,,,,,,
224,7,10L,G1,-,AC_074,4,,,,,,,,,,,,,,,,,,,,,,,,
224,7,10R,G1,-,AC_179,5,,,,,,,,,,,,,,,,,,,,,,,,
225,7,11R,G2,X,AC_200,3,,,,,,,,,,,,,,,,,,,,,,,,
226,7,12L,G1,-,AC_017,2,,,,,,,,,,,,,,,,,,,,,,,,
226,7,12R,G2,X,AC_056,1,,,,,,,,,,,,,,,,,,,,,,,,
227,7,13L,G2,X,AC_216,2,,,,,,,,,,,,,,,,,,,,,,,,
228,7,14L,G1,-,AC_048,4,,,,,,,,,,,,,,,,,,,,,,,,
228,7,14R,G2,X,AC_189,1,,,,,,,,,,,,,,,,,,,,,,,,
229,7,15R,G2,X,AC_122,2,,,,,,,,,,,,,,,,,,,,,,,,
230,7,16L,G2,X,AC_217,1,,,,,,,,,,,,,,,,,,,,,,,,
231,7,17R,G1,-,AC_066,5,,,,,,,,,,,,,,,,,,,,,,,,
233,7,19R,G2,X,AC_155,2,,,,,,,,,,,,,,,,,,,,,,,,
234,7,20L,G2,X,AC_110,5,,,,,,,,,,,,,,,,,,,,,,,,
235,7,21R,G2,X,AC_017,3,,,,,,,,,,,,,,,,,,,,,,,,
236,7,22L,G2,X,AC_051,1,,,,,,,,,,,,,,,,,,,,,,,,
236,7,22R,G2,X,AC_086,5,,,,,,,,,,,,,,,,,,,,,,,,
237,7,23L,G2,X,AC_104,1,,,,,,,,,,,,,,,,,,,,,,,,
237,7,23R,G2,X,AC_057,2,,,,,,,,,,,,,,,,,,,,,,,,
238,7,24L,G1,-,AC_218,5,,,,,,,,,,,,,,,,,,,,,,,,
238,7,24R,G2,X,AC_081,1,,,,,,,,,,,,,,,,,,,,,,,,
239,7,25L,G1,-,AC_114,2,,,,,,,,,,,,,,,,,,,,,,,,
240,7,26R,G1,-,AC_092,5,,,,,,,,,,,,,,,,,,,,,,,,
241,7,27R,G2,X,AC_017,5,,,,,,,,,,,,,,,,,,,,,,,,
242,7,28L,G1,-,AC_151,1,,,,,,,,,,,,,,,,,,,,,,,,
242,7,28R,G2,X,AC_189,2,,,,,,,,,,,,,,,,,,,,,,,,
243,7,29L,G2,X,AC_178,4,,,,,,,,,,,,,,,,,,,,,,,,
243,7,29R,G1,-,AC_216,5,,,,,,,,,,,,,,,,,,,,,,,,
244,7,30L,G2,X,AC_096,1,,,,,,,,,,,,,,,,,,,,,,,,
245,7,31L,G2,X,AC_114,2,,,,,,,,,,,,,,,,,,,,,,,,
245,7,31R,G2,X,AC_123,3,,,,,,,,,,,,,,,,,,,,,,,,
246,7,32L,G2,X,AC_083,2,,,,,,,,,,,,,,,,,,,,,,,,
246,7,32R,G2,X,AC_034,2,,,,,,,,,,,,,,,,,,,,,,,,
247,7,33L,G2,X,AC_216,5,,,,,,,,,,,,,,,,,,,,,,,,
247,7,33R,G1,-,AC_075,4,,,,,,,,,,,,,,,,,,,,,,,,
248,7,34L,G1,-,AC_107,5,,,,,,,,,,,,,,,,,,,,,,,,
248,7,34R,G1,-,AC_082,1,,,,,,,,,,,,,,,,,,,,,,,,
249,7,35L,G1,-,AC_097,5,,,,,,,,,,,,,,,,,,,,,,,,
249,7,35R,G2,X,AC_211,1,,,,,,,,,,,,,,,,,,,,,,,,
250,7,36L,G2,X,AC_052,3,,,,,,,,,,,,,,,,,,,,,,,,
250,7,36R,G2,X,AC_030,5,,,,,,,,,,,,,,,,,,,,,,,,
251,8,1L,G2,X,AC_193,1,,,,,,,,,,,,,,,,,,,,,,,,
251,8,1R,G1,-,AC_011,5,,,,,,,,,,,,,,,,,,,,,,,,
252,8,2L,G2,X,AC_038,4,,,,,,,,,,,,,,,,,,,,,,,,
252,8,2R,G2,X,AC_191,1,,,,,,,,,,,,,,,,,,,,,,,,
253,8,3L,G2,X,AC_148,4,,,,,,,,,,,,,,,,,,,,,,,,
253,8,3R,G1,-,AC_038,2,,,,,,,,,,,,,,,,,,,,,,,,
254,8,4R,G2,X,AC_089,3,,,,,,,,,,,,,,,,,,,,,,,,
255,8,5L,G1,-,AC_131,5,,,,,,,,,,,,,,,,,,,,,,,,
255,8,5R,G2,X,AC_218,1,,,,,,,,,,,,,,,,,,,,,,,,
256,8,6L,G1,-,AC_206,1,,,,,,,,,,,,,,,,,,,,,,,,
256,8,6R,G1,-,AC_186,2,,,,,,,,,,,,,,,,,,,,,,,,
258,8,8L,G1,-,AC_211,1,,,,,,,,,,,,,,,,,,,,,,,,
258,8,8R,G2,X,AC_017,1,,,,,,,,,,,,,,,,,,,,,,,,
259,8,9L,G2,X,AC_185,4,,,,,,,,,,,,,,,,,,,,,,,,
260,8,10L,G2,X,AC_100,1,,,,,,,,,,,,,,,,,,,,,,,,
260,8,10R,G2,X,AC_142,2,,,,,,,,,,,,,,,,,,,,,,,,
261,8,11L,G1,-,AC_204,4,,,,,,,,,,,,,,,,,,,,,,,,
262,8,12R,G1,-,AC_072,2,,,,,,,,,,,,,,,,,,,,,,,,
263,8,13R,G1,-,AC_082,2,,,,,,,,,,,,,,,,,,,,,,,,
264,8,14R,G1,-,AC_074,5,,,,,,,,,,,,,,,,,,,,,,,,
265,8,15L,G2,X,AC_160,1,,,,,,,,,,,,,,,,,,,,,,,,
265,8,15R,G1,-,AC_160,1,,,,,,,,,,,,,,,,,,,,,,,,
266,8,16L,G2,X,AC_133,5,,,,,,,,,,,,,,,,,,,,,,,,
266,8,16R,G2,X,AC_005,2,,,,,,,,,,,,,,,,,,,,,,,,
267,8,17L,G1,-,AC_206,4,,,,,,,,,,,,,,,,,,,,,,,,
267,8,17R,G1,-,AC_110,3,,,,,,,,,,,,,,,,,,,,,,,,
268,8,18R,G2,X,AC_123,5,,,,,,,,,,,,,,,,,,,,,,,,
269,8,19R,G1,-,AC_062,4,,,,,,,,,,,,,,,,,,,,,,,,
270,8,20L,G1,-,AC_014,2,,,,,,,,,,,,,,,,,,,,,,,,
270,8,20R,G2,X,AC_058,5,,,,,,,,,,,,,,,,,,,,,,,,
271,8,21L,G2,X,AC_155,4,,,,,,,,,,,,,,,,,,,,,,,,
271,8,21R,G1,-,AC_115,3,,,,,,,,,,,,,,,,,,,,,,,,
272,8,22L,G2,X,AC_113,5,,,,,,,,,,,,,,,,,,,,,,,,
272,8,22R,G1,-,AC_189,3,,,,,,,,,,,,,,,,,,,,,,,,
273,8,23R,G2,X,AC_052,5,,,,,,,,,,,,,,,,,,,,,,,,
274,8,24L,G2,X,AC_218,4,,,,,,,,,,,,,,,,,,,,,,,,
274,8,24R,G2,X,AC_104,5,,,,,,,,,,,,,,,,,,,,,,,,
275,8,25L,G2,X,AC_208,4,,,,,,,,,,,,,,,,,,,,,,,,
275,8,25R,G2,X,AC_097,5,,,,,,,,,,,,,,,,,,,,,,,,
276,8,26L,G2,X,AC_158,1,,,,,,,,,,,,,,,,,,,,,,,,
277,8,27L,G2,X,AC_096,5,,,,,,,,,,,,,,,,,,,,,,,,
277,8,27R,G1,-,AC_083,4,,,,,,,,,,,,,,,,,,,,,,,,
278,8,28L,G2,X,AC_133,3,,,,,,,,,,,,,,,,,,,,,,,,
278,8,28R,G1,-,AC_142,1,,,,,,,,,,,,,,,,,,,,,,,,
279,8,29L,G2,X,AC_130,1,,,,,,,,,,,,,,,,,,,,,,,,
279,8,29R,G1,-,AC_092,5,,,,,,,,,,,,,,,,,,,,,,,,
280,8,30R,G1,-,AC_014,2,,,,,,,,,,,,,,,,,,,,,,,,
281,8,31L,G1,-,AC_151,1,,,,,,,,,,,,,,,,,,,,,,,,
282,8,32L,G2,X,AC_120,2,,,,,,,,,,,,,,,,,,,,,,,,
282,8,32R,G2,X,AC_014,2,,,,,,,,,,,,,,,,,,,,,,,,
283,8,33L,G1,-,AC_015,1,,,,,,,,,,,,,,,,,,,,,,,,
283,8,33R,G2,X,AC_151,2,,,,,,,,,,,,,,,,,,,,,,,,
284,8,34L,G2,X,AC_119,3,,,,,,,,,,,,,,,,,,,,,,,,
284,8,34R,G2,X,AC_088,4,,,,,,,,,,,,,,,,,,,,,,,,
285,8,35L,G1,-,AC_064,4,,,,,,,,,,,,,,,,,,,,,,,,
285,8,35R,G1,-,AC_182,5,,,,,,,,,,,,,,,,,,,,,,,,
286,8,36R,G1,-,AC_200,2,,,,,,,,,,,,,,,,,,,,,,,,
287,9,1L,G2,X,AC_182,4,,,,,,,,,,,,,,,,,,,,,,,,
288,9,2L,G2,X,AC_090,2,,,,,,,,,,,,,,,,,,,,,,,,
288,9,2R,G1,-,AC_218,3,,,,,,,,,,,,,,,,,,,,,,,,
289,9,3L,G1,-,AC_217,4,,,,,,,,,,,,,,,,,,,,,,,,
289,9,3R,G2,X,AC_097,1,,,,,,,,,,,,,,,,,,,,,,,,
290,9,4L,G1,-,AC_158,1,,,,,,,,,,,,,,,,,,,,,,,,
290,9,4R,G1,-,AC_100,3,,,,,,,,,,,,,,,,,,,,,,,,
291,9,5L,G1,-,AC_118,1,,,,,,,,,,,,,,,,,,,,,,,,
291,9,5R,G1,-,AC_097,5,,,,,,,,,,,,,,,,,,,,,,,,
292,9,6L,G1,-,AC_201,3,,,,,,,,,,,,,,,,,,,,,,,,
292,9,6R,G1,-,AC_066,1,,,,,,,,,,,,,,,,,,,,,,,,
293,9,7L,G1,-,AC_040,3,,,,,,,,,,,,,,,,,,,,,,,,
293,9,7R,G1,-,AC_208,5,,,,,,,,,,,,,,,,,,,,,,,,
294,9,8R,G2,X,AC_168,1,,,,,,,,,,,,,,,,,,,,,,,,
295,9,9R,G1,-,AC_110,1,,,,,,,,,,,,,,,,,,,,,,,,
296,9,10L,G1,-,AC_015,4,,,,,,,,,,,,,,,,,,,,,,,,
296,9,10R,G1,-,AC_155,2,,,,,,,,,,,,,,,,,,,,,,,,
297,9,11L,G2,X,AC_015,1,,,,,,,,,,,,,,,,,,,,,,,,
297,9,11R,G2,X,AC_154,5,,,,,,,,,,,,,,,,,,,,,,,,
298,9,12L,G2,X,AC_115,1,,,,,,,,,,,,,,,,,,,,,,,,
298,9,12R,G2,X,AC_092,2,,,,,,,,,,,,,,,,,,,,,,,,
299,9,13L,G2,X,AC_122,4,,,,,,,,,,,,,,,,,,,,,,,,
299,9,13R,G2,X,AC_048,4,,,,,,,,,,,,,,,,,,,,,,,,
300,9,14L,G2,X,AC_074,5,,,,,,,,,,,,,,,,,,,,,,,,
300,9,14R,G2,X,AC_211,1,,,,,,,,,,,,,,,,,,,,,,,,
301,9,15L,G2,X,AC_218,1,,,,,,,,,,,,,,,,,,,,,,,,
302,9,16L,G2,X,AC_082,1,,,,,,,,,,,,,,,,,,,,,,,,
303,9,17L,G2,X,AC_153,1,,,,,,,,,,,,,,,,,,,,,,,,
304,9,18R,G2,X,AC_051,5,,,,,,,,,,,,,,,,,,,,,,,,
305,9,19L,G1,-,AC_090,3,,,,,,,,,,,,,,,,,,,,,,,,
306,9,20L,G1,-,AC_199,2,,,,,,,,,,,,,,,,,,,,,,,,
307,9,21L,G1,-,AC_034,2,,,,,,,,,,,,,,,,,,,,,,,,
307,9,21R,G2,X,AC_070,5,,,,,,,,,,,,,,,,,,,,,,,,
308,9,22R,G2,X,AC_217,4,,,,,,,,,,,,,,,,,,,,,,,,
309,9,23L,G1,-,AC_081,4,,,,,,,,,,,,,,,,,,,,,,,,
311,9,25L,G1,-,AC_155,5,,,,,,,,,,,,,,,,,,,,,,,,
312,9,26L,G2,X,AC_092,2,,,,,,,,,,,,,,,,,,,,,,,,
312,9,26R,G2,X,AC_186,1,,,,,,,,,,,,,,,,,,,,,,,,
313,9,27L,G1,-,AC_015,3,,,,,,,,,,,,,,,,,,,,,,,,
314,9,28L,G2,X,AC_075,5,,,,,,,,,,,,,,,,,,,,,,,,
314,9,28R,G1,-,AC_193,3,,,,,,,,,,,,,,,,,,,,,,,,
315,9,29L,G1,-,AC_128,2,,,,,,,,,,,,,,,,,,,,,,,,
315,9,29R,G2,X,AC_179,1,,,,,,,,,,,,,,,,,,,,,,,,
316,9,30L,G2,X,AC_097,5,,,,,,,,,,,,,,,,,,,,,,,,
317,9,31L,G1,-,AC_136,4,,,,,,,,,,,,,,,,,,,,,,,,
317,9,31R,G2,X,AC_014,1,,,,,,,,,,,,,,,,,,,,,,,,
318,9,32L,G2,X,AC_188,5,,,,,,,,,,,,,,,,,,,,,,,,
318,9,32R,G1,-,AC_133,5,,,,,,,,,,,,,,,,,,,,,,,,
319,9,33L,G1,-,AC_081,5,,,,,,,,,,,,,,,,,,,,,,,,
319,9,33R,G2,X,AC_201,1,,,,,,,,,,,,,,,,,,,,,,,,
320,9,34R,G1,-,AC_113,1,,,,,,,,,,,,,,,,,,,,,,,,
