Transect,Segment,Sequence,position,Gen,GenSym,Recipient,Fit_plant,GT_closed_fruit,GT_open_fruit,GT_filled_seeds,Date_1,N_closed_fruit_D1,N_open_fruit_D1,N_other_fruit_D1,N_total_seeds_D1,N_filled_seeds_D1,Date_2,N_closed_fruit_D2,N_open_fruit_D2,N_other_fruit_D2,N_total_seeds_D2,N_filled_seeds_D2,Date_3,N_closed_fruit_D3,N_open_fruit_D3,N_total_seeds_D3,N_filled_seeds_D3,Date_4,N_closed_fruit_D4,N_open_fruit_D4,N_other_fruit_D3,N_total_seeds_D4,N_filled_seeds_D4,Date_5,N_closed_fruit_D5,N_open_fruit_D5,N_other_fruit_D4,N_total_seeds_D5,N_filled_seeds_D5,notes
1,28,28,L,G1,-,AC_189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,28,28,R,G2,X,AC_089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,29,29,L,G1,-,AC_123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,29,29,R,G1,-,AC_208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,30,30,L,G1,-,AC_119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,30,30,R,G2,X,AC_056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,31,31,L,G2,X,AC_040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,31,31,R,G1,-,AC_148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,32,32,L,G1,-,AC_052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,32,32,R,G2,X,AC_113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,33,33,L,G2,X,AC_083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,33,33,R,G1,-,AC_148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,34,34,L,G1,-,AC_152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,34,34,R,G2,X,AC_181,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,35,35,L,G2,X,AC_136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,35,35,R,G1,-,AC_113,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,36,36,L,G2,X,AC_115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,36,36,R,G1,-,AC_048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,37,L,G2,X,AC_005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1,37,R,G1,-,AC_054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,38,L,G2,X,AC_206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,38,R,G2,X,AC_011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,39,L,G2,X,AC_111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3,39,R,G1,-,AC_203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,40,L,G2,X,AC_119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,40,R,G2,X,AC_082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,41,L,G2,X,AC_118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,5,41,R,G1,-,AC_216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6,42,L,G1,-,AC_131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,6,42,R,G2,X,AC_086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,7,43,L,G1,-,AC_205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,7,43,R,G2,X,AC_062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,8,44,L,G1,-,AC_205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,8,44,R,G1,-,AC_118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,9,45,L,G1,-,AC_144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,9,45,R,G1,-,AC_088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10,46,L,G1,-,AC_030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,10,46,R,G2,X,AC_040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,11,47,L,G1,-,AC_051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,11,47,R,G1,-,AC_090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,12,48,L,G2,X,AC_038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,12,48,R,G2,X,AC_193,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,13,49,L,G2,X,AC_168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,13,49,R,G1,-,AC_089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,14,50,L,G2,X,AC_190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,14,50,R,G2,X,AC_016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,15,51,L,G2,X,AC_010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,15,51,R,G1,-,AC_054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,16,52,L,G1,-,AC_010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,16,52,R,G2,X,AC_144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,17,53,L,G2,X,AC_075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,17,53,R,G1,-,AC_120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,18,54,L,G2,X,AC_066,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
