Location,Seg,Gen,GenSym,Recipient,Fit_plant,ALL_closed_fruit,ALL_open_fruit,ALL_filled_seeds,N_CLOSED_fruit_D1,N_OPEN_fruit_D1,N_FILLED_seeds_D1,N_total_seeds_D1,N_CLOSED_fruit_D2,N_OPEN_fruit_D2,N_FILLED_seeds_D2,N_total_seeds_D2,N_CLOSED_fruit_D3,N_OPEN_fruit_D3,N_FILLED_seeds_D3,N_total_seeds_D3,N_CLOSED_fruit_D4,N_OPEN_fruit_D4,N_FILLED_seeds_D4,N_total_seeds_D4,N_CLOSED_fruit_D5,N_OPEN_fruit_D5,N_FILLED_seeds_D5,N_total_seeds_D5,notes
59,176L,G1,-,BB_019,1,,,,,,,,,,,,,,,,,,,,,,,,
59,177L,G2,X,BB_089,2,,,,,,,,,,,,,,,,,,,,,,,,
59,177R,G1,-,BB_199,4,,,,,,,,,,,,,,,,,,,,,,,,
60,178L,G1,-,BB_072,5,,,,,,,,,,,,,,,,,,,,,,,,
60,178R,G1,-,BB_170,4,,,,,,,,,,,,,,,,,,,,,,,,
60,179R,G2,X,BB_019,5,,,,,,,,,,,,,,,,,,,,,,,,
60,180R,G1,-,BB_172,5,,,,,,,,,,,,,,,,,,,,,,,,
61,181L,G2,X,BB_150,2,,,,,,,,,,,,,,,,,,,,,,,,
61,181R,G1,-,BB_210,4,,,,,,,,,,,,,,,,,,,,,,,,
61,182R,G1,-,BB_218,1,,,,,,,,,,,,,,,,,,,,,,,,
61,183L,G1,-,BB_133,2,,,,,,,,,,,,,,,,,,,,,,,,
62,184L,G2,X,BB_052,4,,,,,,,,,,,,,,,,,,,,,,,,
62,184R,G1,-,BB_161,1,,,,,,,,,,,,,,,,,,,,,,,,
62,185L,G1,-,BB_111,1,,,,,,,,,,,,,,,,,,,,,,,,
62,185R,G1,-,BB_058,3,,,,,,,,,,,,,,,,,,,,,,,,
62,186L,G2,X,BB_017,3,,,,,,,,,,,,,,,,,,,,,,,,
62,186R,G1,-,BB_093,3,,,,,,,,,,,,,,,,,,,,,,,,
63,187L,G2,X,BB_123,2,,,,,,,,,,,,,,,,,,,,,,,,
63,187R,G1,-,BB_131,3,,,,,,,,,,,,,,,,,,,,,,,,
63,188R,G1,-,BB_208,2,,,,,,,,,,,,,,,,,,,,,,,,
63,189L,G1,-,BB_034,4,,,,,,,,,,,,,,,,,,,,,,,,
63,189R,G1,-,BB_210,2,,,,,,,,,,,,,,,,,,,,,,,,
64,190L,G1,-,BB_025,3,,,,,,,,,,,,,,,,,,,,,,,,
64,190R,G1,-,BB_052,5,,,,,,,,,,,,,,,,,,,,,,,,
64,191L,G1,-,BB_095,1,,,,,,,,,,,,,,,,,,,,,,,,
64,191R,G1,-,BB_086,4,,,,,,,,,,,,,,,,,,,,,,,,
64,192L,G1,-,BB_113,5,,,,,,,,,,,,,,,,,,,,,,,,
64,192R,G1,-,BB_016,5,,,,,,,,,,,,,,,,,,,,,,,,
65,193L,G1,-,BB_084,3,,,,,,,,,,,,,,,,,,,,,,,,
65,194L,G1,-,BB_077,2,,,,,,,,,,,,,,,,,,,,,,,,
65,195R,G1,-,BB_160,5,,,,,,,,,,,,,,,,,,,,,,,,
66,196L,G1,-,BB_185,1,,,,,,,,,,,,,,,,,,,,,,,,
66,197L,G2,X,BB_093,3,,,,,,,,,,,,,,,,,,,,,,,,
66,197R,G1,-,BB_081,1,,,,,,,,,,,,,,,,,,,,,,,,
66,198L,G1,-,BB_157,5,,,,,,,,,,,,,,,,,,,,,,,,
67,199L,G2,X,BB_160,1,,,,,,,,,,,,,,,,,,,,,,,,
67,199R,G1,-,BB_193,1,,,,,,,,,,,,,,,,,,,,,,,,
67,200L,G1,-,BB_050,4,,,,,,,,,,,,,,,,,,,,,,,,
67,200R,G1,-,BB_201,2,,,,,,,,,,,,,,,,,,,,,,,,
67,201L,G1,-,BB_032,3,,,,,,,,,,,,,,,,,,,,,,,,
67,201R,G1,-,BB_150,5,,,,,,,,,,,,,,,,,,,,,,,,
68,202L,G1,-,BB_189,3,,,,,,,,,,,,,,,,,,,,,,,,
68,204L,G1,-,BB_024,2,,,,,,,,,,,,,,,,,,,,,,,,
68,204R,G1,-,BB_040,1,,,,,,,,,,,,,,,,,,,,,,,,
69,205L,G2,X,BB_131,1,,,,,,,,,,,,,,,,,,,,,,,,
69,205R,G1,-,BB_081,2,,,,,,,,,,,,,,,,,,,,,,,,
69,206L,G1,-,BB_211,4,,,,,,,,,,,,,,,,,,,,,,,,
69,206R,G1,-,BB_079,5,,,,,,,,,,,,,,,,,,,,,,,,
69,207L,G1,-,BB_054,2,,,,,,,,,,,,,,,,,,,,,,,,
69,207R,G1,-,BB_120,1,,,,,,,,,,,,,,,,,,,,,,,,
70,209L,G1,-,BB_046,2,,,,,,,,,,,,,,,,,,,,,,,,
70,209R,G1,-,BB_063,5,,,,,,,,,,,,,,,,,,,,,,,,
71,211L,G1,-,BB_002,4,,,,,,,,,,,,,,,,,,,,,,,,
71,212L,G1,-,BB_098,3,,,,,,,,,,,,,,,,,,,,,,,,
71,212R,G2,X,BB_215,1,,,,,,,,,,,,,,,,,,,,,,,,
71,213L,G1,-,BB_097,5,,,,,,,,,,,,,,,,,,,,,,,,
71,213R,G2,X,BB_089,5,,,,,,,,,,,,,,,,,,,,,,,,
72,215L,G2,X,BB_139,2,,,,,,,,,,,,,,,,,,,,,,,,
73,217L,G1,-,BB_134,4,,,,,,,,,,,,,,,,,,,,,,,,
73,217R,G1,-,BB_183,1,,,,,,,,,,,,,,,,,,,,,,,,
73,218L,G1,-,BB_085,5,,,,,,,,,,,,,,,,,,,,,,,,
74,220L,G2,X,BB_004,2,,,,,,,,,,,,,,,,,,,,,,,,
74,221R,G2,X,BB_121,4,,,,,,,,,,,,,,,,,,,,,,,,
74,222L,G1,-,BB_135,4,,,,,,,,,,,,,,,,,,,,,,,,
74,222R,G1,-,BB_164,4,,,,,,,,,,,,,,,,,,,,,,,,
76,226L,G2,X,BB_029,2,,,,,,,,,,,,,,,,,,,,,,,,
76,227L,G2,X,BB_179,4,,,,,,,,,,,,,,,,,,,,,,,,
77,229R,G1,-,BB_116,2,,,,,,,,,,,,,,,,,,,,,,,,
78,232L,G1,-,BB_078,3,,,,,,,,,,,,,,,,,,,,,,,,
78,233R,G1,-,BB_135,5,,,,,,,,,,,,,,,,,,,,,,,,
78,234R,G2,X,BB_101,3,,,,,,,,,,,,,,,,,,,,,,,,
79,235L,G1,-,BB_077,1,,,,,,,,,,,,,,,,,,,,,,,,
79,235R,G1,-,BB_131,2,,,,,,,,,,,,,,,,,,,,,,,,
79,236L,G1,-,BB_045,3,,,,,,,,,,,,,,,,,,,,,,,,
79,236R,G1,-,BB_158,5,,,,,,,,,,,,,,,,,,,,,,,,
79,237L,G1,-,BB_095,4,,,,,,,,,,,,,,,,,,,,,,,,
79,237R,G1,-,BB_186,1,,,,,,,,,,,,,,,,,,,,,,,,
80,238R,G2,X,BB_123,4,,,,,,,,,,,,,,,,,,,,,,,,
80,239L,G1,-,BB_003,5,,,,,,,,,,,,,,,,,,,,,,,,
80,239R,G1,-,BB_204,1,,,,,,,,,,,,,,,,,,,,,,,,
80,240R,G2,X,BB_151,3,,,,,,,,,,,,,,,,,,,,,,,,
81,241R,G1,-,BB_170,5,,,,,,,,,,,,,,,,,,,,,,,,
81,243L,G1,-,BB_049,2,,,,,,,,,,,,,,,,,,,,,,,,
81,243R,G2,X,BB_053,3,,,,,,,,,,,,,,,,,,,,,,,,
82,244L,G1,-,BB_170,2,,,,,,,,,,,,,,,,,,,,,,,,
82,244R,G1,-,BB_060,3,,,,,,,,,,,,,,,,,,,,,,,,
82,245L,G1,-,BB_040,4,,,,,,,,,,,,,,,,,,,,,,,,
82,245R,G1,-,BB_053,2,,,,,,,,,,,,,,,,,,,,,,,,
82,246L,G2,X,BB_215,5,,,,,,,,,,,,,,,,,,,,,,,,
83,247L,G1,-,BB_056,3,,,,,,,,,,,,,,,,,,,,,,,,
83,247R,G1,-,BB_104,5,,,,,,,,,,,,,,,,,,,,,,,,
83,248R,G2,X,BB_002,4,,,,,,,,,,,,,,,,,,,,,,,,
83,249L,G1,-,BB_031,3,,,,,,,,,,,,,,,,,,,,,,,,
83,249R,G2,X,BB_089,5,,,,,,,,,,,,,,,,,,,,,,,,
84,250R,G1,-,BB_205,2,,,,,,,,,,,,,,,,,,,,,,,,
84,251L,G2,X,BB_104,4,,,,,,,,,,,,,,,,,,,,,,,,
84,251R,G1,-,BB_179,5,,,,,,,,,,,,,,,,,,,,,,,,
84,252L,G1,-,BB_103,1,,,,,,,,,,,,,,,,,,,,,,,,
85,253R,G1,-,BB_009,1,,,,,,,,,,,,,,,,,,,,,,,,
86,256L,G1,-,BB_111,2,,,,,,,,,,,,,,,,,,,,,,,,
86,256R,G2,X,BB_059,4,,,,,,,,,,,,,,,,,,,,,,,,
86,257R,G1,-,BB_150,3,,,,,,,,,,,,,,,,,,,,,,,,
86,258L,G1,-,BB_083,1,,,,,,,,,,,,,,,,,,,,,,,,
87,259L,G2,X,BB_164,5,,,,,,,,,,,,,,,,,,,,,,,,
87,260L,G1,-,BB_214,1,,,,,,,,,,,,,,,,,,,,,,,,
87,260R,G1,-,BB_133,3,,,,,,,,,,,,,,,,,,,,,,,,
87,261L,G2,X,BB_054,3,,,,,,,,,,,,,,,,,,,,,,,,
88,263L,G1,-,BB_016,5,,,,,,,,,,,,,,,,,,,,,,,,
89,266R,G2,X,BB_149,3,,,,,,,,,,,,,,,,,,,,,,,,
90,268L,G2,X,BB_024,4,,,,,,,,,,,,,,,,,,,,,,,,
90,268R,G1,-,BB_139,4,,,,,,,,,,,,,,,,,,,,,,,,
90,269L,G2,X,BB_133,5,,,,,,,,,,,,,,,,,,,,,,,,
90,269R,G1,-,BB_042,4,,,,,,,,,,,,,,,,,,,,,,,,
91,271L,G2,X,BB_013,4,,,,,,,,,,,,,,,,,,,,,,,,
91,271R,G1,-,BB_021,2,,,,,,,,,,,,,,,,,,,,,,,,
91,272L,G1,-,BB_149,5,,,,,,,,,,,,,,,,,,,,,,,,
91,272R,G1,-,BB_039,2,,,,,,,,,,,,,,,,,,,,,,,,
91,273L,G1,-,BB_209,2,,,,,,,,,,,,,,,,,,,,,,,,
91,273R,G1,-,BB_204,5,,,,,,,,,,,,,,,,,,,,,,,,
92,274L,G1,-,BB_003,1,,,,,,,,,,,,,,,,,,,,,,,,
92,274R,G2,X,BB_070,4,,,,,,,,,,,,,,,,,,,,,,,,
92,275L,G1,-,BB_134,1,,,,,,,,,,,,,,,,,,,,,,,,
92,276L,G1,-,BB_080,1,,,,,,,,,,,,,,,,,,,,,,,,
92,276R,G1,-,BB_061,4,,,,,,,,,,,,,,,,,,,,,,,,
93,277L,G1,-,BB_216,2,,,,,,,,,,,,,,,,,,,,,,,,
93,277R,G2,X,BB_179,1,,,,,,,,,,,,,,,,,,,,,,,,
93,278L,G2,X,BB_045,2,,,,,,,,,,,,,,,,,,,,,,,,
93,278R,G1,-,BB_060,1,,,,,,,,,,,,,,,,,,,,,,,,
93,279L,G1,-,BB_110,4,,,,,,,,,,,,,,,,,,,,,,,,
93,279R,G1,-,BB_214,4,,,,,,,,,,,,,,,,,,,,,,,,
94,281L,G1,-,BB_018,3,,,,,,,,,,,,,,,,,,,,,,,,
94,281R,G1,-,BB_048,5,,,,,,,,,,,,,,,,,,,,,,,,
95,283L,G1,-,BB_050,2,,,,,,,,,,,,,,,,,,,,,,,,
95,284L,G1,-,BB_053,1,,,,,,,,,,,,,,,,,,,,,,,,
95,285R,G1,-,BB_181,5,,,,,,,,,,,,,,,,,,,,,,,,
96,287L,G1,-,BB_163,2,,,,,,,,,,,,,,,,,,,,,,,,
96,287R,G1,-,BB_097,4,,,,,,,,,,,,,,,,,,,,,,,,
96,288L,G1,-,BB_145,1,,,,,,,,,,,,,,,,,,,,,,,,
96,288R,G2,X,BB_147,3,,,,,,,,,,,,,,,,,,,,,,,,
97,289L,G1,-,BB_146,1,,,,,,,,,,,,,,,,,,,,,,,,
97,289R,G1,-,BB_208,5,,,,,,,,,,,,,,,,,,,,,,,,
97,290L,G2,X,BB_179,3,,,,,,,,,,,,,,,,,,,,,,,,
97,290R,G1,-,BB_164,1,,,,,,,,,,,,,,,,,,,,,,,,
97,291L,G1,-,BB_037,1,,,,,,,,,,,,,,,,,,,,,,,,
97,291R,G2,X,BB_052,4,,,,,,,,,,,,,,,,,,,,,,,,
98,293L,G1,-,BB_094,2,,,,,,,,,,,,,,,,,,,,,,,,
98,293R,G1,-,BB_148,5,,,,,,,,,,,,,,,,,,,,,,,,
99,295L,G2,X,BB_060,5,,,,,,,,,,,,,,,,,,,,,,,,
99,295R,G2,X,BB_138,5,,,,,,,,,,,,,,,,,,,,,,,,
99,297R,G1,-,BB_207,1,,,,,,,,,,,,,,,,,,,,,,,,
100,298L,G1,-,BB_081,4,,,,,,,,,,,,,,,,,,,,,,,,
100,298R,G2,X,BB_087,4,,,,,,,,,,,,,,,,,,,,,,,,
100,299R,G1,-,BB_143,5,,,,,,,,,,,,,,,,,,,,,,,,
100,300L,G1,-,BB_049,1,,,,,,,,,,,,,,,,,,,,,,,,
100,300R,G1,-,BB_121,1,,,,,,,,,,,,,,,,,,,,,,,,
101,301L,G2,X,BB_002,4,,,,,,,,,,,,,,,,,,,,,,,,
101,301R,G1,-,BB_132,1,,,,,,,,,,,,,,,,,,,,,,,,
101,302L,G1,-,BB_085,4,,,,,,,,,,,,,,,,,,,,,,,,
101,302R,G2,X,BB_166,1,,,,,,,,,,,,,,,,,,,,,,,,
101,303L,G2,X,BB_150,3,,,,,,,,,,,,,,,,,,,,,,,,
101,303R,G1,-,BB_007,3,,,,,,,,,,,,,,,,,,,,,,,,
102,304L,G1,-,BB_215,5,,,,,,,,,,,,,,,,,,,,,,,,
102,304R,G1,-,BB_061,3,,,,,,,,,,,,,,,,,,,,,,,,
102,305L,G2,X,BB_098,3,,,,,,,,,,,,,,,,,,,,,,,,
102,306R,G2,X,BB_114,1,,,,,,,,,,,,,,,,,,,,,,,,
103,307L,G1,-,BB_113,4,,,,,,,,,,,,,,,,,,,,,,,,
103,308L,G1,-,BB_186,3,,,,,,,,,,,,,,,,,,,,,,,,
103,308R,G2,X,BB_209,4,,,,,,,,,,,,,,,,,,,,,,,,
103,309L,G2,X,BB_020,2,,,,,,,,,,,,,,,,,,,,,,,,
103,309R,G2,X,BB_149,5,,,,,,,,,,,,,,,,,,,,,,,,
104,310L,G1,-,BB_200,2,,,,,,,,,,,,,,,,,,,,,,,,
104,311L,G1,-,BB_148,1,,,,,,,,,,,,,,,,,,,,,,,,
104,312L,G1,-,BB_204,5,,,,,,,,,,,,,,,,,,,,,,,,
104,312R,G2,X,BB_080,3,,,,,,,,,,,,,,,,,,,,,,,,
105,313L,G1,-,BB_068,2,,,,,,,,,,,,,,,,,,,,,,,,
105,313R,G2,X,BB_045,2,,,,,,,,,,,,,,,,,,,,,,,,
105,314L,G1,-,BB_109,5,,,,,,,,,,,,,,,,,,,,,,,,
105,315L,G1,-,BB_123,3,,,,,,,,,,,,,,,,,,,,,,,,
106,316L,G1,-,BB_126,2,,,,,,,,,,,,,,,,,,,,,,,,
106,316R,G1,-,BB_042,4,,,,,,,,,,,,,,,,,,,,,,,,
106,317L,G2,X,BB_018,3,,,,,,,,,,,,,,,,,,,,,,,,
106,317R,G1,-,BB_206,4,,,,,,,,,,,,,,,,,,,,,,,,
107,319L,G1,-,BB_105,1,,,,,,,,,,,,,,,,,,,,,,,,
107,319R,G1,-,BB_218,1,,,,,,,,,,,,,,,,,,,,,,,,
107,320L,G1,-,BB_160,4,,,,,,,,,,,,,,,,,,,,,,,,
107,320R,G2,X,BB_111,3,,,,,,,,,,,,,,,,,,,,,,,,
107,321L,G1,-,BB_216,2,,,,,,,,,,,,,,,,,,,,,,,,
107,321R,G1,-,BB_024,3,,,,,,,,,,,,,,,,,,,,,,,,
108,322L,G1,-,BB_030,3,,,,,,,,,,,,,,,,,,,,,,,,
