Location,Seg,Gen,GenSym,Recipient,Fit_plant,ALL_closed_fruit,ALL_open_fruit,ALL_filled_seeds,N_CLOSED_fruit_D1,N_OPEN_fruit_D1,N_FILLED_seeds_D1,N_total_seeds_D1,N_CLOSED_fruit_D2,N_OPEN_fruit_D2,N_FILLED_seeds_D2,N_total_seeds_D2,N_CLOSED_fruit_D3,N_OPEN_fruit_D3,N_FILLED_seeds_D3,N_total_seeds_D3,N_CLOSED_fruit_D4,N_OPEN_fruit_D4,N_FILLED_seeds_D4,N_total_seeds_D4,N_CLOSED_fruit_D5,N_OPEN_fruit_D5,N_FILLED_seeds_D5,N_total_seeds_D5,notes
14,42R,G1,-,BB_009,2,,,,,,,,,,,,,,,,,,,,,,,,
15,43L,G1,-,BB_189,3,,,,,,,,,,,,,,,,,,,,,,,,
15,43R,G1,-,BB_101,1,,,,,,,,,,,,,,,,,,,,,,,,
15,44L,G1,-,BB_154,4,,,,,,,,,,,,,,,,,,,,,,,,
15,44R,G1,-,BB_200,1,,,,,,,,,,,,,,,,,,,,,,,,
15,45L,G2,X,BB_157,2,,,,,,,,,,,,,,,,,,,,,,,,
15,45R,G2,X,BB_103,2,,,,,,,,,,,,,,,,,,,,,,,,
16,46L,G1,-,BB_071,1,,,,,,,,,,,,,,,,,,,,,,,,
16,46R,G1,-,BB_117,3,,,,,,,,,,,,,,,,,,,,,,,,
16,47L,G1,-,BB_093,2,,,,,,,,,,,,,,,,,,,,,,,,
16,47R,G1,-,BB_123,4,,,,,,,,,,,,,,,,,,,,,,,,
16,48L,G1,-,BB_119,5,,,,,,,,,,,,,,,,,,,,,,,,
16,48R,G1,-,BB_064,5,,,,,,,,,,,,,,,,,,,,,,,,
17,49R,G2,X,BB_076,2,,,,,,,,,,,,,,,,,,,,,,,,
17,50L,G1,-,BB_151,4,,,,,,,,,,,,,,,,,,,,,,,,
17,50R,G2,X,BB_120,1,,,,,,,,,,,,,,,,,,,,,,,,
17,51L,G1,-,BB_052,1,,,,,,,,,,,,,,,,,,,,,,,,
17,51R,G1,-,BB_159,2,,,,,,,,,,,,,,,,,,,,,,,,
18,52L,G1,-,BB_171,3,,,,,,,,,,,,,,,,,,,,,,,,
18,52R,G1,-,BB_031,1,,,,,,,,,,,,,,,,,,,,,,,,
18,53L,G1,-,BB_118,1,,,,,,,,,,,,,,,,,,,,,,,,
18,53R,G2,X,BB_037,3,,,,,,,,,,,,,,,,,,,,,,,,
18,54L,G2,X,BB_145,4,,,,,,,,,,,,,,,,,,,,,,,,
18,54R,G1,-,BB_074,4,,,,,,,,,,,,,,,,,,,,,,,,
19,55L,G1,-,BB_097,3,,,,,,,,,,,,,,,,,,,,,,,,
19,55R,G2,X,BB_018,4,,,,,,,,,,,,,,,,,,,,,,,,
19,56L,G1,-,BB_079,3,,,,,,,,,,,,,,,,,,,,,,,,
20,58L,G1,-,BB_104,3,,,,,,,,,,,,,,,,,,,,,,,,
20,58R,G1,-,BB_185,4,,,,,,,,,,,,,,,,,,,,,,,,
20,59L,G2,X,BB_018,1,,,,,,,,,,,,,,,,,,,,,,,,
20,59R,G1,-,BB_051,3,,,,,,,,,,,,,,,,,,,,,,,,
20,60L,G2,X,BB_046,2,,,,,,,,,,,,,,,,,,,,,,,,
20,60R,G1,-,BB_003,2,,,,,,,,,,,,,,,,,,,,,,,,
21,61L,G2,X,BB_153,5,,,,,,,,,,,,,,,,,,,,,,,,
21,61R,G2,X,BB_114,1,,,,,,,,,,,,,,,,,,,,,,,,
21,62L,G1,-,BB_043,5,,,,,,,,,,,,,,,,,,,,,,,,
21,62R,G2,X,BB_093,4,,,,,,,,,,,,,,,,,,,,,,,,
21,63R,G1,-,BB_121,1,,,,,,,,,,,,,,,,,,,,,,,,
22,64L,G2,X,BB_076,2,,,,,,,,,,,,,,,,,,,,,,,,
22,65R,G1,-,BB_147,3,,,,,,,,,,,,,,,,,,,,,,,,
22,66L,G2,X,BB_160,2,,,,,,,,,,,,,,,,,,,,,,,,
22,66R,G1,-,BB_035,5,,,,,,,,,,,,,,,,,,,,,,,,
23,67L,G1,-,BB_019,4,,,,,,,,,,,,,,,,,,,,,,,,
23,67R,G2,X,BB_206,1,,,,,,,,,,,,,,,,,,,,,,,,
23,68L,G1,-,BB_061,3,,,,,,,,,,,,,,,,,,,,,,,,
23,68R,G1,-,BB_105,3,,,,,,,,,,,,,,,,,,,,,,,,
23,69L,G1,-,BB_076,2,,,,,,,,,,,,,,,,,,,,,,,,
23,69R,G2,X,BB_078,1,,,,,,,,,,,,,,,,,,,,,,,,
24,70L,G1,-,BB_017,4,,,,,,,,,,,,,,,,,,,,,,,,
