Sequence,Transect,Seg,Gen,GenSym,Recipient,Fit_plant,GT_closed_fruit,GT_open_fruit,GT_filled_seeds,N_CLOSED_fruit_D1,N_OPEN_fruit_D1,N_FILLED_seeds_D1,N_total_seeds_D1,N_CLOSED_fruit_D2,N_OPEN_fruit_D2,N_FILLED_seeds_D2,N_total_seeds_D2,N_CLOSED_fruit_D3,N_OPEN_fruit_D3,N_FILLED_seeds_D3,N_total_seeds_D3,N_CLOSED_fruit_D4,N_OPEN_fruit_D4,N_FILLED_seeds_D4,N_total_seeds_D4,N_CLOSED_fruit_D5,N_OPEN_fruit_D5,N_FILLED_seeds_D5,N_total_seeds_D5,notes
136,5,12L,G1,-,BO_184,5,,,,,,,,,,,,,,,,,,,,,,,,
137,5,13L,G2,X,BO_094,3,,,,,,,,,,,,,,,,,,,,,,,,
138,5,14L,G1,-,BO_094,3,,,,,,,,,,,,,,,,,,,,,,,,
140,5,16L,G1,-,BO_169,3,,,,,,,,,,,,,,,,,,,,,,,,
140,5,16R,G1,-,BO_078,5,,,,,,,,,,,,,,,,,,,,,,,,
142,5,18L,G1,-,BO_152,2,,,,,,,,,,,,,,,,,,,,,,,,
142,5,18R,G2,X,BO_086,5,,,,,,,,,,,,,,,,,,,,,,,,
144,5,20L,G1,-,BO_124,2,,,,,,,,,,,,,,,,,,,,,,,,
146,5,22L,G1,-,BO_019,3,,,,,,,,,,,,,,,,,,,,,,,,
147,5,23L,G1,-,BO_177,5,,,,,,,,,,,,,,,,,,,,,,,,
149,5,25L,G1,-,BO_031,5,,,,,,,,,,,,,,,,,,,,,,,,
153,5,29L,G1,-,BO_001,5,,,,,,,,,,,,,,,,,,,,,,,,
156,5,32R,G2,X,BO_108,5,,,,,,,,,,,,,,,,,,,,,,,,
158,5,34L,G2,X,BO_125,2,,,,,,,,,,,,,,,,,,,,,,,,
158,5,34R,G2,X,BO_146,3,,,,,,,,,,,,,,,,,,,,,,,,
169,6,1R,G1,-,BO_185,3,,,,,,,,,,,,,,,,,,,,,,,,
170,6,2L,G1,-,BO_056,5,,,,,,,,,,,,,,,,,,,,,,,,
170,6,2R,G2,X,BO_067,1,,,,,,,,,,,,,,,,,,,,,,,,
171,6,3L,G1,-,BO_022,1,,,,,,,,,,,,,,,,,,,,,,,,
171,6,3R,G1,-,BO_089,5,,,,,,,,,,,,,,,,,,,,,,,,
172,6,4L,G1,-,BO_158,1,,,,,,,,,,,,,,,,,,,,,,,,
172,6,4R,G1,-,BO_182,5,,,,,,,,,,,,,,,,,,,,,,,,
173,6,5L,G1,-,BO_131,3,,,,,,,,,,,,,,,,,,,,,,,,
175,6,7L,G2,X,BO_191,1,,,,,,,,,,,,,,,,,,,,,,,,
176,6,8L,G2,X,BO_072,1,,,,,,,,,,,,,,,,,,,,,,,,
176,6,8R,G1,-,BO_121,2,,,,,,,,,,,,,,,,,,,,,,,,
177,6,9L,G1,-,BO_166,1,,,,,,,,,,,,,,,,,,,,,,,,
177,6,9R,G1,-,BO_087,4,,,,,,,,,,,,,,,,,,,,,,,,
179,6,11L,G2,X,BO_015,2,,,,,,,,,,,,,,,,,,,,,,,,
179,6,11R,G2,X,BO_001,3,,,,,,,,,,,,,,,,,,,,,,,,
180,6,12L,G1,-,BO_145,2,,,,,,,,,,,,,,,,,,,,,,,,
180,6,12R,G1,-,BO_158,4,,,,,,,,,,,,,,,,,,,,,,,,
181,6,13L,G1,-,BO_199,1,,,,,,,,,,,,,,,,,,,,,,,,
181,6,13R,G2,X,BO_060,3,,,,,,,,,,,,,,,,,,,,,,,,
182,6,14R,G2,X,BO_130,4,,,,,,,,,,,,,,,,,,,,,,,,
184,6,16L,G1,-,BO_027,3,,,,,,,,,,,,,,,,,,,,,,,,
185,6,17L,G1,-,BO_201,1,,,,,,,,,,,,,,,,,,,,,,,,
186,6,18R,G1,-,BO_048,3,,,,,,,,,,,,,,,,,,,,,,,,
187,6,19L,G1,-,BO_069,1,,,,,,,,,,,,,,,,,,,,,,,,
187,6,19R,G2,X,BO_048,3,,,,,,,,,,,,,,,,,,,,,,,,
188,6,20L,G1,-,BO_117,4,,,,,,,,,,,,,,,,,,,,,,,,
188,6,20R,G1,-,BO_071,4,,,,,,,,,,,,,,,,,,,,,,,,
189,6,21L,G2,X,BO_034,5,,,,,,,,,,,,,,,,,,,,,,,,
168,6,22L,G2,X,BO_052,5,,,,,,,,,,,,,,,,,,,,,,,,
168,6,22R,G2,X,BO_031,3,,,,,,,,,,,,,,,,,,,,,,,,
190,6,23R,G1,-,BO_140,3,,,,,,,,,,,,,,,,,,,,,,,,
192,6,25L,G2,X,BO_018,2,,,,,,,,,,,,,,,,,,,,,,,,
