Block,Seq (1-42),Location,Co.,Donor_ID,Recipient_ID,Date (mm/dd),1,2,3,4,5,6,7,8,Notes 12/12,Notes 12/19-20,Notes 12/30
W2,27,110,4,BB_99,BB_61,Flow,,,,,,,,,,,
W2,28,120,4,BB_125,BB_24,Germ,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,20-Dec,13-Dec,,"*-3,6,7;D-4",*-6;D-4
W2,28,120,4,BB_125,BB_24,Flow,,,,,4-Mar,,,,,,
W2,29,120,5,BB_176,BB_17,Germ,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,20-Dec,,"*-2,8","D-2,8"
W2,29,120,5,BB_176,BB_17,Flow,4-Mar,,,4-Mar,4-Mar,4-Mar,4-Mar,,,,
W2,30,120,4,BB_125,BB_137,Germ,20-Dec,30-Dec,20-Dec,13-Dec,,20-Dec,,20-Dec,,"*-1,4","*-4;D-1,3"
W2,30,120,4,BB_125,BB_137,Flow,,,,,,,,,,,
W2,31,130,2,BB_014,BB_185,Germ,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,30-Dec,,,*-8
W2,31,130,2,BB_014,BB_185,Flow,,,,,,,,,,,
W2,32,130,5,BB_51,BB_118,Germ,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,20-Dec,,,
W2,32,130,5,BB_51,BB_118,Flow,,,,,,,,,,,
W2,33,130,5,BB_51,BB_105,Germ,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,,,
W2,33,130,5,BB_51,BB_105,Flow,,,,,,,,,,,
W2,34,140,1,BB_075,BB_164,Germ,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,,13-Dec,13-Dec,,"D-2,5,8;*-4","*-1,3,7; D-2,4,5,8"
W2,34,140,1,BB_075,BB_164,Flow,,,,,,,,,,,
W2,35,140,5,BB_51,BB_143,Germ,,13-Dec,13-Dec,13-Dec,20-Dec,13-Dec,13-Dec,13-Dec,,"*-2,4,5,6,7,8","*-5,8;D-7;B-6"
W2,35,140,5,BB_51,BB_143,Flow,,,,,,,,,,,
W2,36,140,5,BB_176,BB_49,Germ,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,20-Dec,13-Dec,,,"D-2;*-2,3,5,6,7","*-3,5,6;D-7"
W2,36,140,5,BB_176,BB_49,Flow,,,,,,,,,,,
W2,37,150,4,BB_125,BB_51,Germ,13-Dec,20-Dec,13-Dec,20-Dec,13-Dec,13-Dec,13-Dec,13-Dec,,"*-2,8","*-2,4,5,7,8;D-1"
W2,37,150,4,BB_125,BB_51,Flow,,,,,,,,,,,
W2,38,150,1,BB_075,BB_79,Germ,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,,*-7,D-7
W2,38,150,1,BB_075,BB_79,Flow,,,,,,,,,,,
W2,39,150,5,BB_176,BB_59,Germ,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,,"*-1,2,5,7","*-1,2,3,5;D-7"
W2,39,150,5,BB_176,BB_59,Flow,,,,,,,,,,,
W2,40,160,3,BB_115,BB_20,Germ,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,,,
W2,40,160,3,BB_115,BB_20,Flow,,,,,4-Mar,,,,,,
W2,41,160,2,BB_014,BB_152,Germ,30-Dec,20-Dec,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,,,*-1
W2,41,160,2,BB_014,BB_152,Flow,,,,,,,,,,,
W2,42,160,2,BB_014,BB_102,Germ,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,13-Dec,DP-5,,
W2,42,160,2,BB_014,BB_102,Flow,,,,,,,,,,,
