Transect,Seq (1-42),Co.,Donor_ID,Recipient_ID,Date (mm/dd),1,2,3,4,5,6,7,8
W1,19,2,HR_002,HR_56,Germ,17-Dec,6-Dec,6-Dec,6-Dec,6-Dec,17-Dec,6-Dec,6-Dec
W1,19,2,HR_002,HR_56,Flow,,,,,,,,
W1,20,7,HR_5,HR_149,Germ,6-Dec,6-Dec,17-Dec,6-Dec,6-Dec,6-Dec,6-Dec,6-Dec
W1,20,7,HR_5,HR_149,Flow,,,,,,,,
W1,21,3,HR_141,HR_184,Germ,,17-Dec,17-Dec,17-Dec,17-Dec,17-Dec,6-Dec,17-Dec
W1,21,3,HR_141,HR_184,Flow,,,,,,,,
W2,22,3,HR_141,HR_15,Germ,17-Dec,17-Dec,17-Dec,17-Dec,6-Dec,19-Nov,17-Dec,17-Dec
W2,22,3,HR_141,HR_15,Flow,,,,,,,,
W2,23,5,HR_6,HR_162,Germ,17-Dec,6-Dec,6-Dec,17-Dec,6-Dec,19-Nov,6-Dec,6-Dec
W2,23,5,HR_6,HR_162,Flow,,,,,,,,
W2,24,7,HR_5,HR_149,Germ,17-Dec,6-Dec,6-Dec,6-Dec,6-Dec,17-Dec,6-Dec,
W2,24,7,HR_5,HR_149,Flow,,,,,,,,
W2,25,6,HR_168,HR_101,Germ,6-Dec,,6-Dec,,6-Dec,6-Dec,6-Dec,6-Dec
W2,25,6,HR_168,HR_101,Flow,,,,,,,,
W2,26,7,HR_5,HR_180,Germ,,6-Dec,6-Dec,6-Dec,17-Dec,,,17-Dec
W2,26,7,HR_5,HR_180,Flow,,,,,,,,
W2,27,2,HR_002,HR_56,Germ,6-Dec,17-Dec,,17-Dec,6-Dec,,17-Dec,6-Dec
W2,27,2,HR_002,HR_56,Flow,,,,,,,,
W2,28,3,HR_141,HR_184,Germ,6-Dec,6-Dec,6-Dec,6-Dec,6-Dec,6-Dec,6-Dec,17-Dec
W2,28,3,HR_141,HR_184,Flow,,,,,,,,
W2,29,5,HR_6,HR_146,Germ,6-Dec,6-Dec,,6-Dec,6-Dec,6-Dec,6-Dec,6-Dec
W2,29,5,HR_6,HR_146,Flow,,,,,,,,
W2,30,1,HR_027,HR_145,Germ,6-Dec,6-Dec,,17-Dec,6-Dec,6-Dec,6-Dec,6-Dec
W2,30,1,HR_027,HR_145,Flow,,,,,,,,
W2,31,3,HR_141,HR_44,Germ,17-Dec,6-Dec,6-Dec,17-Dec,6-Dec,,6-Dec,6-Dec
W2,31,3,HR_141,HR_44,Flow,,,,,,,,
W2,32,1,HR_027,HR_43,Germ,6-Dec,17-Dec,,6-Dec,6-Dec,6-Dec,6-Dec,6-Dec
W2,32,1,HR_027,HR_43,Flow,,,,,,,,
W2,33,5,HR_6,HR_142,Germ,17-Dec,17-Dec,17-Dec,17-Dec,6-Dec,17-Dec,6-Dec,6-Dec
W2,33,5,HR_6,HR_142,Flow,,,,,,,,
W2,34,1,HR_027,HR_119,Germ,6-Dec,6-Dec,6-Dec,6-Dec,6-Dec,,6-Dec,6-Dec
W2,34,1,HR_027,HR_119,Flow,,,,,,,,
W2,35,7,HR_5,HR_40,Germ,6-Dec,6-Dec,6-Dec,6-Dec,17-Dec,6-Dec,17-Dec,6-Dec
W2,35,7,HR_5,HR_40,Flow,,,,,,,,
W2,36,4,HR_34,HR_17,Germ,6-Dec,6-Dec,6-Dec,6-Dec,17-Dec,6-Dec,6-Dec,6-Dec
W2,36,4,HR_34,HR_17,Flow,,,,,,,,
W2,37,6,HR_168,HR_64,Germ,17-Dec,6-Dec,6-Dec,6-Dec,6-Dec,6-Dec,6-Dec,6-Dec
W2,37,6,HR_168,HR_64,Flow,,,,,,,,
W2,38,4,HR_34,HR_80,Germ,6-Dec,17-Dec,17-Dec,17-Dec,17-Dec,17-Dec,17-Dec,
W2,38,4,HR_34,HR_80,Flow,,,,,,,,
W2,39,2,HR_002,HR_59,Germ,6-Dec,,6-Dec,6-Dec,6-Dec,6-Dec,6-Dec,17-Dec
W2,39,2,HR_002,HR_59,Flow,,,,,,,,
W2,40,6,HR_168,HR_148,Germ,6-Dec,6-Dec,6-Dec,6-Dec,6-Dec,6-Dec,6-Dec,6-Dec
W2,40,6,HR_168,HR_148,Flow,,,,,,,,
W2,41,4,HR_34,HR_112,Germ,,17-Dec,17-Dec,17-Dec,17-Dec,,,17-Dec
W2,41,4,HR_34,HR_112,Flow,,,,,,,,
W2,42,2,HR_002,HR_71,Germ,,6-Dec,17-Dec,17-Dec,6-Dec,6-Dec,6-Dec,17-Dec
W2,42,2,HR_002,HR_71,Flow,,,,,,,,
