Site: Blue Oak Ranch 2023,,,,,,,,,,
Transect,Seg No.,Sequence,Tray,Row,Positions 1-5 (left),,Positions 6-10 (right),,Seg. Latidude,Seg. Longitude
4,16,113,,8,G1,BO_126,G2,BO_141,,
4,17,114,,9,G1,BO_154,G1,BO_12,,
4,18,115,,10,G1,BO_53,G1,BO_53,,
4,19,116,,11,G1,BO_125,G1,BO_24,,
4,20,117,,12,G1,BO_150,G1,BO_54,,
4,21,118,,13,G1,BO_106,G1,BO_146,,
4,22,119,,14,G1,BO_54,G1,BO_29,,
4,23,120,,15,G1,BO_114,G1,BO_22,,
4,24,121,,16,G2,BO_021,G2,BO_131,,
4,25,122,,17,G2,BO_108,G1,BO_132,,
4,26,123,,18,G1,BO_161,G1,BO_14,,
4,27,124,,19,G1,BO_199,G1,BO_72,37.387,121.71615
5,1,125,,20,G2,BO_012,G1,BO_130,37.38697,121.71573
5,2,126,,21,G1,BO_126,G1,BO_32,,
5,3,127,Tray 7,1,G2,BO_050,G1,BO_9,,
5,4,128,,2,G1,BO_167,G1,BO_159,,
5,5,129,,3,G2,BO_123,G2,BO_052,,
5,6,130,,4,G2,BO_069,G2,BO_008,,
5,7,131,,5,G2,BO_118,G2,BO_025,,
5,8,132,,6,G1,BO_4,G1,BO_13,,
5,9,133,,7,G1,BO_124,G2,BO_037,,
5,10,134,,8,G1,BO_116,G1,BO_155,,
5,11,135,,9,G1,BO_116,G1,BO_164,,
5,12,136,,10,G1,BO_184,G2,BO_079,,
5,13,137,,11,G2,BO_094,G1,BO_135,,
5,14,138,,12,G1,BO_94,G1,BO_182,,
5,15,139,,13,G1,BO_178,G2,BO_091,,
5,16,140,,14,G1,BO_169,G1,BO_78,,
5,17,141,,15,G1,BO_18,G2,BO_174,,
5,18,142,,16,G1,BO_152,G2,BO_086,,
5,19,143,,17,G2,BO_182,G2,BO_032,,
5,20,144,,18,G1,BO_124,G2,BO_045,,
5,21,145,,19,G1,BO_150,G1,BO_94,,
5,22,146,,20,G1,BO_19,G2,BO_094,,
5,23,147,,21,G1,BO_177,G2,BO_056,,
5,24,148,Tray 8,1,G1,BO_191,G1,BO_198,,
5,25,149,,2,G1,BO_31,G1,BO_20,,
5,26,150,,3,G1,BO_88,G1,BO_90,,
5,27,151,,4,G1,BO_171,G1,BO_142,,
5,28,152,,5,G2,BO_190,G1,BO_82,,
5,29,153,,6,G1,BO_1,G2,BO_164,,
5,30,154,,7,G1,BO_132,G1,BO_132,,
5,31,155,,8,G1,BO_105,G1,BO_121,,
5,32,156,,9,G1,BO_98,G2,BO_108,,
5,33,157,,10,G1,BO_72,G2,BO_067,,
5,34,158,,11,G2,BO_125,G2,BO_146,,
5,35,159,,12,G1,BO_17,G1,BO_174,,
5,36,160,,13,G1,BO_78,G1,BO_102,,
5,37,161,,14,G1,BO_80,G1,BO_80,,
5,38,162,,15,G2,BO_159,G1,BO_86,,
5,39,163,,16,G1,BO_134,G1,BO_154,,
5,40,164,,17,G1,BO_60,G1,BO_34,,
5,41,165,,18,G2,BO_090,G1,BO_191,,
5,42,166,,19,G2,BO_037,G1,BO_127,,
5,43,167,,20,G2,BO_070,G1,BO_14,37.387,121.71608
6,22,168,,21,G2,BO_052,G2,BO_031,37.387,121.7157
6,1,169,Tray 9,1,G2,BO_051,G1,BO_185,,
6,2,170,,2,G1,BO_56,G2,BO_067,,
6,3,171,,3,G1,BO_22,G1,BO_89,,
6,4,172,,4,G1,BO_158,G1,BO_182,,
6,5,173,,5,G1,BO_131,G2,BO_098,,
6,6,174,,6,G2,BO_153,G1,BO_102,,
6,7,175,,7,G2,BO_191,G2,BO_050,,
6,8,176,,8,G2,BO_072,G1,BO_121,,
6,9,177,,9,G1,BO_166,G1,BO_87,,
6,10,178,,10,G1,BO_195,G1,BO_34,,
6,11,179,,11,G2,BO_015,G2,BO_001,,
6,12,180,,12,G1,BO_145,G1,BO_158,,
6,13,181,,13,G1,BO_199,G2,BO_060,,
6,14,182,,14,G2,BO_061,G2,BO_130,,
6,15,183,,15,G2,BO_013,G2,BO_200,,
6,16,184,,16,G1,BO_27,G2,BO_043,,
6,17,185,,17,G1,BO_201,G2,BO_100,,
6,18,186,,18,G1,BO_167,G1,BO_48,,
6,19,187,,19,G1,BO_69,G2,BO_048,,
6,20,188,,20,G1,BO_117,G1,BO_71,,
6,21,189,,21,G2,BO_034,G2,BO_182,,
6,23,190,Tray 10,1,G1,BO_114,G1,BO_140,,
6,24,191,,2,G1,BO_71,G2,BO_154,,
6,25,192,,3,G2,BO_018,G2,BO_021,,
6,26,193,,4,G2,BO_190,G1,BO_25,,
6,27,194,,5,G1,BO_120,G1,BO_29,,
6,28,195,,6,G1,BO_186,G1,BO_20,,
6,29,196,,7,G1,BO_20,G2,BO_086,,
6,30,197,,8,G1,BO_19,G2,BO_032,,
6,31,198,,9,G1,BO_161,G2,BO_099,37.38702,121.71596
7,1,199,,10,G2,BO_115,G2,BO_176,37.38703,121.71573
7,2,200,,11,G1,BO_9,G2,BO_089,,
7,3,201,,12,G1,BO_85,G2,BO_022,,
7,4,202,,13,G1,BO_61,G2,BO_134,,
7,5,203,,14,G1,BO_50,G1,BO_116,,
7,6,204,,15,G1,BO_155,G2,BO_126,,
7,7,205,,16,G1,BO_99,G2,BO_088,,
7,8,206,,17,G2,BO_034,G1,BO_43,,
7,9,207,,18,G1,BO_48,G1,BO_61,,
7,10,208,,19,G1,BO_12,G1,BO_137,,
