Site: Bodega Bay 2022-23,,,,,,,,,
Tray,Point,Row,Positions 1-5 (left),,Positions 6-10 (right),,Pt. Latitude,Pt. Longitude,
,,6,G1,BB_205_A,G2,BB_121,,,
,38,7,G1,BB_63,G1,BB_87,38.31459,-123.06975,-123.06975
,,8,G1,BB_147,G1,BB_147,,,
,,9,G1,BB_89,G1,BB_116,,,
,39,10,G1,BB_88,G1,BB_133,38.31456,-123.06971,-123.06971
,,11,G1,BB_34,G1,BB_46,,,
,,12,G1,BB_39,G1,BB_164,,,
,40,13,G2,BB_029,G1,BB_25,38.31454,-123.06972,-123.06972
,,14,G2,BB_051,G1,BB_21,,,
,,15,G1,BB_54,G1,BB_183,,,
,41,16,G1,BB_189,G2,BB_132,38.31456,-123.06966,-123.06966
,,17,G1,BB_187,G2,BB_134,,,
,,18,G1,BB_113,G1,BB_80,,,
,42,19,G1,BB_151,G1,BB_140,38.31453,-123.06967,-123.06967
,,20,G1,BB_149,G2,BB_109,,,
,,21,G1,BB_205_B,G2,BB_189,,,
Tray 7,43,1,G1,BB_120,G1,BB_39,38.31451,-123.06965,-123.06965
,,2,G1,BB_10,G1,BB_206,,,
,,3,G1,BB_40,G1,BB_89,,,
,44,4,G1,BB_27,G1,BB_152,38.31449,-123.06962,-123.06962
,,5,G1,BB_138,G1,BB_114,,,
,,6,G2,BB_148,G1,BB_199,,,
,45,7,G2,BB_053,G2,BB_039,38.31442,-123.06953,-123.06953
,,8,G1,BB_200,G1,BB_110,,,
,,9,G2,BB_135,G2,BB_013,,,
,46,10,G2,BB_088,G1,BB_146,38.31441,-123.0695,-123.0695
,,11,G2,BB_193,G1,BB_109,,,
,,12,G1,BB_137,G1,BB_117,,,
,47,13,G1,BB_209,G2,BB_105,38.31437,-123.06944,-123.06944
,,14,G2,BB_134,G1,BB_186,,,
,,15,G1,BB_134,G2,BB_138,,,
,48,16,G1,BB_132,G2,BB_200,38.31436,-123.0694,-123.0694
,,17,G1,BB_45,G1,BB_9,,,
,,18,G1,BB_54,G2,BB_083,,,
,49,19,G1,BB_43,G1,BB_50,38.31434,-123.06943,-123.06943
,,20,G1,BB_85,G1,BB_140,,,
,,21,G1,BB_208,G2,BB_054,,,
Tray 8,50,1,G1,BB_145,G2,BB_146,38.31431,-123.06944,-123.06944
,,2,G1,BB_126,G2,BB_157,,,
,,3,G1,BB_59,G2,BB_009,,,
,51,4,G1,BB_44,G2,BB_189,38.3143,-123.06956,-123.06956
,,5,G2,BB_093,G2,BB_088,,,
,,6,G1,BB_2,G1,BB_145,,,
,52,7,G2,BB_154,G2,BB_111,38.31432,-123.06963,-123.06963
,,8,G2,BB_206,G1,BB_143,,,
,,9,G2,BB_190,G1,BB_7,,,
,53,10,G2,BB_020,G1,BB_32,38.31435,-123.06964,-123.06964
,,11,G2,BB_116,G1,BB_192,,,
,,12,G1,BB_104,G1,BB_146,,,
,54,13,G1,BB_64,G2,BB_114,38.31435,-123.06971,-123.06971
,,14,G2,BB_060,G1,BB_37,,,
,,15,G1,BB_101,G1,BB_48,,,
,55,16,G1,BB_211,G1,BB_114,38.3144,-123.06969,-123.06969
,,17,G2,BB_143,G1,BB_79,,,
,,18,G1,BB_166,G1,BB_92,,,
,56,19,G1,BB_74,G1,BB_103,38.31441,-123.06973,-123.06973
,,20,G2,BB_131,G1,BB_59,,,
,,21,G1,BB_109,G1,BB_30,,,
