Site: Angelo Coast 2023,,,,,,,,,,
Transect,Seg No.,Sequence,Tray,Row,Positions 1-5 (left),,Positions 6-10 (right),,Seg. Latidude,Seg. Longitude
8,26,276,,3,G2,AC_158,G1,AC_143,,
8,27,277,,4,G2,AC_96,G1,AC_83,,
8,28,278,,5,G2,AC_133,G1,AC_142,,
8,29,279,,6,G2,AC_130,G1,AC_92,,
8,30,280,,7,G1,AC_152,G1,AC_14,,
8,31,281,,8,G1,AC_151,G1,AC_195,,
8,32,282,,9,G2,AC_120,G2,AC_14,,
8,33,283,,10,G1,AC_15,G2,AC_151,,
8,34,284,,11,G2,AC_119,G2,AC_88,,
8,35,285,,12,G1,AC_64,G1,AC_182,,
8,36,286,,13,G1,AC_111,G1,AC_200,,
9,1,287,,14,G2,AC_182,G2,AC_99,,
9,2,288,,15,G2,AC_90,G1,AC_218,,
9,3,289,,16,G1,AC_217,G2,AC_97,,
9,4,290,,17,G1,AC_158,G1,AC_100,,
9,5,291,,18,G1,AC_118,G1,AC_97,,
9,6,292,,19,G1,AC_201,G1,AC_66,,
9,7,293,,20,G1,AC_40,G1,AC_208,,
9,8,294,,21,G2,AC_32,G2,AC_168,,
9,9,295,Tray 15,1,G2,AC_100,G1,AC_110,,
9,10,296,,2,G1,AC_15,G1,AC_155,,
9,11,297,,3,G2,AC_15,G2,AC_154,,
9,12,298,,4,G2,AC_115,G2,AC_92,,
9,13,299,,5,G2,AC_122,G2,AC_48,,
9,14,300,,6,G2,AC_74,G2,AC_211,,
9,15,301,,7,G2,AC_218,G1,AC_143,,
9,16,302,,8,G2,AC_82,G1,AC_152,,
9,17,303,,9,G2,AC_153,G2,AC_30,,
9,18,304,,10,G1,AC_192,G2,AC_51,,
9,19,305,,11,G1,AC_90,G2,AC_95,,
9,20,306,,12,G1,AC_199,G2,AC_201,,
9,21,307,,13,G1,AC_34,G2,AC_70,,
9,22,308,,14,G2,AC_62,G2,AC_217,,
9,23,309,,15,G1,AC_81,G2,AC_122,,
9,24,310,,16,G2,AC_143,G1,AC_96,,
9,25,311,,17,G1,AC_155,G1,AC_10,,
9,26,312,,18,G2,AC_92,G2,AC_186,,
9,27,313,,19,G1,AC_15,G2,AC_193,,
9,28,314,,20,G2,AC_75,G1,AC_193,,
9,29,315,,21,G1,AC_128,G2,AC_179,,
9,30,316,Tray 16,1,G2,AC_97,G2,AC_136,,
9,31,317,,2,G1,AC_136,G2,AC_14,,
9,32,318,,3,G2,AC_188,G1,AC_133,,
9,33,319,,4,G1,AC_81,G2,AC_201,,
9,34,320,,5,Random seeds,Random seeds,G1,AC_113,,
