rowN,Location,SegNoPos,Recipient,Gen,Plant_ID,Sample_ID,Tube ID,Total_weight(capsule+sample)(mg),Tray Name,Well_ID,capsule_size,capsule_weight_mg,sample weight (mg),Type of Material,Analysis,Enriched
40,9,27L,BB_132,G2,2,BB_132-G2-009-27L-2,40,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
41,9,27R,BB_020,G1,1,BB_020-G1-009-27R-1,41,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
42,10,28L,BB_149,G2,2,BB_149-G2-010-28L-2,42,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
43,10,28R,BB_029,G2,1,BB_029-G2-010-28R-1,43,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
44,10,29L,BB_029,G1,5,BB_029-G1-010-29L-5,44,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
45,10,29R,BB_135,G1,1,BB_135-G1-010-29R-1,45,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
46,10,30L,BB_039,G2,4,BB_039-G2-010-30L-4,46,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
47,11,31L,BB_159,G1,3,BB_159-G1-011-31L-3,47,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
48,11,31R,BB_063,G1,3,BB_063-G1-011-31R-3,48,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
49,11,32R,BB_004,G1,5,BB_004-G1-011-32R-5,49,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
50,11,33L,BB_088,G1,2,BB_088-G1-011-33L-2,50,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
51,12,34L,BB_058,G2,2,BB_058-G2-012-34L-2,51,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
52,12,34R,BB_172,G1,5,BB_172-G1-012-34R-5,52,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
53,12,35L,BB_103,G1,3,BB_103-G1-012-35L-3,53,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
54,12,35R,BB_183,G1,4,BB_183-G1-012-35R-4,54,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
55,12,36R,BB_148,G2,5,BB_148-G2-012-36R-5,55,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
56,13,37L,BB_032,G1,2,BB_032-G1-013-37L-2,56,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
57,13,37R,BB_024,G1,1,BB_024-G1-013-37R-1,57,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
58,13,38L,BB_089,G1,1,BB_089-G1-013-38L-1,58,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
59,13,38R,BB_018,G1,3,BB_018-G1-013-38R-3,59,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
60,13,39L,BB_102,G1,4,BB_102-G1-013-39L-4,60,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
61,14,40L,BB_048,G1,2,BB_048-G1-014-40L-2,61,,Nemo_2023_BB_1,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
