rowN,Location,SegNoPos,Recipient,Gen,Plant_ID,Sample_ID,Tube ID,Total_weight(capsule+sample)(mg),Tray Name,Well_ID,capsule_size,capsule_weight_mg,sample weight (mg),Type of Material,Analysis,Enriched
173,38,112L,BB_063,G1,2,BB_063-G1-038-112L-2,173,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
174,38,112R,BB_087,G1,5,BB_087-G1-038-112R-5,174,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
175,38,113L,BB_147a,G1,2,BB_147a-G1-038-113L-2,175,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
176,38,113R,BB_147b,G1,2,BB_147b-G1-038-113R-2,176,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
177,38,114L,BB_089,G1,5,BB_089-G1-038-114L-5,177,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
178,38,114R,BB_116,G1,3,BB_116-G1-038-114R-3,178,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
179,39,115R,BB_133,G1,4,BB_133-G1-039-115R-4,179,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
180,39,116L,BB_034,G1,2,BB_034-G1-039-116L-2,180,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
181,39,116R,BB_046,G1,4,BB_046-G1-039-116R-4,181,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
182,39,117L,BB_039,G1,5,BB_039-G1-039-117L-5,182,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
183,39,117R,BB_164,G1,3,BB_164-G1-039-117R-3,183,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
184,40,118L,BB_029,G2,5,BB_029-G2-040-118L-5,184,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
185,40,118R,BB_025,G1,4,BB_025-G1-040-118R-4,185,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
186,40,119L,BB_051,G2,1,BB_051-G2-040-119L-1,186,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
187,40,119R,BB_021,G1,3,BB_021-G1-040-119R-3,187,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
188,40,120L,BB_054,G1,2,BB_054-G1-040-120L-2,188,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
189,40,120R,BB_183,G1,5,BB_183-G1-040-120R-5,189,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
190,41,121L,BB_189,G1,3,BB_189-G1-041-121L-3,190,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
191,41,121R,BB_132,G2,2,BB_132-G2-041-121R-2,191,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
192,41,122L,BB_187,G1,5,BB_187-G1-041-122L-5,192,,Nemo_2023_BB_2,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
193,41,122R,BB_134,G2,1,BB_134-G2-041-122R-1,193,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
194,41,123L,BB_113,G1,4,BB_113-G1-041-123L-4,194,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
195,42,124L,BB_151,G1,5,BB_151-G1-042-124L-5,195,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
196,42,125L,BB_149,G1,1,BB_149-G1-042-125L-1,196,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
197,42,125R,BB_109,G2,1,BB_109-G2-042-125R-1,197,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
198,42,126R,BB_189,G2,2,BB_189-G2-042-126R-2,198,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
199,43,127L,BB_120,G1,5,BB_120-G1-043-127L-5,199,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
200,43,127R,BB_039,G1,2,BB_039-G1-043-127R-2,200,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
201,43,128L,BB_010,G1,3,BB_010-G1-043-128L-3,201,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
202,43,128R,BB_206,G1,1,BB_206-G1-043-128R-1,202,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
203,43,129L,BB_040,G1,2,BB_040-G1-043-129L-2,203,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
204,43,129R,BB_089,G1,1,BB_089-G1-043-129R-1,204,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
205,44,130L,BB_027,G1,2,BB_027-G1-044-130L-2,205,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
206,44,130R,BB_152,G1,1,BB_152-G1-044-130R-1,206,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
207,44,131L,BB_138,G1,5,BB_138-G1-044-131L-5,207,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
208,44,131R,BB_114,G1,1,BB_114-G1-044-131R-1,208,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
209,44,132R,BB_199,G1,1,BB_199-G1-044-132R-1,209,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
210,45,133L,BB_053,G2,1,BB_053-G2-045-133L-1,210,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
211,45,133R,BB_039,G2,5,BB_039-G2-045-133R-5,211,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
212,45,134L,BB_200,G1,1,BB_200-G1-045-134L-1,212,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
213,45,134R,BB_110,G1,5,BB_110-G1-045-134R-5,213,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
214,45,135L,BB_135,G2,1,BB_135-G2-045-135L-1,214,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
215,45,135R,BB_013,G2,4,BB_013-G2-045-135R-4,215,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
216,46,136L,BB_088,G2,3,BB_088-G2-046-136L-3,216,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
217,46,137L,BB_193,G2,4,BB_193-G2-046-137L-4,217,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
218,46,137R,BB_109,G1,4,BB_109-G1-046-137R-4,218,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
219,46,138L,BB_137,G1,2,BB_137-G1-046-138L-2,219,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
220,46,138R,BB_117,G1,4,BB_117-G1-046-138R-4,220,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
221,47,139L,BB_209,G1,2,BB_209-G1-047-139L-2,221,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
222,47,139R,BB_105,G2,1,BB_105-G2-047-139R-1,222,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
223,47,140L,BB_134,G2,2,BB_134-G2-047-140L-2,223,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
224,47,140R,BB_186,G1,1,BB_186-G1-047-140R-1,224,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
225,47,141L,BB_134,G1,3,BB_134-G1-047-141L-3,225,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
226,47,141R,BB_138,G2,4,BB_138-G2-047-141R-4,226,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
227,48,142R,BB_200,G2,5,BB_200-G2-048-142R-5,227,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
228,48,143L,BB_045,G1,3,BB_045-G1-048-143L-3,228,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
229,48,143R,BB_009,G1,3,BB_009-G1-048-143R-3,229,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
230,48,144L,BB_054,G1,4,BB_054-G1-048-144L-4,230,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
231,49,145L,BB_043,G1,1,BB_043-G1-049-145L-1,231,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
232,49,146L,BB_085,G1,4,BB_085-G1-049-146L-4,232,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
233,49,147L,BB_208,G1,3,BB_208-G1-049-147L-3,233,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
234,49,147R,BB_054,G2,3,BB_054-G2-049-147R-3,234,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
235,50,148L,BB_145,G1,2,BB_145-G1-050-148L-2,235,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
236,50,148R,BB_146,G2,5,BB_146-G2-050-148R-5,236,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
237,50,149L,BB_126,G1,1,BB_126-G1-050-149L-1,237,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
238,50,149R,BB_157,G2,2,BB_157-G2-050-149R-2,238,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
239,50,150L,BB_059,G1,1,BB_059-G1-050-150L-1,239,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
240,51,151R,BB_189,G2,3,BB_189-G2-051-151R-3,240,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
241,51,152R,BB_088,G2,5,BB_088-G2-051-152R-5,241,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
242,51,153L,BB_002,G1,1,BB_002-G1-051-153L-1,242,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
243,51,153R,BB_145,G1,3,BB_145-G1-051-153R-3,243,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
244,52,154R,BB_111,G2,1,BB_111-G2-052-154R-1,244,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
245,52,155L,BB_206,G2,4,BB_206-G2-052-155L-4,245,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
246,52,155R,BB_143,G1,5,BB_143-G1-052-155R-5,246,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
247,52,156L,BB_190,G2,3,BB_190-G2-052-156L-3,247,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
248,52,156R,BB_007,G1,5,BB_007-G1-052-156R-5,248,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
249,53,157L,BB_020,G2,4,BB_020-G2-053-157L-4,249,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
250,53,158L,BB_116,G2,2,BB_116-G2-053-158L-2,250,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
251,53,158R,BB_192,G1,2,BB_192-G1-053-158R-2,251,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
252,53,159L,BB_104,G1,1,BB_104-G1-053-159L-1,252,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
253,53,159R,BB_146,G1,2,BB_146-G1-053-159R-2,253,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
254,54,160L,BB_064,G1,5,BB_064-G1-054-160L-5,254,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
255,54,160R,BB_114,G2,4,BB_114-G2-054-160R-4,255,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
256,54,161L,BB_060,G2,2,BB_060-G2-054-161L-2,256,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
257,54,162R,BB_048,G1,4,BB_048-G1-054-162R-4,257,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
258,55,163L,BB_211,G1,5,BB_211-G1-055-163L-5,258,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
259,55,163R,BB_114,G1,2,BB_114-G1-055-163R-2,259,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
260,55,164L,BB_143,G2,4,BB_143-G2-055-164L-4,260,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
261,55,164R,BB_079,G1,3,BB_079-G1-055-164R-3,261,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
262,55,165R,BB_092,G1,2,BB_092-G1-055-165R-2,262,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
263,56,167L,BB_131,G2,1,BB_131-G2-056-167L-1,263,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
264,56,167R,BB_059,G1,3,BB_059-G1-056-167R-3,264,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
265,56,168L,BB_109,G1,3,BB_109-G1-056-168L-3,265,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
266,56,168R,BB_030,G1,1,BB_030-G1-056-168R-1,266,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
267,57,169L,BB_103,G2,1,BB_103-G2-057-169L-1,267,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
268,57,169R,BB_117,G2,1,BB_117-G2-057-169R-1,268,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
269,57,170R,BB_076,G2,5,BB_076-G2-057-170R-5,269,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
270,57,171L,BB_118,G1,3,BB_118-G1-057-171L-3,270,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
271,57,171R,BB_030,G1,4,BB_030-G1-057-171R-4,271,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
272,58,172L,BB_211,G1,4,BB_211-G1-058-172L-4,272,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
273,58,172R,BB_056,G1,1,BB_056-G1-058-172R-1,273,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
274,58,173L,BB_093,G1,2,BB_093-G1-058-173L-2,274,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
275,58,173R,BB_145,G2,4,BB_145-G2-058-173R-4,275,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
276,58,174L,BB_045,G2,4,BB_045-G2-058-174L-4,276,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
277,58,174R,BB_027,G1,4,BB_027-G1-058-174R-4,277,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
278,59,175L,BB_166,G2,4,BB_166-G2-059-175L-4,278,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
279,59,175R,BB_013,G1,1,BB_013-G1-059-175R-1,279,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
280,59,176L,BB_019,G1,1,BB_019-G1-059-176L-1,280,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
281,59,177R,BB_199,G1,4,BB_199-G1-059-177R-4,281,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
282,60,178L,BB_072,G1,5,BB_072-G1-060-178L-5,282,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
283,60,178R,BB_170,G1,4,BB_170-G1-060-178R-4,283,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
284,60,179R,BB_019,G2,5,BB_019-G2-060-179R-5,284,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
285,60,180R,BB_172,G1,5,BB_172-G1-060-180R-5,285,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
286,61,181L,BB_150,G2,2,BB_150-G2-061-181L-2,286,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
287,61,181R,BB_210,G1,4,BB_210-G1-061-181R-4,287,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
288,61,182R,BB_218,G1,1,BB_218-G1-061-182R-1,288,,Nemo_2023_BB_3,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
289,61,183L,BB_133,G1,2,BB_133-G1-061-183L-2,289,,Nemo_2023_BB_4,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
290,62,184L,BB_052,G2,4,BB_052-G2-062-184L-4,290,,Nemo_2023_BB_4,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
291,62,184R,BB_161,G1,1,BB_161-G1-062-184R-1,291,,Nemo_2023_BB_4,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
292,62,185L,BB_111,G1,1,BB_111-G1-062-185L-1,292,,Nemo_2023_BB_4,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
293,62,185R,BB_058,G1,3,BB_058-G1-062-185R-3,293,,Nemo_2023_BB_4,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
294,62,186L,BB_017,G2,3,BB_017-G2-062-186L-3,294,,Nemo_2023_BB_4,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
295,62,186R,BB_093,G1,3,BB_093-G1-062-186R-3,295,,Nemo_2023_BB_4,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
296,63,187L,BB_123,G2,2,BB_123-G2-063-187L-2,296,,Nemo_2023_BB_4,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
297,63,187R,BB_131,G1,3,BB_131-G1-063-187R-3,297,,Nemo_2023_BB_4,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
298,63,189L,BB_034,G1,4,BB_034-G1-063-189L-4,298,,Nemo_2023_BB_4,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
299,63,189R,BB_210,G1,2,BB_210-G1-063-189R-2,299,,Nemo_2023_BB_4,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
300,64,190L,BB_025,G1,3,BB_025-G1-064-190L-3,300,,Nemo_2023_BB_4,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
301,64,191L,BB_095,G1,1,BB_095-G1-064-191L-1,301,,Nemo_2023_BB_4,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
302,64,191R,BB_086,G1,4,BB_086-G1-064-191R-4,302,,Nemo_2023_BB_4,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
303,64,192L,BB_113,G1,5,BB_113-G1-064-192L-5,303,,Nemo_2023_BB_4,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
304,64,192R,BB_016,G1,3,BB_016-G1-064-192R-3,304,,Nemo_2023_BB_4,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
305,65,193L,BB_084,G1,3,BB_084-G1-065-193L-3,305,,Nemo_2023_BB_4,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
306,65,194L,BB_077,G1,2,BB_077-G1-065-194L-2,306,,Nemo_2023_BB_4,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
307,65,195R,BB_160,G1,5,BB_160-G1-065-195R-5,307,,Nemo_2023_BB_4,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
308,66,196L,BB_185,G1,1,BB_185-G1-066-196L-1,308,,Nemo_2023_BB_4,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
309,66,197L,BB_093,G2,3,BB_093-G2-066-197L-3,309,,Nemo_2023_BB_4,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
310,66,197R,BB_081,G1,1,BB_081-G1-066-197R-1,310,,Nemo_2023_BB_4,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
311,66,198L,BB_157,G1,5,BB_157-G1-066-198L-5,311,,Nemo_2023_BB_4,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
312,66,198R,BB_205A,G2,5,BB_205A-G2-066-198R-5,312,,Nemo_2023_BB_4,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
313,67,199R,BB_193,G1,1,BB_193-G1-067-199R-1,313,,Nemo_2023_BB_4,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
314,67,200L,BB_050,G1,4,BB_050-G1-067-200L-4,314,,Nemo_2023_BB_4,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
315,67,200R,BB_201,G1,2,BB_201-G1-067-200R-2,315,,Nemo_2023_BB_4,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
316,67,201L,BB_032,G1,3,BB_032-G1-067-201L-3,316,,Nemo_2023_BB_4,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
317,67,201R,BB_150,G1,5,BB_150-G1-067-201R-5,317,,Nemo_2023_BB_4,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
318,68,204L,BB_024,G1,2,BB_024-G1-068-204L-2,318,,Nemo_2023_BB_4,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
319,68,204R,BB_040,G1,1,BB_040-G1-068-204R-1,319,,Nemo_2023_BB_4,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
320,69,205L,BB_131,G2,1,BB_131-G2-069-205L-1,320,,Nemo_2023_BB_4,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
321,69,205R,BB_081,G1,2,BB_081-G1-069-205R-2,321,,Nemo_2023_BB_4,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
322,69,206L,BB_211,G1,4,BB_211-G1-069-206L-4,322,,Nemo_2023_BB_4,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
323,69,206R,BB_079,G1,5,BB_079-G1-069-206R-5,323,,Nemo_2023_BB_4,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
324,69,207L,BB_054,G1,2,BB_054-G1-069-207L-2,324,,Nemo_2023_BB_4,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
325,69,207R,BB_120,G1,1,BB_120-G1-069-207R-1,325,,Nemo_2023_BB_4,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
326,70,209L,BB_046,G1,2,BB_046-G1-070-209L-2,326,,Nemo_2023_BB_4,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
327,70,209R,BB_063,G1,5,BB_063-G1-070-209R-5,327,,Nemo_2023_BB_4,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
328,71,211L,BB_002,G1,4,BB_002-G1-071-211L-4,328,,Nemo_2023_BB_4,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
329,71,212L,BB_098,G1,3,BB_098-G1-071-212L-3,329,,Nemo_2023_BB_4,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
330,71,212R,BB_215,G2,1,BB_215-G2-071-212R-1,330,,Nemo_2023_BB_4,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
331,71,213L,BB_097,G1,5,BB_097-G1-071-213L-5,331,,Nemo_2023_BB_4,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
332,72,215L,BB_139,G2,2,BB_139-G2-072-215L-2,332,,Nemo_2023_BB_4,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
333,73,217L,BB_134,G1,4,BB_134-G1-073-217L-4,333,,Nemo_2023_BB_4,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
334,74,220L,BB_004,G2,2,BB_004-G2-074-220L-2,334,,Nemo_2023_BB_4,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
335,74,221R,BB_121,G2,4,BB_121-G2-074-221R-4,335,,Nemo_2023_BB_4,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
336,74,222L,BB_135,G1,4,BB_135-G1-074-222L-4,336,,Nemo_2023_BB_4,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
337,74,222R,BB_164,G1,4,BB_164-G1-074-222R-4,337,,Nemo_2023_BB_4,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
338,76,226L,BB_029,G2,2,BB_029-G2-076-226L-2,338,,Nemo_2023_BB_4,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
339,78,232L,BB_078,G1,3,BB_078-G1-078-232L-3,339,,Nemo_2023_BB_4,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
340,78,233R,BB_135,G1,5,BB_135-G1-078-233R-5,340,,Nemo_2023_BB_4,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
341,79,235L,BB_077,G1,1,BB_077-G1-079-235L-1,341,,Nemo_2023_BB_4,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
342,79,235R,BB_131,G1,2,BB_131-G1-079-235R-2,342,,Nemo_2023_BB_4,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
343,79,236L,BB_045,G1,3,BB_045-G1-079-236L-3,343,,Nemo_2023_BB_4,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
344,79,236R,BB_158,G1,5,BB_158-G1-079-236R-5,344,,Nemo_2023_BB_4,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
345,79,237L,BB_095,G1,4,BB_095-G1-079-237L-4,345,,Nemo_2023_BB_4,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
346,79,237R,BB_186,G1,1,BB_186-G1-079-237R-1,346,,Nemo_2023_BB_4,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
347,80,238R,BB_123,G2,4,BB_123-G2-080-238R-4,347,,Nemo_2023_BB_4,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
348,80,239L,BB_003,G1,5,BB_003-G1-080-239L-5,348,,Nemo_2023_BB_4,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
349,80,239R,BB_204,G1,1,BB_204-G1-080-239R-1,349,,Nemo_2023_BB_4,,8x5mm,31.48,,plant stem tissue,"13C, 15N",No
