Transect,Segment,side,Gen (G1 = —; G2 = X),Recipient,Plant_ID,Fitness (y/n),Skeleton Weights (mg),Notes (complete or incomplete),Chosen for Pulverization? (y/n)
7,5,L,G1,BO_050,3,y,6.3,c,y
7,5,R,G1,BO_116,1,y,28.4,c,y
7,6,L,G1,BO_155,5,y,36.36,c,y
7,7,L,G1,BO_099,1,missing?,,,
7,8,L,G2,BO_034,1,y,,i,y
7,8,R,G1,BO_043,2,y,24.57,c,y
7,9,L,G1,BO_048,5,y,20.73,c,y
7,10,L,G1,BO_012,1,y,7.96,c,y
7,12,L,G2,BO_164,1,y,16.9,c,y
7,12,R,G1,BO_150,4,y,49.39,c,y
7,13,L,G2,BO_126,3,y,12.81,c,y
7,15,L,G1,BO_050,4,y,6.34,c,y
7,15,R,G1,BO_198,2,y,17.05,c,y
7,16,L,G1,BO_094,3,y,2.33,i,y
7,19,R,G1,BO_024,5,y,11.48,c,y
7,20,L,G1,BO_053,5,y,4.61,c,y
7,20,R,G2,BO_071,5,y,16.86,c,y
7,21,L,G2,BO_021,4,y,20.34,c,y
7,24,R,G2,BO_164,2,y,,i,n
7,25,R,G1,BO_118,1,missing?,,,
7,26,R,G1,BO_146,5,y,15.82,c,y
8,1,R,G1,BO_157,4,y,,i,y
8,2,R,G2,BO_080,3,y,,i,y
8,3,L,G2,BO_027,5,y,,i,y
8,4,L,G2,BO_008,1,y,23.8,c,y
8,4,R,G1,BO_087,1,y,33.65,c,y
8,5,L,G1,BO_027,3,y,10.61,c,y
8,5,R,G2,BO_169,1,y,,i,y
8,6,L,G1,BO_122,1,y,11.6,c,y
8,6,R,G1,BO_115,2,y,17.36,c,y
8,7,L,G2,BO_169,3,missing?,,,
8,7,R,G1,BO_122,2,y,20.3,i,y
8,8,L,G2,BO_056,2,y,10.45,c,y
8,9,L,G1,BO_082,2,y,13.8,i,y
8,9,R,G1,BO_028,2,y,14.77,c,y
8,10,L,G1,BO_140,1,y,,i,n
8,11,L,G2,BO_090,1,y,1.32,i,y
8,11,R,G1,BO_069,3,y,,i,y
8,12,R,G2,BO_090,2,y,2.25,i,y
8,13,L,G1,BO_164,5,y,,i,y
8,14,R,G1,BO_044,1,missing?,,,
8,15,R,G1,BO_079,2,y,26.88,c,y
8,16,L,G1,BO_090,5,y,3.72,i,y
8,17,L,G1,BO_149,1,y,12.72,c,y
8,18,R,G1,BO_027,3,y,,i,y
8,19,L,G1,BO_072,4,y,8.85,i,y
8,19,R,G2,BO_152,5,y,25.61,c,y
8,20,L,G1,BO_008,3,y,20.53,c,y
8,20,R,G2,BO_137,2,y,4.25,c,y
8,21,L,G1,BO_008,2,y,8.57,c,y
8,21,R,G1,BO_091,2,y,,i,y
8,23,L,G2,BO_149,5,y,38.94,c,y
8,24,L,G2,BO_152,2,y,27.28,c,y
8,24,R,G1,BO_066,4,y,7.74,c,y
8,25,R,G1,BO_144,5,y,,i,y
9,2,L,G1,BO_032,3,y,14.79,c,y
9,2,R,G1,BO_117,4,y,40.75,c,y
9,4,L,G1,BO_137,5,y,,i,y
9,4,R,G2,BO_121,4,y,10.35,c,y
9,5,R,G1,BO_134,1,y,3.18,c,y
9,6,L,G1,BO_082,5,y,7.13,i,y
9,6,R,G1,BO_176,5,y,23.26,c,y
9,7,R,G2,BO_115,3,y,9.75,c,y
9,8,L,G2,BO_155,5,y,4.73,i,y
9,8,R,G2,BO_027,5,y,3.94,c,y
9,9,L,G1,BO_118,1,y,10.96,c,y
9,9,R,G1,BO_070,4,y,4.51,c,y
9,10,L,G1,BO_127,4,y,6.72,c,y
9,10,R,G1,BO_159,3,y,1.94,c,y
9,11,L,G2,BO_146,1,y,8.22,c,y
9,11,R,G1,BO_056,4,y,2.39,c,y
9,12,L,G1,BO_105,5,y,12.62,c,y
9,12,R,G1,BO_127,5,y,,i,y
9,13,L,G2,BO_080,5,missing?,,,
9,13,R,G2,BO_123,1,y,3.16,c,y
9,14,R,G1,BO_091,3,y,,i,n
9,15,L,G1,BO_089,1,missing?,,,
9,15,R,G1,BO_125,1,y,1.76,c,y
9,16,L,G1,BO_159,2,y,2.59,c,y
9,16,R,G1,BO_130,3,y,,i,n
9,17,L,G1,BO_066,1,y,2.34,c,y
9,17,R,G1,BO_176,3,y,3.04,i,y
9,18,L,G2,BO_150,3,y,10.06,c,y
9,18,R,G2,BO_125,1,y,,i,y
9,19,L,G1,BO_014,5,y,7.83,c,y
9,20,L,G1,BO_095,5,missing?,,,
9,20,R,G1,BO_195,3,y,5.82,i,y
9,21,L,G2,BO_043,3,missing?,,,
9,21,R,G1,BO_085,5,y,13.58,c,y
9,22,R,G2,BO_025,5,missing?,,,
9,23,L,G1,BO_186,1,y,12.96,c,y
9,23,R,G1,BO_052,2,y,,i,y
9,24,L,G2,BO_061,4,y,5.12,c,y
9,24,R,G1,BO_106,1,y,5.48,c,y
9,25,L,G1,BO_111,4,missing?,,,
9,25,R,G1,BO_009,5,y,31.30,c,y
9,27,L,G2,BO_166,5,y,,i,y
