Location,Sequence (1-meter Segment),side,Gen (G1 = —; G2 = X),Recipient,Plant_ID,Fitness (y/n),Skeleton Weights (mg),Notes (complete or incomplete),Chosen for Pulverization? (y/n)
24,71,L,G2,BB_109,5,y,27.34,c,y
24,71,R,G1,BB_199,1,y,164.69,c,y
24,72,L,G1,BB_084,2,y,263.57,c,y
24,72,R,G1,BB_214,2,y,147.58,c,y
25,73,L,G1,BB_172,4,y,136.14,i,y
25,73,R,G2,BB_121,2,y,136.13,i,y
25,74,L,G1,BB_002,5,missing?,,,
25,74,R,G2,BB_153,3,y,150.93,c,y
25,75,L,G1,BB_153,3,y,411.03,c,y
25,75,R,G2,BB_098,3,y,266.94,c,y
26,76,L,G2,BB_017,5,y,42.13,c,y
26,76,R,G1,BB_072,5,y,302.06,c,y
26,77,L,G2,BB_189,2,y,216.47,c,y
27,79,L,G1,BB_126,1,y,296.10,c,y
27,79,R,G1,BB_149,5,y,361.74,c,y
27,80,L,G1,BB_163,5,y,348.66,c,y
27,80,R,G1,BB_013,5,y,517.81,c,y
27,81,L,G1,BB_095,4,missing?,,,
27,81,R,G2,BB_020,2,y,39.42,c,y
28,82,L,G1,BB_008,1,y,258.40,c,y
28,82,R,G2,BB_059,4,y,550.31,c,y
28,83,L,G1,BB_080,2,y,104.49,c,y
28,83,R,G1,BB_185,1,y,92.03,c,y
28,84,L,G1,BB_021,3,y,297.98,c,y
28,84,R,G1,BB_152,4,y,64.21,c,y
29,85,L,G2,BB_104,2,y,727.18,c,y
29,86,L,G1,BB_216,5,y,297.46,i,y
29,86,R,G2,BB_190,3,y,770.65,c,y
29,87,L,G1,BB_060,5,y,1048.28,c,y
29,87,R,G1,BB_052,1,y,1841.98,c,y
30,88,L,G1,BB_127,5,y,,i,y
30,90,L,G1,BB_074,2,y,544.15,c,y
30,90,R,G1,BB_084,4,y,,i,y
31,91,L,G1,BB_020,5,missing?,,,
31,91,R,G1,BB_094,2,y,365.53,c,y
31,92,L,G2,BB_019,3,y,108.61,c,y
31,92,R,G2,BB_145,2,missing?,,,
31,93,R,G2,BB_138,4,missing?,,,
32,94,L,G2,BB_039,1,y,427.11,c,y
32,94,R,G1,BB_119,2,y,48.31,c,y
32,95,R,G1,BB_151,3,y,52.53,c,y
32,96,L,G1,BB_044,4,y,35.67,c,y
32,96,R,G2,BB_207,2,y,73.75,i,y
33,97,L,G1,BB_078,3,y,88.27,c,y
33,97,R,G1,BB_163,4,y,147.56,c,y
33,98,R,G1,BB_192,5,y,118.22,c,y
34,100,L,G1,BB_049,5,y,137.56,c,y
34,100,R,G2,BB_135,2,y,157.81,c,y
34,101,L,G1,BB_004,4,y,100.31,c,y
34,101,R,G2,BB_210,2,y,125.75,c,y
34,102,L,G1,BB_037,2,y,,i,y
34,102,R,G1,BB_201,1,y,14.58,c,y
35,103,L,G2,BB_021,2,y,455.47,c,y
35,103,R,G2,BB_148,3,y,,i,y
35,104,L,G1,BB_119,4,y,340.71,c,y
35,104,R,G1,BB_019,4,y,591.37,c,y
35,105,L,G2,BB_046,5,y,247.90,c,y
35,105,R,G1,BB_008,1,y,886.88,c,y
36,106,L,G2,BB_185,3,y,53.42,c,y
36,106,R,G1,BB_046,3,y,157.26,c,y
36,107,L,G1,BB_010,1,y,101.06,c,y
36,107,R,G1,BB_159,3,y,31.11,c,y
36,108,L,G2,BB_101,3,y,32.70,c,y
36,108,R,G1,BB_154,1,y,31.75,c,y
37,109,L,G1,BB_158,2,missing?,,,
37,109,R,G1,BB_018,3,y,228.06,c,y
37,110,L,G2,BB_153,5,y,37.97,c,y
37,110,R,G1,BB_077,5,y,27.87,c,y
37,111,L,G1,BB_205,4,y,182.31,c,y
37,111,R,G2,BB_121,5,y,142.68,c,y
38,112,L,G1,BB_063,2,y,179.55,c,y
38,112,R,G1,BB_087,5,y,8.38,i,y
38,113,L,G1,BB_147a,2,y,75.93,c,y
38,113,R,G1,BB_147b,2,y,180.51,c,y
38,114,L,G1,BB_089,5,y,574.29,c,y
38,114,R,G1,BB_116,3,y,23.33,c,y
39,115,L,G1,BB_088,2,missing?,,,
39,115,R,G1,BB_133,4,y,67.13,c,y
39,116,L,G1,BB_034,2,y,66.81,c,y
39,116,R,G1,BB_046,4,y,79.68,c,y
39,117,L,G1,BB_039,5,y,,i,y
39,117,R,G1,BB_164,3,y,94.54,c,y
40,118,L,G2,BB_029,5,y,36.67,c,y
40,118,R,G1,BB_025,4,y,48.13,c,y
40,119,L,G2,BB_051,1,y,51.74,c,y
40,119,R,G1,BB_021,3,y,123.89,c,y
40,120,L,G1,BB_054,2,y,232.21,c,y
40,120,R,G1,BB_183,5,y,557.83,c,y
41,121,L,G1,BB_189,3,y,69.02,c,y
41,121,R,G2,BB_132,2,y,46.84,c,y
41,122,L,G1,BB_187,5,y,27.18,c,y
41,122,R,G2,BB_134,1,y,67.22,c,y
41,123,L,G1,BB_113,4,y,83.81,c,y
41,123,R,G1,BB_080,2,missing?,,,
42,124,L,G1,BB_151,5,y,15.97,c,y
42,125,L,G1,BB_149,1,y,12.07,c,y
42,125,R,G2,BB_109,1,y,172.13,c,y
42,126,R,G2,BB_189,2,y,8.25,c,y
43,127,L,G1,BB_120,5,y,107.14,c,y
43,127,R,G1,BB_039,2,y,10.66,c,y
43,128,L,G1,BB_010,3,y,491.09,c,y
43,128,R,G1,BB_206,1,y,145.05,c,y
43,129,L,G1,BB_040,2,y,73.86,c,y
43,129,R,G1,BB_089,1,y,117.71,c,y
44,130,L,G1,BB_027,2,y,108.80,c,y
44,130,R,G1,BB_152,1,y,127.87,c,y
44,131,L,G1,BB_138,5,y,165.08,c,y
44,131,R,G1,BB_114,1,y,131.30,c,y
44,132,L,G2,BB_148,1,missing?,,,
44,132,R,G1,BB_199,1,y,95.48,c,y
45,133,L,G2,BB_053,1,y,155.65,c,y
45,133,R,G2,BB_039,5,y,161.86,c,y
45,134,L,G1,BB_200,1,y,53.12,c,y
45,134,R,G1,BB_110,5,y,145.69,c,y
45,135,L,G2,BB_135,1,y,324.36,c,y
45,135,R,G2,BB_013,4,y,113.74,c,y
46,136,L,G2,BB_088,3,y,53.54,c,y
46,137,L,G2,BB_193,4,y,332.92,c,y
46,137,R,G1,BB_109,4,y,145.18,c,y
46,138,L,G1,BB_137,2,y,218.49,c,y
46,138,R,G1,BB_117,4,y,91.67,c,y
47,139,L,G1,BB_209,2,y,501.67,c,y
47,139,R,G2,BB_105,1,y,15.55,c,y
47,140,L,G2,BB_134,2,y,800.49,c,y
47,140,R,G1,BB_186,1,y,141.12,c,y
47,141,L,G1,BB_134,3,y,49.84,c,y
47,141,R,G2,BB_138,4,y,116.99,i,y
48,142,R,G2,BB_200,5,y,120.73,c,y
48,143,L,G1,BB_045,3,y,121.10,c,y
48,143,R,G1,BB_009,3,y,245.68,c,y
48,144,L,G1,BB_054,4,y,250.28,c,y
49,145,L,G1,BB_043,1,y,69.27,c,y
49,146,L,G1,BB_085,4,y,31.06,c,y
49,147,L,G1,BB_208,3,y,128.83,c,y
49,147,R,G2,BB_054,3,y,112.63,c,y
50,148,L,G1,BB_145,2,y,376.78,c,y
50,148,R,G2,BB_146,5,y,172.64,c,y
50,149,L,G1,BB_126,1,y,110.02,c,y
50,149,R,G2,BB_157,2,y,16.92,c,y
50,150,L,G1,BB_059,1,y,212.69,c,y
51,151,L,G1,BB_044,3,missing?,,,
51,151,R,G2,BB_189,3,y,159.41,c,y
51,152,R,G2,BB_088,5,y,48.87,c,y
51,153,L,G1,BB_002,1,y,15.58,c,y
51,153,R,G1,BB_145,3,y,105.13,c,y
52,154,R,G2,BB_111,1,y,439.39,c,y
52,155,L,G2,BB_206,4,y,149.81,c,y
52,155,R,G1,BB_143,5,y,,i,y
52,156,L,G2,BB_190,3,y,129.71,c,y
52,156,R,G1,BB_007,5,y,439.80,c,y
53,157,L,G2,BB_020,4,y,174.67,c,y
