Transect,Segment,side,Gen (G1 = —; G2 = X),Recipient,Plant_ID,Fitness (y/n),Skeleton Weights (mg),Notes (complete or incomplete),Chosen for Pulverization? (y/n)
2,32,R,G1,AC_046,3,y,3.81,c,y
2,33,L,G1,AC_187,4,y,13.87,c,y
2,33,R,G1,AC_182,2,y,10.52,c,y
2,34,L,G2,AC_095,5,y,22.24,c,y
2,34,R,G2,AC_092,2,y,14.52,c,y
2,35,L,G2,AC_205,4,y,172.2,c,y
2,36,L,G1,AC_158,2,y,47.47,c,y
2,36,R,G2,AC_048,4,y,0.23,c,n
3,1,L,G1,AC_052,3,y,5.65,c,y
3,1,R,G2,AC_113,2,y,1.62,c,y
3,2,L,G1,AC_215,1,missing,,,
3,2,R,G1,AC_038,3,y,38.13,c,y
3,3,L,G2,AC_089,3,y,12.56,c,y
3,3,R,G1,AC_190,2,missing,,,
3,4,L,G2,AC_197,2,y,10.12,c,y
3,4,R,G1,AC_057,1,y,5.85,c,y
3,5,L,G2,AC_197,1,y,,i,y
3,6,L,G1,AC_082,4,y,,i,y
3,6,R,G2,AC_096,2,y,32.68,c,y
3,7,L,G1,AC_099,5,y,,i,y
3,7,R,G2,AC_154,3,y,55.28,c,y
3,8,L,G1,AC_010,1,y,9.91,c,y
3,8,R,G2,AC_181,3,y,,i,n
3,9,L,G1,AC_005,1,y,6.16,c,y
3,9,R,G1,AC_187,1,y,15.64,c,y
3,10,L,G1,AC_094,3,y,5.57,c,y
3,10,R,G2,AC_190,4,y,16.2,c,y
3,11,L,G2,AC_148,2,missing,,,
3,11,R,G1,AC_096,1,y,2.65,c,y
3,12,L,G2,AC_068,5,y,41.27,c,y
3,12,R,G1,AC_057,4,y,12.43,c,y
3,13,L,G2,AC_064,5,y,31.07,c,y
3,13,R,G2,AC_100,3,y,24.94,c,y
3,14,L,G2,AC_075,3,y,12.21,c,y
3,14,R,G2,AC_185,2,y,13.63,c,y
3,15,R,G2,AC_088,1,y,27.59,c,y
3,16,L,G2,AC_114,3,y,,i,y
3,16,R,G1,AC_144,5,y,28.99,c,y
3,17,L,G1,AC_122,2,y,,i,y
3,17,R,G1,AC_159,3,missing,,,
