Block,Location,Recipient,Plant_ID,leaf_area_mm2,area_notes,leaf_dry_weight_mg,weight_notes
2,97,BB_071,,,,,
2,98,BB_086,,,,,
2,98,BB_110,,,,,
2,99,BB_035,,,,,
2,99,BB_059,,,,,
2,99,BB_192,,,,,
2,99,BB_205_A,,,,,
2,101,BB_021,,,,,
2,102,BB_183,,,,,
2,103,BB_030,,,,,
2,103,BB_054,,,,,
2,103,BB_181,,,,,
2,103,BB_215,,,,,
2,104,BB_046,,,,,
2,104,BB_048,,,,,
2,104,BB_170,,,,,
2,105,BB_123,,,,,
3,106,BB_071,,,,,
3,106,BB_103,,,,,
3,107,BB_020,,,,,
3,108,BB_186,,,,,
3,108,BB_204,,,,,
3,109,BB_024,,,,,
3,109,BB_087,,,,,
3,109,BB_097,,,,,
3,111,BB_027,,,,,
3,111,BB_069,,,,,
3,111,BB_127,,,,,
3,112,BB_151,,,,,
3,112,BB_161,,,,,
3,112,BB_218,,,,,
3,113,BB_030,,,,,
3,113,BB_118,,,,,
3,113,BB_201,,,,,
3,114,BB_032,,,,,
3,114,BB_035,,,,,
3,115,BB_077,,,,,
3,115,BB_214,,,,,
3,116,BB_064,,,,,
3,116,BB_078,,,,,
3,116,BB_149,,,,,
3,117,BB_092,,,,,
3,117,BB_098,,,,,
3,117,BB_190,,,,,
3,118,BB_002,,,,,
3,118,BB_034,,,,,
3,118,BB_207,,,,,
3,119,BB_086,,,,,
3,119,BB_143,,,,,
3,119,BB_189,,,,,
3,121,BB_088,,,,,
3,121,BB_109,,,,,
3,121,BB_123,,,,,
3,121,BB_134,,,,,
3,122,BB_021,,,,,
3,122,BB_120,,,,,
3,122,BB_152,,,,,
3,123,BB_003,,,,,
3,123,BB_010,,,,,
3,123,BB_018,,,,,
3,124,BB_042,,,,,
3,124,BB_074,,,,,
3,124,BB_193,,,,,
3,124,BB_195,,,,,
3,125,BB_044,,,,,
3,125,BB_049,,,,,
3,125,BB_131,,,,,
3,126,BB_013,,,,,
3,126,BB_117,,,,,
3,126,BB_172,,,,,
3,127,BB_060,,,,,
3,127,BB_080,,,,,
3,127,BB_206,,,,,
3,128,BB_016,,,,,
3,128,BB_153,,,,,
3,128,BB_183,,,,,
3,129,BB_058,,,,,
3,129,BB_089,,,,,
3,129,BB_137,,,,,
3,131,BB_019,,,,,
3,131,BB_084,,,,,
3,131,BB_170,,,,,
3,131,BB_199,,,,,
3,132,BB_063,,,,,
3,132,BB_079,,,,,
3,133,BB_053,,,,,
3,133,BB_133,,,,,
3,133,BB_135,,,,,
3,134,BB_085,,,,,
3,134,BB_132,,,,,
3,134,BB_146,,,,,
3,135,BB_045,,,,,
3,135,BB_052,,,,,
3,136,BB_048,,,,,
3,136,BB_061,,,,,
3,136,BB_210,,,,,
3,137,BB_031,,,,,
3,137,BB_140,,,,,
3,137,BB_150,,,,,
3,138,BB_076,,,,,
3,138,BB_160,,,,,
3,139,BB_046,,,,,
3,139,BB_200,,,,,
3,141,BB_037,,,,,
3,141,BB_163,,,,,
3,141,BB_164,,,,,
3,141,BB_192,,,,,
3,142,BB_054,,,,,
3,142,BB_104,,,,,
3,142,BB_154,,,,,
3,143,BB_017,,,,,
3,143,BB_094,,,,,
3,143,BB_110,,,,,
3,144,BB_070,,,,,
3,144,BB_081,,,,,
3,144,BB_105,,,,,
3,144,BB_119,,,,,
3,145,BB_083,,,,,
3,145,BB_216,,,,,
3,146,BB_039,,,,,
3,146,BB_102,,,,,
3,146,BB_116,,,,,
3,146,BB_158,,,,,
3,147,BB_025,,,,,
3,147,BB_111,,,,,
3,147,BB_187,,,,,
3,148,BB_029,,,,,
3,149,BB_056,,,,,
3,149,BB_138,,,,,
3,149,BB_139,,,,,
3,151,BB_008,,,,,
3,151,BB_051,,,,,
3,151,BB_211,,,,,
3,152,BB_007,,,,,
3,152,BB_043,,,,,
3,152,BB_114,,,,,
3,153,BB_145,,,,,
3,153,BB_148,,,,,
3,153,BB_179,,,,,
3,154,BB_095,,,,,
3,154,BB_166,,,,,
3,154,BB_205_A,,,,,
3,155,BB_059,,,,,
3,155,BB_147,,,,,
3,155,BB_157,,,,,
3,156,BB_009,,,,,
W,30,BB_017,,,,,
W,30,BB_032,,,,,
W,30,BB_185,,,,,
W,40,BB_077,,,,,
W,40,BB_118,,,,,
W,40,BB_187,,,,,
W,50,BB_049,,,,,
W,50,BB_143,,,,,
W,50,BB_161,,,,,
W,60,BB_051,,,,,
W,60,BB_085,,,,,
W,60,BB_152,,,,,
W,70,BB_020,,,,,
W,70,BB_061,,,,,
W,70,BB_105,,,,,
W,80.5,BB_059,,,,,
W,80.5,BB_102,,,,,
W,80.5,BB_137,,,,,
W,90,BB_024,,,,,
W,90,BB_079,,,,,
W,90,BB_164,,,,,
W,100,BB_085,,,,,
W,110,BB_061,,,,,
W,110,BB_077,,,,,
W,110,BB_187,,,,,
W,120,BB_017,,,,,
W,120,BB_024,,,,,
W,120,BB_137,,,,,
W,130,BB_105,,,,,
W,130,BB_118,,,,,
W,130,BB_185,,,,,
W,140,BB_049,,,,,
W,140,BB_143,,,,,
W,150,BB_051,,,,,
W,150,BB_059,,,,,
W,150,BB_079,,,,,
W,160,BB_020,,,,,
W,160,BB_102,,,,,
W,160,BB_152,,,,,
