Block,Transect,Recipient,Plant_ID,leaf_area_mm2,area_notes,leaf_dry_weight_mg,weight_notes
3,10,BO_045,,,,,
3,10,BO_052,,,,,
3,10,BO_054,,,,,
3,10,BO_055,,,,,
3,10,BO_056,,,,,
3,10,BO_063,,,,,
3,10,BO_078,,,,,
3,10,BO_080,,,,,
3,10,BO_085,,,,,
3,10,BO_089,,,,,
3,10,BO_091,,,,,
3,10,BO_098,,,,,
3,10,BO_121,,,,,
3,10,BO_126,,,,,
3,10,BO_127,,,,,
3,10,BO_140,,,,,
3,10,BO_142,,,,,
3,10,BO_145,,,,,
3,10,BO_149,,,,,
3,10,BO_157,,,,,
3,10,BO_161,,,,,
3,10,BO_169,,,,,
3,10,BO_171,,,,,
3,10,BO_178,,,,,
3,10,BO_184,,,,,
3,10,BO_189,,,,,
3,10,BO_195,,,,,
3,10,BO_198,,,,,
3,10,BO_201,,,,,
3,11,BO_012,,,,,
3,11,BO_013,,,,,
3,11,BO_015,,,,,
3,11,BO_022,,,,,
3,11,BO_025,,,,,
3,11,BO_032,,,,,
3,11,BO_037,,,,,
3,11,BO_046,,,,,
3,11,BO_050,,,,,
3,11,BO_051,,,,,
3,11,BO_060,,,,,
3,11,BO_061,,,,,
3,11,BO_066,,,,,
3,11,BO_067,,,,,
3,11,BO_069,,,,,
3,11,BO_071,,,,,
3,11,BO_079,,,,,
3,11,BO_082,,,,,
3,11,BO_099,,,,,
3,11,BO_104,,,,,
3,11,BO_105,,,,,
3,11,BO_108,,,,,
3,11,BO_115,,,,,
3,11,BO_117,,,,,
3,11,BO_118,,,,,
3,11,BO_122,,,,,
3,11,BO_130,,,,,
3,11,BO_134,,,,,
3,11,BO_137,,,,,
3,11,BO_147,,,,,
3,11,BO_150,,,,,
3,11,BO_152,,,,,
3,11,BO_159,,,,,
3,11,BO_175,,,,,
3,11,BO_176,,,,,
3,11,BO_180,,,,,
3,11,BO_182,,,,,
3,11,BO_200,,,,,
3,12,BO_001,,,,,
3,12,BO_008,,,,,
3,12,BO_009,,,,,
3,12,BO_014,,,,,
3,12,BO_020,,,,,
3,12,BO_029,,,,,
3,12,BO_048,,,,,
3,12,BO_086,,,,,
3,12,BO_096,,,,,
3,12,BO_111,,,,,
3,12,BO_114,,,,,
3,12,BO_132,,,,,
3,12,BO_141,,,,,
3,12,BO_144,,,,,
3,12,BO_151,,,,,
3,12,BO_153,,,,,
3,12,BO_166,,,,,
3,12,BO_167,,,,,
3,12,BO_177,,,,,
3,12,BO_186,,,,,
3,12,BO_190,,,,,
3,12,BO_191,,,,,
3,9,BO_004,,,,,
3,9,BO_021,,,,,
3,9,BO_024,,,,,
3,9,BO_034,,,,,
3,9,BO_053,,,,,
3,9,BO_070,,,,,
3,9,BO_072,,,,,
3,9,BO_088,,,,,
3,9,BO_090,,,,,
3,9,BO_094,,,,,
3,9,BO_095,,,,,
3,9,BO_102,,,,,
3,9,BO_106,,,,,
3,9,BO_116,,,,,
3,9,BO_123,,,,,
3,9,BO_124,,,,,
3,9,BO_125,,,,,
3,9,BO_131,,,,,
3,9,BO_135,,,,,
3,9,BO_143,,,,,
3,9,BO_146,,,,,
3,9,BO_148,,,,,
3,9,BO_154,,,,,
3,9,BO_155,,,,,
3,9,BO_174,,,,,
3,9,BO_199,,,,,
W,W1,BO_004,,,,,
W,W1,BO_021,,,,,
W,W1,BO_024,,,,,
W,W1,BO_025,,,,,
W,W1,BO_048,,,,,
W,W1,BO_082,,,,,
W,W1,BO_086,,,,,
W,W1,BO_126,,,,,
W,W1,BO_130,,,,,
W,W1,BO_137,,,,,
W,W1,BO_142,,,,,
W,W1,BO_151,,,,,
W,W1,BO_152,,,,,
W,W1,BO_166,,,,,
W,W1,BO_182,,,,,
W,W1,BO_189,,,,,
W,W1,BO_195,,,,,
W,W1,BO_199,,,,,
W,W2,BO_004,,,,,
W,W2,BO_021,,,,,
W,W2,BO_024,,,,,
W,W2,BO_048,,,,,
W,W2,BO_080,,,,,
W,W2,BO_082,,,,,
W,W2,BO_126,,,,,
W,W2,BO_127,,,,,
W,W2,BO_130,,,,,
W,W2,BO_137,,,,,
W,W2,BO_142,,,,,
W,W2,BO_149,,,,,
W,W2,BO_151,,,,,
W,W2,BO_152,,,,,
W,W2,BO_166,,,,,
W,W2,BO_182,,,,,
W,W2,BO_189,,,,,
W,W2,BO_195,,,,,
W,W2,BO_199,,,,,
