Block,Transect,Sequence,Donor,Recipient,Replicated,Plant_ID,FitP,Rep_FitP,F_plant,F_multi,F_plant_notes,Germ_Date,Sow_Date,Fl_4.9,Fl_4.21,Fl_5.3,Fl_5.13,Fl_5.25,Fl_6.8,Fl_6.22,LEAF,flr_P,closed_fruits_F,open_fruits_F,damaged_fruits_F,total_fruits_F,nonfitness_fruits,seed_ct,mean_seeds_per_fruit,total_est_seed_production,FFD,days_germ2flower,days_sow2flower,LFD,fl_duration,surv_to_germ,surv_to_flower,surv_to_fruitprod,surv_to_seedprod
1,1,3,AC_177,AC_107,n,2,FALSE,FALSE,4,4,NA,2021-11-03,2021-11-04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
1,1,3,AC_177,AC_107,n,3,FALSE,FALSE,4,4,NA,2021-12-05,2021-11-04,NA,NA,2022-05-03,2022-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-05-03,149,180,2022-05-13,10,1,1,NA,NA
1,1,3,AC_177,AC_107,n,4,TRUE,FALSE,4,4,NA,2021-11-03,2021-11-04,NA,NA,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-05-03,8,6,0,14,34,26,3.25,45.5,2022-05-03,181,180,2022-05-13,10,1,1,1,1
1,1,3,AC_177,AC_107,n,5,FALSE,FALSE,4,4,NA,2021-11-03,2021-11-04,NA,NA,2022-05-03,2022-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-05-03,181,180,2022-05-13,10,1,1,NA,NA
1,1,3,AC_177,AC_107,n,6,FALSE,FALSE,4,4,NA,2021-12-05,2021-11-04,NA,NA,2022-05-03,2022-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-05-03,149,180,2022-05-13,10,1,1,NA,NA
1,1,3,AC_177,AC_107,n,7,FALSE,FALSE,4,4,NA,2021-12-05,2021-11-04,NA,NA,2022-05-03,2022-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-05-03,149,180,2022-05-13,10,1,1,NA,NA
1,1,3,AC_177,AC_107,n,8,FALSE,FALSE,4,4,NA,2021-12-05,2021-11-04,NA,NA,2022-05-03,2022-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-05-03,149,180,2022-05-13,10,1,1,NA,NA
1,1,3,AC_177,AC_107,n,9,FALSE,FALSE,4,4,NA,2021-12-05,2021-11-04,NA,NA,2022-05-03,2022-05-13,NA,NA,NA,2022-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-05-03,149,180,2022-05-13,10,1,1,NA,NA
1,1,3,AC_177,AC_107,n,10,FALSE,FALSE,4,4,NA,2021-11-03,2021-11-04,NA,NA,2022-05-03,2022-05-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-05-03,181,180,2022-05-13,10,1,1,NA,NA
1,1,4,AC_094,AC_109,R,1,FALSE,TRUE,4,"1,3,4",NA,2021-11-03,2021-11-04,NA,NA,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-05-03,8,22,0,30,0,26,3.25,97.5,2022-05-03,181,180,2022-05-13,10,1,1,1,1
