Block,Location,Sequence,Donor,Recipient,Replicated,Plant_ID,FitP,Rep_FitP,any_FitP,F_plant,F_multi,F_plant_notes,Co.,Germ_Date,Sow_Date,Fl_2.25,Fl_3.3,Fl_3.11,Fl_3.17,Fl_3.25,Fl_4.1,Fl_4.9,Fl_4.22,Fl_4.28,Fl_5.4,Fl_5.12,Fl_5.19,Fl_5.25,LEAF,flr_P,closed_fruits_F,open_fruits_F,damaged_fruits_F,total_fruits_F,nonfitness_fruits,seed_ct,mean_seeds_per_fruit,total_est_seed_production,FFD,days_germ2flower,days_sow2flower,LFD,fl_duration,surv_to_germ,surv_to_flower,surv_to_fruitprod,surv_to_seedprod
1,2,3,BB_075,BB_085,R,3,TRUE,TRUE,TRUE,3,"6,3,7",NA,1,2021-12-12,2021-12-02,NA,NA,NA,2022-03-17,2022-03-25,NA,2022-04-08,NA,NA,NA,NA,NA,NA,NA,2022-03-17,0,0,0,0,0,0,0,0,2022-03-17,95,105,2022-04-08,22,1,1,0,0
1,2,3,BB_075,BB_085,R,4,FALSE,FALSE,FALSE,3,"6,3,7",NA,1,2021-12-12,2021-12-02,NA,NA,NA,2022-03-17,2022-03-25,2022-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,2022-03-17,95,105,2022-04-01,15,1,1,0,0
1,2,3,BB_075,BB_085,R,5,FALSE,FALSE,FALSE,3,"6,3,7",NA,1,2021-12-12,2021-12-02,NA,NA,NA,NA,2022-03-25,2022-04-01,2022-04-08,NA,NA,NA,NA,NA,NA,2022-04-28,NA,0,NA,NA,0,NA,NA,NA,NA,2022-03-25,103,113,2022-04-08,14,1,1,0,0
1,2,3,BB_075,BB_085,R,6,FALSE,TRUE,TRUE,3,"6,3,7",NA,1,2021-12-12,2021-12-02,NA,NA,NA,2022-03-17,2022-03-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-03-25,0,2,0,2,0,0,0,0,2022-03-17,95,105,2022-03-25,8,1,1,1,0
1,2,3,BB_075,BB_085,R,7,FALSE,TRUE,TRUE,3,"6,3,7",NA,1,2021-12-12,2021-12-02,NA,NA,NA,2022-03-17,2022-03-25,NA,2022-04-08,NA,2022-04-28,NA,NA,2022-05-19,NA,NA,2022-03-17,1,0,0,1,0,4,4,4,2022-03-17,95,105,2022-05-19,63,1,1,1,1
1,2,3,BB_075,BB_085,R,8,FALSE,FALSE,FALSE,3,"6,3,7",NA,1,2021-12-12,2021-12-02,NA,NA,NA,NA,2022-03-25,NA,2022-04-08,NA,NA,NA,NA,NA,NA,2022-04-28,NA,0,NA,NA,0,NA,NA,NA,NA,2022-03-25,103,113,2022-04-08,14,1,1,0,0
1,2,4,BB_107,BB_179,n,1,FALSE,FALSE,FALSE,3,3,NA,2,2021-12-12,2021-12-02,NA,NA,NA,2022-03-17,2022-03-25,2022-04-01,2022-04-08,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,2022-03-17,95,105,2022-04-08,22,1,1,0,0
1,2,4,BB_107,BB_179,n,2,FALSE,FALSE,FALSE,3,3,NA,2,2021-12-12,2021-12-02,NA,NA,NA,2022-03-17,2022-03-25,2022-04-01,2022-04-08,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,2022-03-17,95,105,2022-04-08,22,1,1,0,0
1,2,4,BB_107,BB_179,n,3,TRUE,FALSE,TRUE,3,3,NA,2,2021-12-19,2021-12-02,NA,NA,NA,2022-03-17,2022-03-25,2022-04-01,2022-04-08,NA,NA,NA,NA,NA,NA,NA,2022-03-17,0,0,0,0,4,0,0,0,2022-03-17,88,105,2022-04-08,22,1,1,0,0
1,2,4,BB_107,BB_179,n,4,FALSE,FALSE,FALSE,3,3,NA,2,2021-12-19,2021-12-02,NA,NA,NA,NA,NA,NA,NA,NA,2022-04-28,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,2022-04-28,130,147,2022-04-28,0,1,1,0,0
1,2,4,BB_107,BB_179,n,5,FALSE,FALSE,FALSE,3,3,NA,2,2021-12-12,2021-12-02,NA,NA,NA,2022-03-17,2022-03-25,2022-04-01,2022-04-08,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,2022-03-17,95,105,2022-04-08,22,1,1,0,0
1,2,4,BB_107,BB_179,n,6,FALSE,FALSE,FALSE,3,3,NA,2,2021-12-19,2021-12-02,NA,NA,NA,NA,2022-03-25,2022-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,2022-03-25,96,113,2022-04-01,7,1,1,0,0
1,2,4,BB_107,BB_179,n,7,FALSE,FALSE,FALSE,3,3,NA,2,2021-12-12,2021-12-02,NA,NA,NA,NA,2022-03-25,2022-04-01,2022-04-08,NA,NA,NA,NA,NA,NA,2022-04-28,NA,0,NA,NA,0,NA,NA,NA,NA,2022-03-25,103,113,2022-04-08,14,1,1,0,0
1,2,4,BB_107,BB_179,n,8,FALSE,FALSE,FALSE,3,3,NA,2,2021-12-12,2021-12-02,NA,NA,2022-03-11,2022-03-17,2022-03-25,2022-04-01,2022-04-08,NA,NA,NA,NA,NA,NA,NA,2022-03-11,0,NA,NA,0,NA,NA,NA,NA,2022-03-11,89,99,2022-04-08,28,1,1,0,0
1,2,5,BB_075,BB_079,R,1,NA,FALSE,FALSE,NA,NA,NA,1,2021-12-19,2021-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0
1,2,5,BB_075,BB_079,R,2,NA,FALSE,FALSE,NA,NA,NA,1,2021-12-19,2021-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0
1,2,5,BB_075,BB_079,R,3,NA,FALSE,FALSE,NA,NA,NA,1,2021-12-19,2021-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0
1,2,5,BB_075,BB_079,R,4,NA,FALSE,FALSE,NA,NA,NA,1,2021-12-12,2021-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0
1,2,5,BB_075,BB_079,R,5,NA,FALSE,FALSE,NA,NA,NA,1,NA,2021-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
1,2,5,BB_075,BB_079,R,6,NA,FALSE,FALSE,NA,NA,NA,1,NA,2021-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
1,2,5,BB_075,BB_079,R,7,NA,FALSE,FALSE,NA,NA,NA,1,NA,2021-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
1,2,5,BB_075,BB_079,R,8,NA,FALSE,FALSE,NA,NA,NA,1,2021-12-19,2021-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0
1,3,6,BB_028,BB_109,n,1,FALSE,FALSE,FALSE,2,2,NA,1,2021-12-12,2021-12-02,NA,NA,2022-03-11,2022-03-17,2022-03-25,2022-04-01,NA,NA,NA,NA,NA,NA,NA,NA,2022-03-11,0,NA,NA,0,NA,NA,NA,NA,2022-03-11,89,99,2022-04-01,21,1,1,0,0
1,3,6,BB_028,BB_109,n,2,TRUE,FALSE,TRUE,2,2,NA,1,2021-12-12,2021-12-02,NA,NA,2022-03-11,2022-03-17,NA,2022-04-01,NA,NA,NA,NA,NA,NA,NA,NA,2022-03-11,1,0,0,1,3,2,2,2,2022-03-11,89,99,2022-04-01,21,1,1,1,1
1,3,6,BB_028,BB_109,n,3,FALSE,FALSE,FALSE,2,2,NA,1,2021-12-12,2021-12-02,NA,NA,2022-03-11,2022-03-17,2022-03-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-03-11,0,NA,NA,0,NA,NA,NA,NA,2022-03-11,89,99,2022-03-25,14,1,1,0,0
1,3,6,BB_028,BB_109,n,4,FALSE,FALSE,FALSE,2,2,NA,1,NA,2021-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
1,3,6,BB_028,BB_109,n,5,FALSE,FALSE,FALSE,2,2,NA,1,2021-12-12,2021-12-02,NA,2022-03-03,NA,2022-03-17,2022-03-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,2022-03-03,81,91,2022-03-25,22,1,1,0,0
1,3,6,BB_028,BB_109,n,6,FALSE,FALSE,FALSE,2,2,NA,1,2021-12-12,2021-12-02,NA,NA,2022-03-11,2022-03-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-03-11,0,NA,NA,0,NA,NA,NA,NA,2022-03-11,89,99,2022-03-17,6,1,1,0,0
1,3,6,BB_028,BB_109,n,7,FALSE,FALSE,FALSE,2,2,NA,1,2021-12-12,2021-12-02,NA,NA,2022-03-11,2022-03-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,2022-03-11,89,99,2022-03-17,6,1,1,0,0
1,3,6,BB_028,BB_109,n,8,FALSE,FALSE,FALSE,2,2,NA,1,2021-12-19,2021-12-02,NA,NA,NA,2022-03-17,2022-03-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,2022-03-17,88,105,2022-03-25,8,1,1,0,0
1,3,7,BB_141,BB_003,n,1,TRUE,FALSE,TRUE,1,1,NA,5,2021-12-12,2021-12-02,NA,NA,NA,2022-03-17,2022-03-25,2022-04-01,NA,NA,NA,NA,NA,NA,NA,NA,2022-03-17,0,0,0,0,3,0,0,0,2022-03-17,95,105,2022-04-01,15,1,1,0,0
1,3,7,BB_141,BB_003,n,2,FALSE,FALSE,FALSE,1,1,NA,5,2021-12-12,2021-12-02,NA,NA,2022-03-11,2022-03-17,2022-03-25,NA,NA,NA,NA,NA,NA,NA,NA,2022-04-28,2022-03-11,0,NA,NA,0,NA,NA,NA,NA,2022-03-11,89,99,2022-03-25,14,1,1,0,0
1,3,7,BB_141,BB_003,n,3,FALSE,FALSE,FALSE,1,1,NA,5,2021-12-12,2021-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0
1,3,7,BB_141,BB_003,n,4,FALSE,FALSE,FALSE,1,1,NA,5,2021-12-12,2021-12-02,NA,NA,NA,NA,2022-03-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,2022-03-25,103,113,2022-03-25,0,1,1,0,0
1,3,7,BB_141,BB_003,n,5,FALSE,FALSE,FALSE,1,1,NA,5,2021-12-12,2021-12-02,NA,NA,2022-03-11,2022-03-17,2022-03-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-03-11,0,NA,NA,0,NA,NA,NA,NA,2022-03-11,89,99,2022-03-25,14,1,1,0,0
1,3,7,BB_141,BB_003,n,6,FALSE,FALSE,FALSE,1,1,NA,5,2021-12-12,2021-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0
1,3,7,BB_141,BB_003,n,7,FALSE,FALSE,FALSE,1,1,NA,5,2021-12-12,2021-12-02,NA,NA,NA,NA,2022-03-25,2022-04-01,2022-04-08,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,2022-03-25,103,113,2022-04-08,14,1,1,0,0
1,3,7,BB_141,BB_003,n,8,FALSE,FALSE,FALSE,1,1,NA,5,2021-12-12,2021-12-02,NA,NA,NA,NA,2022-03-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,2022-03-25,103,113,2022-03-25,0,1,1,0,0
1,3,8,BB_174,BB_010,n,1,FALSE,FALSE,FALSE,5,5,NA,3,2021-12-12,2021-12-02,NA,NA,NA,2022-03-17,2022-03-25,2022-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,2022-03-17,95,105,2022-04-01,15,1,1,0,0
1,3,8,BB_174,BB_010,n,2,FALSE,FALSE,FALSE,5,5,NA,3,2021-12-12,2021-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0
1,3,8,BB_174,BB_010,n,3,FALSE,FALSE,FALSE,5,5,NA,3,2021-12-12,2021-12-02,NA,NA,2022-03-11,2022-03-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,2022-03-11,89,99,2022-03-17,6,1,1,0,0
1,3,8,BB_174,BB_010,n,4,FALSE,FALSE,FALSE,5,5,NA,3,2021-12-12,2021-12-02,NA,NA,2022-03-11,2022-03-17,NA,2022-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,2022-03-11,89,99,2022-04-01,21,1,1,0,0
1,3,8,BB_174,BB_010,n,5,TRUE,FALSE,TRUE,5,5,NA,3,2021-12-12,2021-12-02,NA,NA,2022-03-11,2022-03-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-03-11,0,0,0,0,1,NA,0,0,2022-03-11,89,99,2022-03-17,6,1,1,0,0
1,3,8,BB_174,BB_010,n,6,FALSE,FALSE,FALSE,5,5,NA,3,2021-12-12,2021-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0
1,3,8,BB_174,BB_010,n,7,FALSE,FALSE,FALSE,5,5,NA,3,2021-12-12,2021-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0
1,3,8,BB_174,BB_010,n,8,FALSE,FALSE,FALSE,5,5,NA,3,2021-12-12,2021-12-02,NA,NA,2022-03-11,2022-03-17,2022-03-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-03-11,0,NA,NA,0,NA,NA,NA,NA,2022-03-11,89,99,2022-03-25,14,1,1,0,0
1,4,9,BB_099,BB_161,R,1,FALSE,FALSE,FALSE,4,"6,4",NA,4,2021-12-12,2021-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0
1,4,9,BB_099,BB_161,R,2,FALSE,FALSE,FALSE,4,"6,4",NA,4,2021-12-12,2021-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0
1,4,9,BB_099,BB_161,R,3,FALSE,FALSE,FALSE,4,"6,4",NA,4,NA,2021-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
1,4,9,BB_099,BB_161,R,4,TRUE,TRUE,TRUE,4,"6,4",NA,4,2021-12-30,2021-12-02,NA,NA,NA,NA,NA,2022-04-01,2022-04-08,NA,NA,NA,NA,NA,NA,NA,2022-04-01,0,NA,NA,0,NA,NA,0,0,2022-04-01,92,120,2022-04-08,7,1,1,0,0
1,4,9,BB_099,BB_161,R,5,FALSE,FALSE,FALSE,4,"6,4",NA,4,NA,2021-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0
1,4,9,BB_099,BB_161,R,6,FALSE,TRUE,TRUE,4,"6,4",NA,4,2021-12-19,2021-12-02,NA,NA,NA,NA,NA,2022-04-01,NA,2022-04-22,2022-04-28,NA,NA,NA,NA,NA,2022-04-01,0,1,0,1,0,0,0,0,2022-04-01,103,120,2022-04-28,27,1,1,1,0
1,4,9,BB_099,BB_161,R,7,FALSE,FALSE,FALSE,4,"6,4",NA,4,2021-12-19,2021-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0
1,4,9,BB_099,BB_161,R,8,FALSE,FALSE,FALSE,4,"6,4",NA,4,2021-12-30,2021-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0
1,4,10,BB_194,BB_214,n,1,FALSE,FALSE,FALSE,6,6,NA,1,2021-12-12,2021-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0
1,4,10,BB_194,BB_214,n,2,FALSE,FALSE,FALSE,6,6,NA,1,2021-12-12,2021-12-02,NA,NA,NA,NA,NA,2022-04-01,2022-04-08,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,2022-04-01,110,120,2022-04-08,7,1,1,0,0
1,4,10,BB_194,BB_214,n,3,FALSE,FALSE,FALSE,6,6,NA,1,2021-12-12,2021-12-02,NA,NA,NA,2022-03-17,2022-03-25,2022-04-01,2022-04-08,NA,NA,NA,NA,NA,NA,2022-04-28,2022-03-17,0,0,0,0,1,0,NA,NA,2022-03-17,95,105,2022-04-08,22,1,1,0,0
1,4,10,BB_194,BB_214,n,4,FALSE,FALSE,FALSE,6,6,NA,1,2021-12-12,2021-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0
1,4,10,BB_194,BB_214,n,5,FALSE,FALSE,FALSE,6,6,NA,1,2021-12-12,2021-12-02,NA,NA,NA,NA,NA,2022-04-01,2022-04-08,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,2022-04-01,110,120,2022-04-08,7,1,1,0,0
1,4,10,BB_194,BB_214,n,6,TRUE,FALSE,TRUE,6,6,NA,1,2021-12-12,2021-12-02,NA,NA,NA,NA,NA,2022-04-01,NA,NA,NA,NA,NA,NA,NA,NA,2022-04-01,0,NA,NA,0,NA,NA,0,0,2022-04-01,110,120,2022-04-01,0,1,1,0,0
1,4,10,BB_194,BB_214,n,7,FALSE,FALSE,FALSE,6,6,NA,1,2021-12-12,2021-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0
1,4,10,BB_194,BB_214,n,8,FALSE,FALSE,FALSE,6,6,NA,1,2021-12-12,2021-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0
1,4,11,BB_051,BB_143,R,1,FALSE,FALSE,FALSE,7,"6,7,4",NA,5,2021-12-19,2021-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0
1,4,11,BB_051,BB_143,R,2,FALSE,FALSE,FALSE,7,"6,7,4",NA,5,2021-12-12,2021-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0
1,4,11,BB_051,BB_143,R,3,FALSE,FALSE,FALSE,7,"6,7,4",NA,5,2021-12-12,2021-12-02,NA,NA,NA,2022-03-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,NA,NA,2022-03-17,95,105,2022-03-17,0,1,1,0,0
1,4,11,BB_051,BB_143,R,4,FALSE,TRUE,TRUE,7,"6,7,4",NA,5,2021-12-12,2021-12-02,NA,NA,NA,NA,2022-03-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,1,0,4,4,4,2022-03-25,103,113,2022-03-25,0,1,1,1,1
