Block,Transect,Sequence,Donor,Recipient,Replicated,Plant_ID,FitP,Rep_FitP,any_FitP,F_plant,F_multi,F_plant_notes,Germ_Date,Sow_Date,Plant_Date,Fl_4.9,Fl_4.21,Fl_5.3,Fl_5.13,Fl_5.25,Fl_6.8,Fl_6.22,LEAF,flr_P,closed_fruits_F,open_fruits_F,damaged_fruits_F,total_fruits_F,nonfitness_fruits,seed_ct,seeds_weighed_d1,seed_mass_mg_d1,seeds_weighed_d2,seed_mass_mg_d2,seeds_weighed_d3,seed_mass_mg_d3,seeds_weighed_d4,seed_mass_mg_d4,seeds_weighed_d5,seed_mass_mg_d5,msm_d1,msm_d2,msm_d3,msm_d4,msm_d5,msm_all,sd_msm_all,mean_seeds_per_fruit,total_est_seed_production,AG_biomass_mg,photo_date,corolla_diam_mm,corolla_area_mm2,notes_corolla,FFD,days_germ2flower,days_sow2flower,days_plant2flower,LFD,fl_duration,surv_to_germ,surv_to_flower,surv_to_fruitprod,surv_to_seedprod
1,1,7,AC_015,AC_190,R,4,FALSE,TRUE,TRUE,3,"2,3,4",NA,2021-11-03,2021-10-27,2021-11-04,NA,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-04-21,10,5,0,15,13,62,NA,NA,30,49.57,32,56.46,NA,NA,NA,NA,NA,1.6523333333333334,1.764375,NA,NA,1.7083541666666666,0.07922542227544271,6.2,93,50.33,2022-04-21,21.69,286.634,NA,2022-04-21,169,176,168,2022-05-13,22,1,1,1,1
1,1,8,AC_096,AC_074,n,6,TRUE,FALSE,TRUE,6,6,NA,2021-12-05,2021-10-27,2021-11-04,NA,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-04-21,7,1,0,8,45,18,NA,NA,13,18.8,5,8.28,NA,NA,NA,NA,NA,1.4461538461538461,1.656,NA,NA,1.551076923076923,0.14838363839053087,2.5714285714285716,20.571428571428573,15.85,2022-04-21,15.81,173.247,NA,2022-04-21,137,176,168,2022-05-13,22,1,1,1,1
1,1,9,AC_107,AC_130,n,10,TRUE,FALSE,TRUE,10,10,NA,NA,2021-10-27,2021-11-04,NA,NA,NA,2022-05-13,NA,NA,NA,NA,2022-05-13,2,1,0,3,13,7,NA,NA,NA,NA,7,12.13,NA,NA,NA,NA,NA,NA,1.7328571428571429,NA,NA,1.7328571428571429,NA,3.5,10.5,NA,2022-05-13,20.151,244.007,NA,2022-05-13,NA,198,190,2022-05-13,0,0,1,1,1
1,1,10,AC_207,AC_070,R,7,FALSE,TRUE,TRUE,9,"7,8,9",NA,2021-11-03,2021-10-27,2021-11-04,NA,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-04-21,8,6,0,14,30,31,NA,NA,19,42.76,12,25.64,NA,NA,NA,NA,NA,2.2505263157894735,2.1366666666666667,NA,NA,2.19359649122807,0.08051092999825761,3.875,54.25,32.39,2022-04-21,19.016,205.635,NA,2022-04-21,169,176,168,2022-05-13,22,1,1,1,1
1,1,10,AC_207,AC_070,R,8,FALSE,TRUE,TRUE,9,"7,8,9",NA,2021-12-05,2021-10-27,2021-11-04,NA,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-04-21,3,2,0,5,0,14,NA,NA,11,23.32,3,5.32,NA,NA,NA,NA,NA,2.12,1.7733333333333334,NA,NA,1.9466666666666668,0.2451303508113365,4.666666666666667,23.333333333333336,10.24,2022-04-21,17.694,169.038,NA,2022-04-21,137,176,168,2022-05-13,22,1,1,1,1
1,1,10,AC_207,AC_070,R,9,TRUE,TRUE,TRUE,9,"7,8,9",NA,2021-12-05,2021-10-27,2021-11-04,NA,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-04-21,9,2,0,11,0,27,NA,NA,20,32.85,7,16.18,NA,NA,NA,NA,NA,1.6425,2.3114285714285714,NA,NA,1.9769642857142857,0.4730039289865726,3,33,17.37,2022-04-21,20.256,225.473,NA,2022-04-21,137,176,168,2022-05-13,22,1,1,1,1
1,1,11,AC_096,AC_181,n,7,TRUE,FALSE,TRUE,7,7,NA,2021-11-03,2021-10-27,2021-11-04,2022-04-09,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-04-09,7,0,0,7,18,15,NA,NA,9,14.99,6,9.93,NA,NA,NA,NA,NA,1.6655555555555557,1.655,NA,NA,1.660277777777778,0.007463904912524736,2.142857142857143,15,7.39,2022-04-09,15.676,152.993,NA,2022-04-09,157,164,156,2022-05-13,34,1,1,1,1
1,1,12,AC_054,AC_046,n,3,TRUE,FALSE,TRUE,3,3,NA,2021-12-05,2021-10-27,2021-11-04,2022-04-09,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-04-09,8,4,0,12,11,27,NA,NA,NA,NA,25,41.98,2,3.68,NA,NA,NA,NA,1.6791999999999998,1.84,NA,1.7595999999999998,0.11370277041479704,3.375,40.5,NA,2022-04-09,18.568,218.013,NA,2022-04-09,125,164,156,2022-05-13,34,1,1,1,1
1,1,13,AC_052,AC_131,n,6,TRUE,FALSE,TRUE,6,6,NA,2021-12-05,2021-10-27,2021-11-04,NA,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-04-21,28,3,0,31,18,43,NA,NA,12,26.19,21,42.15,10,22.26,NA,NA,NA,2.1825,2.007142857142857,2.226,NA,2.138547619047619,0.11585970433431711,1.5357142857142858,47.60714285714286,69.75,2022-04-21,19.512,214.568,NA,2022-04-21,137,176,168,2022-05-13,22,1,1,1,1
1,1,14,AC_064,AC_086,n,4,TRUE,FALSE,TRUE,4,4,NA,NA,2021-10-27,2021-11-04,NA,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-04-21,11,4,0,15,11,22,NA,NA,NA,NA,22,60.73,NA,NA,NA,NA,NA,NA,2.7604545454545453,NA,NA,2.7604545454545453,NA,2,30,51.35,2022-04-21,23.884,319.134,NA,2022-04-21,NA,176,168,2022-05-13,22,0,1,1,1
