Block,Transect,Sequence,Donor,Recipient,Replicated,Plant_ID,FitP,Rep_FitP,any_FitP,F_plant,F_multi,F_plant_notes,Germ_Date,Sow_Date,Plant_Date,Fl_3.11,Fl_3.17,Fl_3.25,Fl_4.1,Fl_4.8,Fl_4.13,Fl_4.21,Fl_4.28,Fl_5.5,Fl_5.12,Fl_5.20,Fl_5.25,LEAF,flr_P,closed_fruits_F,open_fruits_F,damaged_fruits_F,total_fruits_F,nonfitness_fruits,seed_ct,seeds_weighed_d1,seed_mass_mg_d1,seeds_weighed_d2,seed_mass_mg_d2,seeds_weighed_d3,seed_mass_mg_d3,seeds_weighed_d4,seed_mass_mg_d4,seeds_weighed_d5,seed_mass_mg_d5,seeds_weighed_d6,seed_mass_mg_d6,seeds_weighed_d7,seed_mass_mg_d7,seeds_weighed_d8,seed_mass_mg_d8,seeds_weighed_d9,seed_mass_mg_d9,msm_d1,msm_d2,msm_d3,msm_d4,msm_d5,msm_d6,msm_d7,msm_d8,msm_d9,msm_all,sd_msm_all,mean_seeds_per_fruit,total_est_seed_production,AG_biomass_mg,photo_date,corolla_area_mm2,corolla_diam_mm,notes_corolla,FFD,days_germ2flower,days_sow2flower,days_plant2flower,LFD,fl_duration,surv_to_germ,surv_to_flower,surv_to_fruitprod,surv_to_seedprod
1,1,21,BO_192,BO_021,R,1,TRUE,TRUE,TRUE,1,"1,3,4",NA,2021-12-06,2021-11-11,2021-11-17,NA,NA,NA,NA,NA,NA,2022-04-21,NA,2022-05-05,2022-05-12,NA,NA,NA,NA,3,0,0,3,0,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,21.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.56,NA,NA,3.56,NA,2,6,NA,NA,NA,NA,NA,2022-04-21,136,161,155,2022-05-12,21,1,1,1,1
1,1,21,BO_192,BO_021,R,3,FALSE,TRUE,TRUE,1,"1,3,4",NA,2021-12-06,2021-11-11,2021-11-17,NA,NA,NA,NA,NA,2022-04-13,2022-04-21,NA,NA,2022-05-12,2022-05-20,NA,NA,NA,1,0,0,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2022-04-13,128,153,147,2022-05-20,37,1,1,1,1
1,1,21,BO_192,BO_021,R,4,FALSE,TRUE,TRUE,1,"1,3,4",NA,2021-12-06,2021-11-11,2021-11-17,NA,NA,NA,NA,NA,2022-04-13,2022-04-21,NA,NA,NA,NA,NA,NA,2022-04-13,1,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,2022-04-13,128,153,147,2022-04-21,8,1,1,1,0
1,1,22,BO_101,BO_024,R,2,FALSE,TRUE,TRUE,3,"2,3",NA,2021-12-06,2021-11-11,2021-11-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0
1,1,22,BO_101,BO_024,R,3,TRUE,TRUE,TRUE,3,"2,3",NA,2021-12-06,2021-11-11,2021-11-17,NA,NA,NA,NA,2022-04-08,2022-04-13,2022-04-21,NA,NA,NA,2022-05-20,NA,NA,2022-04-13,3,0,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,19.42,NA,NA,NA,NA,2022-04-08,123,148,142,2022-05-20,42,1,1,1,0
1,1,23,BO_143,BO_004,R,6,TRUE,TRUE,TRUE,6,"6,7",NA,2021-12-28,2021-11-11,2021-11-17,NA,NA,NA,NA,NA,2022-04-13,NA,NA,NA,NA,NA,NA,NA,2022-04-13,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2.59,NA,NA,NA,NA,2022-04-13,106,153,147,2022-04-13,0,1,1,1,0
1,1,23,BO_143,BO_004,R,7,FALSE,TRUE,TRUE,6,"6,7",NA,2021-12-06,2021-11-11,2021-11-17,NA,NA,NA,NA,NA,2022-04-13,NA,NA,NA,NA,NA,NA,NA,2022-04-13,0,1,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,2022-04-13,128,153,147,2022-04-13,0,1,1,1,0
1,1,24,BO_128,BO_060,n,4,TRUE,FALSE,TRUE,4,4,NA,2021-12-06,2021-11-11,2021-11-17,NA,NA,NA,NA,2022-04-08,2022-04-13,2022-04-21,NA,NA,NA,NA,NA,NA,2022-04-13,2,2,0,4,0,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,11.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.7866666666666666,NA,NA,3.7866666666666666,NA,1.5,6,11.73,NA,NA,NA,NA,2022-04-08,123,148,142,2022-04-21,13,1,1,1,1
1,1,25,BO_005,BO_176,n,5,TRUE,FALSE,TRUE,5,5,NA,2021-12-06,2021-11-11,2021-11-17,NA,NA,NA,2022-04-01,2022-04-08,2022-04-13,NA,NA,NA,NA,NA,NA,NA,2022-04-01,0,0,0,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,12.1,2022-04-01,401.675,24.67,NA,2022-04-01,116,141,135,2022-04-13,12,1,1,0,0
1,1,26,BO_149,BO_185,n,1,TRUE,FALSE,TRUE,1,1,NA,2021-12-06,2021-11-11,2021-11-17,NA,NA,NA,NA,2022-04-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,19.1,NA,NA,NA,NA,2022-04-08,123,148,142,2022-04-08,0,1,1,0,0
1,1,27,BO_096,BO_178,n,3,TRUE,FALSE,TRUE,3,3,NA,2021-12-06,2021-11-11,2021-11-17,NA,NA,NA,2022-04-01,2022-04-08,NA,NA,2022-04-28,NA,NA,NA,NA,NA,2022-04-01,2,0,0,2,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,5.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.945,NA,NA,2.945,NA,1,2,NA,2022-04-01,333.705,23.8,NA,2022-04-01,116,141,135,2022-04-28,27,1,1,1,1
1,1,28,BO_194,BO_098,n,7,TRUE,FALSE,TRUE,7,7,NA,2021-12-06,2021-11-11,2021-11-17,NA,NA,2022-03-25,2022-04-01,NA,NA,2022-04-21,2022-04-28,NA,NA,NA,NA,NA,2022-03-25,1,0,0,1,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.25,NA,NA,2.25,NA,2,2,1.47,2022-03-25,213.134,21.35,NA,2022-03-25,109,134,128,2022-04-28,34,1,1,1,1
1,1,29,BO_177,BO_139,n,7,TRUE,FALSE,TRUE,7,7,NA,2021-12-06,2021-11-11,2021-11-17,NA,NA,NA,NA,2022-04-08,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2.65,NA,NA,NA,NA,2022-04-08,123,148,142,2022-04-08,0,1,1,0,0
1,1,30,BO_101,BO_182,R,1,FALSE,TRUE,TRUE,4,"1,4",NA,2021-12-06,2021-11-11,2021-11-17,NA,NA,NA,2022-04-01,2022-04-08,NA,NA,NA,NA,NA,NA,NA,NA,2022-04-08,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,2022-04-08,501.869,30.46,NA,2022-04-01,116,141,135,2022-04-08,7,1,1,0,0
1,1,30,BO_101,BO_182,R,4,TRUE,TRUE,TRUE,4,"1,4",NA,2021-12-06,2021-11-11,2021-11-17,NA,NA,NA,2022-04-01,2022-04-08,2022-04-13,2022-04-21,2022-04-28,NA,NA,NA,NA,NA,2022-04-01,4,0,0,4,0,8,NA,NA,NA,NA,NA,NA,NA,NA,2,8.68,NA,NA,6,17.66,NA,NA,NA,NA,NA,NA,NA,NA,4.34,NA,2.9433333333333334,NA,NA,3.6416666666666666,0.9875924710572113,2,8,7.32,2022-04-01,379.43,25.46,NA,2022-04-01,116,141,135,2022-04-28,27,1,1,1,1
1,1,31,BO_168,BO_175,n,2,TRUE,FALSE,TRUE,2,2,NA,2021-12-06,2021-11-11,2021-11-17,NA,NA,NA,NA,2022-04-08,2022-04-13,NA,2022-04-28,NA,NA,NA,NA,NA,2022-04-08,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,2022-04-08,350.972,25.79,NA,2022-04-08,123,148,142,2022-04-28,20,1,1,0,0
1,1,32,BO_074,BO_118,n,3,TRUE,FALSE,TRUE,3,3,NA,2021-12-06,2021-11-11,2021-11-17,NA,NA,NA,NA,2022-04-08,2022-04-13,2022-04-21,NA,NA,NA,NA,NA,NA,2022-04-13,0,0,0,0,7,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,2022-04-08,123,148,142,2022-04-21,13,1,1,0,0
1,1,33,BO_038,BO_149,R,1,FALSE,TRUE,TRUE,4,"1,4",NA,2021-12-06,2021-11-11,2021-11-17,NA,NA,NA,NA,NA,NA,NA,NA,2022-05-05,2022-05-12,2022-05-20,NA,NA,2022-05-12,3,0,0,3,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,19.4,NA,NA,NA,NA,2022-05-05,150,175,169,2022-05-20,15,1,1,1,0
1,1,33,BO_038,BO_149,R,4,TRUE,TRUE,TRUE,4,"1,4",NA,2021-12-06,2021-11-11,2021-11-17,NA,NA,NA,NA,2022-04-08,2022-04-13,2022-04-21,2022-04-28,2022-05-05,2022-05-12,2022-05-20,NA,NA,2022-04-08,2,0,0,2,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,2022-04-08,581.112,31.88,NA,2022-04-08,123,148,142,2022-05-20,42,1,1,1,0
1,1,34,BO_177,BO_121,n,6,TRUE,FALSE,TRUE,6,6,NA,2021-12-06,2021-11-11,2021-11-17,NA,NA,NA,NA,2022-04-08,2022-04-13,2022-04-21,NA,2022-05-05,NA,NA,NA,NA,2022-04-13,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,2022-04-08,123,148,142,2022-05-05,27,1,1,0,0
1,1,35,BO_013,BO_141,n,2,TRUE,FALSE,TRUE,2,2,NA,2021-12-06,2021-11-11,2021-11-17,NA,NA,NA,NA,NA,2022-04-13,2022-04-21,2022-04-28,2022-05-05,NA,2022-05-20,NA,NA,2022-04-13,7,0,0,7,10,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,33.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3814285714285717,NA,NA,2.3814285714285717,NA,2,14,NA,NA,NA,NA,NA,2022-04-13,128,153,147,2022-05-20,37,1,1,1,1
1,1,37,BO_192,BO_127,R,8,TRUE,TRUE,TRUE,8,8,NA,2021-12-06,2021-11-11,2021-11-17,NA,NA,NA,NA,2022-04-08,2022-04-13,2022-04-21,2022-04-28,2022-05-05,2022-05-12,2022-05-20,NA,NA,2022-04-08,14,24,0,38,0,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,205.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.475434782608696,NA,NA,4.475434782608696,NA,3.2857142857142856,124.85714285714285,333.97,2022-04-08,494.939,25.93,NA,2022-04-08,123,148,142,2022-05-20,42,1,1,1,1
1,1,38,BO_101,BO_080,R,1,TRUE,TRUE,TRUE,1,"1,2,3",NA,2021-12-06,2021-11-11,2021-11-17,NA,NA,NA,NA,2022-04-08,NA,2022-04-21,2022-04-28,NA,NA,NA,NA,NA,2022-04-08,4,0,0,4,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.145,NA,NA,2.145,NA,0.5,2,8.1,2022-04-08,410.832,26.86,NA,2022-04-08,123,148,142,2022-04-28,20,1,1,1,1
1,1,38,BO_101,BO_080,R,2,FALSE,TRUE,TRUE,1,"1,2,3",NA,2021-12-15,2021-11-11,2021-11-17,NA,NA,NA,NA,2022-04-08,2022-04-13,2022-04-21,2022-04-28,NA,NA,NA,NA,NA,2022-04-13,5,1,0,6,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,2.4000000000000004,NA,NA,NA,NA,NA,2022-04-08,114,148,142,2022-04-28,20,1,1,1,1
1,1,38,BO_101,BO_080,R,3,FALSE,TRUE,TRUE,1,"1,2,3",NA,2021-12-06,2021-11-11,2021-11-17,NA,NA,NA,NA,2022-04-08,2022-04-13,2022-04-21,2022-04-28,2022-05-05,2022-05-12,NA,NA,NA,2022-04-08,11,6,17,17,0,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6363636363636365,27.81818181818182,NA,2022-04-08,410.018,27.68,NA,2022-04-08,123,148,142,2022-05-12,34,1,1,1,1
1,1,40,BO_038,BO_082,R,1,TRUE,TRUE,TRUE,1,"1,2",NA,2021-12-06,2021-11-11,2021-11-17,NA,NA,NA,2022-04-01,2022-04-08,2022-04-13,2022-04-21,NA,NA,NA,NA,NA,NA,2022-04-08,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,2022-04-08,313.333,21.45,NA,2022-04-01,116,141,135,2022-04-21,20,1,1,0,0
