Year,Sequence,Cohort,Block,Location,Donor,Recipient,Gen,Replicated,Plant_ID,F_plant,Rep_FitP,any_FitP,F_plant_ID,F_multi,Germ_Date,Sow_Date,Plant_Date,FFD,LFD,fl_duration,days_germ2flower,days_sow2flower,days_plant2flower,corolla_diam_mm,corolla_diam_mm_SEG,corolla_area_mm2,corolla_area_mm2_SEG,leaf_area_mm2,leaf_dryweight_mg,SLA,LMA,leaf_area_mm2_SEG,leaf_dryweight_mg_SEG,SLA_SEG,LMA_SEG,skel_dryweight_mg,skel_dryweight_mg_SEG,d13C,d13C_SEG,sample_weight_mg,closed_fruits,open_fruits,total_fruits,nonfitness_fruits,filled_seeds,msm_all,sd_msm_all,mean_seeds_per_fruit,est_fecundity,est_fecundity_int,surv_to_germ,surv_to_flower,surv_to_fruitprod,prod_closed_fruits,prod_filled_seeds
2022,11,5,1,4,BB_051,BB_143,G1,R,7,TRUE,TRUE,TRUE,7,"6,7,4",2021-12-12,2021-11-29,2021-12-02,2022-03-17,2022-04-08,22,95,108,105,16.243,16.243,179.925,179.925,95.732,7.52,12.730319148936172,0.07855262608114319,95.732,7.52,12.730319148936172,0.07855262608114319,42.4,42.4,-29.35,-29.35,2.98,3,2,5,0,28,2.2953508771929823,0.7806706971942009,9.333333333333334,46.66666666666667,47,1,1,1,1,1
2022,12,3,1,5,BB_115,BB_020,G1,R,1,FALSE,TRUE,TRUE,5,"1,5,7",2021-12-12,2021-11-29,2021-12-02,2022-03-25,2022-04-01,7,103,116,113,15.857,28.033,150.738,492.617,NA,NA,NA,NA,12.94,1.21,10.694214876033058,0.09350850077279753,NA,NA,NA,NA,NA,1,0,1,0,7,NA,NA,7,7,7,1,1,1,1,1
2022,12,3,1,5,BB_115,BB_020,G1,R,5,TRUE,TRUE,TRUE,5,"1,5,7",2021-12-12,2021-11-29,2021-12-02,2022-03-17,2022-04-08,22,95,108,105,28.033,28.033,492.617,492.617,NA,NA,NA,NA,12.94,1.21,10.694214876033058,0.09350850077279753,NA,NA,NA,NA,NA,2,1,3,0,7,2.718571428571429,NA,3.5,10.5,10,1,1,1,1,1
2022,12,3,1,5,BB_115,BB_020,G1,R,7,FALSE,TRUE,TRUE,5,"1,5,7",2021-12-12,2021-11-29,2021-12-02,NA,NA,NA,NA,NA,NA,NA,28.033,NA,492.617,56.009,2.64,21.215530303030302,0.047135281829705944,12.94,1.21,10.694214876033058,0.09350850077279753,NA,NA,NA,NA,NA,0,0,0,NA,0,NA,NA,NA,0,0,1,0,0,0,0
2022,13,3,1,5,BB_167,BB_114,G1,n,5,TRUE,FALSE,TRUE,5,5,2021-12-19,2021-11-29,2021-12-02,2022-03-25,2022-04-22,28,96,116,113,23.49,23.49,NA,NA,NA,NA,NA,NA,41.034,2.49,16.479518072289157,0.06068138616756836,9.97,9.97,-31.48,-31.48,2.6,1,0,1,2,1,9.98,NA,1,1,1,1,1,1,1,1
2022,14,5,1,5,BB_108,BB_069,G1,n,4,TRUE,FALSE,TRUE,4,4,2021-12-12,2021-11-29,2021-12-02,2022-03-17,2022-04-08,22,95,108,105,26.117,26.117,452.477,452.477,NA,NA,NA,NA,28.351,1.28,22.14921875,0.045148319283270434,32.47,32.47,-29.78,-29.78,2.51,1,3,4,0,6,3.61,NA,6,24,24,1,1,1,1,1
2022,15,3,1,5,BB_065,BB_013,G1,n,8,TRUE,FALSE,TRUE,8,8,2021-12-19,2021-11-29,2021-12-02,2022-03-11,2022-04-28,48,82,102,99,NA,NA,NA,NA,NA,NA,NA,NA,153.347,7.37,20.806919945725916,0.048060933699387666,NA,NA,NA,NA,NA,1,0,1,3,0,NA,NA,0,0,0,1,1,1,1,0
2022,16,4,1,6,BB_175,BB_104,G1,n,8,TRUE,FALSE,TRUE,8,8,2021-12-12,2021-11-29,2021-12-02,2022-02-25,2022-05-19,83,75,88,85,18.554,18.554,228.931,228.931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-28.19,-28.19,1.86,0,0,0,0,0,NA,NA,NA,0,0,1,1,0,0,0
2022,17,4,1,6,BB_005,BB_195,G1,n,4,TRUE,FALSE,TRUE,4,4,2021-12-12,2021-11-29,2021-12-02,2022-03-03,2022-04-01,29,81,94,91,27.518,27.518,460.039,460.039,NA,NA,NA,NA,75.958,6.43,11.813063763608087,0.08465204455093604,15.78,15.78,-29.23,-29.23,2.68,0,1,1,0,0,NA,NA,NA,NA,NA,1,1,1,0,0
2022,18,4,1,6,BB_047,BB_193,G1,n,8,TRUE,FALSE,TRUE,8,8,2021-12-19,2021-11-29,2021-12-02,2022-03-11,2022-04-01,21,82,102,99,32.137,32.137,613.342,613.342,NA,NA,NA,NA,71.774,7.09,10.12327221438646,0.09878228885111599,NA,NA,NA,NA,NA,1,0,1,0,6,NA,NA,6,6,6,1,1,1,1,1
