Donor,Recipient,mean_surv_to_flowering,mean_fruit_prod,mean_est_seed_prod_R,mean_surv_x_est_seed_prod_R,total_seed_count
BB_001,BB_043,0.5,1,NA,NA,0
BB_001,BB_072,0.125,0,NA,NA,0
BB_001,BB_074,0.625,0,NA,NA,0
BB_005,BB_034,0.4375,0.5,0.2009227165697322,0.23344095580746171,3
BB_005,BB_166,0.5,2,0.9262959168078786,0.6169236087829331,13
BB_005,BB_195,0.7083333333333334,0,NA,NA,0
BB_011,BB_056,0.5833333333333334,0.6666666666666666,0.9485753995830438,0.879978081132045,5
BB_011,BB_116,0.5,0.3333333333333333,NA,NA,0
BB_011,BB_215,0.5625,0.5,0,0,0
BB_014,BB_102,0.5416666666666666,0,NA,NA,0
BB_014,BB_152,0.3125,1,0.4018454331394644,0.09337638232298469,6
BB_014,BB_185,0.625,2,0.2678969554263096,0.3112546077432823,2
BB_015,BB_063,0.3125,0,NA,NA,0
BB_015,BB_111,0.25,1,1.3280055594162614,0.4927877254339452,7
BB_015,BB_218,0.20833333333333334,0,NA,NA,0
BB_023,BB_078,0.3333333333333333,1.3333333333333333,0,0,0
BB_023,BB_190,0.5625,3,0.5691452397498262,0.527986848679227,2
BB_023,BB_206,0.375,1.3333333333333333,0.9339268102912641,0.6157658695750745,8
BB_026,BB_053,0.4583333333333333,1,0.5320813771517997,0.11187890753537348,4
BB_026,BB_070,0.625,2,0.8537178596247395,1.1087723822263766,6
BB_026,BB_153,0.6666666666666666,2,1.037995087419442,0.8515897754447426,27
BB_028,BB_083,0.3333333333333333,2.6666666666666665,2.5115339571216526,1.750807168555963,25
BB_028,BB_109,0.6666666666666666,1,0.16183177881488178,0.2321360440686351,3
BB_028,BB_209,0.5,0.5,NA,NA,0
BB_038,BB_042,0.75,0,NA,NA,0
BB_038,BB_149,0.25,1,0.9711264634203722,0.9026383624555187,29
BB_038,BB_216,0.4583333333333333,0,NA,NA,0
BB_047,BB_071,0.25,0,NA,NA,0
BB_047,BB_131,0.5,0.3333333333333333,0.2678969554263096,0.4357564508405952,4
BB_047,BB_193,0.4583333333333333,1.3333333333333333,0.2009227165697322,0.2801291469689541,6
BB_051,BB_105,0.4583333333333333,1,1.3280055594162614,1.4783631763018357,7
BB_051,BB_118,0.5625,0,NA,NA,0
BB_051,BB_143,0.5,1.6666666666666667,3.1254644799736124,3.631303757004961,28
BB_055,BB_119,0.25,0.3333333333333333,0,0,0
BB_055,BB_145,0.6666666666666666,2.6666666666666665,1.6907600548008752,2.034706735023264,17
BB_055,BB_183,0.5,0,NA,NA,0
BB_057,BB_121,0.75,3,0,0,0
BB_057,BB_146,0.4583333333333333,1,0.5348657774274144,0.4294449830596255,13
BB_057,BB_200,0.4583333333333333,1.6666666666666667,1.0714520311741567,1.1227123463657667,16
BB_065,BB_013,0.2916666666666667,0.6666666666666666,0,0,0
BB_065,BB_133,0.6666666666666666,1.3333333333333333,2.4292321763178872,2.783220839929149,14
BB_065,BB_192,0.25,1,0.37943015983321754,0.1407964929811272,2
BB_066,BB_019,0.6666666666666666,1.3333333333333333,7.715179968701095,12.977953274103324,29
BB_066,BB_052,0.4583333333333333,0.3333333333333333,0.0669742388565774,0.03112546077432823,1
BB_066,BB_087,0.375,0.3333333333333333,0.1339484777131548,0.06225092154865646,2
BB_073,BB_064,0.08333333333333333,0,NA,NA,0
BB_073,BB_084,0.375,0.5,0.0669742388565774,0.046688191161492344,1
BB_073,BB_092,0.7916666666666666,2,0.7588603196664351,0.9855754508678904,3
BB_075,BB_079,0.25,1,0.5320813771517997,0.3356367226061205,2
BB_075,BB_085,0.875,0,NA,NA,0
BB_075,BB_164,0.625,1.3333333333333333,0.0892989851421032,0.12450184309731292,4
BB_091,BB_094,0.2916666666666667,0,NA,NA,0
BB_091,BB_098,0.5625,1,0,0,0
BB_091,BB_139,0.4375,0.5,0.0669742388565774,0.015562730387164115,1
BB_099,BB_032,0.3333333333333333,0,NA,NA,0
BB_099,BB_061,0.375,1.6666666666666667,0.26604068857589985,0.2796972688384337,2
BB_099,BB_161,0.4166666666666667,0,NA,NA,0
BB_100,BB_031,0.4166666666666667,0.6666666666666666,0,0,0
BB_100,BB_113,0.5,0.5,0,0,0
BB_100,BB_135,0.5625,1,0.5691452397498262,0.7391815881509178,6
BB_107,BB_123,0.5416666666666666,1,2.0498020164846698,2.4186665318772747,12
BB_107,BB_151,0.5833333333333334,0.3333333333333333,1.596244131455399,2.349457058242843,6
