Block,Transect,Sequence,Donor,Recipient,Replicated,Plant_ID,FitP,Rep_FitP,any_FitP,F_plant,F_multi,F_plant_notes,Germ_Date,Sow_Date,Fl_3.11,Fl_3.17,Fl_3.25,Fl_4.1,Fl_4.8,Fl_4.13,Fl_4.21,Fl_4.28,Fl_5.5,Fl_5.12,Fl_5.20,Fl_5.25,LEAF,flr_P,closed_fruits_F,open_fruits_F,damaged_fruits_F,total_fruits_F,nonfitness_fruits,seed_ct,mean_seeds_per_fruit,total_est_seed_production,FFD,days_germ2flower,days_sow2flower,LFD,fl_duration,surv_to_germ,surv_to_flower,surv_to_fruitprod,surv_to_seedprod
1,1,19,BO_073,BO_117,n,7,TRUE,FALSE,TRUE,7,7,NA,2021-12-06,2021-11-17,NA,NA,NA,NA,2022-04-08,2022-04-13,2022-04-21,2022-04-28,2022-05-05,NA,NA,NA,NA,2022-04-21,0,0,0,0,0,NA,0,0,2022-04-08,123,142,2022-05-05,27,1,1,0,0
1,1,20,BO_130,BO_120,n,2,TRUE,FALSE,TRUE,2,2,NA,2021-12-06,2021-11-17,NA,NA,NA,NA,NA,2022-04-13,2022-04-21,NA,NA,NA,NA,NA,NA,2022-04-13,0,0,0,0,0,NA,0,0,2022-04-13,128,147,2022-04-21,8,1,1,0,0
1,1,21,BO_192,BO_021,R,1,TRUE,TRUE,TRUE,1,"1,3,4",NA,2021-12-06,2021-11-17,NA,NA,NA,NA,NA,NA,2022-04-21,NA,2022-05-05,2022-05-12,NA,NA,NA,NA,3,0,0,3,0,6,2,6,2022-04-21,136,155,2022-05-12,21,1,1,1,1
1,1,21,BO_192,BO_021,R,3,FALSE,TRUE,TRUE,1,"1,3,4",NA,2021-12-06,2021-11-17,NA,NA,NA,NA,NA,2022-04-13,2022-04-21,NA,NA,2022-05-12,2022-05-20,NA,NA,NA,1,0,0,1,0,1,1,1,2022-04-13,128,147,2022-05-20,37,1,1,1,1
1,1,21,BO_192,BO_021,R,4,FALSE,TRUE,TRUE,1,"1,3,4",NA,2021-12-06,2021-11-17,NA,NA,NA,NA,NA,2022-04-13,2022-04-21,NA,NA,NA,NA,NA,NA,2022-04-13,1,0,0,1,0,0,0,0,2022-04-13,128,147,2022-04-21,8,1,1,1,0
1,1,22,BO_101,BO_024,R,2,FALSE,TRUE,TRUE,3,"2,3",NA,2021-12-06,2021-11-17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,0,0,NA,NA,NA,NA,NA,1,0,0,0
1,1,22,BO_101,BO_024,R,3,TRUE,TRUE,TRUE,3,"2,3",NA,2021-12-06,2021-11-17,NA,NA,NA,NA,2022-04-08,2022-04-13,2022-04-21,NA,NA,NA,2022-05-20,NA,NA,2022-04-13,3,0,0,3,0,0,0,0,2022-04-08,123,142,2022-05-20,42,1,1,1,0
1,1,23,BO_143,BO_004,R,6,TRUE,TRUE,TRUE,6,"6,7",NA,2021-12-28,2021-11-17,NA,NA,NA,NA,NA,2022-04-13,NA,NA,NA,NA,NA,NA,NA,2022-04-13,0,1,0,1,0,0,0,0,2022-04-13,106,147,2022-04-13,0,1,1,1,0
1,1,23,BO_143,BO_004,R,7,FALSE,TRUE,TRUE,6,"6,7",NA,2021-12-06,2021-11-17,NA,NA,NA,NA,NA,2022-04-13,NA,NA,NA,NA,NA,NA,NA,2022-04-13,0,1,0,1,0,0,0,0,2022-04-13,128,147,2022-04-13,0,1,1,1,0
1,1,24,BO_128,BO_060,n,4,TRUE,FALSE,TRUE,4,4,NA,2021-12-06,2021-11-17,NA,NA,NA,NA,2022-04-08,2022-04-13,2022-04-21,NA,NA,NA,NA,NA,NA,2022-04-13,2,2,0,4,0,3,1.5,6,2022-04-08,123,142,2022-04-21,13,1,1,1,1
