Block,Location,Sequence,Donor,Recipient,Plant_ID,Co.,Germ_Date,Sow_Date
1,5,12,BB_115,BB_020,6,3,2021-12-30,2021-12-02
1,5,12,BB_115,BB_020,7,3,2021-12-12,2021-12-02
1,5,12,BB_115,BB_020,8,3,2021-12-12,2021-12-02
1,5,13,BB_167,BB_114,1,3,2021-12-12,2021-12-02
1,5,13,BB_167,BB_114,2,3,2021-12-19,2021-12-02
1,5,13,BB_167,BB_114,3,3,2021-12-19,2021-12-02
1,5,13,BB_167,BB_114,4,3,2021-12-12,2021-12-02
1,5,13,BB_167,BB_114,5,3,2021-12-19,2021-12-02
1,5,13,BB_167,BB_114,6,3,2021-12-19,2021-12-02
1,5,13,BB_167,BB_114,7,3,NA,2021-12-02
1,5,13,BB_167,BB_114,8,3,2021-12-12,2021-12-02
1,5,14,BB_108,BB_069,1,5,2021-12-19,2021-12-02
1,5,14,BB_108,BB_069,2,5,2021-12-12,2021-12-02
1,5,14,BB_108,BB_069,3,5,2021-12-12,2021-12-02
1,5,14,BB_108,BB_069,4,5,2021-12-12,2021-12-02
1,5,14,BB_108,BB_069,5,5,2021-12-12,2021-12-02
1,5,14,BB_108,BB_069,6,5,2021-12-12,2021-12-02
1,5,14,BB_108,BB_069,7,5,2021-12-19,2021-12-02
1,5,14,BB_108,BB_069,8,5,2021-12-30,2021-12-02
1,5,15,BB_065,BB_013,1,3,2021-12-12,2021-12-02
1,5,15,BB_065,BB_013,2,3,NA,2021-12-02
1,5,15,BB_065,BB_013,3,3,2021-12-12,2021-12-02
1,5,15,BB_065,BB_013,4,3,NA,2021-12-02
1,5,15,BB_065,BB_013,5,3,2021-12-12,2021-12-02
1,5,15,BB_065,BB_013,6,3,NA,2021-12-02
1,5,15,BB_065,BB_013,7,3,2021-12-19,2021-12-02
1,5,15,BB_065,BB_013,8,3,2021-12-19,2021-12-02
1,6,16,BB_175,BB_104,1,4,2021-12-12,2021-12-02
1,6,16,BB_175,BB_104,2,4,NA,2021-12-02
1,6,16,BB_175,BB_104,3,4,2021-12-12,2021-12-02
1,6,16,BB_175,BB_104,4,4,2021-12-30,2021-12-02
1,6,16,BB_175,BB_104,5,4,2021-12-12,2021-12-02
1,6,16,BB_175,BB_104,6,4,2021-12-12,2021-12-02
1,6,16,BB_175,BB_104,7,4,2021-12-12,2021-12-02
1,6,16,BB_175,BB_104,8,4,2021-12-12,2021-12-02
1,6,17,BB_005,BB_195,1,4,2021-12-19,2021-12-02
1,6,17,BB_005,BB_195,2,4,2021-12-19,2021-12-02
1,6,17,BB_005,BB_195,3,4,2021-12-19,2021-12-02
1,6,17,BB_005,BB_195,4,4,2021-12-12,2021-12-02
1,6,17,BB_005,BB_195,5,4,2021-12-19,2021-12-02
1,6,17,BB_005,BB_195,6,4,2021-12-12,2021-12-02
1,6,17,BB_005,BB_195,7,4,2021-12-12,2021-12-02
1,6,17,BB_005,BB_195,8,4,2021-12-12,2021-12-02
1,6,18,BB_047,BB_193,1,4,2021-12-12,2021-12-02
1,6,18,BB_047,BB_193,2,4,2021-12-12,2021-12-02
1,6,18,BB_047,BB_193,3,4,2021-12-12,2021-12-02
1,6,18,BB_047,BB_193,4,4,2021-12-12,2021-12-02
1,6,18,BB_047,BB_193,5,4,2021-12-12,2021-12-02
1,6,18,BB_047,BB_193,6,4,2021-12-12,2021-12-02
1,6,18,BB_047,BB_193,7,4,2021-12-19,2021-12-02
1,6,18,BB_047,BB_193,8,4,2021-12-19,2021-12-02
1,7,19,BB_196,BB_186,1,2,2021-12-19,2021-12-02
1,7,19,BB_196,BB_186,2,2,2021-12-19,2021-12-02
1,7,19,BB_196,BB_186,3,2,2021-12-12,2021-12-02
1,7,19,BB_196,BB_186,4,2,2021-12-12,2021-12-02
1,7,19,BB_196,BB_186,5,2,2021-12-12,2021-12-02
1,7,19,BB_196,BB_186,6,2,2021-12-12,2021-12-02
1,7,19,BB_196,BB_186,7,2,2021-12-12,2021-12-02
1,7,19,BB_196,BB_186,8,2,2021-12-12,2021-12-02
1,7,20,BB_182,BB_201,1,2,2021-12-19,2021-12-02
1,7,20,BB_182,BB_201,2,2,2021-12-12,2021-12-02
1,7,20,BB_182,BB_201,3,2,2021-12-12,2021-12-02
1,7,20,BB_182,BB_201,4,2,2021-12-12,2021-12-02
1,7,20,BB_182,BB_201,5,2,2021-12-19,2021-12-02
1,7,20,BB_182,BB_201,6,2,2021-12-19,2021-12-02
1,7,20,BB_182,BB_201,7,2,2021-12-12,2021-12-02
1,7,20,BB_182,BB_201,8,2,2021-12-12,2021-12-02
1,7,21,BB_122,BB_027,1,1,2021-12-12,2021-12-02
1,7,21,BB_122,BB_027,2,1,2021-12-19,2021-12-02
1,7,21,BB_122,BB_027,3,1,NA,2021-12-02
1,7,21,BB_122,BB_027,4,1,NA,2021-12-02
1,7,21,BB_122,BB_027,5,1,2021-12-12,2021-12-02
1,7,21,BB_122,BB_027,6,1,2021-12-12,2021-12-02
1,7,21,BB_122,BB_027,7,1,2021-12-12,2021-12-02
1,7,21,BB_122,BB_027,8,1,2021-12-19,2021-12-02
1,8,22,BB_125,BB_137,1,4,2021-12-19,2021-12-02
1,8,22,BB_125,BB_137,2,4,2021-12-19,2021-12-02
1,8,22,BB_125,BB_137,3,4,2021-12-30,2021-12-02
1,8,22,BB_125,BB_137,4,4,NA,2021-12-02
1,8,22,BB_125,BB_137,5,4,2021-12-30,2021-12-02
1,8,22,BB_125,BB_137,6,4,2021-12-30,2021-12-02
1,8,22,BB_125,BB_137,7,4,2021-12-30,2021-12-02
1,8,22,BB_125,BB_137,8,4,2021-12-19,2021-12-02
1,8,23,BB_015,BB_218,1,2,2021-12-19,2021-12-02
1,8,23,BB_015,BB_218,2,2,2021-12-19,2021-12-02
1,8,23,BB_015,BB_218,3,2,2021-12-12,2021-12-02
1,8,23,BB_015,BB_218,4,2,2021-12-30,2021-12-02
1,8,23,BB_015,BB_218,5,2,NA,2021-12-02
1,8,23,BB_015,BB_218,6,2,2021-12-19,2021-12-02
1,8,23,BB_015,BB_218,7,2,2021-12-30,2021-12-02
1,8,23,BB_015,BB_218,8,2,2021-12-12,2021-12-02
1,8,24,BB_144,BB_207,1,3,NA,2021-12-02
1,8,24,BB_144,BB_207,2,3,NA,2021-12-02
1,8,24,BB_144,BB_207,3,3,2021-12-12,2021-12-02
1,8,24,BB_144,BB_207,4,3,2021-12-12,2021-12-02
1,8,24,BB_144,BB_207,5,3,2021-12-12,2021-12-02
1,8,24,BB_144,BB_207,6,3,2021-12-12,2021-12-02
1,8,24,BB_144,BB_207,7,3,2021-12-12,2021-12-02
1,8,24,BB_144,BB_207,8,3,NA,2021-12-02
1,9,25,BB_108,BB_189,1,5,2021-12-19,2021-12-02
1,9,25,BB_108,BB_189,2,5,2021-12-30,2021-12-02
1,9,25,BB_108,BB_189,3,5,2021-12-19,2021-12-02
1,9,25,BB_108,BB_189,4,5,NA,2021-12-02
1,9,25,BB_108,BB_189,5,5,2021-12-30,2021-12-02
1,9,25,BB_108,BB_189,6,5,2021-12-12,2021-12-02
1,9,25,BB_108,BB_189,7,5,NA,2021-12-02
1,9,25,BB_108,BB_189,8,5,2021-12-12,2021-12-02
1,9,26,BB_188,BB_009,1,6,NA,2021-12-02
1,9,26,BB_188,BB_009,2,6,2021-12-12,2021-12-02
1,9,26,BB_188,BB_009,3,6,2021-12-12,2021-12-02
1,9,26,BB_188,BB_009,4,6,2021-12-19,2021-12-02
1,9,26,BB_188,BB_009,5,6,2021-12-12,2021-12-02
1,9,26,BB_188,BB_009,6,6,NA,2021-12-02
1,9,26,BB_188,BB_009,7,6,2021-12-19,2021-12-02
1,9,26,BB_188,BB_009,8,6,2021-12-19,2021-12-02
1,9,27,BB_176,BB_017,1,5,NA,2021-12-02
1,9,27,BB_176,BB_017,2,5,NA,2021-12-02
1,9,27,BB_176,BB_017,3,5,2021-12-12,2021-12-02
1,9,27,BB_176,BB_017,4,5,2021-12-12,2021-12-02
1,9,27,BB_176,BB_017,5,5,2021-12-12,2021-12-02
1,9,27,BB_176,BB_017,6,5,2021-12-12,2021-12-02
1,9,27,BB_176,BB_017,7,5,2021-12-30,2021-12-02
1,9,27,BB_176,BB_017,8,5,2021-12-12,2021-12-02
1,10,28,BB_115,BB_187,1,3,NA,2021-12-02
1,10,28,BB_115,BB_187,2,3,2021-12-19,2021-12-02
1,10,28,BB_115,BB_187,3,3,2021-12-19,2021-12-02
1,10,28,BB_115,BB_187,4,3,2021-12-30,2021-12-02
1,10,28,BB_115,BB_187,5,3,2021-12-19,2021-12-02
1,10,28,BB_115,BB_187,6,3,2021-12-19,2021-12-02
1,10,28,BB_115,BB_187,7,3,2021-12-12,2021-12-02
1,10,28,BB_115,BB_187,8,3,2021-12-19,2021-12-02
1,10,29,BB_099,BB_032,1,4,2021-12-12,2021-12-02
1,10,29,BB_099,BB_032,2,4,2021-12-12,2021-12-02
1,10,29,BB_099,BB_032,3,4,NA,2021-12-02
1,10,29,BB_099,BB_032,4,4,NA,2021-12-02
1,10,29,BB_099,BB_032,5,4,2021-12-12,2021-12-02
1,10,29,BB_099,BB_032,6,4,2021-12-19,2021-12-02
1,10,29,BB_099,BB_032,7,4,NA,2021-12-02
1,10,29,BB_099,BB_032,8,4,2021-12-12,2021-12-02
1,10,30,BB_168,BB_058,1,3,NA,2021-12-02
1,10,30,BB_168,BB_058,2,3,2021-12-12,2021-12-02
1,10,30,BB_168,BB_058,3,3,2021-12-12,2021-12-02
1,10,30,BB_168,BB_058,4,3,2021-12-12,2021-12-02
1,10,30,BB_168,BB_058,5,3,2021-12-19,2021-12-02
1,10,30,BB_168,BB_058,6,3,2021-12-19,2021-12-02
1,10,30,BB_168,BB_058,7,3,2021-12-19,2021-12-02
1,10,30,BB_168,BB_058,8,3,NA,2021-12-02
1,10,31,BB_182,BB_021,1,2,2021-12-12,2021-12-02
1,10,31,BB_182,BB_021,2,2,2021-12-30,2021-12-02
1,10,31,BB_182,BB_021,3,2,2021-12-12,2021-12-02
1,10,31,BB_182,BB_021,4,2,2021-12-30,2021-12-02
1,10,31,BB_182,BB_021,5,2,2021-12-19,2021-12-02
1,10,31,BB_182,BB_021,6,2,NA,2021-12-02
1,10,31,BB_182,BB_021,7,2,2021-12-30,2021-12-02
1,10,31,BB_182,BB_021,8,2,NA,2021-12-02
1,11,32,BB_197,BB_060,1,2,2021-12-19,2021-12-02
1,11,32,BB_197,BB_060,2,2,2021-12-12,2021-12-02
1,11,32,BB_197,BB_060,3,2,2021-12-12,2021-12-02
1,11,32,BB_197,BB_060,4,2,2021-12-30,2021-12-02
1,11,32,BB_197,BB_060,5,2,2021-12-12,2021-12-02
1,11,32,BB_197,BB_060,6,2,2021-12-30,2021-12-02
1,11,32,BB_197,BB_060,7,2,2021-12-19,2021-12-02
1,11,32,BB_197,BB_060,8,2,2021-12-12,2021-12-02
1,11,33,BB_142,BB_093,1,2,2021-12-12,2021-12-02
1,11,33,BB_142,BB_093,2,2,2021-12-12,2021-12-02
1,11,33,BB_142,BB_093,3,2,2021-12-12,2021-12-02
1,11,33,BB_142,BB_093,4,2,2021-12-19,2021-12-02
1,11,33,BB_142,BB_093,5,2,2021-12-12,2021-12-02
1,11,33,BB_142,BB_093,6,2,2021-12-30,2021-12-02
1,11,33,BB_142,BB_093,7,2,2021-12-19,2021-12-02
1,11,33,BB_142,BB_093,8,2,2021-12-12,2021-12-02
1,11,34,BB_047,BB_071,1,4,2021-12-19,2021-12-02
1,11,34,BB_047,BB_071,2,4,2021-12-30,2021-12-02
1,11,34,BB_047,BB_071,3,4,2021-12-19,2021-12-02
1,11,34,BB_047,BB_071,4,4,2021-12-19,2021-12-02
1,11,34,BB_047,BB_071,5,4,2021-12-12,2021-12-02
1,11,34,BB_047,BB_071,6,4,2021-12-12,2021-12-02
1,11,34,BB_047,BB_071,7,4,2021-12-19,2021-12-02
1,11,34,BB_047,BB_071,8,4,2021-12-19,2021-12-02
1,12,35,BB_174,BB_068,1,3,2021-12-30,2021-12-02
1,12,35,BB_174,BB_068,2,3,2021-12-12,2021-12-02
1,12,35,BB_174,BB_068,3,3,2021-12-19,2021-12-02
1,12,35,BB_174,BB_068,4,3,2021-12-30,2021-12-02
1,12,35,BB_174,BB_068,5,3,2021-12-30,2021-12-02
1,12,35,BB_174,BB_068,6,3,2021-12-12,2021-12-02
1,12,35,BB_174,BB_068,7,3,NA,2021-12-02
1,12,35,BB_174,BB_068,8,3,NA,2021-12-02
1,12,36,BB_202,BB_018,1,1,2021-12-12,2021-12-02
1,12,36,BB_202,BB_018,2,1,NA,2021-12-02
1,12,36,BB_202,BB_018,3,1,2021-12-12,2021-12-02
1,12,36,BB_202,BB_018,4,1,2021-12-12,2021-12-02
1,12,36,BB_202,BB_018,5,1,2021-12-12,2021-12-02
1,12,36,BB_202,BB_018,6,1,2021-12-19,2021-12-02
1,12,36,BB_202,BB_018,7,1,NA,2021-12-02
1,12,36,BB_202,BB_018,8,1,2021-12-12,2021-12-02
1,13,37,BB_047,BB_131,1,4,2021-12-12,2021-12-02
1,13,37,BB_047,BB_131,2,4,2021-12-12,2021-12-02
1,13,37,BB_047,BB_131,3,4,2021-12-12,2021-12-02
1,13,37,BB_047,BB_131,4,4,2021-12-12,2021-12-02
1,13,37,BB_047,BB_131,5,4,2021-12-12,2021-12-02
1,13,37,BB_047,BB_131,6,4,2021-12-12,2021-12-02
1,13,37,BB_047,BB_131,7,4,2021-12-12,2021-12-02
1,13,37,BB_047,BB_131,8,4,2021-12-19,2021-12-02
1,13,38,BB_141,BB_029,1,5,2021-12-12,2021-12-02
1,13,38,BB_141,BB_029,2,5,2021-12-12,2021-12-02
1,13,38,BB_141,BB_029,3,5,2021-12-12,2021-12-02
1,13,38,BB_141,BB_029,4,5,2021-12-12,2021-12-02
1,13,38,BB_141,BB_029,5,5,2021-12-12,2021-12-02
1,13,38,BB_141,BB_029,6,5,2021-12-12,2021-12-02
1,13,38,BB_141,BB_029,7,5,2021-12-12,2021-12-02
1,13,38,BB_141,BB_029,8,5,2021-12-12,2021-12-02
1,13,39,BB_198,BB_045,1,3,2021-12-19,2021-12-02
1,13,39,BB_198,BB_045,2,3,2021-12-12,2021-12-02
1,13,39,BB_198,BB_045,3,3,2021-12-12,2021-12-02
1,13,39,BB_198,BB_045,4,3,2021-12-19,2021-12-02
1,13,39,BB_198,BB_045,5,3,2021-12-12,2021-12-02
1,13,39,BB_198,BB_045,6,3,2021-12-19,2021-12-02
1,13,39,BB_198,BB_045,7,3,2021-12-12,2021-12-02
1,13,39,BB_198,BB_045,8,3,2021-12-19,2021-12-02
1,14,40,BB_175,BB_172,1,4,2021-12-30,2021-12-02
1,14,40,BB_175,BB_172,2,4,NA,2021-12-02
1,14,40,BB_175,BB_172,3,4,2021-12-19,2021-12-02
1,14,40,BB_175,BB_172,4,4,2021-12-30,2021-12-02
1,14,40,BB_175,BB_172,5,4,2021-12-19,2021-12-02
1,14,40,BB_175,BB_172,6,4,2021-12-30,2021-12-02
1,14,40,BB_175,BB_172,7,4,2021-12-19,2021-12-02
1,14,40,BB_175,BB_172,8,4,2021-12-19,2021-12-02
1,14,41,BB_028,BB_083,1,1,2021-12-30,2021-12-02
1,14,41,BB_028,BB_083,2,1,2021-12-12,2021-12-02
1,14,41,BB_028,BB_083,3,1,2021-12-12,2021-12-02
1,14,41,BB_028,BB_083,4,1,2021-12-12,2021-12-02
1,14,41,BB_028,BB_083,5,1,2021-12-19,2021-12-02
1,14,41,BB_028,BB_083,6,1,2021-12-30,2021-12-02
1,14,41,BB_028,BB_083,7,1,2021-12-12,2021-12-02
1,14,41,BB_028,BB_083,8,1,2021-12-19,2021-12-02
1,14,42,BB_011,BB_116,1,3,2021-12-19,2021-12-02
1,14,42,BB_011,BB_116,2,3,2021-12-19,2021-12-02
1,14,42,BB_011,BB_116,3,3,2021-12-30,2021-12-02
1,14,42,BB_011,BB_116,4,3,NA,2021-12-02
