Block,Transect,Sequence,Donor,Recipient,Replicated,Plant_ID,FitP,Rep_FitP,any_FitP,F_plant,F_multi,F_plant_notes,Germ_Date,Sow_Date,Fl_4.9,Fl_4.21,Fl_5.3,Fl_5.13,Fl_5.25,Fl_6.8,Fl_6.22,LEAF,flr_P,closed_fruits_F,open_fruits_F,damaged_fruits_F,total_fruits_F,nonfitness_fruits,seed_ct,mean_seeds_per_fruit,total_est_seed_production,FFD,days_germ2flower,days_sow2flower,LFD,fl_duration,surv_to_germ,surv_to_flower,surv_to_fruitprod,surv_to_seedprod
1,1,20,AC_169,AC_120,n,8,TRUE,FALSE,TRUE,8,8,NA,NA,2021-11-04,NA,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-04-21,4,4,0,8,13,12,3,24,2022-04-21,NA,168,2022-05-13,22,0,1,1,1
1,1,21,AC_179,AC_136,n,4,TRUE,FALSE,TRUE,4,4,NA,2021-11-03,2021-11-04,NA,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-04-21,3,0,0,3,10,7,2.3333333333333335,7,2022-04-21,169,168,2022-05-13,22,1,1,1,1
1,1,22,AC_039,AC_168,n,5,TRUE,FALSE,TRUE,5,5,NA,2021-12-05,2021-11-04,2022-04-09,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-04-09,2,0,0,2,15,5,2.5,5,2022-04-09,125,156,2022-05-13,34,1,1,1,1
1,1,23,AC_045,AC_151,n,6,TRUE,FALSE,TRUE,6,6,NA,2021-12-05,2021-11-04,NA,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-04-21,5,3,0,8,9,14,2.8,22.4,2022-04-21,137,168,2022-05-13,22,1,1,1,1
1,1,24,AC_195,AC_193,n,5,TRUE,FALSE,TRUE,5,5,NA,2021-11-03,2021-11-04,NA,2022-04-21,NA,NA,NA,NA,NA,NA,NA,0,3,0,3,5,0,0,0,2022-04-21,169,168,2022-04-21,0,1,1,1,0
1,1,25,AC_089,AC_057,n,7,TRUE,FALSE,TRUE,7,7,NA,2021-11-03,2021-11-04,NA,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-04-21,1,2,0,3,4,3,3,9,2022-04-21,169,168,2022-05-13,22,1,1,1,1
1,1,26,AC_160,AC_015,n,5,TRUE,FALSE,TRUE,5,5,NA,2021-11-03,2021-11-04,NA,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,2022-05-13,2022-04-21,3,0,0,3,0,6,2,6,2022-04-21,169,168,2022-05-13,22,1,1,1,1
1,1,27,AC_161,AC_088,n,1,TRUE,FALSE,TRUE,1,1,NA,2021-12-05,2021-11-04,NA,2022-04-21,2022-05-03,NA,NA,NA,NA,NA,2022-04-21,1,3,0,4,35,1,1,4,2022-04-21,137,168,2022-05-03,12,1,1,1,1
1,1,28,AC_045,AC_096,n,9,TRUE,FALSE,TRUE,9,9,NA,2021-12-05,2021-11-04,NA,2022-04-21,2022-05-03,NA,NA,2022-06-08,NA,NA,2022-06-08,10,0,0,10,13,19,1.9,19,2022-04-21,137,168,2022-06-08,48,1,1,1,1
1,1,29,AC_216,AC_058,R,7,TRUE,TRUE,TRUE,7,"1,7,9",NA,2021-11-03,2021-11-04,2022-04-09,2022-04-21,2022-05-03,2022-05-13,NA,NA,NA,NA,2022-04-09,7,2,0,9,0,17,2.4285714285714284,21.857142857142854,2022-04-09,157,156,2022-05-13,34,1,1,1,1
