Year,Gen,Block,Location,Sequence,Co.,Donor,Recipient,Replicated,Plant_ID,FitP,Rep_FitP,any_FitP,F_plant,F_multi,F_plant_notes,Germ_Date,Sow_Date,Plant_Date,Fl_2.25,Fl_3.3,Fl_3.11,Fl_3.17,Fl_3.25,Fl_4.1,Fl_4.9,Fl_4.22,Fl_4.28,Fl_5.4,Fl_5.12,Fl_5.19,Fl_5.25,LEAF,flr_P,closed_fruits_F,open_fruits_F,damaged_fruits_F,total_fruits_F,nonfitness_fruits,seed_ct,seeds_weighed_d1,seed_mass_mg_d1,seeds_weighed_d2,seed_mass_mg_d2,seeds_weighed_d3,seed_mass_mg_d3,seeds_weighed_d4,seed_mass_mg_d4,seeds_weighed_d5,seed_mass_mg_d5,seeds_weighed_d6,seed_mass_mg_d6,seeds_weighed_d7,seed_mass_mg_d7,seeds_weighed_d8,seed_mass_mg_d8,seeds_weighed_d9,seed_mass_mg_d9,msm_d1,msm_d2,msm_d3,msm_d4,msm_d5,msm_d6,msm_d7,msm_d8,msm_d9,msm_all,sd_msm_all,mean_seeds_per_fruit,total_est_seed_production,AG_biomass_mg,photo_date,corolla_area_mm2,corolla_diam_mm,notes_corolla,leaf_area_mm2,leafarea_notes,leaf_dryweight_mg,leafweight_notes,SLA,LMA,FFD,days_germ2flower,days_sow2flower,days_plant2flower,LFD,fl_duration,surv_to_germ,surv_to_flower,surv_to_fruitprod,surv_to_seedprod,d13C,sample_weight_mg
2022,G1,1,1,2,1,BB_023,BB_206,n,3,FALSE,FALSE,FALSE,5,5,NA,2021-12-30,2021-11-29,2021-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.884,brightmax:177,1.19,NA,30.994957983193277,0.03226331200520551,NA,NA,NA,NA,NA,NA,1,0,0,0,NA,NA
2022,G1,1,1,2,1,BB_023,BB_206,n,4,FALSE,FALSE,FALSE,5,5,NA,2021-12-12,2021-11-29,2021-12-02,NA,NA,NA,2022-03-17,NA,2022-04-01,2022-04-08,NA,NA,NA,NA,NA,NA,NA,2022-03-17,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2022-03-17,529.43,27.731,NA,36.884,brightmax:177,1.19,NA,30.994957983193277,0.03226331200520551,2022-03-17,95,108,105,2022-04-08,22,1,1,0,0,NA,NA
2022,G1,1,1,2,1,BB_023,BB_206,n,5,TRUE,FALSE,TRUE,5,5,NA,2021-12-19,2021-11-29,2021-12-02,NA,NA,NA,2022-03-17,NA,2022-04-01,2022-04-08,NA,NA,NA,NA,NA,NA,NA,2022-03-17,1,1,0,2,0,6,NA,NA,NA,NA,NA,NA,4,15.43,NA,NA,2,11.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8575,NA,5.555,NA,NA,NA,4.70625,1.2003137610641643,6,12,NA,2022-03-17,221.109,18.213,NA,36.884,brightmax:177,1.19,NA,30.994957983193277,0.03226331200520551,2022-03-17,88,108,105,2022-04-08,22,1,1,1,1,NA,NA
2022,G1,1,1,2,1,BB_023,BB_206,n,6,FALSE,FALSE,FALSE,5,5,NA,NA,2021-11-29,2021-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.884,brightmax:177,1.19,NA,30.994957983193277,0.03226331200520551,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA
2022,G1,1,1,2,1,BB_023,BB_206,n,7,FALSE,FALSE,FALSE,5,5,NA,2021-12-12,2021-11-29,2021-12-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.884,brightmax:177,1.19,NA,30.994957983193277,0.03226331200520551,NA,NA,NA,NA,NA,NA,1,0,0,0,NA,NA
2022,G1,1,1,2,1,BB_023,BB_206,n,8,FALSE,FALSE,FALSE,5,5,NA,2021-12-12,2021-11-29,2021-12-02,NA,NA,NA,NA,NA,2022-04-01,2022-04-08,NA,NA,NA,NA,NA,NA,2022-04-28,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.884,brightmax:177,1.19,NA,30.994957983193277,0.03226331200520551,2022-04-01,110,123,120,2022-04-08,7,1,1,0,0,NA,NA
2022,G1,1,2,3,1,BB_075,BB_085,R,1,FALSE,FALSE,FALSE,3,"6,3,7",NA,2021-12-12,2021-11-29,2021-12-02,NA,NA,NA,2022-03-17,2022-03-25,2022-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.081,brightmax: 200 (alt method used b/c leaves touching),4.93,NA,11.98397565922921,0.08344476227552003,2022-03-17,95,108,105,2022-04-01,15,1,1,0,0,-28.64,2.26
2022,G1,1,2,3,1,BB_075,BB_085,R,2,FALSE,FALSE,FALSE,3,"6,3,7",NA,2021-12-12,2021-11-29,2021-12-02,NA,NA,NA,2022-03-17,2022-03-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.081,brightmax: 200 (alt method used b/c leaves touching),4.93,NA,11.98397565922921,0.08344476227552003,2022-03-17,95,108,105,2022-03-25,8,1,1,0,0,-28.64,2.26
2022,G1,1,2,3,1,BB_075,BB_085,R,3,TRUE,TRUE,TRUE,3,"6,3,7",NA,2021-12-12,2021-11-29,2021-12-02,NA,NA,NA,2022-03-17,2022-03-25,NA,2022-04-08,NA,NA,NA,NA,NA,NA,NA,2022-03-17,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,2022-03-17,437.155,25.535,NA,59.081,brightmax: 200 (alt method used b/c leaves touching),4.93,NA,11.98397565922921,0.08344476227552003,2022-03-17,95,108,105,2022-04-08,22,1,1,0,0,-28.64,2.26
2022,G1,1,2,3,1,BB_075,BB_085,R,4,FALSE,FALSE,FALSE,3,"6,3,7",NA,2021-12-12,2021-11-29,2021-12-02,NA,NA,NA,2022-03-17,2022-03-25,2022-04-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.081,brightmax: 200 (alt method used b/c leaves touching),4.93,NA,11.98397565922921,0.08344476227552003,2022-03-17,95,108,105,2022-04-01,15,1,1,0,0,-28.64,2.26
