Block,Transect,Sequence,Donor,Recipient,Replicated,Plant_ID,FitP,Rep_FitP,any_FitP,F_plant,F_multi,F_plant_notes,Germ_Date,Sow_Date,Plant_Date,Fl_3.10,Fl_3.16,Fl_3.24,Fl_3.31,Fl_4.7,Fl_4.14,Fl_4.20,Fl_4.26,Fl_5.4,Fl_5.11,Fl_5.20,Fl_5.24,LEAF,flr_P,closed_fruits_F,open_fruits_F,damaged_fruits_F,total_fruits_F,nonfitness_fruits,seed_ct,seeds_weighed_d1,seed_mass_mg_d1,seeds_weighed_d2,seed_mass_mg_d2,seeds_weighed_d3,seed_mass_mg_d3,seeds_weighed_d4,seed_mass_mg_d4,seeds_weighed_d5,seed_mass_mg_d5,seeds_weighed_d6,seed_mass_mg_d6,seeds_weighed_d7,seed_mass_mg_d7,seeds_weighed_d8,seed_mass_mg_d8,seeds_weighed_d9,seed_mass_mg_d9,msm_d1,msm_d2,msm_d3,msm_d4,msm_d5,msm_d6,msm_d7,msm_d8,msm_d9,msm_all,sd_msm_all,mean_seeds_per_fruit,total_est_seed_production,AG_biomass_mg,photo_date,corolla_diam_mm,corolla_area_mm2,notes_corolla,FFD,days_germ2flower,days_sow2flower,days_plant2flower,LFD,fl_duration,surv_to_germ,surv_to_flower,surv_to_fruitprod,surv_to_seedprod
1,1,9,HR_070,HR_061,n,2,TRUE,FALSE,TRUE,2,2,NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,2022-03-24,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-03-24,19,6,0,25,0,22,NA,NA,NA,NA,NA,NA,NA,NA,14,68.15,6,25.28,2,7.46,NA,NA,NA,NA,NA,NA,NA,NA,4.867857142857143,4.213333333333334,3.73,NA,NA,4.270396825396825,0.5710708370969536,1.1578947368421053,28.947368421052634,61.48,2022-03-24,23.06,382.745,NA,2022-03-24,108,134,125,2022-04-26,33,1,1,1,1
1,1,10,HR_133,HR_158,n,4,TRUE,FALSE,TRUE,4,4,NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,NA,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-03-31,27,6,0,33,2,69,NA,NA,NA,NA,NA,NA,NA,NA,50,124.31,2,3.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4862,1.835,NA,NA,NA,2.1606,0.4604679359086799,2.5555555555555554,84.33333333333333,85.29,2022-03-31,14.89,143.178,"data does not seem accurate, ruler very slanted",2022-03-31,115,141,132,2022-04-26,26,1,1,1,1
1,1,11,HR_108,HR_175,n,6,TRUE,FALSE,TRUE,6,6,NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,NA,2022-03-31,2022-04-07,2022-04-14,2022-04-20,NA,NA,NA,NA,NA,NA,2022-03-31,9,4,0,13,0,14,NA,NA,NA,NA,NA,NA,NA,NA,14,33.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3935714285714282,NA,NA,NA,NA,2.3935714285714282,NA,1.5555555555555556,20.22222222222222,51.98,NA,NA,NA,NA,2022-03-31,115,141,132,2022-04-20,20,1,1,1,1
1,1,12,HR_164,HR_005,n,4,TRUE,FALSE,TRUE,4,4,NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,NA,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,2022-05-05,NA,NA,NA,NA,2022-03-31,25,4,0,29,0,42,NA,NA,NA,NA,NA,NA,NA,NA,42,144.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.4295238095238094,NA,NA,NA,NA,3.4295238095238094,NA,1.68,48.72,86.19,2022-03-31,23.835,289.23,folding,2022-03-31,115,141,132,2022-05-05,35,1,1,1,1
1,1,13,HR_171,HR_057,n,4,TRUE,FALSE,TRUE,4,4,NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,NA,2022-03-31,NA,2022-04-14,2022-04-20,NA,NA,NA,NA,NA,NA,2022-03-31,2,3,0,5,3,2,NA,NA,NA,NA,NA,NA,2,5.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.855,NA,NA,NA,NA,NA,2.855,NA,1,5,21.18,2022-03-31,23.514,326.999,NA,2022-03-31,115,141,132,2022-04-20,20,1,1,1,1
1,1,14,HR_196,HR_170,n,5,TRUE,FALSE,TRUE,5,5,NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,NA,2022-03-31,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-03-31,25,2,0,27,9,53,NA,NA,NA,NA,6,16.49,38,98.1,9,21.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.748333333333333,2.581578947368421,2.4233333333333333,NA,NA,NA,NA,2.5844152046783626,0.1625185628371298,2.12,57.24,61.78,2022-03-31,23.471,290.695,NA,2022-03-31,115,141,132,2022-04-26,26,1,1,1,1
1,1,15,HR_148,HR_114,n,7,TRUE,FALSE,TRUE,7,7,NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,NA,NA,NA,NA,NA,NA,2022-04-07,8,0,0,8,2,5,NA,NA,NA,NA,NA,NA,5,20.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.184,NA,NA,NA,NA,NA,4.184,NA,0.625,5,24.14,2022-04-07,19.156,227.766,NA,2022-04-07,122,148,139,2022-04-20,13,1,1,1,1
1,1,16,HR_069,HR_108,n,1,TRUE,FALSE,TRUE,1,1,NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-04-07,13,0,0,13,0,21,NA,NA,NA,NA,NA,NA,14,44.48,5,13.61,2,6.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.177142857142857,2.722,3.405,NA,NA,NA,3.101380952380952,0.3477458118509321,1.6153846153846154,21,32.08,2022-04-07,19.131,244.052,NA,2022-04-07,122,148,139,2022-04-26,19,1,1,1,1
1,1,17,HR_175,HR_196,n,5,TRUE,FALSE,TRUE,5,5,NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-04-07,28,0,0,28,0,62,NA,NA,NA,NA,NA,NA,37,86.91,20,48.38,5,6.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.348918918918919,2.419,1.3960000000000001,NA,NA,NA,2.05463963963964,0.571473945740179,2.2142857142857144,62,120.03,2022-04-07,22.906,316.274,NA,2022-04-07,122,148,139,2022-04-26,19,1,1,1,1
1,1,18,HR_131,HR_046,n,6,TRUE,FALSE,TRUE,6,6,NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,2022-04-26,2022-05-05,NA,NA,NA,2022-05-16,2022-04-07,16,1,0,17,0,6,NA,NA,NA,NA,NA,NA,3,11.52,3,9.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.84,3.06,NA,NA,NA,NA,3.45,0.5515432893255069,0.375,6.375,59.37,2022-04-07,20.159,244.543,NA,2022-04-07,122,148,139,2022-05-05,28,1,1,1,1
1,1,19,HR_095,HR_020,n,8,TRUE,FALSE,TRUE,8,8,NA,2021-12-17,2021-11-10,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,NA,4,0,0,4,0,7,NA,NA,NA,NA,NA,NA,7,13.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9157142857142857,NA,NA,NA,NA,NA,1.9157142857142857,NA,1.75,7,14.53,NA,NA,NA,NA,2022-04-07,111,148,139,2022-04-26,19,1,1,1,1
1,1,20,HR_108,HR_016,n,4,TRUE,FALSE,TRUE,4,4,NA,2021-12-17,2021-11-10,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-04-07,7,0,0,7,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,34.86,2022-04-07,20.316,260.823,NA,2022-04-07,111,148,139,2022-04-26,19,1,1,1,0
1,1,21,HR_200,HR_010,n,5,TRUE,FALSE,TRUE,5,5,NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-04-07,6,3,0,9,0,1,NA,NA,NA,NA,NA,NA,1,1.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.57,NA,NA,NA,NA,NA,1.57,NA,0.16666666666666666,1.5,NA,2022-04-07,17.534,178.511,NA,2022-04-07,122,148,139,2022-04-26,19,1,1,1,1
1,1,22,HR_164,HR_041,n,3,TRUE,FALSE,TRUE,3,3,NA,NA,2021-11-10,2021-11-19,NA,NA,NA,NA,NA,2022-04-14,2022-04-20,NA,NA,NA,NA,NA,NA,2022-04-14,2,0,0,2,0,8,NA,NA,NA,NA,NA,NA,NA,NA,8,10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2875,NA,NA,NA,NA,1.2875,NA,4,8,NA,2022-04-14,24.954,312.341,NA,2022-04-14,NA,155,146,2022-04-20,6,0,1,1,1
1,1,23,HR_168,HR_148,R,5,TRUE,TRUE,TRUE,5,"5,6",NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,NA,NA,NA,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-04-14,5,1,0,6,0,2,NA,NA,NA,NA,NA,NA,NA,NA,2,1.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.905,NA,NA,NA,NA,0.905,NA,0.4,2.4000000000000004,57.8,2022-04-14,18.034,NA,herbivory,2022-04-14,129,155,146,2022-04-26,12,1,1,1,1
1,1,23,HR_168,HR_148,R,6,FALSE,TRUE,TRUE,5,"5,6",NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,NA,NA,NA,2022-04-14,NA,2022-04-26,NA,NA,NA,NA,NA,2022-04-14,7,0,0,7,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14285714285714285,1,NA,2022-04-14,24.251,368.714,NA,2022-04-14,129,155,146,2022-04-26,12,1,1,1,1
1,1,24,HR_121,HR_105,n,7,TRUE,FALSE,TRUE,7,7,NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,NA,NA,NA,NA,2022-04-20,2022-04-26,2022-05-05,NA,NA,NA,NA,2022-04-20,3,1,0,4,0,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,21.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6346153846153846,NA,NA,NA,1.6346153846153846,NA,4.333333333333333,17.333333333333332,NA,2022-04-20,18.449,NA,folded,2022-04-20,135,161,152,2022-05-05,15,1,1,1,1
1,1,25,HR_062,HR_134,n,4,TRUE,FALSE,TRUE,4,4,NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,NA,NA,NA,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-04-14,7,0,0,7,0,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1.56,NA,NA,1,2.05,NA,NA,NA,NA,NA,NA,NA,NA,1.56,NA,2.05,NA,NA,1.805,0.3464823227814081,0.2857142857142857,2,14.88,2022-04-14,21.546,295.681,NA,2022-04-14,129,155,146,2022-04-26,12,1,1,1,1
1,1,28,HR_005,HR_040,R,3,FALSE,TRUE,TRUE,5,"5,3,7",NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,2022-04-26,2022-05-05,NA,NA,NA,NA,2022-04-07,10,1,0,11,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,2022-04-07,19.905,225.992,NA,2022-04-07,122,148,139,2022-05-05,28,1,1,1,0
1,1,28,HR_005,HR_040,R,5,TRUE,TRUE,TRUE,5,"5,3,7",NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-04-14,5,1,0,6,0,2,NA,NA,NA,NA,NA,NA,2,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.55,NA,NA,NA,NA,NA,2.55,NA,0.4,2.4000000000000004,20.98,2022-04-14,25.65,NA,missing petals,2022-04-07,122,148,139,2022-04-26,19,1,1,1,1
1,1,28,HR_005,HR_040,R,7,FALSE,TRUE,TRUE,5,"5,3,7",NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-04-07,15,1,0,16,0,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,12.8,NA,2022-04-07,18.767,215.405,NA,2022-04-07,122,148,139,2022-04-26,19,1,1,1,1
1,1,29,HR_149,HR_007,n,6,TRUE,FALSE,TRUE,6,6,NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-04-26,7,2,0,9,0,8,NA,NA,NA,NA,NA,NA,8,18.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.29125,NA,NA,NA,NA,NA,2.29125,NA,1.1428571428571428,10.285714285714285,29.31,2022-04-07,22.207,289.675,NA,2022-04-07,122,148,139,2022-04-26,19,1,1,1,1
1,1,30,HR_131,HR_113,n,5,TRUE,FALSE,TRUE,5,5,NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,2022-04-26,2022-05-05,2022-05-11,NA,NA,NA,2022-04-20,27,0,0,27,0,6,NA,NA,NA,NA,NA,NA,2,6.26,NA,NA,NA,NA,4,5.96,NA,NA,NA,NA,NA,NA,NA,3.13,NA,NA,1.49,NA,NA,2.31,1.1596551211459378,0.2222222222222222,6,94.51,2022-04-07,22.96,292.302,NA,2022-04-07,122,148,139,2022-05-11,34,1,1,1,1
1,1,31,HR_157,HR_095,n,8,TRUE,FALSE,TRUE,8,8,NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,NA,NA,NA,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-04-14,8,0,0,8,0,6,NA,NA,NA,NA,NA,NA,3,5.43,3,4.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8099999999999998,1.6566666666666665,NA,NA,NA,NA,1.7333333333333332,0.10842303978193728,0.75,6,30.01,2022-04-14,26.319,397.877,NA,2022-04-14,129,155,146,2022-04-26,12,1,1,1,1
1,1,32,HR_131,HR_049,n,3,TRUE,FALSE,TRUE,3,3,NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,2022-04-26,2022-05-05,2022-05-11,NA,NA,NA,2022-04-07,11,0,0,11,0,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,9.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3625,NA,NA,NA,2.3625,NA,0.36363636363636365,4,37.05,2022-04-07,20.661,248.931,NA,2022-04-07,122,148,139,2022-05-11,34,1,1,1,1
1,1,33,HR_062,HR_136,n,3,TRUE,FALSE,TRUE,3,3,NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,NA,NA,NA,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-04-14,13,0,0,13,0,3,NA,NA,NA,NA,NA,NA,NA,NA,3,11.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.966666666666667,NA,NA,NA,NA,3.966666666666667,NA,0.23076923076923078,3,NA,2022-04-14,24.136,361.178,NA,2022-04-14,129,155,146,2022-04-26,12,1,1,1,1
1,1,34,HR_110,HR_032,n,4,TRUE,FALSE,TRUE,4,4,NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,2022-04-26,2022-05-05,NA,NA,NA,NA,2022-04-07,9,2,0,11,0,6,NA,NA,NA,NA,NA,NA,NA,NA,4,9.07,2,4.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2675,2.18,NA,NA,NA,2.22375,0.06187184335382284,0.6666666666666666,7.333333333333333,78.14,2022-04-07,22.4,326.296,NA,2022-04-07,122,148,139,2022-05-05,28,1,1,1,1
1,1,35,HR_057,HR_110,n,6,TRUE,FALSE,TRUE,6,6,NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-04-07,7,2,0,9,0,8,NA,NA,NA,NA,NA,NA,NA,NA,8,14.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.77375,NA,NA,NA,NA,1.77375,NA,1.1428571428571428,10.285714285714285,44.98,2022-04-07,24.509,349.93,NA,2022-04-07,122,148,139,2022-04-26,19,1,1,1,1
1,1,36,HR_059,HR_011,n,8,TRUE,FALSE,TRUE,8,8,NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-04-07,11,0,0,11,0,16,NA,NA,NA,NA,NA,NA,NA,NA,16,29.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.85375,NA,NA,NA,NA,1.85375,NA,1.4545454545454546,16,49.68,2022-04-07,19.166,212.083,NA,2022-04-07,122,148,139,2022-04-26,19,1,1,1,1
1,1,37,HR_095,HR_178,n,6,TRUE,FALSE,TRUE,6,6,NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,2022-04-26,2022-05-05,NA,NA,NA,NA,2022-04-07,10,7,0,17,0,10,NA,NA,NA,NA,NA,NA,2,2.67,7,8,NA,NA,1,1.69,NA,NA,NA,NA,NA,NA,NA,1.335,1.1428571428571428,NA,1.69,NA,NA,1.3892857142857142,0.27758157469876293,1,17,35.57,2022-04-07,25.146,368.228,NA,2022-04-07,122,148,139,2022-05-05,28,1,1,1,1
1,1,38,HR_155,HR_047,n,2,TRUE,FALSE,TRUE,2,2,NA,2021-11-19,2021-11-10,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-04-07,9,0,0,9,0,8,NA,NA,NA,NA,NA,NA,NA,NA,6,21.46,2,1.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5766666666666667,0.815,NA,NA,NA,2.1958333333333333,1.9527932273768487,0.8888888888888888,8,NA,2022-04-07,20.479,NA,flower not flat,2022-04-07,139,148,139,2022-04-26,19,1,1,1,1
1,1,39,HR_070,HR_123,n,5,TRUE,FALSE,TRUE,5,5,NA,2021-12-06,2021-11-10,2021-11-19,NA,NA,NA,NA,2022-04-07,2022-04-14,2022-04-20,2022-04-26,NA,NA,NA,NA,NA,2022-04-14,8,2,0,10,0,4,NA,NA,NA,NA,NA,NA,2,5.89,1,4.01,1,2.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.945,4.01,2.11,NA,NA,NA,3.0216666666666665,0.9523173490666508,0.5,5,29.31,2022-04-07,27.037,468.834,NA,2022-04-07,122,148,139,2022-04-26,19,1,1,1,1
