Block,Transect,Sequence,Donor,Recipient,Plant_ID,Germ_Date,Sow_Date,Plant_Date
1,1,9,AC_107,AC_130,2,2021-12-05,2021-10-27,2021-11-04
1,1,9,AC_107,AC_130,3,2021-12-05,2021-10-27,2021-11-04
1,1,9,AC_107,AC_130,4,2021-12-05,2021-10-27,2021-11-04
1,1,9,AC_107,AC_130,5,NA,2021-10-27,2021-11-04
1,1,9,AC_107,AC_130,6,2021-12-05,2021-10-27,2021-11-04
1,1,9,AC_107,AC_130,7,2021-11-03,2021-10-27,2021-11-04
1,1,9,AC_107,AC_130,8,NA,2021-10-27,2021-11-04
1,1,9,AC_107,AC_130,9,NA,2021-10-27,2021-11-04
1,1,9,AC_107,AC_130,10,NA,2021-10-27,2021-11-04
1,1,10,AC_207,AC_070,1,2021-12-05,2021-10-27,2021-11-04
1,1,10,AC_207,AC_070,2,2021-12-05,2021-10-27,2021-11-04
1,1,10,AC_207,AC_070,3,2021-11-03,2021-10-27,2021-11-04
1,1,10,AC_207,AC_070,4,2021-12-05,2021-10-27,2021-11-04
1,1,10,AC_207,AC_070,5,2021-11-03,2021-10-27,2021-11-04
1,1,10,AC_207,AC_070,6,2021-11-03,2021-10-27,2021-11-04
1,1,10,AC_207,AC_070,7,2021-11-03,2021-10-27,2021-11-04
1,1,10,AC_207,AC_070,8,2021-12-05,2021-10-27,2021-11-04
1,1,10,AC_207,AC_070,9,2021-12-05,2021-10-27,2021-11-04
1,1,10,AC_207,AC_070,10,2021-12-05,2021-10-27,2021-11-04
1,1,11,AC_096,AC_181,1,2021-11-03,2021-10-27,2021-11-04
1,1,11,AC_096,AC_181,2,2021-12-05,2021-10-27,2021-11-04
1,1,11,AC_096,AC_181,3,NA,2021-10-27,2021-11-04
1,1,11,AC_096,AC_181,4,2021-12-05,2021-10-27,2021-11-04
1,1,11,AC_096,AC_181,5,2021-12-05,2021-10-27,2021-11-04
1,1,11,AC_096,AC_181,6,2021-12-05,2021-10-27,2021-11-04
1,1,11,AC_096,AC_181,7,2021-11-03,2021-10-27,2021-11-04
1,1,11,AC_096,AC_181,8,2021-12-05,2021-10-27,2021-11-04
1,1,11,AC_096,AC_181,9,2021-12-05,2021-10-27,2021-11-04
1,1,11,AC_096,AC_181,10,NA,2021-10-27,2021-11-04
1,1,12,AC_054,AC_046,1,NA,2021-10-27,2021-11-04
1,1,12,AC_054,AC_046,2,2021-12-05,2021-10-27,2021-11-04
1,1,12,AC_054,AC_046,3,2021-12-05,2021-10-27,2021-11-04
1,1,12,AC_054,AC_046,4,2021-12-05,2021-10-27,2021-11-04
1,1,12,AC_054,AC_046,5,2021-12-05,2021-10-27,2021-11-04
1,1,12,AC_054,AC_046,6,2021-12-05,2021-10-27,2021-11-04
1,1,12,AC_054,AC_046,7,2021-12-05,2021-10-27,2021-11-04
1,1,12,AC_054,AC_046,8,2021-12-05,2021-10-27,2021-11-04
1,1,12,AC_054,AC_046,9,2021-12-05,2021-10-27,2021-11-04
1,1,12,AC_054,AC_046,10,NA,2021-10-27,2021-11-04
1,1,13,AC_052,AC_131,1,2021-11-03,2021-10-27,2021-11-04
1,1,13,AC_052,AC_131,2,2021-12-05,2021-10-27,2021-11-04
1,1,13,AC_052,AC_131,3,2021-12-05,2021-10-27,2021-11-04
1,1,13,AC_052,AC_131,4,2021-11-03,2021-10-27,2021-11-04
1,1,13,AC_052,AC_131,5,2021-11-03,2021-10-27,2021-11-04
1,1,13,AC_052,AC_131,6,2021-12-05,2021-10-27,2021-11-04
1,1,13,AC_052,AC_131,7,2021-12-05,2021-10-27,2021-11-04
1,1,13,AC_052,AC_131,8,2021-11-03,2021-10-27,2021-11-04
1,1,13,AC_052,AC_131,9,NA,2021-10-27,2021-11-04
1,1,13,AC_052,AC_131,10,NA,2021-10-27,2021-11-04
1,1,14,AC_064,AC_086,1,2021-12-05,2021-10-27,2021-11-04
1,1,14,AC_064,AC_086,2,NA,2021-10-27,2021-11-04
1,1,14,AC_064,AC_086,3,NA,2021-10-27,2021-11-04
1,1,14,AC_064,AC_086,4,NA,2021-10-27,2021-11-04
1,1,14,AC_064,AC_086,5,2021-11-03,2021-10-27,2021-11-04
1,1,14,AC_064,AC_086,6,2021-11-03,2021-10-27,2021-11-04
1,1,14,AC_064,AC_086,7,2021-12-05,2021-10-27,2021-11-04
1,1,14,AC_064,AC_086,8,2021-12-05,2021-10-27,2021-11-04
1,1,14,AC_064,AC_086,9,2021-12-05,2021-10-27,2021-11-04
1,1,14,AC_064,AC_086,10,2021-11-03,2021-10-27,2021-11-04
1,1,15,AC_068,AC_056,1,2021-12-05,2021-10-27,2021-11-04
1,1,15,AC_068,AC_056,2,2021-12-05,2021-10-27,2021-11-04
1,1,15,AC_068,AC_056,3,2021-12-05,2021-10-27,2021-11-04
1,1,15,AC_068,AC_056,4,NA,2021-10-27,2021-11-04
1,1,15,AC_068,AC_056,5,2021-12-05,2021-10-27,2021-11-04
1,1,15,AC_068,AC_056,6,2021-12-05,2021-10-27,2021-11-04
1,1,15,AC_068,AC_056,7,2021-12-05,2021-10-27,2021-11-04
