Donor,Recipient,mean_surv_to_flowering,mean_fruit_prod,mean_est_seed_prod_R,mean_surv_x_est_seed_prod_R,total_seed_count
AC_002,AC_104,0.7333333333333333,15,1.8141661076160056,1.6814293162657974,136
AC_002,AC_122,0.8,4.666666666666667,0.25851468404009653,0.30687527647070384,11
AC_002,AC_160,0.6666666666666666,26.666666666666668,2.2490723377194084,1.9953671558769959,141
AC_007,AC_081,0.8666666666666667,14,1.911776948351111,2.2954566304178683,102
AC_007,AC_147,0.8333333333333334,12.333333333333334,1.463631502352852,1.4800980112598754,112
AC_007,AC_187,0.8,14.666666666666666,1.7145294101074802,1.6080915471434232,133
AC_008,AC_068,0.8666666666666667,18,1.9962291173120665,2.2255122552929576,151
AC_008,AC_092,0.8,6.666666666666667,0.17542144885790967,0.1890024095763752,12
AC_008,AC_188,0.6333333333333333,4.666666666666667,0.21355698879919002,0.1766143940332004,18
AC_015,AC_097,0.8666666666666667,24,3.0744549192977955,3.5712309192545946,225
AC_015,AC_190,0.7333333333333334,10,1.6525822311491578,1.6274385662899171,73
AC_015,AC_197,0.8666666666666667,24.333333333333332,3.6414112935682037,4.033029388967846,210
AC_039,AC_148,0.6333333333333333,7.666666666666667,0.8044879800111993,0.7528472545587883,42
AC_039,AC_168,0.7,2.6666666666666665,0.1270995361496409,0.10490345282097487,10
AC_045,AC_096,0.4,5.666666666666667,0.34804367288779037,0.19799753037250795,28
AC_045,AC_123,0.9,4,0.48401876036605535,0.5600666753867274,26
AC_045,AC_151,0.7333333333333333,5.333333333333333,0.4234161113197815,0.3973190639904159,22
AC_047,AC_113,0.6,4.333333333333333,0.4893628859470159,0.44004856880942944,25
AC_047,AC_152,0.3333333333333333,1.3333333333333333,0.0917795786378811,0.03382278243289948,3
AC_052,AC_131,0.7666666666666667,29,3.2305022025728523,3.275217108186914,183
AC_052,AC_133,0.4666666666666667,4,0.22756576307732063,0.14827654176959335,11
AC_052,AC_212,0.4666666666666667,3.6666666666666665,0.2630679229044897,0.15995801714912825,16
AC_054,AC_046,0.8666666666666667,11.666666666666666,0.8632101192971356,0.9442315287638987,51
AC_054,AC_119,0.9,7.333333333333333,0.4976143756037294,0.5602835328747742,34
AC_054,AC_155,0.8666666666666667,12.333333333333334,2.071221681337771,2.4222191810539675,130
AC_061,AC_052,0.8,4.333333333333333,0.24219257799161836,0.2401337072567552,11
AC_061,AC_158,0.6333333333333333,18,1.608019639124742,1.4419295506930507,130
AC_064,AC_017,0.8666666666666667,13,1.1952831915800504,1.5553294221352776,72
AC_064,AC_086,0.6666666666666666,7.666666666666667,0.7579938794109113,0.6560810427643785,40
AC_064,AC_205,0.7666666666666666,7.666666666666667,0.8628997572807722,1.0517652823880885,35
AC_068,AC_056,0.7,9.333333333333334,0.5233260670464605,0.5051689327758506,43
